ca01387020	e754e	তাঁরা প্রচার করতে যাচ্ছিলেন
ca01e6fbde	bdd05	সবেমাত্র প্রাকৃতের খোলস ছাড়িয়া
ca02838fd9	32c77	প্রবেশাধিকার বন্ধ করে দিয়েছে
ca029ed479	f4ba7	মনের উপর
ca02c0d9ce	d5213	আনুষ্ঠানিক উদ্বোধনের আগেই
ca035ac11c	f2097	ভারতীয় এজেন্ট
ca03ce23c1	35ef3	মুক্তির দাবিতেও
ca03dbb8f9	92bb2	অস্ত্র বা হাতিয়ার দিয়ে
ca044e79b7	cb1aa	হ্যাটট্রিকসহ ৬ উইকেট
ca04501508	16cfb	বাংলাদেশে বিশ্বব্যাংকের ভারপ্রাপ্ত প্রধান
ca04705c19	3f875	ফুটে উঠল
ca048656dc	1b359	অংশ হয়তো প্রিন্ট করে
ca04877a10	5b13f	কয়েকজন মন্ত্রী
ca048fa71a	ac0df	নিশ্চিত করেছে
ca04b1e9ed	c6848	দুবাই
ca04b44350	767ff	আসামের একটা বড় জনগোষ্ঠী
ca05956363	f1ff2	সরাসরি বিশ্বকাপ খেলার
ca059aa14d	6b437	নির্বাচন কমিশন ভবনের ওপর
ca05a1ed94	d136b	অধ্যাপক অজয় রায়ের
ca06656fbc	4a918	লালমনিরহাট
ca06fc64ab	11915	পৃথিবীর সবকিছু
ca073a92b3	1a4a9	ড. হক বলছিলেন
ca07adf825	b00ba	এদের পরাগ রেণু
ca0908e094	d136b	ঘোষণা দিয়েছিলেন তিনি
ca094eeb70	9d398	বহনকারী গাড়িটি
ca0955cb2e	e9fa7	রাস্তায় কাঠের গুঁড়ি ফেলে
ca09a5245b	03284	তাঁর কাছ থেকে
ca09e4657b	2ecf8	ঠিক তাই করেছে
ca09e606b7	80539	মমকে বাসায় নিয়ে যায়
ca09e96360	1f733	বাইরে পা বাড়িয়েই শেখে
ca0a99dbad	dae88	শুধু ধানই নই
ca0ab804e7	09f0d	চলছিল না বলে
ca0c1145d3	6da0a	তবে তাঁর নাম
ca0c29a413	16cfb	জুলাই ০১
ca0c6836b7	43fc0	তা নিয়ে সাধারণ মানুষের মাঝে
ca0c6e5088	6d129	এক
ca0cebaabf	6e6fa	তারা দেশে প্রায়
ca0cef7a1b	91230	কোলেস্টোরেল এবং উচ্চ রক্তচাপের সঙ্গে
ca0d8476d2	420df	গালিবের আহ এ বেতাসির
ca0d8b1f93	38d3a	একটি জায়নামাজ দিল
ca0e4b0175	c0d65	বাণিজ্যিক ব্যাংকের পুঁজিবাজারে
ca0ec2c0e5	4c1eb	ইদি আমিন ছিলেন
ca0f4c88e9	d2355	টাঙ্গাইলের বিন্দুবাসিনী কলেজ
ca0f647f64	3fb17	শেষতক লুগার
ca10250482	dae88	গুম হত্যা
ca10467865	ff0fe	ভদ্রতার বালাই নাই।
ca11194921	4f2ae	এ ঘটনায় আহত
ca11197206	d1a48	এখন এ আন্দোলন সীমাবদ্ধ নেই
ca1123da36	195f7	যার যার বাসায়
ca11567a89	46da4	শুরু থেকেই প্রত্যাশার চেয়ে বেশি
ca12113bce	121bd	তান্ত্রিক
ca122b9db9	577fa	নির্বাচন করেছেন
ca124f7192	2d98b	ও মাটিডালি মোড়ে
ca1305ed05	91ac1	অথবা সবচেয়ে বড়ো পরিচয় নয়
ca134812a1	2396d	আবার
ca13aafcdc	1a4a9	ধর্ষণ করা হয় বলে
ca13ebed64	3fae0	আজ হাসপাতালে
ca14cecac0	7b103	জন্ম ১৯৬৫ সালে, ঢাকায়
ca16248303	730c3	শেষ থাকবে না
ca165c5338	e6d83	বেড়ে উঠুক
ca167a1af3	adf01	উজিরপুর উপজেলা
ca16ade8e5	6c6bf	গ্রেট ব্যারিয়ার রিফের অংশ
ca17be34f3	870e3	ভাই, চাকরি
ca1808cb34	730c3	এখন ব্যস্ত
ca18b38ca7	d82d9	সতীশকে না বলিয়া
ca18be8d63	8a46d	তফসিল ঘোষণার পর
ca18f86d5d	2d78f	একটা বাচ্চাও আছে
ca191b10b0	c2082	আজমত উল্লা খান
ca19b835aa	a274b	এই পটভূমিতে
ca1a0ac979	75936	সমসংখ্যক ম্যাচে
ca1a32de5d	0696e	তিনি কতটা সামনের দিকে
ca1b2c7251	0f047	নিরাপত্তা
ca1bae3521	4f450	আমদানি নির্ভর
ca1beae6f5	80505	মুজিবুর রহমানকেও
ca1c011bb9	72649	আনন্দ দেয়
