e6006a67fe	fd880	বিস্ফোরণ হয়
e6008f0e38	0696e	রাস্তায় নেমেছিলেন
e600f07b39	52f27	ইন্ডিয়ান
e6015fd7c4	6ab59	আমরা নিতান্ত বেকুব
e601c6d59e	57d54	কোথাও মুক্তিযুদ্ধ নেই
e601eeeb81	520fb	দামি জিনিস
e6026ce380	80e98	২৫ জন মাকে
e602c79f2a	7a227	কিয়ামত পর্যন্ত জুতা মারলেও
e602db0126	3bb15	আপাতত বিজ্ঞাপনের
e602e495cc	68549	ওই ঘটনায় ধৃতেরা সবাই
e6038d4423	b8fe1	অনুষ্ঠিত হয় নবান্ন শোভাযাত্রা
e603f86715	91ac1	এবং তিনি তার পিতা
e6041d9c23	54e68	টোটেম-বিশ্বাস
e60435090d	b8bba	সবসময় সেটি হয় না
e6043b3656	1279e	এ অভিধানের বিপুল চাহিদা
e604bd6ff7	2f547	রাশিয়া ও ইরান
e604f3d9ff	c11b1	খাদ্য ও আবাসনসহ
e604fa193e	eecdd	মুফতি আমিনী
e60519d4c1	7aed9	আন্তর্জাতিকভাবে স্বীকৃত লেখকে
e60577f7b6	25696	প্রায় শতকরা ৯০ ভাগই মিথ্যা
e60608a9e6	33aef	যৌনতায় নারী
e606102ff6	a43b5	কাহাকে জাগাইবে
e6063948c4	a9a58	বেশি আসন লাভ করলেও
e6069694a1	ad98d	মাত্র ষোলো বছর বয়সে
e606c0f2f3	d9b11	আমার সেই কথাটিই
e6075662e9	d3e06	তার দাড়ি ও চুল
e6075b7a8e	13b6a	আমি একজন লোকের কথা বলব
e6078fbd70	7297e	পানি ঝরিয়ে নিচ্ছে
e6082d8a7f	92bd8	এ ছাড়া ছবি সম্পর্কে
e608f9dff0	2840e	সমাজের ক’টা লোক
e609042a68	ac904	৫ম তলায় আগুন লাগে
e609183b51	2ac82	সাধারণ হিন্দুদের তুলনায় উন্নত বলে
e60954607f	d7a68	সরকারের নির্দিষ্ট প্রতিনিধি
e60998835d	491a5	কোথায় পাওয়া যায়
e609ccebdd	ee4ad	ঘরে থাহে
e60a207c72	2396d	আর বিয়ের কোনও চিন্তাই
e60a24bb65	4c555	নরসিংদীর আদালতে
e60ab91890	35ef3	দেনমোহর
e60abeb2c5	0d9f1	বর্তমানে বাংলাদেশ, ভারত ও পাকিস্তানে
e60aed1c5b	11de3	কিছুদূর গেলে
e60afb76e2	7d133	তারা রাজাকারদের
e60b2c5381	f29bf	রাশভারীর কারণেই কি না
e60b494871	38d3a	মোট দৈর্ঘ্য
e60bba7d79	25696	কংগ্রেসের ডাকে
e60be00eee	a06a1	আমি সাতক্ষীরায় দেখে এসেছি
e60c2be99f	4237e	সুযোগ পেলেও কখনও
e60d6b0e2f	93080	হুট করে
e60e3c0def	8632b	গ্রাম বাংলায় একটা কথা আছে
e60e74a194	aa820	গ্রাহকদের টাকাগুলো
e60eae6214	d8c80	আর্মড পুলিশ ব্যাটেলিয়নও
e60eff5432	7aed9	কিন্তু বিদেশের সমালোচকরা
e60effff7c	0d8c1	বলে জানা গেছে
e6101660f7	e2c11	এই রিচুয়াল শুধু
e610201587	1e7c7	তিনি অমর
e610714005	d41be	আবেদন করেন
e610859bf9	2d98b	অফিসে ঢুকতেই
e610d8b9ac	06e62	২০১২ রামু
e61104dea1	64092	ঢাকা, চট্টগ্রাম ও সিলেট স্টেডিয়ামে
e61150e0bd	18a52	দাবি করে না পাওয়ায়
e611ea38fe	2556b	সাঁতার, ১৯৮৮ সালে
e611ef38a5	ef915	কথা বলা হচ্ছে
e6123abe77	23291	খিদে পেয়েছে
e612c7a8f0	ea8fa	হুমায়ূন আহমেদ যেখানে
e612d8626f	4a67e	অতিরিক্ত খাদ্য সংগ্রহ করলে
e613d17d1a	a916a	সফটওয়্যার
e61482aa76	13b6a	প্রকাশক ওসমান গনি
e614cfeaa2	75f18	দেশের বিভিন্ন জেলায়
e615160775	ced74	অঙ্কুর অরোরা মার্ডার কেস
e61559e5ab	b9122	প্রচারের প্রধান
e61567c9a5	948d3	একসঙ্গে অনেক প্রেক্ষাগৃহে
e61572b684	7b60a	ও মেঝ ভাই
e615ae0a5c	239f7	আহ্বান জানাবো
e61626541d	cf82a	বিস্ময়কর ব্যাপার হলো
e6162c9fb6	c41d8	পুনর্বিচারের সিদ্ধান্ত
e61630ccff	b08d0	সেলিব্রেটি বা সমাজের
e6164f14af	5354e	যেখানে তার আশ্রম আছে
e6165da13b	2fc12	মিজানুর রহমান বলেন
e6167cd284	80505	মামুন,মোতালেবক,জামালপুর সদর হাসপাতালে
e616fd5d50	e754e	পরাস্থ করেন
e6171dc533	4e900	টোটকা
e6180cc343	3fce2	অ্যামেরিকা-ও কৃষ্ণ সাগরে
e61921fada	554fe	মনোযোগ
e6192ddd9d	2d78f	দলীয় সংগ্রহও
e6195c5d89	ad98d	আরও কত তীক্ষ্ণ
e619652976	11de3	প্রযুক্তির দিক দিয়ে
e619a20aeb	68ab7	সকাল সাড়ে ১০টার দিকে
e61b29489e	0744c	তিনি গণধর্ষিতা
e61c773d51	9351a	পানিতে ছড়িয়ে দেয়
e61c967a27	dae88	২৮টি ওষুধের দোকানে
e61cc46459	ad69a	কারখানা বন্ধের পেছনে
e61d5f3fb1	47e8d	কিন্তু শ্রমিকদের স্বার্থ
e61d8d844a	ad98d	কুসুম শিকদার
e61db2dcab	f280a	নজরুল ও চন্দনসহ ছয়জনের
e61dc34162	a43b5	তিনি রাজা
e61e29c2cd	da6f0	স্বামীর অ্যাকাউন্ট থেকে
e61ea137c4	274ee	অভিযোগের ওপর
e61f0610bb	39dd0	প্রায় ২৫ কোটি টাকার মত
e61f81ea3a	56508	সম্পন্ন করেছেন
e61fe73f78	536d9	তাদের মধ্যে আসা উচিত
e62094eedf	388c9	বিশ্ব-ধ্বংসী অগ্নিস্রাব
e621179b28	8143b	বিজ্ঞ ব্যক্তি আছেন
e62192da03	92bb2	শুইয়ে রেখে এলেন
e621ebc4dd	eaa7a	পারফর্মেন্স করছি
e621f89ce8	cc18a	রাতে সে গলায় ফাঁস দেয়
e62234623b	a3a6d	প্রত্নতত্ত্ববিদরা বলছেন
e62288b994	9d7bf	বক্ররেখা বেষ্টিত
e622b7a192	442b7	আরও বহু মনীষী
e622bfdb03	0a7a0	তা জানা যেতে পারে
e6230c07d8	54e68	জেনেভায় আজ শনিবার
e6236f4548	274ee	কখনো প্রকৃতির অপূর্ব দৃশ্যের
e62385a4fd	65652	মঙ্গলবার সুনামগঞ্জ সদর থানায়
e6239af6dc	2aecc	তাদের মন বুঝতে চাইছেন
e623ce3973	1652d	এছাড়া পারমাণবিক শক্তি কেন্দ্র
e6245bc245	80539	এবং ২১ শতকের
e625e7bfd3	b78ec	এদিক ওদিক ছুটো-ছুটি
e625f6242d	c7a89	একাধিকবার যোগাযোগ করা হলে
e626aa835f	dfefa	বিশেষ করে সন্ত্রাসের বিরুদ্ধে
e626d3db9a	18a52	এক একটি অধ্যায়ে
e626f7f64d	3f493	৮টি চার
e6284bf4ef	f0f95	শার্লিন চোপড়া অভিনীত
e628c36eb3	4ea73	বাংলা একাডেমি আইন ২০১৩ অনুযায়ী
e6295ca134	3f875	ভারতচন্দ্র, রামমোহন রায়, প্রভৃতি
e6296b1071	93080	বেশকিছু অপরাধ
e629a08afc	1e7c7	সিলগালা করে দিয়েছে
e629bf918a	ee994	শুক্রবার দেশটির
e629d995ba	5a61c	কথা বলেছেন দিলরুবা খান
e629e12e41	1e7c7	উপাত্তটি সংগ্রহ করে
e62a82532e	7027a	২৯ জন নিহত হয়েছে
e62aac78b4	b9122	তিনি দিতে পারবেন কি না
e62ae85865	5dd61	রাজধানীর ফার্মগেটের
e62b584a52	73629	তার ওপর হামলা হয়
e62b99a163	4164f	এটি ঠিক নয়
e62bb465dd	f89d7	অনুষ্ঠানে তিনি বলেন
e62bdd094a	7027a	বড় মামার কাছে
e62c19510b	32b3e	মনোনয়ন দেয়া হয়েছে
e62c60e916	52578	বিভিন্ন হামলা মামলা হওয়ায়
e62c7813f7	d2faf	আমরাতো কারো
e62cb795bb	b4ea7	ফোন দিলে
e62d1ed304	9065c	টি-টোয়েন্টিতে বাংলাদেশ টিম
e62d8771be	84145	সরকারের ব্যয় বৃদ্ধি
e62ddfc530	25117	কারণ আমি জানতাম না
e62dead1ff	2ac82	এখানে স্টেশন করেছে
e62e1bf0db	29d44	পরিষ্কার করছেন
e62e41d6e2	57d54	তা ক্রেতারা
e62e6d1bb9	2ad74	আমাদের ক্লিনিক
e62ec39b7a	f83df	আইন অমান্য, বয়কট হরতাল
e62ee65059	d1a48	শেষ দুইটা মাস
e62f302d72	e3d8b	সেটির চরিত্র ছিল উদার
e62f4d0751	7ed14	আনোয়ার হোসেনের
e62fc2fae6	7d004	ক্ষোভ থেকে
e62ff2513a	7d3e1	তাদের উপর
e62ffb0e26	06e62	বিষণ্ণতা থেকে
e62fffd310	6aac8	তবে অনেক এলাকার
e62ffffcac	a8710	অনুমতি দেয়া হয়েছে
e6301eb723	16877	মামলাটিই প্রত্যাহারের
e6304150ef	2fc12	তিনি পথচারীকে বলেছিলেন
e63064f3fe	4a67e	বড় একটি ওড়না
e63078b101	536d9	কেন্দ্রীয় শহরকে
e6318724f8	7d3e1	যানবাহনের অপেক্ষায়
e63189b30e	01e91	ভালদেসের বদলে
e631ad0c8d	a9a58	চিনি ১ কাপ
e6323d9916	2aecc	মানববন্ধন করেন
e6327ce432	65e30	অপরাজিত থাকায়
e632bae036	47e8d	যবে সত্যভামা নিজে
e632d0c46f	2ee04	বাংলাদেশে ক্রেডিট কার্ডের ব্যবহার শুরু হয় নব্বুই এর দশকের মাঝামাঝি থেকে।
e6335e7644	590d0	তা নিয়েও সন্দেহ
e633e2b93f	2bc73	মানতে হতে পারে বলে
