9a000c5ceb	18a52	এখন বরেন্দ্র ভূমিসহ
9a00b5cd9a	9092b	পেঁয়াজবাটা আধা কাপ
9a01019399	2ee04	হিসেবে চিহ্নিত
9a0117da35	31f09	গাঙ্গুলি বলেন
9a0165de1b	39dd0	এতে গ্যাস্ট্রিক আলসার বাড়ে
9a01ba925b	dba43	রাস্তায় সমাবেশ কর
9a02487932	ff970	সা রে গা মা
9a02995524	943de	আরবাজ খানের সঙ্গে
9a02c3ef27	d1b12	রাজা ছিলেন
9a02cc3661	5b13f	সেটি উল্লেখ করার
9a03006921	4bd2c	যুবরাজ মাত্র ৩৮ বলে
9a03f7e296	ef915	স্পন্সর করবে
9a047ff64b	e43d4	নিরাপদ মনে করে
9a04bad806	52578	আমরা
9a052ab53d	3ccf1	এবং জলাশয় সংরক্ষণ আইন
9a05325aa2	2396d	হরিবংশ ও পুরাণ সকল সংগ্রহের পূর্বে
9a05471796	8edea	জুড়ে দেওয়া হয়েছে
9a056f96c2	a4750	নজরুল মুসলমানের
9a05bbc4bd	b4ea7	সঙ্গীণ হইয়া উঠিল
9a060e4ac6	f83df	জহীরকে আশ্বস্ত করেছে
9a06b050c5	388c9	শ্রমিকনেতারা বলছেন
9a06dc1aa5	4ea73	শাকসবজি এমনকি মসলাও
9a06e8c358	e55de	জাতীয় পুরস্কার পায়
9a0718e84e	c4973	একটি প্রশ্ন সবাইকে
9a075b7056	91dff	ঘোষণা করা হয়
9a077e87d4	6e8cb	হাজেরা খাতুন
9a07966061	92f59	মনোভাবের পরিচয় পাওয়া যায়
9a07fbb722	509f6	আমি আকুল আঁজলা ভ’রে
9a085aaf2e	33aef	অথচ কোনো খবর নেই
9a089d0adb	f2b7d	বাংলা সাহিত্য সারা বিশ্বের কাছে
9a08ad2a8b	5354e	ক্লিষ্ট লীলা শেষ পর্যন্ত
9a094fba3e	b8ed8	৪৫০ টাকা
9a09798bc6	2c9c5	টিনটিন
9a098c059d	58998	সবার মধ্যে সংবিধান মানার
9a09c18fee	1a4a9	ফোন-ইন অনুষ্ঠান
9a09ecaab9	72649	বুড়োকর্তার স্ত্রী বললেন
9a09fdbabd	a1d4a	বিভিন্ন সময় বাংলাদেশে ঢুকে
9a0a088e1a	f2097	বার্তা
9a0a581eb9	1b359	এ ধরনের রাসায়নিক যোগ করা
9a0a9cb2b5	fd880	প্রায় ৩০ বছর
9a0b6e5316	d9ba9	ম্যানেজার ও ক্যাশিয়ার পালিয়ে যান
9a0cf2de82	d41be	১৫ ওভারের মাথায়
9a0d392d31	fd880	সংমিশ্রন করে
9a0d62af45	948d3	এই ফলাফল দেখে মনে হয়
9a0dabb505	8c07c	পাহাড়ের চূড়া থেকে
9a0dcd8c01	9c8dd	পটুয়াখালীর সৃজনী বিদ্যানিকেতনে
9a0dd0cbe4	21e54	মঙ্গলবারও পণ্ড হলো
9a0de5c9d2	3d17c	প্রত্যেকটি ধাপ স্পষ্ট হবে
9a0de7d951	5a61c	আমাদের ঘেঁটে ঘেঁটে দেখতে
9a0e442e0e	4e900	যিনি অভিযুক্ত হবেন
9a0e5b9be3	3faff	দুঃখের ফটো
9a0e98f2ea	06bb7	কারণ হয়
9a0eb85e30	fcc89	জাগতিক দুঃখ কষ্টের
9a0f445aa7	17ca1	তাপমাত্রা বেড়েই চলছে
9a0f930be4	948d3	ইহা দ্বিতীয় বা তৃতীয় স্তর
9a0f9def20	7d004	দুনিয়া
9a0fce33e7	dafb6	মা’র পাছার তলে
9a0fd19326	21e54	এ শহরে
9a105dbc62	4c555	প্রতিপক্ষের রক্ষণকে
9a1089b83f	7898e	কথা সাহিত্যিক হুমায়ূন আহমেদের লেখা
9a10db83f1	95907	বা সংঘর্ষের খবর
9a10eaa43e	f6e55	সাম্প্রতিক দার্শনিকদের
9a1120abd3	0a7a0	জোলির কোনো মুখপাত্র
9a11223e06	0a7a0	নীল নদ
9a117f247c	d71a3	দেশের মানুষ জানতে চায়
9a11917c6b	239f7	প্রধানমন্ত্রীর উপদেষ্টা দাবি করেন
9a11b2b124	1652d	এ অনাকাঙ্ক্ষিত ঘটনার কারণে
9a11c4de27	767ff	তাকে হাসপাতালে ভর্তি হওয়ার
9a11d588de	4237e	আনুষ্ঠানিক স্বীকৃতি পেয়েছে
9a124edc0d	cb842	কখনো থানায় যায়নি
9a126be2bf	6fb36	বাজে অবস্থায় এনে ফেলেছে
9a12a60081	730c3	এর মাধ্যমে দেশের বাইরে
9a12cda3d4	5a61c	তাহা আপনিই বা কোথায় পাইলেন
9a13c10c34	e50f1	পাঁচ সিকে
9a146d5b4a	e3f89	সঞ্জীব চট্টোপাধ্যায় নামের
9a14e92adb	b2a62	এক শান্তি আলোচনায়ও
9a15124728	d9b11	বলিউডি চলচ্চিত্র গুন্ডে
9a1553ee2e	b2a62	তাঁদের বিরুদ্ধে
9a1563c171	520fb	হজমে সহায়তা করে
9a159ce138	28bb3	জানান কারওয়ান বাজারের আড়ৎদার
9a15cfe938	2556b	নির্বাচনের মাধ্যমেই
9a161ccdaf	fdcba	শুধু অপেক্ষাই করে যাচ্ছেন
9a165001ee	4dd57	দুম দুম করে হেঁটে
9a1679250a	121bd	হাবিবুল্লাহ বাহার
9a16a6b9ec	7c272	৮ কোটি ৪০ লাখ ডলার
9a16c23a52	d1b12	গলে গিয়ে মিশে যাবে
9a16d161e2	7ec1c	কিভাবে বাড়ি ভাড়া দিবো
9a17dce8a7	870e3	দাবি প্রত্যাহার না করলে
9a180b9a2c	c7a89	ফেসবুক অ্যাকাউন্ট হ্যাক হয়েছে
