4c00b92b0e	2396d	তাঁরা প্রায় সবাই কীর্তিমান
4c00c56ce1	43fc0	বাংলাদেশ সংলাপে যদি
4c00ddc993	43b04	অস্ট্রেলীয় আদিবাসী বলতে
4c00ee08a4	8a46d	এবিএম মূসার মৃত্যুতে সাংবাদিক মহলে যেমন শোকের ছায়া নেমে এসেছে, তেমনি বড় রাজনৈতিক দলগুলোও শোক প্রকাশ করেছে।
4c011767fe	a9a58	প্রধান উৎস নীল
4c0213258c	2aecc	কিন্তু পালক নেয়া বাবা-মায়ের
4c025709b7	23291	আমার গ্রন্থাগারে নিয়ে আসার
4c025c85e8	49543	নিখোঁজ রয়েছে
4c02e1b888	e31e7	আমি চীৎকার করে উঠলাম
4c02e6e8d6	e6203	এই মহাদেশের আদিম জাতিদের সর্বাপেক্ষা অনুন্নত
4c02fd728f	66c6b	কবি বিজয় সরকারের মতো
4c031744dc	420df	এখন তাদের একাংশ পেয়েছে
4c0363ac30	75626	টঙ্গী ও সাভারের ইপিজেড এলাকায়
4c0420635a	d2294	উত্পাদন, প্রক্রিয়াকরণ
4c043021bc	ac904	ব্যাপক রূপ লাভ করেছে
4c04734c6f	9351a	অভিযোগ গঠন করেন
4c04b342fd	54cdd	গ্রেপ্তার হন রুমি
4c04c33ace	a916a	জ্বালা
4c0563ab0a	4dd57	একই সঙ্গে মাজারে
4c05e5cf87	72649	চারপাশে ছড়িয়ে ছিল
4c06a17b0a	e68af	তিনি বলেন, রামপাল বিদ্যুৎ কেন্দ্র নিয়ে অনেকে এমন মতামত দিয়েছেন যেটা তার ধারণার সঙ্গে মেলে না।
4c06ed41ae	fbb81	আসর পরিবেশন করেছেন পুলক গুপ্ত
4c06fbb3c6	3f875	জেলা স্টেডিয়ামে অবস্থান নেয়
4c072e7ccf	21e54	চলে বিরামহীন
4c0770c799	5dd61	আতঙ্কিত না হয়ে
4c078ca48a	121bd	কান্নার শব্দ পাবা
4c08050e5b	16a17	গোলের পর নেইমারকে অভিনন্দন মেসির
4c0807d2c8	388c9	গরমে ত্বকের যত্ন
4c090a059a	92bb2	আটক করা হয়
4c0992f3f2	3f875	দু’পা নড়তে চায় না
4c09d1b4cd	c463d	রাঙ্গুনিয়া থানার ওসি
4c09ee7160	e2ba2	আঘাত পাওয়া জায়গাটি
4c0a03ffc6	7df87	মোদির তীব্র সমালোচনা করেছেন
4c0a946803	195f7	২৬৯ খৃষ্টাব্দের ১৪ ফেব্রুয়ারি
4c0b348b9d	239f7	কিন্তু আজকের এই ভিত্তিপ্রস্তর
4c0b6b01ff	b2a62	নেতা-কর্মীরা সমবেত হয়
4c0ba11c0b	7c272	শুরু করিল
4c0bcf50a9	f600a	কিছু অনুষ্ঠান করেন
4c0d1974d0	5354e	সংসদের অধিবেশনে ফিরে আসায়
4c0d7d848f	9c8dd	ল্যান্ডিং ডার্বোর চমৎকার ফ্রি-কিকে
4c0ddb6154	fdcba	বিকেল সাড়ে ৪টার দিকে
4c0e2d15b8	ee7b2	আগামী ছয় মাস
4c0ec5e83d	8b859	আরও অনেক মত আছে
4c0ecbd77b	32998	মহত্তম কাজটির সংকলন
4c0ef0b2ec	4fc91	তৃষ্ণা তাতে বেড়েছে ছাড়া কমেনি
4c0f123eb3	0e637	স্বীকার করিতে হইবে
4c0fb4308b	71522	চোখে মুখে উদ্বেগ
4c0fd60b62	91223	এ ছাড়া ভূমি, বিদ্যুৎ
4c0ffc0216	86b1b	সারা বিশ্বময়
4c105291c9	315e9	আয় করছে বাংলাদেশ
4c10c57a90	72649	প্রাকপ্রস্তুতি নিয়ে ব্যস্ত
4c119ebb5b	d9081	অনায়াসে গাঁজা সংগ্রহ করতে পারে
4c11b07181	4f450	এ হত্যাকাণ্ড ঘটেছে
4c12457239	cb842	অর্থনীতি কাঠামোতে
4c1273e2ff	195f7	আরও পরে দেবেন
4c12ce45ab	16877	একটি অলিম্পিক পার্ক
4c12e8faec	9fa90	২৮তম মিনিটে
4c12f4ea4a	4c555	পরিত্যাগ করিলেন
4c13165676	cb1aa	এই তিন গ্রামে
4c13a33a61	bdfc1	কাশ্মীরি
4c141f306e	db181	বেসুমার খিদে পেটে
4c1435dc68	ff1eb	বাংলাদেশের স্বরাষ্ট্রমন্ত্রী জানিয়েছেন, এখানে রাজনৈতিক আশ্রয়ের জন্য অনুপ চেটিয়ার আবেদন সুপ্রিম কোর্টে রয়েছে।
4c1441a4f7	2ad74	বেশিরভাগটা জুড়েই
4c14ad4c18	0d8c1	যুবকের মূর্খতামাত্র
4c14d2d011	745b7	বঙ্গভবন থেকে
4c1508c8ec	153c9	গোয়েন্দা কর্মকর্তা মনিরুল ইসলাম বলেন
4c15c1a96f	dec2d	আনন্দের সূক্ষ্ম এক অনুভূতি
4c15ced0ea	43fc0	বিতর্কিত হয়েছেন মি: মোদি
4c15db43b0	52578	সুন্নি
4c1605d376	698a4	বাছাইপর্ব শুরু হবে ২ জুন
4c160e5919	88654	আমি পুরোপুরিভাবে
4c162b2c2f	7297e	জানাজায় শামিল হতে গেছেন
4c16716c77	ef915	গত ৫ এপ্রিল শওকতকে
4c16ad8aa3	c1e30	দেশটির আয়তন প্রায়
