1b00018b2f	e50f1	প্রাধান্য নাও দিতে পারেন
1b00c7396e	16877	হাটের মধ্যে ঢুকে পড়ে
1b00cdface	60b9d	তাঁর এই সময়কার সংগ্রামের কথা
1b01493b79	10a9f	সরাসরি দেখানো হয়
1b01561eef	698a4	এক একটি কাঠামো
1b016fe0b4	61820	মানুষ হারতে পারে
1b01c19c2a	7d3e1	কোনো প্রার্থী নেই
1b01d8f25d	03284	দ্বিতীয় টেস্টে
1b01e5860f	42898	এরপর একেবারেই
1b01fe0ae1	54e68	আয়োজন হলো গ্যেটে ইনস্টিটিউটে
1b03e87a9b	4c1eb	হই-হট্টগোল আর চিৎকার-চেঁচামেচি
1b04f2bffa	4dd57	ফেসবুকসহ সামাজিক যোগাযোগের মাধ্যমগুলোতে
1b0545ea6a	16a17	বনরক্ষাকারী বাহিনীর সদস্যরা
1b056fc5b6	239f7	খেলা শেষ হওয়ার
1b05850d10	43fc0	ও পিওর কটনের
1b0594687a	c7a89	আব্দুল মজিদ জানান
1b05eb301b	47e8d	পর্যবেক্ষণ করা
1b05ff7cd7	49d63	ভুলতে পারেন নি
1b06089851	bc81e	গ্রহণযোগ্য হয়ে ওঠেনি
1b064ff88e	c6848	রোমার মুখোমুখি হতে হবে
1b06603a45	ee994	পরিবারের সদস্যদের সমবেদনা জানান
1b07855bf5	388c9	বাংলাদেশ সংলাপ উপস্থাপন করতে
1b078a821e	d136b	পাকিস্তানের ১৮ কোটি জনসংখ্যার মধ্যে শিয়া জনগোষ্ঠির মানুষ প্রায় ৩ কোটি ৬০ লাখ।
1b08a42939	e6d83	দিপিকার হাতে
1b08a4a2c9	8edea	বৃহৎ আলোকাধার সংসারে আছে বলিয়াই
1b08ae72e2	24f73	গহনার সদ্ব্যবহার করিলে
1b08db0fc0	65652	সুইজারল্যান্ডের জেনেভায়
1b09542f45	fda1a	রাজপুত্র ঝালর হীরার ডাঁটে
1b09af272f	d2d71	সাদা ক্যানভাস
1b09c2bbdb	d2355	নাচে অংশ নিয়েছেন
1b0a6d2404	c11b1	মন্ত্রী জানান
1b0ae3c172	03284	সেটাও ছিল
1b0b6bf1cb	1a4a9	তাঁদের গোয়েন্দা এলারি কুইনকে
1b0b96b2b0	7f2ef	রানা হত্যা মামলায়
1b0d397213	9065c	বিভিন্ন বিশ্ববিদ্যালয়ে ভর্তির ক্ষেত্রে
1b0d4af7d1	82926	অতি স্থূলতাকে
1b0d5b6424	693cb	পথিকৃতের ভুমিকা কে পালন করেন
1b0d7cbaf8	b8fe1	বিভিন্ন দূতাবাসের এমন তৎপরতা
1b0d8fdccb	76329	ফেসিয়াল
1b0db49c9b	5d80e	১০০ এর বেশি
1b0e24ce20	84145	এ সমস্যার মূল কারণ
1b0e2afd7b	420df	রাজবলহাট, আঁটপুর থেকে
1b0e38af3e	967fd	সংঘটিত মানবতাবিরোধী অপরাধের
1b0e5cee73	1e7c7	বাংলাদেশ যাতে
1b0ea376f5	3b1f7	রাজনীতি থেকে নীতি
1b0ebd8cbe	7b132	হুমায়ূন আহমেদ
1b0ecd2df9	4f450	সেই ঘানি ঠেলছে
1b0f2ba20b	65e30	বাঙ্গালা দেশ উন্নতির পথে দাঁড়াইয়াছে
1b0f7874a9	3bea8	নিয়ন্ত্রিত হচেছ
1b10c85766	fb4cb	বেশ কয়েকটি দাবীর মধ্যে
1b11621c12	239f7	সব মিলিয়ে টাওয়ার হ্যামলেটস
1b11862d63	5dec6	মুখোচ্ছবি
1b11d4a9ee	e6e48	জোরে, আস্তে
1b11e2553b	db181	আস্থা খুইয়েছে ভারত
1b1251001d	698ff	সে পুঁটুলি
1b12765a8d	ee886	নীল চোখ
1b12c14471	ff0fe	কর্মসূচি শুরু হবে
1b13312a10	84145	পারিবারিক প্রেমে
1b13327ef2	eb179	বিতর্কিত মন্তব্য করলেন
1b133926a5	c3cb3	একজন ছেলে
1b1343c282	7b132	২৮শে অক্টোবর সোমবার
1b1348023b	7b103	সংসদ সদস্যপদ থেকে
1b13bef029	860f4	বেসরকারি প্রতিষ্ঠানের কাছ থেকে
1b13d8aba7	509f6	আর কোনো শহরকে নিয়ে
1b143879eb	5cb47	কাজী নজরুলের লেখা হিন্দু-মুসলমান
1b162cb26c	0edef	মারা যান তিনি
1b168e0690	acb88	যুক্তরাষ্ট্রের অ্যাপোলো স্পেস প্রোগ্রামের
1b16e4b678	92bb2	তাম্রাভ কটা বালির সমুদ্র
1b179eee21	7027a	তিনি ফের বিকিনি পরে
1b17aac0a5	aabe7	ঢাকা-চট্টগ্রাম মহাসড়কে
1b1871116f	a43b5	মাত্র ৩৭ বছর বয়সে
1b18c61652	1652d	সেক্যুলার রাজনীতির ধ্বজাধারী
1b1928287d	ee7b2	ভাবা হলেও
1b195d0d9c	e8dde	বেড়েছে বহুগুণে
1b1998dd98	6c17f	লোকায়তিক ধ্যানধারণার
1b1a190e79	ff1eb	আমাকে এখান থেকে
1b1a1b23ec	d2faf	ও ছাপা হতো
1b1a5f19f2	287bd	২০০৮ সালে মাহমুদুর রহমান বিএনপি নেতা মোসাদ্দেক আলীর মালিকানাধীন আমার দেশ পত্রিকার ব্যবস্থাপনার দায়িত্ব নেন।
1b1a6f5ba2	7ec1c	এসব ব্যাপারে
1b1a81088f	11915	নকশা খোদাই করা পাথর
1b1ae3fbcb	d71a3	বেশ কিছু পুস্তক
1b1b04e70d	0744c	কথার তোড়ে
1b1bd96ceb	870e3	দুষ্কৃতকারীদের বিরুদ্ধে
1b1c3f367f	17ca1	খাদ্য প্রস্তুতি
1b1c50c81a	3ec4d	ঘটনাস্থলের কাছে
1b1c712c1c	8143b	কোটি টাকার মতো খরচ
1b1c7a182c	6d129	ঢাকা-বরিশাল নৌরুটে
1b1c89e4a4	b618b	মেজবা।
1b1cafb431	287bd	ফাঁসির রায় কার্যকর করে
1b1d16312c	4dd57	কোন বক্তব্য
1b1dfbc2e4	43b04	হত্যার আলামত পাওয়া যায়
1b1e12d0ef	38d3a	প্রথম অভিনেত্রী
1b1eabae52	256f5	কর্মসূচি দেওয়া হবে
1b1eb75b95	91b16	২১ ম্যাচ থেকে
1b1eeea782	f1ea4	বেদ একখানি গ্রন্থ নয়
1b1efa6938	e68af	একতান ঝঙ্কার শুনিয়া মুগ্ধ হইতাম
1b1f2792f5	6c6bf	দেখা করবেন তিনি
1b1f5394f3	1c618	প্রাণ সৃষ্টি হয়েছে পৃথিবীর বাইরে
1b1feae283	6b437	আর না হলে
1b208d555d	79b06	তুর
1b20c3e60c	c5479	ইয়াহু
1b20ce2c32	92bd8	অ্যালিসন ক্যারল
1b216ef350	2fe3c	সুরা
1b21d9fca9	430b2	যার অর্থ খুদে যুদ্ধ
1b21f46da6	82926	দিনের দ্বিতীয় খেলা ছিল
1b221922b8	f2097	ঐশীর বয়স নিয়ে বিভ্রান্তি থাকায় সাবধানতার সঙ্গেই তাকে জিজ্ঞাসাবাদ করা হচ্ছে।
1b226c3a31	6d129	অনেক জায়গায় সেটি
1b22732e1e	fbb81	নাস্তিকদের পরিণতি
1b22d3da3b	086dd	উদ্ধার হওয়ার
1b23578c20	a06a1	ভর্তুকি খাতে খরচ বাড়ে
1b235990a0	e6752	থেকে এসেছে
1b2376808e	4c1eb	আর খারাপ ছেলেদের মধ্যে
1b243eb497	c749e	জমিলার মায়ের ঘনিষ্ঠ জীবনসত্য
1b24a8f2e1	ff1c3	তাহসানের নাটক
1b24bceefd	cb627	একবারও দৃষ্টিপাত করে না
1b25713e64	ee7b2	তার পেশা নয়
1b25d8a7b8	2fc12	আপনার খুব ভালো
1b25f11a3d	06527	এই অসভ্যদের আচার-ব্যবহার থেকে
1b264e11d8	2ee04	লক্ষ লক্ষ নেতাকর্মীকে নিয়ে
1b267d06c6	860f4	উত্তর পেলাম
1b26982e4f	95f83	শিক্ষা-স্বাস্থ্য-সংস্কৃতিতে
1b26d136a4	eecdd	ভালোবাসার স্বপ্নকন্যা
1b26dc5504	ce775	প্রথম তিন ম্যাচের জন্য
1b2759a092	e6203	এক রক্ত-মাংসের
1b27858396	c9c19	দেবতা ছিলেন
1b2789d056	13b6a	একটি চুক্তি স্বাক্ষর করেছে
1b278f0ac1	509f6	খেতে বসতেন ফজলিখালা
1b2797271e	767ff	দক্ষিণ আফ্রিকা
1b27bf669e	f2097	ছলনা
1b2803db76	b2a62	মাসুদুল হাসান বলছেন
1b289367fc	1652d	বিষয়ীর এই প্রকৃত আদর্শ
1b29108185	e68af	মিঃ মাচার
1b29925ef8	860f4	হবিগঞ্জ মুক্ত দিবস
1b2a7635be	0a7a0	নির্যাতিত ও অবহেলিত
1b2acf6ea6	f1ea4	অধঃপতনের কারণ
1b2ad01ab0	9d46f	চেয়ে বেশি কিছু
1b2ae0de28	2909b	গোলপোস্টে বাধা পায়
1b2b07f215	8143b	অভিভাবকদের মানসিকতার উপর
1b2b0d310a	7b60a	বিয়ে করেন
1b2b140ed2	a0277	আসামিকে গ্রেপ্তারে
1b2ba8cae8	4ea73	কমিশনার মো. বদিউজ্জামানকে
1b2c240a45	2396d	অনেকগুলো সামাজিক এবং সাংস্কৃতিক
1b2c6b8ecd	7297e	সিইউএফএল জেটি ঘাটে
1b2cac17cd	0d8c1	নিজ নিজ বিষয়ে
1b2cd0d94b	932bb	ফেব্রুয়ারির শেষদিকে
1b2cda5632	39293	ভদ্রলোক হয়তো ঝুঁকে এসে
1b2da96f5c	0696e	তথাকথিত ব্যক্তিত্বদের সঙ্গে
1b2dedaca6	8845d	ছাগল কি বেড়াল হারালে
1b2e3ef272	f7a7f	মন্ত্রণালয় গতকাল বৃহস্পতিবার দুপুরে
1b2ea8ec8b	a0277	জরুরী উদ্ধারকারীরা
1b2ef121e7	8cf95	তার ফিল্ম ক্যারিয়ারের
1b2fed902f	eaa7a	আধিপত্য বিস্তার নিয়ে
1b3020a81f	943de	অবরোধ কর্মসূচি শেষ হয়
1b303c6e47	08458	তা দেখলে
1b308f6f92	3ec4d	গত বছরের ৪ অক্টোবর
1b30cf0c2f	6fb36	টিকে থাকতে দেবে আমেরিকা
1b314be832	6a35e	পারে না সন্তান
1b316941f2	ef915	মঙ্গলবার রাত ১১ টায়
1b31745964	ac0df	টেস্ট খেলুড়ে দেশ
1b318f7d52	d711f	ইউএস নেভিতে
1b3209b072	db735	তাদের অভ্যন্তরীণ কোন্দলের
1b32efc0ac	d9ba9	একটি কার্যালয়ে
1b334f11eb	195f7	ফিরে যেতে ভালোবাসি না আমি
1b336a25b2	16a17	তথ্য অধিকার আইন
1b3395bb2e	410fa	বিশ্বকাপ বল ব্রাজুকার
1b34091085	dec2d	ভাষা-প্রযুক্তি গবেষণা পরিষদের
1b345ea616	fd880	কথাবার্তা বলা সঙ্গত নয়
1b3515c09d	da6f0	রোজার ইফতারে
1b3556739c	53396	রাজনগর থানার ভারপ্রাপ্ত কর্মকর্তা
1b358bba02	7b900	তার উপর মামলার ভিত্তি
1b35ac57d1	4f2ae	এদের সঙ্গে
1b35fdb984	a43b5	তবে পুরো ব্যাপারটাই
1b360c657c	d136b	তার মনে হলো
