b200197206	9065c	এমন জায়গায় যাইয়া বসিতাম
b200296db5	fd880	জলের গুণের মতো
b20040e398	8a46d	সুস্মিতা চক্রবর্তীও মনে করেন
b200644af5	1a2a1	ক্ষুব্ধ প্রতিক্রিয়া জানালেন
b20076a674	06ea3	এখন আপনারা
b2010256eb	7ee9b	এবং তার পরিণাম হচ্ছে মৃত্যুদণ্ড
b201227d5c	315e9	নামের শেষে
b2018db255	0744c	এই ফরম্যাট টেস্ট বা ওয়ানডে কে
b202232890	25696	ফাঁসির রায় চেয়ে
b20297da93	a46e2	সিলেট মহানগর বিএনপির সভাপতি
b203833c99	f2b7d	তবে টিপাইমুখ নিয়ে কী হবে
b2038515d9	39dd0	দায়ী করছে
b20441b09c	91dff	প্রক্রিয়াটি সম্পন্ন করলেন
b204a08ac3	8632b	পুলিশ পরিস্থিতি নিয়ন্ত্রণে নেয়
b204b1b811	f1240	ফাইন্যাল না হবে
b20520ed64	693cb	দয়া মায়া বলতে
b205bf654f	6aac8	সোয়া ৫টার দিকে
b205ff9ee9	68549	জোর গলায় বলে আসছে
b206371b53	46da4	অংশ নেবে
b206787b7b	b00ba	বিশাল এক বই লিখতে
b20697724f	43fc0	পুলিশ সুপার বলেন
b20768842a	2c9c5	বাংলাদেশী ওই মহিলাকে
b2081dcdf7	0b7ca	এদিকে, গ্রামের হাটগুলো
b20856b375	66dcd	তুরস্কেই ছিলেন
b2085aa75e	c11b1	প্রথম ফোটা ফুল পপি
b208baa78a	57d54	একজন মুক্তিযোদ্ধাকে
b2095b7864	2ee04	সর্বাত্মক চেষ্টা করা হলে
b209774540	d7a68	কিন্তু ছোটবেলায় ক্রিকেট খেলিনি
b209b50423	31f09	ফিল্টারিং কম
b209c689a2	9092b	উভয় দেশেই
b20aa007fd	adf01	অ্যাডমিন অফিসার শহিদুল ইসলাম
b20ac82353	cb842	এ কারণে দু’বছর আগে
b20c0d32db	e2ff7	জয় গোস্বামী
b20cb3425e	6ee5f	বুধবার ঢাকা মেডিকেল কলেজ
b20cda4c0f	aa820	আয় করতে হলে
b20d26f7aa	ad98d	ভোট অনুষ্ঠিত হয়েছে শুক্রবার
b20db27a34	adf01	অংশ, ভগ, মিত্র, জলেশ্বর
b20e0b2958	af81d	সংবাদ প্রতিদিন
b20e0bc2ea	bdd05	ঘণ্টা খানেক পর
b20e7c5d96	4bede	যুদ্ধ থামার কোন লক্ষণ
b20ef1b52c	0e637	সামাজিক নিয়মগুলি
b20f07c7ea	b2a62	সক্ষম হন
b20f0bfab9	93080	এলাকাবাসী তাদের ধাওয়া দিয়ে
