e80004ca6d	03284	ঘটনার তদন্ত শুরু করে
e8001fc030	f6e55	নিহত বিশ্বজিত দাসের
e80036e6c7	e2f12	ওই বক্তব্যে সায় দেন
e80076e9a5	59c73	সদ্যপ্রয়াত ভাষাসংগ্রামী
e801164133	7f71c	আব্দুল্লাহ আল মুকিব প্রিন্স
e801825cb5	d9817	ঘামাচি
e801d48855	d1b12	এই বুঝি পিষে গেলুম
e801fcf300	f0f95	গদির বদলে
e80217d5d6	0b7ca	যেমন, তাপমাত্রা,বৃষ্টিপাত,
e80234af1f	195f7	এ থেকেই বোঝা যাবে
e802e81fef	ee4ad	সহযোগিতা, উস্কানি ও হত্যাযজ্ঞে
e803f9edb4	d0c70	থাকলেই তাকে
e80421f813	13b6a	এবং সেখানেই
e8044c5d5e	91223	মোট ৪৪ কোটি ২৯ লাখ টাকার
e804b8310e	195f7	মাখনের মত মসৃণ হলো
e804f6205c	c3cb3	ক্রিমিয়ার ২০ লাখ জনসংখ্যার
e805981f67	17ca1	তখন মধ্যবিত্ত দর্শকদের
e805eadb00	a8710	চোখ বুজে বলি
e8060fceb5	68ab7	না পাঠালেও
e80786a65a	351dd	খোকা ও সালামকে
e808035e3f	698ff	তাদের মূল অনুভূতি
e808db19a5	cfc65	এগুলো করতে বলবেন
e808fee81d	3fce2	একটা নাম ছিল
e80940c246	f4ba7	বেশিরভাগ তথ্য-প্রমাণই সাজানো
e8096ae375	c5479	মাঠা
e8099c8427	b8fe1	ভারতের রাষ্ট্রপতি আশা করেন বাংলাদেশ গনতন্ত্র রক্ষায় সতর্ক থাকবে।
e809a12ad9	92f59	আমরা দেখেছি যে
e809adbd7c	8edea	দাঁড়িয়েই শান্তি পেতেন
e809bd81b3	09f0d	সেখানে কেউ পাহারা দিচ্ছে কিনা
e80aee7de3	c0965	ছয় সিলিকেট খনিজের
e80b3d04f5	1c618	আইনি সংশোধন করার লক্ষ্যে
e80b444dbb	2c9c5	তাঁর চেয়ে বেশি পশতুন
e80b965c4f	d9817	ভবনটি ধসে পড়ে
e80bcc1add	ee994	জ্বালানি তেলবাবদ
e80bf8cfb3	ff0fe	প্রত্যাশা করি
e80c15350e	f29bf	আমরাও পাবনার মানুষ
e80c205f1e	9092b	সন্দেহ করে আসছিলেন
e80d31ceb5	73629	অকুস্থলে অতিরিক্ত পুলিশ পাঠিয়ে
e80df2fe96	a274b	বার্সেলোনা গোলের কোনো সুযোগই পায়নি
e80eb911ca	bcaa8	আসিমভ অক্টোবর, ১৯১৯ থেকে
e80ebbca9c	4c1eb	বিবৃতি পাঠিয়ে
e80ed8c186	a43b5	এতটাই হয়েছে যে
e80f4cb614	f2b7d	৬ দশমিক ৩ শতাংশ জিডিপি
e80f5f2b9e	c1e30	বাংলা সিনেমার গান
e80fce1f60	68549	দলীয় কার্যালয়ে
e80fd42d2b	5639c	বরাবরই দলটি
e81001ff2b	baa02	ও শান্তিচুক্তির মূল্যবোধের সঙ্গে
e8103904ce	1cb75	কিন্তু অর্থভাগ্য চরম শোচনীয়।
e8109f23b6	a916a	মানুষ বোধহয় উদাসীন হয়ে পড়ে
e8110f8d78	dfefa	বিআরটিএ-তে নির্ধারিত ফি দিয়ে
e811a7ca1c	1279e	লুঙ্গি এবং একটি সাদা রংয়ের
e8120c34f9	274ee	এই স্পর্ধা দেখানোর পর
e812299bf8	e2f12	লটারির মতো কঠিন সংগ্রামে
e81254dc21	f2097	তাদের মূল্যমান
e8126e3c61	9282d	তেহরানে মার্কিন দূতাবাস
e81288fb04	68ab7	এক শিক্ষকের শরীর
e812ca7c68	60b9d	সীমান্তে উত্তেজনা দেখা দেয়ায়
e813ad616c	f4ba7	এ কে এম ইসমাইল হকের
e813dd7a30	9c8dd	যেন আনন্দে নেচে উঠল
e813e90700	0d9f1	ডাকাতির সঙ্গে
e8146b2bfe	f1ff2	এছাড়াও কিছুদিন আগে
e814b79162	8143b	স্মৃতিকেন্দ্রটির
e814ce48b9	ce180	ফুটবলের এই দুই পরাশক্তি
e815162e5c	9642e	হরিবংশ অনুবাদিত করিলে
e8159b6687	fcefa	মেয়েদের শরীরের
e815e360d3	ea8fa	অপরাধীরা পালিয়ে গিয়ে
e8164f2823	491a5	মার্শকে নির্বাচক কমিটির
e8170899e5	52f27	তাঁর গানের ক্যারিয়ার নিয়ে
e817553476	c3cca	দান করলাম
e817948964	a916a	দেশের সব সার কারখানা
e817b0d991	17ca1	বিচক্ষণ জনের
e818092ab1	c1e30	এখন ভীষণ নিয়মতান্ত্রিক
e818116efa	0d8c1	বসার অধিকার নেই
e8184a23e0	ec91c	শাপলা চত্বরে তৈরি মঞ্চ থেকে সারাদিন ধরে বক্তৃতা দেন দেশের বিভিন্ন জেলা থেকে আসা হেফাজতে ইসলামের নেতৃবৃন্দ।
e8186ec504	38d3a	আগের থেকে অনেকটাই
e8187a68cb	91b16	গির্জায় বাজানো হয় ঘণ্টা
e81896beec	bdd05	কুমিল্লা জেলা শহরে
e81908f8e4	24f73	দেশ ও দেশের মানুষের
e81919c268	7d004	ধরা যেতে পারে
e8192c52e3	f600a	মানুষ বই কিনতে আসে
e8198610f5	79b06	শনিবার সকাল দশটার দিকে
e819a868fb	bc81e	সোনার কণার উপস্থিতি
e819e5cf25	b8ed8	বাজার করতে লাগল
e81a37da36	967fd	পরামর্শ দেবে আবহাওয়া বিভাগ
e81a42175c	bd576	সম্পূর্ণ বোধগম্য নয়
e81a851430	6c6bf	এমনি ঘন গন্ধকের ধোঁয়া
e81ab4dce1	eaa7a	আইনজ্ঞদের ব্যাপক মতামত নিচ্ছে
e81af1ecb6	717bb	মিস্টার নাফিস
e81b00f8dd	1e7c6	সুদূর প্রাচীনতম যুগ হতে
e81b0be533	43fc0	দুপুর পর্যন্ত হত্যাকাণ্ডের মামলার
e81c3ff9f7	d9817	আরও বড় জীবাণুনাশক শ্রেণীর সদস্য
e81d0fd78c	d2faf	যাওয়াই ভাল
e81d42b080	cf82a	এই চরিত্রটি করছেন নীরব
e81daa0566	590d0	দক্ষিণ আফ্রিকার
e81db6d4de	e9589	অগ্নিসংযোগ হয়েছে
e81dc3f02c	4237e	পাকিস্তান স্বাগত জানানোর কারণে
e81e2f9aee	c5dc8	সেখানে দেখিলাম
e81e49afb6	fda1a	অন্যতম হিসেবে সর্বস্বীকৃত
e81e54a249	c463d	৮৬ রান করেছে
e81ec80e5a	b618b	বিষয়টি দেখছে
e81f1f91e4	2840e	দাবি জানিয়েছেন বিজেপি সভাপতি
e81f41b04b	33aef	নেপালের ছোট্ট মেয়ে
e81f8ccadd	93080	উত্তরাসহ রাজধানীর
e81fa8c214	33814	খবর পেয়ে পুলিশ
e8204d2fbd	bdfc1	তখন তিনি ব্রেইল
e82065440b	536d9	একমাত্র কর্মসূচি
e821289b82	323f1	সিনিয়র সাব স্টেশন ইঞ্জিনিয়ার
e8213e5803	0b7ca	পড়ে থাকতে দেখেন
e82174c2d5	52578	এক মিলিয়ন ডলার দিতেও
e821b03cc7	fcefa	আকাশ কত দূরে
e821d02c67	32c77	মুসলিম অধ্যুষিত দেশটির উত্তরাঞ্চলে
e8222a5632	e31e7	উপস্থিত থেকে
e822da2212	f7a7f	যাঁহারা দৃঢ় বিশ্বাস করেন যে
e82326d1de	f2b7d	নির্বাচন জনগণের জন্য
e82330273c	e6e48	রাষ্ট্রীয় সম্মান
e82336bc09	323f1	ভাতের বাসন
e8238ad2a0	d2355	তিনি হাসপাতালেই কাটান
e823947789	f7a7f	এ ব্যাপারে অভিভাবক আব্দুল মমিন
e8240d6897	32c77	চাকুরী করেন খালেদ মোস্তফা
e824459d96	4486f	তদন্ত কমিটিকে জানিয়েছেন
e8244d21a5	9642e	এখন প্রধান বিচারপতির নেতৃত্বে
e8245bef49	4fd66	প্রথম অধিবেশনে
e8248cbe0f	7e1d5	এই ট্রেনের কথা আসতেই
e824cb68ff	61820	জানালায় নেট দিয়ে
e825002bf2	60b9d	পুরোনো এই শহরে
e8255d4a9a	7d133	অ্যাডিলেড ওভালের
e82612249b	420df	মি. খান বলেন
e826a4e866	3d17c	রাজিয়া
e826c0c63e	93080	এবং সংঘর্ষ শুরু হয়
e826fa61ac	e6e48	সম্পূর্ণভাবে দূর করা হয়
e827309bef	1f733	জটিল ল্যাবরেটরি পরীক্ষা দরকার
e827399516	a43b5	কালোজিরা খাওয়ার নিয়ম
e827a70f4b	c41d8	দুই বন্ধু
e828d7a4b4	f4ba7	ছাউনি মোষের চামড়ার
e828e99ca6	b8bf0	তারা চেষ্টা করছেন
e82907e767	d71a3	রাজকুমার হালদারের ছেলে
e8297f7dea	1f733	আজ ভোরে
e829a7a665	4e900	শুক্রবার সন্ধ্যা ৭ টা ৪০ মিনিটে
e829e0ae06	d9081	নিষ্পত্তির হার বেড়েছে
e82aa6277e	e3d8b	একই লড়াই করছে
e82ab7aee8	9351a	বৃহস্পতিবার দুপুর থেকে
e82af5fe8c	976b1	আগের শুমারি মোতাবেক
e82b47ba24	b8bf0	সাহিত্য পদবাচ্য করিয়া তোলেন
e82b89f11a	860f4	কিছুটা সাফল্য পাওয়া গেছে
e82bf280c8	590d0	নতুন
e82bf7b31e	f7a7f	ধর্মঘট প্রত্যাহার করা হয়েছে
e82bf8f56e	d1b12	কয়েকজন ব্লগার
e82c084271	13b70	ভূমিকা পালন করেছেন
e82c95ca83	d2faf	আবহমান কাল ধরে
e82cc153aa	287bd	অনুবাদ করেছেন
e82db7d924	e00db	আদিবাসীদের বৈচিত্র্যময় সংস্কৃতি
e82de9d64d	509f6	আপন-পর ভুলিয়ে দেয়
e82e1ba106	76329	গুম, খুন, হত্যা, অপহরণ
e82e4ff38c	64092	পুলিশ ঐ নৌকা লক্ষ্য করে
e82e5bdc7f	7898e	মা লাফিয়ে বলেন
e82e970e1b	121bd	এলাকার লোকজন
e82f5b8b34	d2355	বুলডোজার দিয়ে সেখান থেকে
e82fab61f1	c8f7f	পরিচয় করিয়ে দিচ্ছে
e82fadad24	e8dde	শুনতে পাব
e82fb14321	80518	ওখানে ফর্মুলা অনুসারে
e82fbed97a	f600a	আরেকটি বিমান ঘাঁটির
e82fd55729	4f2ae	রুবিকস কিউব সমাধান
e82fe57682	2d78f	পেছন থেকে হাঁটুর উপরে
e82ffca2a4	cb1aa	কারণ ওয়ান-ইলেভেনের
e8300b8238	bcaa8	জিম্বাবুয়ের ব্যাটিং কোচ ছিলেন
e830446fe3	dfefa	পক্ষ থেকে বলা হয়
e830ed37a6	efc0d	পরিচয় আছে
e8314bb1df	1e7c7	পাশে অপর একটি মন্দিরে
e831619b15	d711f	তারা মৃতদেহ পাননি
e8316835fa	b8bba	তাহলে এক নাগাড়ে
e8317824d9	6e6fa	প্রেসিডেন্ট মোহাম্মদ মুরসি
e831b72ced	52f27	বাঙালিটোলার হিপি তরুণী
e831d7fe55	0edef	সরকারি ব্যবস্থাপনায়
e8321dc9d7	d3e06	যে কেউ অর্থ আয়
e8332c9d0f	1b359	দৈনিক সমকাল
e83373824d	d136b	ক্ষিধে মিটেছে
e8339a3529	d2faf	মানবাধিকার
e833e01a42	cfc65	তিনি বিডিনিউজ টোয়েন্টিফোর ডটকমকে বলেন
e8345063e5	e9589	তিনতলায় ধ্বংসস্তূপের নিচে
e834dd802e	bdd05	এর আগে অজ্ঞাত একদল বন্দুকধারী
e834f14d01	f6e55	বিস্তারিত ধারণা নেন
e835a4073b	f2097	ঠান্ডা হয়ে বসে রইল
e835cff37b	25696	বিরাজ করছে উৎকণ্ঠা
e83602a3ac	f2097	অবৈধ অর্থনৈতিক কার্যক্রমের মাধ্যমে
e8361a2d53	ca088	হাপ স্কুল করিয়া বাটী যায়
e836331739	2fe3c	আইনের বাস্তবায়ন
e836a105a8	b52ab	এ ঘটনায় সিলেটজুড়ে
e836e51389	323f1	ঠিকঠাক করতে
e837334b62	18a52	গাঙচিলের ৩৮তম সাহিত্য আসর
e837541fff	388c9	স্নাত হয়েছি
e83759d4f9	21e54	মঙ্গলবার বিচারপতি ওবায়দুল হাসানের নেতৃত্বে
e837ceab43	66b3c	দর্শন, রাষ্ট্রবিজ্ঞান
e838105073	f0f95	প্রয়োজন ছিল
e83818b40f	fda1a	মানবাধিকার সংগঠন
e838281e28	4c555	হামলা হয়
e8384b78f3	520fb	নিষিদ্ধ করা হয়েছে
e8385e7ec1	0d8c1	সম্পর্ক আছে
e83875f138	a06a1	এই সংগঠনের সাথে
e838f868a9	2ac82	বার্সেলোনা তারকা নেইমার
e83929d657	13b6a	অতিদ্রুত তিনি দেশের প্রথম সারির ব্যবসায়ীদের কাতারে উঠে আসেন।
e83982978c	520fb	শোঁকা ফুলের মতো ফেলে দাও
e839886ad4	5639c	এমন নিচু মনের মানুষের সাথে
e839db7753	0895a	আমিও ঠিক বুঝে পাচ্ছি না
e83a6f824b	f1ea4	ঘুঘুর ডাকে
e83a82e1ea	b8ed8	সমস্ত অপরাধীর আশ্রয়দাতা
e83adf6bfb	bfac7	বিভিন্নজন নিজেদের
e83b61b652	717bb	দেওয়া হল
e83b6bb685	2fc12	সই করার কয়েক মিনিটের মধ্যে
e83b74c471	60b9d	নোংরা
e83ba76c58	4c555	আমার কিছু লাগবে কি না
e83c3c2e88	c1e30	আমার জমিতে শস্য জন্মে নি
e83c457fb2	9d46f	এই প্রেক্ষাপটে
e83c7123fc	388c9	স্বীকার করেছে তারা
e83d2659ea	fb4cb	এতে যাত্রীরা
e83d4daf44	0c39f	র‌্যাবের গাড়িতে করে
e83da20b71	693cb	পুরানো সেই দিনের কথা ভুলবি কিরে হায়
e83da4e332	4a918	এছাড়া রয়েছে
e83dda7e80	7ee9b	আম্মা
e83e2077fe	2840e	নানা রকম
e83eb7b5c8	bf530	বাংলা নববর্ষ গণনা শুরু করেন
e83eb9ff71	9d46f	বিভিন্ন তত্ত্ব আছে
e83f3393fa	ac0df	পিকেটিং করে জামায়াত শিবির
e83f594c24	e8dde	যাদের মাথায়
e83f9dc9d5	2d98b	সিটি এলাকায়
e83fb0d42d	e3d8b	অদ্য সমরক্ষেত্রে দ্রুপদনন্দনের
e83fb8451e	a3a6d	এ ব্যাপারে শুনানি
e83fe60034	2d98b	পূর্ববর্তী সমাজেও
e83fe84a0b	b78ec	তিরিশের কয়েকজন শ্রেষ্ঠ কবিকে
e840c58011	1c618	এপ্রিল মাসে ১০ তারিখ নাগাদ
e840d11727	43199	ঠিক করেছে তা হলো
e841468c9e	e2c11	ঢাকা-সিলেট মহাসড়ক
e84197d722	8143b	শ্রম সচিব মিকাইল শিপার
e8419d0a5f	39dd0	আবছা টের পাচ্ছি
e841b3d882	9fa90	গাছটিকে প্রাচীন ঐতিহ্যের
e8421e53f1	b8ed8	পোস্টমর্টেম
e8424bd828	b8bf0	সমাজবাদী চেতনায়
e8425958b5	b00ba	পরে তাকে উদ্ধার করে
e8428606a7	d41be	ইত্যাদি
e843832db0	5cb47	উদ্বোধন অনুষ্ঠানে সভাপতিত্ব করবেন
e843c25893	6dff5	ব্যাক্তিমানুষ কতই না অসহায়
e843dfe190	c6848	বাংলাদেশ সংলাপের আলোচনার
e844060fee	6fb36	১৬৩১ খ্রিস্টাব্দে মোগল সম্রাট শাহজাহানের দ্বিতীয় স্ত্রী মমতাজ মহল তাদের চতুর্দশ সন্তান গৌহর বেগমের জন্ম দিতে গিয়ে মৃত্যুবরণ করেন।
e84432ca47	2556b	এখন মাত্র ১৪৬ আসনের
e844398c96	730c3	কোথাও অসুবিধা হলে
e844f6f677	a1d4a	বেশ অনুভূত হচ্ছে
e8451d2745	65e30	মূল সংঘর্ষ চলছে
e8452394d6	fcefa	মন খারাপ করে বলি
e8458a3087	d2355	আমি শ্বেতাঙ্গদের
e845a1c522	8632b	বাটাজোড়া গ্রামে
e84766e256	24f73	দলের যদি প্রয়োজন হয়
e8487be04c	9d398	নানা অপব্যবস্থায় আবিল
e8487e2c82	3fae0	রোববার ভোর
e8497c7a4c	13b70	বিপুল সংখ্যায়
e84a6b9290	e2f12	কাজের লোকের মতো দেখায়
e84af7e88a	38d3a	নাগরিকেরা, এবং কৌরবেরা
e84b37e9a7	ced74	সমালোচনা করে
e84b8a16b0	e754e	বাইরে বাবার সঙ্গে দেখা করে
e84bb05328	f2b7d	অনুভূতিশূন্য ভাবলেশহীন মানুষ
e84c26604b	d82d9	ঢাকাতেই থাকবেন তিনি
e84c659f98	58998	জাপানের তৎকালীন পররাষ্ট্রমন্ত্রী
e84ca6bfae	c749e	রাত সাড়ে ১২টার দিকে
e84cda3576	e2ff7	অন্যান্য সরকারি অফিস
e84ce762d7	0d4cb	শিম্পাঞ্জির ভঙ্গির চেয়েও খারাপ
e84d03ecf6	0edef	যাদের পরিবার
e84d401561	e9589	একই ঢঙে ২০১২ সালে
e84dc239ad	880ae	দুর্মতি বলো
e84dc7303f	6d129	দেশের বিভিন্ন পোশাক কারখানা
e84dcb58b9	17dcd	মাদকটির প্রভাব
e84defaf3d	5a61c	এইচএনএম শফিকুর রহমানকে ফের
e84e2bb9c0	56508	তুলে ধরে
e84ebf366a	75f18	কোন সরকারই এসব বিষয়ে খুলনার প্রতি সদয় ছিলেননা ।
e84ec0bedd	7b103	ভূমিকা রাখতে পারে
e84ef77a2c	6d129	পদ্ধতির নাম প্রেম
e850bda1e3	932bb	মাগর ফরিদপুর গ্রামে
e850c4d331	e9fa7	কমতি থাকে না
e850c993b5	0bace	এগিয়ে ছিলেন
e850f36df2	c0d65	বিশদ বিবরণ
e8515d5f31	c5479	গ্রন্থের প্রথম গল্প দেনা পাওনা
e851747f81	7df87	মুতের হলুদ দাগ
e851a33ffe	4dd57	চুলের যত্ন নিলে
e8520252ef	98b81	যুদ্ধ বাধিল
e8523de02a	5cb47	তবে গাজা থেকে
e852520dcf	a46e2	ভল্লুকী হইয়াও
e852629584	31f2a	সাইমনের বিপরীতে
e852b06453	1652d	জালা
e852f8bcfb	9813c	আর মিয়ানমারের সাথে রয়েছে
e853629415	7e191	বাড়ি ছেড়ে চলে যায়
e853843966	e6203	জাতীয় নাট্যশালায়
e8538f70e3	6ab59	কেউ চিনতে পারে না
e853f2a2f1	3b1f7	জাতীয় পতাকা
e854de8374	54cdd	কতজন নেতা
e855867126	c7705	তুলে ধরতে পারলাম
e85593f001	c958a	মুক্তির কোনো কথা তাঁর সাহিত্যকর্মে
e8559490dc	c2082	চুটিয়ে ডিটিং করছেন ক্যাট
e855f6e542	b5fdc	হালকা বাদামী রঙ করে
e85612381a	60f77	নাজিমের সাথে
e85646f8fb	d1a48	আক্রমণের নিন্দা জানিয়েছেন
e8568b2a73	66dcd	সেই বাঘা বেটা আবার
e8574ebecc	ef915	আরও কিছুক্ষণ
e858930a7d	321b6	সম্পর্কের একটা নমুনা দেখুন
e858a52119	420df	প্রেসিডেন্ট ওবামা শনিবার
e85959a063	6da0a	বিল পাশের বিষয়ে আলোচনা করেন
e8596d6101	dae88	এখনো বোঝে না
e8598675e7	1f733	অনুপ্রাণিত করেছিল
e85a38070b	80539	একইসঙ্গে স্থানীয় সরকার
e85b0dbbc4	65652	তাতে তেমন দুঃখ ছিল না
e85bc8c972	38ff0	আমেরিকান ওই
e85bee0446	a43b5	ভারত সরাসরি আমাদের সহায়তায় নামে
e85c0bc2db	37e17	বা কাজে
e85c1cf23c	84145	তাই ক্রেডিট কার্ডে
e85c3f5404	15a75	কিভাবে বাংলাদেশের স্বাধীনতার
e85ce1f611	0bace	কোনো চলচ্চিত্র
e85d41351e	8143b	যুক্তরাষ্ট্রের আদালতে
e85d4df221	3fae0	গৌরি-শাহরুখ খানের
e85da92370	06736	চায়না মেজর ব্রিজ ইঞ্জিনিয়ারিং
e85e665f82	0606d	কেউই গ্রেপ্তার হয়নি
e85ef1c1f8	0895a	বিক্রিয়া করে নিষ্ক্রিয় হয়ে যায়
e85f6e0105	13b70	গণ-শবদাহ করার
e85fb3ce42	43b04	হামলাকারীরা পালিয়ে যায়
e85fbe152c	95907	ইউনিসেফের কাছ থেকে
e8610f80c2	4ea73	কাদের মোল্লা
e861699ded	ac904	যেখানে ১০০ দিনের কাজের
e86178b5d9	809cd	এ ক’দিনে একবারও
e861e35706	c0d65	চমৎকার ব্যবহার
e861e38340	388c9	ভুল করেন নাই
e8629951a3	2d98b	সিংহ রাশি
e86335e9a4	404ee	শাপলা চত্ত্বরে
e863617ebc	ab946	নির্বাচনী কাজে
