bb006eb8f2	92bb2	কিছুটা বেশি
bb013f6bec	e9759	সেটাকে আখের রস বলে
bb0169947d	95907	ইয়াহু
bb019c0a30	d0c70	জাতিসংঘ ১৯৫৭ সালে
bb01b5ad8a	d5f7b	এ প্রোগ্রামটি বাংলাদেশের
bb020d132b	5dd61	অন্ধকার হাতড়ে
bb02516fc2	17dcd	বাজারে এসেছে দেখেছেন
bb027569ec	08458	যোগাযোগ করে কোনো লাভ হয়নি
bb02a3400f	351dd	সেই মুহূর্তে আমার মধ্যে
bb02b35880	5639c	ভুলিয়া গেলেন
bb03775c58	2aecc	পার হয়েছে আড়াইটি দশক
bb037c2d1b	c9c19	ফাঁপা প্রতিশ্রুতিতে পর্যবসিত হওয়ার পর
bb03a1aace	2ac82	বড় একটি শ্বাস ছেড়ে
bb03a4df89	4f450	আমার পেছনে দাঁড়িয়ে
bb03a77eec	2ac82	শুক্রবার ঢাকাসহ সারাদেশে
bb07262037	0f047	১ পয়েন্ট কমে
bb07552dbf	9d46f	ঐদিনই দেখেছি
bb07ee8342	a46e2	ও প্রশিক্ষণ দেয়া হচ্ছে
bb082ca4b2	4c1eb	বেশ, চল
bb088c3fb4	932bb	যদিও ঘটনার পরপরই
bb08d2dc4e	4a67e	নামে অভিহিত
bb08ff5279	18a52	তরবে যদি ভবসিন্ধুতে
bb093cf9bf	554fe	প্রেমের ছড়া
bb099603ab	4fbd1	শিল্পী মশিউর রহমান রিংকু
bb09bfdd0e	c173f	মাহির মতো
bb0a492786	4f2ae	অবস্থান তৃতীয়
bb0a4de572	509f6	বিবিধ প্রকারের জরির
bb0afbfb9a	db181	আহমদ ছফা: প্রজ্ঞার আলো
bb0b8b86ad	4e900	দুর্ঘটনার খবর পেয়ে
bb0be1bcff	a43b5	ভিটামিন
bb0c5ea13c	b9b98	এর ছাদে
bb0c6f0152	7b103	প্রাথমিক প্রস্তুতি
bb0c9ff8c8	22096	বাংলাদেশ ক্রিকেট বোর্ড
bb0d0d6107	93080	মিজানুর রহমান জানান
bb0d6b6cf1	17dcd	তাই সবাই
bb0de04bd7	24aed	এইচ টি ইমাম
bb0f6443bb	18a52	সঙ্গে সঙ্গে এই মন্তব্যও শোনা যায়
bb0faf4007	2556b	ভাই-বোন ও স্বজনদের কান্নায়
bb1022ddf5	2c9c5	সারা দেশ ঘুরতে হয়েছে তাঁকে
bb10b835e8	93d3b	ইমপ্রেস টেলিফিল্মের ছবি
bb1133a71d	06527	সামিল হতে পারেন
bb115562de	6d129	লোকজন চ’লে গেলে
bb1197b13f	68ab7	বসবাস করছি
bb121eb1e1	ced74	খাস সমুদ্র-জয়ী
bb1263186f	0d8c1	সেনোরা
bb126d5080	4164f	আহসান হাবীবকে বলা হয় চল্লিশের সমাজ চেতনার কবি।
bb12a0a79a	acb88	অধ্যাপক আনিসুজ্জামান ও সমরেশ মজুমদার
bb12aa6aba	25696	কেনো ঘটনা ঘটেনি
bb130c9159	13b70	তিনি আসামীদের নাম
bb14208558	948d3	রোববার বহির্বিভাগে অনেক রোগী
bb1437b50a	aabe7	ইংল্যান্ড এবং নিউজিল্যান্ডের মধ্যে
bb1452c722	11bd2	এই সংগ্রাম কি
bb15a56bc7	31f09	যা থেকে তামাক
bb16405299	b52ab	ধোঁয়ার জন্য
bb16a70dd3	b9b98	আউটলুক ভারতে
bb16b0a088	0d8c1	দল দুটি
bb16cdcc9c	880ae	আমার হাতে আসিয়া পড়িল
bb16e33c3d	06527	ঠিক যেন পূর্ণতা পায় না
bb173205e5	c41d8	আরও ১০০ মেগাওয়াট বিদ্যুৎ
bb17396755	3bea8	চারটি বই কিনলুম
bb17788466	7ee9b	আনন্দ পেতেন বলে শোনা যায়
bb17b655ed	b00ba	এম শামসুল ইসলাম
