f6002bc6ee	4e900	অস্ট্রালোপিথেকাস গণের
f60042f844	cc9fd	সংঘ-বিবাহ প্রথার বৈশিষ্ট্য হচ্ছে
f600c6df21	3ccf1	সোভিয়েত ইউনিয়নে
f600d1a5ba	ced74	পুলিশের বর্ণনাতে
f600ee9123	84145	বিপ্লবীরা কখনো
f60241264c	6d129	তার ততই বেশি হয়
f602747bc5	6fb36	ব্রাদারহুডের বিক্ষোভ বাতিল
f60276a984	f83df	বেশ্যা আছে
f602b17b2c	730c3	তাদের ঘিরে নাচতে লাগল
f602ba0e45	7898e	সেগুলো অচিরেই
f602f2f203	ff0fe	নানা মজার ঘটনা
f6034f4b6b	bf530	শোনা গিয়েছিল
f60438df21	98b81	এই খবর সারা বিশ্বেই
f604c409a9	39dd0	দুই হাজার কিলোমিটার দূরের
f60500c89f	153c9	সেখানে নেই কোনো আয়োজন
f60557543a	0f047	কম খেতাম, কম ঘুমাতাম
f605b8ee0b	976b1	এত সুন্দর মেয়ে
f605d3c9e5	7aed9	বোধ হয়, অন্যান্য বন্ধুগণও
f605e4485d	b9a81	তিনি বিশুদ্ধ অ্যাক্টিনিয়াম
f6061b19b5	72649	পুলিশ দুজনকে আটক করেছে
f6062d6b66	25117	তাকে নিয়ে
f606a42107	73629	দুপুর ২ টার মধ্যে
f60706731f	e754e	দিবসটি পালনে
f60720b9de	4f450	বাংলাদেশে আর্ট ফিল্মে
f607bfee48	b9122	সমাপ্ত করিলাম না
f607ff98c4	eaa7a	যাত্রার দলে শিল্পী হিসেবে
f6088d8ac1	c7a89	বঙ্গসাহিত্যে খুনের মামলা লিখে
f6089d428e	79b06	৬-২ গেমেইতালির ফ্লাভিয়া পেনেত্তাকে হারান
f60923aaec	f0f95	আত্মঘাতী কিছু মানুষের
f60959573d	2fc12	নদী কোনটি
f6099e42c9	17ca1	একটি সেনা ক্যাম্পে
f609ad149a	a0277	বিরহদগ্ধ ঊষর দিনে
f609e1b645	e00db	প্রকাশ করতে চায় না
f60a4c9dce	ce775	নানা দলের হয়েই প্রচারে
f60ab59fc3	1cb75	এখন তুমি সব বয়ে নাও
f60affe310	18460	২০১৪ সালের নির্বাচনের পর
f60b069f38	8845d	বিজয়ী দলের সদস্যরা
f60b2d7211	7d133	আমি এই ভদ্রলোককে
f60b619c40	acb88	যুদ্ধে শত্রু ও বন্দীদের প্রতি
f60c5d94ac	5d12f	সেখান থেকে ঢাকায় ফিরেই
f60caa15ed	6da0a	মৃত্যুর পর
f60cb0e38e	2ecf8	বীরাঙ্গনাদের কথায়
f60d43c6c3	68ab7	তার সবটাই ওদের বাস্তবতা
f60dbaf534	0744c	আপনার মনের মাঝে
f60dbf751e	b8bdd	ঝুঁকিপূর্ণ ভবনে অবস্থিত না
f60dd63c2f	37e17	কুসিনক ১৬২৫-১৭৭১ অবধি
f60de0371c	fcefa	খানিক ভাবিয়া নিয়া
f60efdfe92	92bb2	তাগিদ দিয়েছিলেন
f60f1c3096	903fa	মাইনষে
f60f8ceb21	2aecc	গত বছরে দুর্দান্ত ফর্মে থাকা
f610bee952	e754e	ধ্বনিত হয়েছে
f610ed0f09	3fb17	প্রবাসীরা ১১৬ কোটি ডলারের বেশি
f610f51ef7	d1b12	সেখানে যুক্তিকে বসিয়েছেন
f61100228c	bbb22	ভয়ানক নদী
f61109f6f9	ce180	পুরোদমে চলছে প্রস্তুতি
f611933806	c1e30	ডোনাল্ড কানুথ
f611e11a2a	9642e	তত পারে না
f611fac43b	4c555	অধ্যাপক আবুল বারাকাত
f611ff52d5	4164f	চেয়ারম্যানের অধীনে
f612848946	42898	আর ২৮ ধরনের
f612853a2a	fda1a	হত্যা করেছে দুর্বৃত্তর
f612b28818	0606d	কামিজ ডিজাইন
f612f57845	c173f	এবং তাঁর ছিল
f61359f6dc	22096	নিষেধাজ্ঞা তুলে নেন উচ্চ আদালত
f613fdaf9a	2ecf8	তাহলে বোন দৌড়ে পালাবে
f61405f4c4	e43d4	করা যাচ্ছে না
f6140b7a9b	121bd	পৃথিবীর পথ হেঁটেছেন
f614b55fbf	ca088	মাত্র ৩২ বছর বয়সে
f614b78a75	59c73	পুলিশ শাপলা চত্বরে
f614e4653e	aab0f	ইমন সাহা
f61533704e	323f1	জমির মাপ
