bf00069ec7	e9589	মোবাশ্বের আলী
bf002f94ba	cb842	বৃষ্টি ভেজা রাত
bf006c5cdd	91223	বাংলাদেশের অভ্যন্তরীণ এবং পররাষ্ট্রনীতি আঞ্চলিক দেশগুলো, বিশেষ করে ভারত দ্বারা প্রভাবিত।
bf0097b1ec	d41be	থাকতে পারব
bf00d06ef8	dafb6	গায়ে পতাকা জড়িয়ে
bf01038283	d8c80	আর পলক পড়ে না
bf0132ddaa	cf82a	লংমার্চের সমর্থনে বুধবার
bf016ee887	9b864	এই কেলেঙ্কারিতে জড়িয়ে পড়া
bf01f9c3de	1b359	ভাড়া নিতে পারি না
bf0210dee3	bf530	অতিরিক্ত পুলিশ সুপার মহিদুল ইসলামসহ
bf023dc62a	9f25e	আখাউড়ার থানার উপপরিদর্শক এবং মামলার তদন্তকারী কর্মকর্তা মো. আবদুল আওয়াল জানান, নিহতের নাম ঠিকানা এখনো পাওয়া যায়নি।
bf02d113c7	92bd8	একটি চটি-জুতোর ভিতরে
bf02d6bf8f	e00db	আমার অন্তঃকরণে
bf030dca7c	c5479	খুবই কম
bf036fcec0	2f547	ঘুরে বেড়াই
bf03956ce4	d41be	সারা পৃথিবীতেই জনপ্রিয়
bf0489db4a	b8bdd	বিশেষ কিছু ঘটনা
bf04e765f5	44322	মাঝামাঝি থেকে
bf05516382	6fb36	শিশুকিশোরদের জন্য
bf05d920d8	32c77	এখানে মাটি শক্ত
bf06a6face	05901	খেয়ে শেষ করল
bf06fe161f	1652d	৩ কর্মকর্তা
bf07cd60d6	91b16	পূর্ণিমার রাতের বাড়তি আলো নয়
bf07fdd4bd	42898	লিখিবার স্থান করিতে
bf08ad03c6	aabe7	ম্যাচের শুরুতে
bf08f5acff	49d63	এবং জাতিসংঘ
bf0a0764c7	7898e	অস্ট্রেলিয়ায় কুকুরদের মধ্যে
bf0a6eddf8	e43d4	যৌতুক হিসেবে
bf0ab00209	7d133	১৯৬৮ সালে ৩ জানুয়ারি
bf0afebae9	cb1aa	এই সময়টা চুল খুশকিমুক্ত
bf0b3e4950	0744c	তাদের মূল দাবি
bf0b568c95	7ee9b	দোষ দিতে পারি না তাঁদের
bf0bad897c	a1d4a	শিলিগুড়ি
bf0bc65a15	f2097	তারা নির্বাচনী ভাষণে
bf0c2e4045	0744c	মুখোমুখি হতে হবে না
bf0c4b2e14	bdd05	উচ্চ আয়ের লোকের ওপর
bf0d37dfbd	1652d	আসাদকে কালীগঞ্জ স্বাস্থ্য কমপ্লেক্সে
bf0d3f78ef	4237e	সেট থেকে
bf0d8140a7	06527	এক বৃদ্ধা বলেন
bf0daeb216	11de3	আরও জানা গেছে
bf0e2e96f1	967fd	ঢোল গিয়েছে
bf0e455a1b	37e17	আমাদের মানে
bf0e534dca	80539	জিরো পয়েন্টের দিকে
bf0e6f0bdf	5639c	শঙ্খ
bf0ea8d841	f29bf	বৈঠকে যুক্তরাষ্ট্র ও এর মিত্ররা
bf0ee2b967	f83df	বাঁচতে চাস
bf0f69a3af	16cfb	টরেন্ট
bf0f9d6f77	c41d8	নানাবিধ অনুভবে
bf0ff9b631	9b864	সরাসরি ট্রেড ইউনিয়ন নেই
bf107a7a95	18a52	নিজেদের সামর্থ্য অনুসারে
bf109d3992	ca831	অনুপ চেটিয়া ১৯৯৮সাল থেকে বাংলাদেশের কারাগারে রয়েছেন।
bf10c08e1e	7df87	তিনটা প্রাইভেট মাস্টার
bf10e52edd	967fd	তিনি আর মাঠে নামতে পারেননি
bf10f36ae1	e6e48	কুকুরের দাঁত
bf1114865f	80539	বিজয়ের মধ্যে
bf1152156b	09f0d	বছরের ২৮০ তম
bf11a06bfa	11915	নির্ধারিত ফরম পূরণ করেও
bf11f06982	6da0a	করা হয়
bf1243c684	8cf95	নেতা-কর্মীরা সমবেত হয়
bf12600f6e	4f450	নেতৃত্বে
bf12a760c5	d711f	বাংলাদেশের চেয়ে
bf12f222f8	43b04	পঙ্গপালের মতো মাছগুলো এসে
bf1304b235	7027a	দেশের হয়ে
bf137aacc8	ea5be	এবং সাহিত্যামোদী ছিলেন
bf137c830d	2b883	এই চারি জন মাত্র জীবিত রহিলেন
bf13cb9c9a	07660	আর কিছু নেই
bf14763d2b	3bb15	চিকিৎসকের সেবায়
bf14f3e8b7	ee886	১৪ দশমিক ৩১ শতাংশ
