cd00016507	2556b	চোখেমুখে খুশি
cd001234b8	baa02	বের করে নাড়ছিল
cd003992a7	520fb	এবারে একজন
cd00b47a8e	5e80b	কঠোর ব্যবস্থা সরকার নেবে
cd00bcc2db	32b3e	সদিচ্ছা থাকলেই
cd010cbe92	351dd	১৭৯৭ সালের
cd0151eb86	44322	গণমাধ্যমে প্রচারণার কারণে
cd01de22c4	693cb	জীর্ণদীর্ণ, ঘুণেধরা
cd01f93e28	7b900	তদন্তকারী কর্মকর্তা
cd022aca26	22096	ওই পদযাত্রার আগে
cd0235ca48	13b6a	ঢাকায় পৌঁছাবে ২৩ ফেব্রুয়ারি
cd027cbc17	09b32	তারপর তিনি আর স্কুলে যাননি
cd02854b42	ad69a	যেখানে ইসলাম ধর্মকে
cd029e795b	430b2	মানবাধিকার রক্ষা করতে
cd02cafe1c	730c3	আমায় বলেছিলেন
cd02d2480e	282d3	আমার মানসপটে ভেসে এলো
cd0325b308	4c1eb	বন্দরে পুরোদমে কাজ শুরু হয়
cd038d993d	68ab7	মহারাজ
cd041b6679	9d398	লিপ্ত হয়েছে
cd0494591e	8845d	এত ভোরবেলা
cd04bfa066	91b16	ছয় হাজার নির্বাচন করেছি
cd05791c58	11de3	ঐ ভূখণ্ডের দিকে এগোয়
cd059ceeb1	72649	সিংহভাগ ব্যবহৃত হয়
cd0626f610	323f1	খবর ছড়িয়ে যায়
cd064add2e	4c1eb	খবর নিয়ে জানা গেল
cd064d8606	121bd	স্থানীয় কাজী হাসপাতালে
cd06b556e4	77f82	চার হাজার ৭৬২ জন
cd06b7b4f9	71522	৩৯ মিনিটে
cd06d9e807	65e30	এর পরিপ্রেক্ষিতে সতর্কতামূলক
cd06ecab86	8cf95	অব্যাহত রয়েছে
cd0744ecf2	256f5	আমরা মনে করি
cd0757462a	bcaa8	ভোটকেন্দ্রের তালিকা চায়
cd082930be	536d9	ঠাকুরবাড়ির আঙিনায়
cd082b141f	0606d	আউটলুক মানি
cd082c4848	f600a	১৯৯৯ সালে মুক্তি পাওয়া
cd087398ec	420df	মুসলমান সমাজের ভেতর
cd08bd8073	c41d8	গুগলের এই প্রধান নির্বাহী
cd093f1835	976b1	নির্দেশ দেয়া হয়
cd09759b7f	e2ba2	পরিবারের ভরণ-পোষণ
