11280ca70b	2556b	চুলের কাটিং
1128762995	d711f	প্রথম তিন অধ্যক্ষ
112905e843	eaa7a	মূলত আবেগ
11293e328e	a4750	নির্যাতনের শিকার হন
112979be79	520fb	বৃহস্পতিবার দুপুরের পর থেকে
112a4344fa	6c6bf	মোট ১০টি এয়ারক্রাফট
112a9e0cb7	d1b12	কালাহারি মরুভূমির এক অংশ
112abf5adb	9282d	আশ্চর্য এক মিষ্টতা
112b1c3709	ac0df	অসাধারণ জনপ্রিয় ছিল
112b1e9257	10a9f	বিছানায় বসে বলেন
112bc3c3d2	7b132	তাঁহারাই বাবু
112c2be73d	323f1	তিন পেসার
112c544706	ea8fa	মোষঅলাকে পথ দেখিয়ে নেয় কাসু
112cae00d8	eb179	এই অভিযোগ অস্বীকার করেছেন
112ce8a772	da6f0	আখতারুজ্জামান ইলিয়াসকে
112d088314	80be1	মনে করেন তিনি
112da139dc	c0d65	সমাজে মেয়েদের স্থান
112df007a9	616ec	শেষ কথা নয়
112e7bec9e	778c0	আইনশৃঙ্খলা রক্ষাকারী বাহিনীর সদস্য
112eaa0847	e754e	লোকটা শুধু বলেছে
112ed0a04d	0b7ca	নিজদলের নেতাকর্মী
112ed8391a	2d98b	তাঁর প্রয়াসে যত্ন ও দরদ উপচানো
112eed0066	28bb3	যখন চাঁদ পৃথিবীর কাছাকাছি পৌঁছায়
112eff97c6	ba2f6	চিৎকার করে বললেন
112f4de6d5	932bb	দাঙ্গা দমন থেকে
112fd5bd40	22096	বাংলাদেশে আসন্ন গাজীপুর সিটি করপোরেশন নির্বাচনে জেনারেল এরশাদ ক্ষমতাসীন আওয়ামী লীগ সমর্থিত প্রার্থীর প্রতি সমর্থন ঘোষণা করেছেন।
112fdb3848	cfc65	গৃহীত করিতেছেন
11300020dd	80505	তাদের প্রতিবাদ-বিক্ষোভ চলবে
113027e4c0	09b32	রঞ্জিত মলি্লককে
11304051	7297e	সবচেয়ে সহজ উদাহরণ
1130437500000000	11de3	কমিউনিস্ট নেতা ভবানী সেন
1130582740	7df87	দক্ষিণ আফ্রিকার প্রেসিডেন্ট
11308e426b	24f73	পার্থক্য নেই
1131029137	9c8dd	১৯২৬-এ মৈমনসিংহ গীতিকা গ্রন্থটি
11312c8510	9fa90	ও বরিশাল সিটি কর্পোরেশনের নির্বাচনে
11313ce586	0696e	পুরুষের জগত এটি
11316f4651	e7230	ঢাকা, চট্টগ্রাম ও সিলেট স্টেডিয়ামে
1131745b25	1279e	এখন যেন
1131f9cd39	4f2ae	পুলিশ ফাঁড়ির এস আই
11321ae002	932bb	স্বপ্না মানসিক রোগী ছিলেন
11322d982d	91230	অগ্নি ক্ষেপণাস্ত্র
113261d007	0	গোলাকৃতি বোলের তৈরী
1.132903E+056	616ec	পোস্ট অফিস
11332a3a07	6b437	হেলথ
1133a93afe	68ab7	কঠোর ভূমিকা পালন করতে হবে
1133ba630d	7e1d5	নীল গোলাপ
1133cea545	31f2a	তিনি উদাহরণ টেনে বলেন
11340c40b9	5d80e	আবার অনেক বাগানে
1134238d98	da6f0	বসবাস করি
1134622069	ad2a0	অথবা নৃত্যে
11349a1f5a	730c3	পড়াশুনায় ভেজাইতে পারেন
1134e1981e	47e8d	সাবেক ও বর্তমান শিক্ষক
1135472840	13b6a	তরুণদের ভাবনায়
1135870317	b78ec	১৮৯৮ - ১৯৭৭
1135921c07	616ec	পড়িত না
1136363685	ff1eb	দুজনের মধ্যে
11363c4c32	a274b	এরই আওতায় ১৯৮৩সালে
113659997b	3b1f7	তাদের এই পরিকল্পনার
1137d0cfbf	d82d9	বলে কী মেয়েটা
113806a517	db735	যাওয়া ঘটল না।
113875cdfe	14d25	নকল গাল
1138d3ca3f	68ab7	বেরিয়ে আসা
1139032943	153c9	অধিবর্ষ ধরলে
113913a7a9	1de6c	জায়ান্ট স্ক্রিনের সামনে থেকে
113a257b34	9282d	একজন মারা গেছে বলে
113a807ad5	fda1a	জয়নাল
113b181055	c5479	বিশ্বাসযোগ্য হয়ে ফুটে ওঠে
113b25d247	dae88	উত্তর দক্ষিণে
113b5524bc	2.1E+055	তোমাদের কাছে করুণা
113b695129	f2097	রমণী বিবর্জিত
113b841a1f	46da4	স্পর্শ করেই
