ed002b16df	bfac7	সেটাও ঠিক নয়
ed00b74045	db181	অপরাধ পরিসংখ্যান ব্যুরো জানিয়েছে
ed00f2855f	948d3	গুলি বিনিময় করেছে
ed01212f25	4bd2c	সিলগালা দেয়া দোকান দুটি হল
ed0175dce4	943de	অন্য ছেলের সঙ্গে
ed0192947b	61820	একজন পুলিশের চাইতে
ed01eab824	93d3b	অন্য টিভিতে চলা
ed01f7a007	ce775	সেটি একক ও অদ্বিতীয়
ed02884f0b	5d12f	হরিহর আত্মা
ed02a95f4b	d1a48	নিমীলিত নীলা
ed02e380dc	37e17	বুটিক হাউস
ed032c490b	11bd2	আর দোতলায় ছিল
ed03757cf7	7027a	২২-২৩ বছর হবে
ed0392ce7d	616ec	মি: খন্দকার বলেন
ed03986a56	29d44	৪১ বছরের
ed0415343a	2695f	শিক্ষার্থীদের
ed042fc69c	85430	আলোচনা শুরুর
ed05370da3	3bb15	তিনি তাঁর কবিবন্ধু সম্পর্ক
ed0560435c	17ca1	লিপি একইসঙ্গে
ed05bf09c5	68ab7	তেমনি বড় রাজনৈতিক দলগুলোও
ed06ae7019	745b7	এখন কলকাতায়ও
ed06b38a01	29bab	বিশ্বজয়ের এটাই সূচনা
ed0763230a	577fa	হেলসিংকিতে অনুষ্ঠিত
ed0800826a	ce629	পেয়েই যাচ্ছিলেন মেসি
ed085a133b	15a75	নানী থেকে সু
ed088cd360	1a2a1	আওয়ামী লীগ সমর্থিত প্রার্থী
ed088eb329	f2097	ঘণ্টাখানেক স্থায়ী বৃষ্টির সঙ্গে
ed09b926a7	f83df	থাম দরজা
ed09c3243e	2de86	ডাক্তারি পড়া ছেড়ে দিচ্ছে
ed09ce93c2	06527	আমরা অবশ্যই তাদেরকে তথ্য দেবো
ed09ff2cfa	29d44	তাঁর প্রথম ইংরেজি ছবি
ed0a3cbe98	809cd	আকিকা
ed0a6e6667	cc18a	পুলিশ কনস্টেবল
ed0ac7183b	57d54	কোনো সুরাহা
ed0b74aaf3	13b70	ঐরূপ দেখি
ed0b8a5e43	46da4	সীমা
ed0cd10448	7f2ef	অন্যতম সদস্য
ed0d34e2c2	16a17	সমাপ্ত করে যেতে পারেন নি
ed0d571949	8143b	কমিটিকে প্রতিবেদন দিতে বলা হয়েছে
ed0d82279b	cb842	একটার পর একটা
ed0da25ce9	d2d71	পেছনে নিরঞ্জন
ed0db807e5	2d98b	খুদে গ্যাস বোমাটাকে
ed0dc99325	bf530	অনেক করলাম
ed0dee977f	554fe	কেইলিন গলা থেকে
ed0eba023b	a699c	এ মামলায়
ed0eba2d82	7e191	বাদামের দোকান বসে গেল
ed0f1e8456	28dfc	পোশাক কারখানায় অগ্নিকান্ডে
ed0fe5d05b	0696e	ঘটানো হয়েছে
ed100495b6	7898e	এরপর তার লাশ
ed10532f26	4ea73	মাথা নিচু করেই
ed105fd0f8	84145	বিশদ বর্ণনা রয়েছে
ed10cc2a20	52578	এতে আরও অনেক কিছুর সাথে
ed110de252	323f1	সে বিষ উগরে দিতে হয়
ed11d05807	a4750	কিছুতেই টাকা দিতে পারবেন না
ed12362cba	e3f89	টার্মিনাল ছেড়ে যেতে
ed128f936d	1b359	গত বছর শেষের দিকে
ed136026f7	0606d	বাংলার নতুন কবিতার মধ্যেও
