2700128fa5	5cb47	ছাত্রছাত্রীদেরকে স্কুল-কলেজের বাইরে
2700333f73	da6f0	ব্রাজিল মানেই যেন
2700b96608	b8bba	সুযোগ হিসেবে
27011197b6	dafb6	দু’টি জিনিস
2701401666	9642e	রবি ফ্রি নেট
2701503db0	bfac7	আচ্ছা তারা কি মানুষ ছিল
27019a3a7a	d9ba9	একটু পেছনে ঠেলে বসলাম
2701de2c38	491a5	কে প্রকৃত মাতা
270274cbcb	ba2f6	খইরা গ্রামে
2702c0ab27	75936	রুশপন্থি ঘাঁটির চারপাশে
27031d3d51	e3d8b	চট্টগ্রামের বিভিন্ন কলেজে
27035c5e1f	1de6c	স্কয়ার হাসপাতালে
2703ac2a97	1a2a1	ইতিমধ্যে জাতীয় পরিচয়পত্র নিবন্ধন বিধিমালা-২০১৪ এর খসড়া তৈরি করেছে ইসি।
2703c31b01	80505	পণ্য ও যন্ত্রপাতি আছে
2704cf3a84	7ee9b	এমনকি দলীয় প্রতীক নৌকাও
27052ee2c3	f1ff2	তার সব কাজ শেষ করতে
2705cb0a5d	9282d	জীব বিজ্ঞান
2706066429	a1201	কথা হয়েছে
2707131b4a	80518	ইয়াংগুন বিশ্ববিদ্যালয়ে
270758d353	43199	১৬টি অভিযোগ আনা হয়েছে
270774344a	c3cb3	কৌশল হিসেবে নিয়েছেন
270796e37c	24aed	তার গ্রামে
2707b159fa	fcc89	অনন্তই আমার টম ক্রুজ
2707c9e0db	2d98b	কেহ তাঁহাকে মারিয়া
2707d4a293	e2f12	মাথা
27081beecf	6b437	সোপর্দ করে পুলিশ
27084bd802	6ab59	স্বামীকে হারিয়ে
27085871f1	194f5	খাঁ খাঁ করছে
2708c2063b	93bf3	হতাশ করার পাশাপাশি
2708d96314	fd880	বিজয় আহমেদেরও হয়তো চেষ্টা
27099742a7	4bd2c	এ কোম্পানি বাজার থেকে
270ab3c5e3	0744c	মুখরোচক কাহিনীর
270abcde6a	c749e	তা বেশিক্ষণ
270af37e51	c7a89	যার কলমে
270aff7395	2d78f	এমনিই বাবা
270b121070	80be1	আনুষ্ঠানিক অভিযোগ
270b409efe	ef4f8	গুগলপ্লাস প্লাটফর্ম তৈরিতে তার অবদান অপরিসীম
270ba3ad68	71522	তার উপর চারধারে
270bb99429	7351e	সৃষ্টি না হলে
270bcdbab3	ad69a	রবীন্দ্রনাথের সহকারী রূপেও
270bf15beb	d8c80	সেই চীনের দূতাবাসও
270c06c408	274ee	আনাড়িরা বলবেন, কাঁচা
270c1a5cc4	60f77	আপনাদের রক্ষায়
270cc4f935	3f875	সে স্টেশনঘরে ঘুমিয়ে আছে
270cdcb4d0	2de86	চীনা জাহাজ দুটি
270cf9bb44	195f7	বৈদিক দেবতা কাহারা
270d248bba	7ee9b	হামলার শিকার হয়েছে
270d48b5a9	ca831	নিজের নামটি রাখতে চাইলে
270dc73fe0	14816	এতে করে বাংলাদেশ অংশে
270de65113	ea5be	জাকির
270e4fb0ae	6c6bf	ছেলেমেয়েদের সঙ্গে এসে
270f0e8d15	c5479	আমি বাংলাদেশী
270f71e506	0a87a	অভিযুক্তের আইনজীবীকে
270f81bc0a	c0d65	লতাপাতা বা ঘাস
270fcb74d7	60f77	আমরা আপাতত সবাইকে বলি-
270feb1df2	5dec6	অবরোধকারীরা
27100474e5	e31e7	শাহনাজ পারভীন
271015649d	a4750	নির্মলেন্দু গুণের প্রেমের কবিতা
271097d8c9	7297e	২৬% চাকমা
2710e5306c	80e98	হিসেবে দেখানো হতো
2710fd7bae	256f5	যে নতুন মেয়র
271102a343	12702	অ্যান্টিবায়োটিক কয়েক ধরণের
27120515e1	ac0df	আরও বহু সংস্কার
2712119bc5	38d3a	আমার দেশ আমার গ্রাম
271217fecb	948d3	নাম
271261cd61	1b359	সেই ভাবমূর্তিতে
2713bd0c78	1f733	মূল সমস্যা থেকে
2713cea44c	01e91	এক সময়ের
27143d73e1	0895a	পরোক্ষভাবে শব্দ তরঙ্গের
27148b18aa	e3d8b	কোন সালে
2714ea45a3	91ac1	ঘুষ নিচ্ছেলেন
2715acc35e	1de6c	পা থেকে
27160b2274	7d3e1	প্রাচ্যজগতের অন্যতম বিশিষ্ট পণ্ডিত
2716cbd816	9e923	উভয়ের সম্পর্ক
271711484c	7d004	নিরূপায় চাঁদনী
27173199c1	91230	সামনের পা বা হাতগুলো ছিল
2717409301	c5dc8	যমুনা নদীর নিম্নাঞ্চলে পানি বৃদ্ধি পাওয়ায় নতুন করে বন্যা দেখা দিয়েছে বগুড়া জেলায়।
2717bf557c	ff1eb	সজলের সঙ্গে
27183b8e64	92bb2	তিনি দুই ছেলের মা
2718cf201a	52f27	রাষ্ট্রপতি প্রণব মুখার্জী
27191ae13f	5dec6	আমরা যথেষ্ট
271a428161	9c8dd	আজই দুপুরের পর
271a614f82	b00ba	প্রশাসনের নিয়ন্ত্রণে আনা হয়েছে
271a70475e	eaa7a	মন্ডলীর এই সদস্য
271a7dbaa6	5d80e	সব কিছু ধ্বংস হয়ে গেল
271b1b3113	4a67e	পুড়ে যায় আশপাশের
271b2ba5f9	11de3	তথাপি মতটা
271b7f19b1	5639c	মোবাইলসহ আটক করা হয়
271bbd9056	dfefa	তৈরী পোশাক শিল্পের
271c017167	bf530	জাতীয় স্তরে
271c0b022c	fcefa	মহানায়িকা
271cdaa58e	79b06	প্রায় সারাদিনই শুয়ে শুয়ে
271d0e0ebb	23291	মধ্যরাতে গিয়ে দেখা যায়
271d3adbfd	4ea73	বুক চাপড়ে
271d6fc7cd	1652d	বলে জানিয়েছেন ঈশ্বরগঞ্জ মডেল থানার ওসি
271dbce4e5	59c73	‘প্রলয়োল্লাস’ কবিতায়
271de91a22	3b1f7	এই ঘোষণা
271e189fb4	7898e	যুদ্ধে মরিল না
271ec1a3d1	09f0d	মানুষের কাছে নয়
271f2f6524	06736	ইমরান রুদ্রপুর গ্রামের
271f8e60ec	0d8c1	উপহার দিতে পারেন!
271facb3c8	da6f0	আর পুলিশও জানিয়েছে
271fc125a6	287bd	বিহারীলাল ছিলেন
271fdbdb25	bd576	আঘাতকে ঘুষি বলে
2721a4c9c1	420df	জন বিগসের সঙ্গেই
2721c1ec37	ac0df	পেট কমানোর উপায়
2721d41718	eaa7a	ঘাটে লঞ্চের অবস্থান
27221aa77f	3fc9d	টেস্ট খেলা নিয়ে
272274e1ee	8edea	হর্যশ্বের লোকান্তরে
27244dc7a0	2840e	ডেস্কের দায়িত্বে রয়েছেন
2724b53a54	ea5be	ঘুমে আমার চোখ
2724d096bd	e03ce	অ্যান্টিবায়োটিক অণুজীব
2725985b48	0d8c1	সতকর্তার সঙ্গে চলুন
27259b6693	91dff	সম্ভাবনা কম
2725d32faf	7d3e1	পরাজিত হয় জয়নাল
272614ea9d	35ef3	জানান জাওয়াহিরি
272626cbc3	ee994	কথা ছিল আমাদের
27265029d8	7b60a	এক বিদ্রোহী প্রার্থী
272670a08a	d8c80	ফলের স্বাদ ভিন্ন
27268724a5	85430	বাংলাদেশে গাঙচিল
2726ae739c	9c8dd	এক জায়গায়
2726cd7027	85430	বন্ধু বলে জেনেছি তোমাকে
27273ea353	2d78f	যে ছিল একদা একটা খাল
272767511a	509f6	পাওয়া গেছে
2727b0f555	1a2a1	তার নামে
2727cb0643	1652d	১৫ জন আহত হয়েছে
2727d47aa5	a916a	বাজারে এনেছে জাপান
27282eb93d	80539	বেলভিউ হাসপাতালে
2728572c1c	2d98b	কল্যাণপুর এলাকায়
27288de613	35ef3	অন্যান্য দেশজ ভাষার তুলনায়
2728909d27	c4973	কুমিল্লা মেডিকেল কলেজ হাসপাতালে
2728f3507e	2f547	পুলিশ আইন অনুযায়ী
2729e6f127	f143a	আবারও ঝরছে
272a172769	d2294	এমএ প্রথম বর্ষের ছাত্রী
272a3bd465	f1240	তাদের একজন প্রতিনিধি যেন থাকে
272a4dd79b	e89bb	গত ফেব্রুয়ারি মাসে
272a9a424d	acb88	রংবাজ ছবির গান
272acf3c96	92f59	ক্রিকেট খেলা
272b1b982f	c4973	শৈত্যপ্রবাহে মানুষের মৃত্যু হয় কেন
272b4baf63	1a2a1	যেতে পারি
272b55ab0a	3ec4d	যে তারাও একদিন বিরোধী দলে ছিল
272b6ef4ff	616ec	ভারতের রাষ্ট্রপতি
272bb41e3a	2840e	জয়দেবপুরের পথ ধরো
272bb5438a	24f73	সহায়তা করবে
272be4b088	06527	জেএসসি-জেডিসির
272bebc095	75626	প্রমাণ ছিল
272bfd7336	7b132	ভাবমূর্তি গড়ে তোলায় যাঁদের ভূমিকা
272c0388f1	b00ba	পাঞ্জাবের ইনিংস
272c2742e1	7d3e1	অর্থনীতি আবার চাঙ্গা হয়ে ওঠাটাও
272cc26412	6c6bf	এখন বলিবার নয়
272ccca306	39293	নাইকি ভারতের কর্নাটক আদালতে
272cd384cb	3ccf1	তা কোনোভাবেই
272d06f575	fda1a	শিল্প-বিভাগের সভাপতি
272d32fe0d	903fa	অধ্যক্ষ স্যার লিমনকে
272d59dd9d	d71a3	হজরত আলীর রা.
272ea51d4d	16877	কাস্টমস কর্মকর্তারা জানান
272ea83288	0f047	সে মাছ ধরতে
272eae6b68	1cb75	ভারতীয় চলচ্চিত্রের ১০০ বছরের ইতিহাসে
272f0f2936	b8ed8	ইন্সব্রুক টিরোলিয়ান
272ff87ad4	730c3	অপারগতা প্রকাশ করলে
2730339f1c	1de6c	ময়ূরসহ অন্যান্য পাখিরা
2731127ffc	4ea73	সোজা হইয়া
27313c2dda	f83df	অশুভের প্রতীক নয়
273154372b	29bab	মিলন ঘটাতে চেয়েছিলেন
2731c64a76	16877	মাথাব্যথার কারণে
2732771c05	1e7c6	বিসর্জন দিলেন
2732c76dbf	5639c	এই দুই নায়িকা
273365f992	64092	এক কোটি ২০ লাখ
27336f561a	d2faf	গুরুত্বপূর্ণ সমাধান হচ্ছে
2733d1f4c9	16cfb	দুই হাজার ৩৮৩ জন সদস্য
2734966803	ef915	সমাবেশ শেষ করে
2735289b1b	6da0a	একটু ক্ষীণ ওকালতি
2735ef0440	c5dc8	ভোট পড়েছে
2736523739	3fb17	রাজ্জাক জানান
2736c6ca5a	29089	মার্কিন গোয়েন্দা সংস্থাগুলো
2737119299	d9081	সারাদেশের মানুষের মতো
2737146f46	cb627	সবার জন্যই
27375261a9	8406e	জমির টেলিকম
27375dd6eb	0e637	পরে সেখানেও
2737f33930	ef4f8	বাংলা শিলালিপি
27380a51b9	f2780	কষ্টসাধ্য ও ঝামেলার বিষয়
27381c1971	cf82a	সেখানে প্রায় ৩০০০ লোক ছিলেন
273823c3e7	491a5	অনেক কষ্ট
27385036ac	7b103	পরাজিত করার দিনটি
273854508b	66dcd	এই সূত্রেই জানা যায়
273862bb09	4bede	পার হচ্ছিল
27387257d0	509f6	শ্রীকৃষ্ণকে জানান
273874c1aa	d5213	প্রস্তাব গৃহীত হলো
2738c8b6a5	121bd	লোডশেডিং
2738e717f6	bfac7	ক্ষতিগ্রস্তদের সহায়তায়
2739488d65	ee4ad	মঙ্গলবার গভীর রাত পর্যন্ত
27395d0cb5	7898e	আগামী ১ মার্চ
2739d7577e	c8f7f	যে গ্রাম থেকে
273a4b1023	29089	দীর্ঘ ইতিহাস আছে
273a54945c	ac904	রাখা হবে না বলে
273a7f8b8a	ca088	সেই কন্যা
273b01e024	38d3a	সোমবার সন্ধ্যা সাড়ে ৭টার দিকে
273b2a0ab3	c173f	বয়সের সঙ্গে সঙ্গে
273b69e13d	d5213	বাংলা বই
273b8fecf8	22096	হুইলর সাহেবেরও এ বিষয়ে
273c48aec8	fcefa	পরিচিত এক ডিআইবির লোক
273c82bfe5	ec91c	৫০ রানের জুটি গড়ে
273ca2d867	d5f7b	আমার আইনসঙ্গত পাওনা পদবি ব্যবহারে
273ca2f96c	ff1c3	দক্ষিণ আফ্রিকা বিশ্বকাপে ব্যবহৃত
273cbd5a39	49543	ড্রোন হামলায়
273d031ec9	717bb	এই ডায়নোসরটিকে কিনে নেয়া
273d1a298a	31f09	আদায় শেষে কেউ
273dd31eef	31f09	একটু ইতস্তত করে
273df333cd	f1ff2	শনিবার সকাল সাতটায়
273e5e476d	46da4	নৌপরিবহনমন্ত্রী শাহজাহান খানের
273eba9258	2d78f	তা বোঝা গেল না
273ef17b6f	66c6b	কাব্যাংশে উৎকৃষ্ট রচনা
273f2263d3	554fe	এলিফ্যান্ট বা টুসক ঘাস
273f433c61	ce629	এডিসি সাহেবকে
273f83428b	e754e	বিহারিণী গিয়েছেন বাজারে
273fb97c7a	c4973	স্বজন হত্যার প্রতিশোধ নিতে
27402280ee	37d7e	কোরানের কোথাও
2740a2786e	6c6bf	আবিষ্কারের কথা ঘোষণা করেন
2740afdebe	92f59	উপায় আমাদের কারোরই নেই
2740e2889b	9b864	দুর্ব্যবহারের চড়া মাশুল
27410989f1	7c272	সব ছুটে পালাত
27413ec64e	dafb6	টাটার তৈরি
27414a50f2	d7a68	ছারছীনা
27414f546a	76329	শনিবার সন্ধ্যা পর্যন্ত
27419209e6	0744c	কিছুটা পরিশ্রমী
2741a0308e	bfac7	কোনো সহায়তা করতে পারবেনা
2741ba95bb	b8fe1	ফি দিয়ে
2741d5783d	80518	হাসপাতালে চিকিৎসাধীন
2741f5d4c9	6c6bf	পদে পদে আপনাকে
27428ab901	32998	ইসলামী বই
274297e291	17ca1	যেখানে একটি চরিত্রকে
