ab0072a769	8edea	আগামী ১৫ মার্চ
ab00749ee3	d711f	দ্বিতীয় সপ্তাহের
ab008aa7a1	b8fe1	ভালোবাসার কোনো
ab00f5224e	e3d8b	সে নষ্ট, সে বেশ্যা
ab0177fb2f	4237e	বর্ধমান ভবনের পশ্চিম বেদিতে
ab01d090b2	ee7b2	ছেলেমেয়েরা লেখাপড়া কইরা
ab020956d4	4c555	এতে রাজধানীতে
ab02ab6394	f2097	দেশি বিনিয়োগের
ab031c3c5a	d2d71	চণ্ডীদাস বলিয়াছেন
ab034fbd75	c2082	সুস্থ ও সুন্দর
ab0372cc7f	4bd2c	প্রেজেন্টেবল করতে হলে
ab03d5d065	287bd	তিনি সংযমী নন
ab03e888c5	a1d4a	ওঠেন বুচার্ড
ab050c4e53	3faff	কৃষ্ণচূড়া ফুল
ab050cacd8	09f0d	ব্রাহ্মীলিপি চালু ছিল
ab055f098e	a46e2	কামিনী
ab05620f88	8edea	সেজন্য একটি
ab05c4b443	33aef	মার্কিন যুক্তরাষ্ট্র এবং ইউরোপের
ab06a3a94d	520fb	পাহাড়ী বলিল
ab06b93fb8	fcefa	সক্ষম হন
ab076b8a15	ced74	আফ্রিকায় ফিরতে হবে
ab07b3d2d6	745b7	খোঁজ করা হচ্ছে
ab0811cc74	25117	অনন্তচৈতন্য পরমেশ্বর
ab081c2e33	2840e	বিহারে বসবাসরত
ab083b1b5a	f4ba7	ফল চাহি না বলিয়া
ab084cbe03	9d398	তবে নারীকে করে অন্ধ
ab08e2ad6b	f2097	প্রীতি ম্যাচের দল থেকে
ab08faf199	0633a	সামারদাসা গতকাল কলম্বো শহরে অবস্থিত সিলন বিদ্যুৎ বোর্ডের সদর দপ্তরে ভূতুড়ে বিদ্যুৎ বিলের প্রতিবাদ জানাতে যান।
ab0967a561	ee994	সন্ধান পায়নি
ab09874407	88654	দুপুরসোয়া ১টায়
ab09b6b372	8b859	প্রথমে তত বুঝি নাই
ab0a0bee02	10a9f	পৃথিবী এবং কাল-স্পৃষ্ট মানুষের
ab0a444631	25117	মায়ানমার ভ্রমণ
ab0a5deebc	ca831	উৎসস্থল হিসাবে
ab0ac19751	577fa	সারল্য আর একরৈখিকতা
ab0ae8d352	eb179	না পাইয়া
ab0b1a7f6e	4fc91	সহযোগিতা করবে
ab0b540c5d	21e54	প্রথম আইফোন অবমুক্ত করেন
ab0b896212	18a52	শকুন্তলাকে বলে রেখেছে
ab0bd734c5	9fa90	এ প্রশ্নের উত্তরে স্বরাষ্ট্রমন্ত্রী মি: আলমগির বলেন, এই চুক্তি হতে হবে, এমন কোন কথা নেই।
ab0c2a685b	75936	সবচেয়ে খুশি খুশি দেখায়
ab0c8056cb	2ac82	রাজনগর থানার ভারপ্রাপ্ত কর্মকর্তা
ab0c9c1cf0	11915	অন্য সময়ের তুলনায়
ab0cce45b4	b8bdd	তাদের হামলা বাড়িয়েছে
ab0d10c592	1a4a9	সেসব কাহিনী
ab0d2f75fb	d41be	বিশিষ্টাদ্বৈত বেদান্তের
ab0e6689d0	f2780	তাঁদের জেলেপল্লির ৫০টি পরিবারই
ab0eb0c2ca	baa02	বাচ্চাকে দুধ খাওয়াতাম
ab0f3ee592	1f733	চোরাকারবারি ও পাচার করে
ab0f41c7cd	25696	শত্রুদের মোকাবেলা করতে গিয়ে
ab0f5f9d88	3c897	রিয়ালে যোগ দেয়া বেল
ab0f872ec0	dae88	বেড়েছে বহুগুণে
ab0f9e403a	a7c6f	পাঁচ হাজার মাদ্রাসা আছে
ab0fd8fc16	80e98	করে দেখালো স্বাগতিকরা
ab0fddde58	32c77	বাঘ, হরিণ, ঘুঘু
ab0fed99ab	d2faf	রহিমউল্লাহ ইউসুফজাই বলেছেন
ab1006385d	17ca1	কাহারও জবানবন্দীতে
ab103ff57c	2909b	কিছু পুরুষ
ab105fb328	315e9	এই ভক্তি ও প্রেমের
ab11a7243a	ea8fa	১৯৮১ ও ১৯৮২ সালে বাখরাবাদে আরো ৪টি এবং ১৯৮৯- ৯০ সালে আরো ৩টি কূপ খনন করা হয়।
ab11cdf2c1	15a75	কাঁদতে লাগল
ab11dbf454	323f1	অর্থনৈতিক পরিস্থিতির জন্য
ab12b59e11	03284	মোট পাঁচজনকে আসামি করা হয়
ab12c069e6	c7a89	এঘটনা ঘটে
ab12f0488f	47e8d	অবদানও রাখতে পারে
ab130a46be	e6e48	খুব একটা কাজ হয়নি
ab130e9510	bf530	তা কিন্তু নন
ab1350bae8	13b6a	বিশ্বাসঘাতকের জাত
ab13541787	4bede	লঙ্ঘন করায়
ab13c7e391	69449	হাসপাতালে ডাক্তার নেই, নার্সরাও সব পালিয়ে গেছে।
ab1447ceaf	3b1f7	প্রতিষ্ঠানকেন্দ্রিক আলোচনা
ab157bc88e	3bb15	বাঙালিদের অভিবাসনের মাধ্যমে
ab159bd084	554fe	ঢাকা ও কলকাতা বিশ্ববিদ্যালয়ের
ab15ba464a	11915	মোট আট দিন
ab15d363d8	8143b	২ উইকেট নেন
ab1644a142	3fae0	স্যাটেলাইট তথ্যের ভিত্তিতে
ab170f733f	4c1eb	শিশুর যত্ন
ab179bbbeb	693cb	করে যাওয়া
ab17d75f17	b78ec	এখন বড় বড় শহরের মানুষও
ab182886cc	c6848	বহুদিন যাবত
ab18636eaf	73629	রোববার ভোরে
ab1892428a	eaa7a	খুব গুরুত্বপূর্ণ একটি
ab18dc4616	bc81e	ঋণ উত্তোলনও
ab192e93a4	a0277	এই ব্রহ্মাস্ত্রের শিকার
ab1945ab54	c958a	বেশি ব্যবহার হয়েছে
ab199e4760	6aac8	শাহরুখ সেখানে উপস্থিত হন
ab1b5b21f0	520fb	তবে এ প্রসঙ্গে প্যানেল বক্তা
ab1b6ed2b5	31f09	নাম কি
ab1c5c5356	3ccf1	হরতাল
ab1c7c2d28	dec2d	তাহলে আমরা কি করতে পারি
ab1c850a98	e55de	লিখলেন সহজ-সরল বাউল সুরে
ab1cc38c60	e754e	এসোসিয়েটেড প্রেসের সঙ্গে
