4f00bd5ad9	16877	আমার সাথে তার
4f01f20915	9065c	আমরা সবাই বাজার থেকে টাটকা মাছ কেনার চেষ্টা করি।
4f01faf012	cc18a	এর শেষ করা যাবে না
4f02379610	3bb15	ব্যাঙ্গালোর থেকে ছেড়ে আসে ট্রেনটি
4f038052f0	9642e	রক্তের হোলি খেলায় মেতে উঠেছে
4f03f88634	68ab7	শাহাবুদ্দিনের নাম
4f048c7d9a	01e91	বেয়াইন
4f04a280d5	68ab7	গাঁথিয়া দিয়াছি
4f05594d4f	ff1c3	নির্বাচিত হয়েছিলেন
4f06170c88	e6d83	সংসদে গিয়ে সই করে
4f067ebcaa	d0c70	বইয়ের ওপর নির্ভরশীল না হতে
4f06a76dd6	92bd8	তিনি সর্বমহলে
4f06b3aae9	33814	তাঁদের মধ্যে
4f06e1ca1e	7ed14	ইনডিপেনডেন্ট টেলিভিশন কর্তৃপক্ষ
4f070a21aa	06527	তাদের জানিয়েছেন
4f07a2a651	d2faf	বাঁশবেড়িয়ার হংসেশ্বরী মন্দির
4f07d46b85	9f25e	অনুষ্ঠান সাজানো হয়
4f07d9bbf3	b9b98	সকলেই ঐ লোকগুলিকে গালি দিতে লাগিল
4f07fc43b8	e43d4	দিনকাল
4f09339810	509f6	শিব পুরাণ
4f0984c4b0	49543	উত্থানের অনুপম কাহিনী শুনেছি
4f0a04c248	92f59	অবরোধ তুলে নেয়
4f0a08995a	ac904	তবে সম্ভাব্য
4f0a5e7144	65652	সেলক্ষ্যে ব্যাপক প্রস্তুতি নিয়ে
4f0ab1576b	f1ea4	কী আবোলতাবোল বকো
4f0adc2f67	7d004	আধুনিক করে
4f0b4c1000	11de3	বিয়ে বন্ধনে
4f0bdbb914	967fd	কাজ করা
4f0bee63b6	e03ce	বন্ধ করতে পারব না
4f0c9afbc5	fb4cb	ডানাকিল যোদ্ধারা
4f0cfdb619	e68af	মাটিতে ঠুকে চেঁচায়
4f0d25d07b	d9817	হেজবুল্লাহ যোদ্ধারা
4f0d935f1b	0d8c1	যাঁহারা বাক্যে অজেয়
4f0ded9f0d	e9759	১০ বলে ৮ রান করেন
4f0f237758	0744c	তাফহিমুল কোরআন
4f0f60dbc9	65e30	কর্মক্ষেত্রে হুড়োতাড়ায়
4f104748b3	25696	বন্ধ হয়ে যাওয়ার পর
4f104fdfd3	6b437	আন্তর্জাতীক ক্ষেত্রে
4f1054c849	08458	তারেক রহমানের সঙ্গে
4f10730cf9	355c1	এছাড়াও রয়েছে
4f10816784	d2294	এখানে কিছু দিন
4f108dcfc6	4bede	পৃথিবীতে বহু রকমের প্রাণীর দেহেই
4f110fdf59	e43d4	ক্যালেন্ডস, ইডেস
4f111b26b1	355c1	তখন বাধ্য হয়েই
4f11315947	a06a1	এখন দুধে
4f116ffd40	c0965	সব ভর্তি পরীক্ষা
4f117e7325	e6e48	তার ওপর আবার
4f11f3be68	d2355	সে শক্তি এসব ঘটিয়েছে
4f125b14ac	d2294	সন্তান
4f12a464a0	f89d7	তাহলে এ মানুষটি
4f12cf9b5a	82926	শিকার করেছে, খেয়েছে
4f136737ea	13b70	৩৬ জন পরীক্ষার্থী
4f13b92c6b	49d63	যে পুরুষ নিজেদের নারীবাদী বলে
4f13c0cce3	b8bdd	বুজে ফেলা হয়েছে
4f13c2f682	06527	হঠাৎ ভটভটির ইঞ্জিন
4f13e8cc0f	b8bba	সময় কাটাতেন ধীরাজ
4f14375195	c7705	গুরুতর প্রভেদ আছে
4f149a2b1f	948d3	কয়রা উপজেলা
4f14a17391	c7a89	ফ্রিজ বিক্রির ক্ষেত্রে
4f14eb639b	0d8c1	তাঁদের সম্পর্ক ছিল
4f14f5a7ab	d82d9	কাজ করবে
4f1548bfed	69449	চুপচাপ বসে আছি
4f1568b463	ce180	মধ্যবিত্ত শ্রেণীর দুর্বল অবস্থান
4f1585236d	3fce2	মানুষ বোধহয় উদাসীন হয়ে পড়ে
4f15a49858	a7c6f	প্রয়াস পাইয়াছিলেন
4f1613678e	089ef	একটি কৃষি বিশ্ববিদ্যালয় স্থাপনে
4f1729b71b	2ac82	তোমার জন্য মরতে পারি
4f1742c027	2fe3c	অষ্টম হেনরি
4f178df12a	4c1eb	অবস্থান নিয়ে
4f17d76e6c	536d9	বিকল্প ছাপাখানা থেকে প্রকাশের ক্ষেত্রে
4f18c95a1a	3f493	শেষ দেখা
4f1940f834	80e98	পাতা বিছানায়
4f19823935	698ff	যাহাতে অশ্বিনীবাবুর মৃত্যুর কারণ
4f19e41929	68ab7	বাড়ি ছাড়া
4f1a3acf90	2b883	একাগ্রচিত্ত হইতে পারে না
4f1a444044	2b883	আচরণবিধি লঙ্ঘন হচ্ছে কিনা
4f1a8f2112	ad2a0	লোক সরে যাচ্ছে
4f1aa9250f	39dd0	সবচেয়ে বেশি স্নেহ করতেন
4f1abe1e58	976b1	বিরোধী দলীয় নেতা
4f1ad1df0a	06736	সরকার আইনের মাধ্যমে
4f1b3c77d9	fcc89	সুদৃঢ় করেন
4f1b86a73e	3c897	কি খাবেন
4f1b9bad79	f89d7	সত্যিকার সুস্থ
4f1bbcc57c	fbb81	জগতের মঙ্গলার্থে
4f1c6eee19	274ee	যখন মি. শি চীনা স্বপ্ন নামে
4f1c933dc1	d41be	দলে দলে
4f1cbff655	f4ba7	ইনি গণিত এবং
4f1cf34b9a	e3f89	অর্ধশত নেতাকর্মী আহত হন
4f1d15891c	809cd	তাদের পূর্ণ মনোযোগ
4f1d22e16d	a916a	এই লেখকের রয়েছে দীর্ঘ প্রস্তুতি
4f1dcb3a76	e9759	বিশ্বের সবচেয়ে বেশি সংখ্যক মানুষের
4f1e668290	1a4a9	ফের কাজে যোগদান করেন
4f1eb52f1b	ee886	তারা, মেয়েরা সব
4f1f0a815a	d0c70	অবশ হয়ে যেতে পারে
4f1f41f676	0895a	নাম প্রকাশ না করে জানিয়েছেন
4f1f5abc72	a9a58	আবার চলিয়াছে
4f1f88d1d0	a8710	তিনি পুলিশের কাছে
4f1f9660ce	c6848	বার্সেলোনার এই তারকা ফুটবলার
4f1fac7665	d9817	প্রবাহিত হবে
4f202cc7b5	75936	অলক্ষ্য পাদবিক্ষেপে চলিল
4f20c4fb8f	39293	হারুন ও গোপাল নামে
4f20d4030d	1279e	বজায় রাখার
4f210c68e3	fb4cb	তাঁদেরকেও ছদ্মনামের আশ্রয় নিতে হয়
4f211036e2	b52ab	উদ্ভাস
4f212995d1	24aed	বিপথে থাকা
4f21401a8a	d8c80	হাজার হাজার কোটি টাকা
4f2155857b	8a46d	আগামী ২৫শে জুলাই তার শপথ নেওয়ার কথা রয়েছে।
4f21d6402d	4f450	চলছিল না বলে
4f21e54217	9f25e	পরিস্থিতির গুরুত্ব তুলে ধরে মিস্টার ব্যান আবারো দেশটির প্রেসিডেন্ট সালভা কির এবং বিরোধী নেতাদেরকে সংলাপে বসবার আহ্বান জানান।
4f21fd9efa	c463d	শাহবাগের প্রধান দাবিও তাই
4f224cb358	ef915	পারিবারিক সূত্রে জানা যায়
4f226b280a	ac904	বিষয়টিকে মাথায় রেখে
4f227369a6	cd3ac	যশোদার ঘরে প্রবেশ করে
4f229f596d	29089	এ বিষয়ে নোটিশ
4f23347281	68ab7	ছাড়া পেয়ে মিয়ামিতে
4f233874af	1b359	রাজপুত্র কাছে গিয়া দেখিলেন
4f23ac9533	d7a68	তাঁরা কি করছে
4f243aafcb	3ccf1	পাঁচ বছর আগে যেখানে সক্ষমতার প্রায় ৭২ শতাংশ বিদ্যুৎ উৎপাদন হয়েছিলো, এখন সেটি নেমে গেছে প্রায় ৬০ শতাংশে।
4f24bccf09	ad98d	ইরান এই প্রস্তাব দেয়
4f256c0dc3	17dcd	খুঁজে পাওয়ার নজির
4f25a6b329	5dec6	এক নিরঞ্জন সু মন লাগা
4f26209a1f	554fe	আমরা যে হের আত্মীয়
4f2727784f	509f6	কিংবা ঘুরে দাঁড়াবেন
4f27a047ae	49d63	এই চুক্তিকে স্বাগত জানান
4f27c82412	2ecf8	বিস্ফোরিত বোমার শব্দে
4f27f4e298	fda1a	ছোট্ট একটি টিলার উপর
