bd002e4484	52f27	এইটুকু জীবনে এই প্রথমবার
bd0035e98d	287bd	প্রয়োগ শুরু হয়
bd004d5499	aa820	ওকি নবীরন
bd00699b9d	59c73	চট্টগ্রাম বিশ্ববিদ্যালয়ের
bd006d64ca	93d3b	সেই মিছিলে আমাদের
bd00b27f75	98b81	শাখা রয়েছে
bd0192a223	b8ed8	দানবাক্সের টাকা চুরি নিয়ে
bd01af6457	b8ed8	সেরেনা মাত্র ৭৮ মিনিটে
bd01ffdf06	ced74	বলতেই অমনি
bd026fdb9c	9f25e	যে দু'টি হত্যা মামলায়
bd028c864a	e6e48	গ্রামীণ মেলা ঈদে
bd03b91041	a9a58	মায়াকোভস্কির মতই
bd04a4981e	509f6	সরবরাহের পাইপলাইনে
bd0506099a	14d25	ভাষাগুলির উপর
bd0542a330	4a918	গণশুনানি চলছে
bd0547e37f	ad98d	রেশমাকে নিয়ে
bd0552fabd	e7230	পাতায় পাতায় তুমি
bd0594680c	37d7e	দুটো ডিমের
bd0595aad9	e2ff7	নীলিমা
bd05a162e4	db735	হত্যার চেষ্টা কর
bd05c60e12	0a87a	বুকভেদি দুঃখ-যন্ত্রণা
bd05cfa4d2	6b437	অজিত দত্তের
bd06a6023f	943de	৫-৬টা ক্রাইটেরিয়ার কথা
bd06e46cad	6ee5f	মিল্কি হত্যাকাণ্ডের পরিকল্পনাকারীদের মধ্যে লোপাও একজন।
bd06e4bdd5	91dff	ট্রাইবুনালের ভেতরে
bd07e4b4bf	46d49	জিজ্ঞেস করে
bd0873392b	4fc91	নির্মাণ প্রকল্পে
bd091fbe18	06ea3	প্রদর্শনের জন্য
bd0924eaa2	f2780	যার ফলে কারখানা
bd0980b9f0	54e68	বন্ধ করার ক্ষেত্রে
bd0991b290	95907	শ্রোতারা পাচ্ছেন
bd099ed096	5e80b	১৭৬৩ সাল অবধি
bd09a393de	f1240	চুক্তির ফলে দু দেশের
bd09a670a2	3bb15	ও ভিন্নধর্মী উপস্থাপনার ওপর
bd09b3a9e5	69d9a	তৈরি হয়ে যায়
bd09c6689d	95907	নানা বিতর্ক সৃষ্টি হয়েছে
bd0a180702	2fc12	রক্ত পানি করে
bd0a95998e	8143b	জানান বিচারক
bd0ae5c0a9	f2780	ইটপাটকেল নিক্ষেপ
bd0afe2f8c	d711f	মানুষ হত্যা করে
bd0b62063c	28bb3	উপন্যাসে তথ্যগত ভুল সংশোধন না করা পর্যন্ত তা প্রকাশের উপরও নিষেধাজ্ঞা দেয়া হয়েছে।
bd0b66e52e	c0965	তিন লাখেরও বেশি মানুষ
bd0bbdc6ae	7d004	১ হাজার থেকে
bd0bf3eacd	33aef	অ্যাম্পিয়ারের নামকরণ
bd0c149176	2aecc	দ্বিধা রয়েছে
bd0c2c0054	c463d	পেশাদার অভিনেতা
bd0c8d79ce	f837a	হেল্ডার পোস্তিগার দুর্দান্ত গোল
bd0c9646c6	6da0a	এদিকে কিছুদিন আগে
bd0dc17a61	bc81e	এবং রবীন্দ্র সঙ্গীত শিল্পী
bd0f108189	dafb6	প্রান্তিক ব্যয়
bd0fc352d9	c958a	আমি সেই সুতো হবো
bd0fd8bc00	80518	নীতি থেকে বিপরীত
bd102b7011	71522	বর্তমান বাংলা
bd102f32ba	4fd66	কত দিকে প্রসারিত
bd10c3173b	ac0df	দৈর্ঘ্য সাড়ে সাত মিটার
bd10d33cfb	ee994	আহতদের কালকিনি
bd10df3ed3	c7705	জাপান ভিসা
bd10ea3c8f	dba43	এ নিয়ে রাজনৈতিক অঙ্গনে
bd1173edf1	6da0a	ইসলামপ্রিয় মানুষের ভালো লাগবে
bd12442db0	351dd	পুইশাক
bd126594ce	b8bf0	অন্য উপমাও আসে
bd12752dd1	6da0a	প্রত্যেকের ব্যক্তিগত সত্তা
bd12a491fe	aabe7	বুটের লাথি দিচ্ছিল
bd12b78729	c9c19	গর্তগুলো ইঁদুরের
bd12d21805	49d63	চুপ করিয়া রহিলাম
bd1397abd7	e2f12	গড় ক্ষতি ৬০ মিলিয়ন ডলার
bd13c7dd6f	3fb17	কলকাতা বিশ্ববিদ্যালয় হতে প্রকাশ করেন
bd14088967	b2a62	তাদের এই পরিকল্পনার
bd14b5cf2e	3ccf1	সরকার সমর্থক বিভিন্ন সংগঠন
bd1525f478	a0277	সিগারেটের আগুনের ছ্যাঁকা
bd15308093	39293	তিনটি শ্রেণিতে
bd15724dba	4ea73	বিবাহ আইন
bd15ae9d04	ee7b2	অস্ত্রানভিজ্ঞ সৈন্যগণকে
bd162ee11f	3faff	সৃষ্টি করি কী প্রকারে
bd16f82219	06bb7	গত জুলাই মাসে
bd17347a23	809cd	উদ্ধারকাজে সহায়তা করার
bd17ba4772	ea5be	আসেন তিনি
bd17cad2ad	0f047	ঘটনাসমূহ পর্যবেক্ষণ
bd18499ca0	6aac8	বিজ্ঞানীরা ভাবতে লাগলেন
bd185e64de	b8bba	বাছাই পর্বের ম্যাচগুলো
bd18ecce0d	fda1a	বিলাই
bd191ba688	37d7e	লোকসাহিত্য সংগ্রহ
bd19218957	ef4f8	সত্যভামাকে পাওয়া যায়
bd199b640a	35ef3	জিদ মাত্র সেগুলোই নিলামে চড়িয়েছেন
bd19a6ddac	0e637	বিয়ে করবে করবে করছে
bd1aaf559a	77f82	তবে সিরিজ চলাকালে
bd1adf0579	ac0df	গ্রুপের পরিদর্শক দলের প্রধান
bd1b277fa8	5e80b	১৯৪৬ সালে
bd1ba9c4f0	2ad74	এটি দেশের জন্য
bd1be53c19	ac904	কষ্ট পেতে হয়
bd1bee3afe	256f5	নিজের পারফরম্যান্স নিয়েই
bd1c3edf6b	af81d	আলাদা আলাদা ভাবে
bd1c7f1838	52578	এ কথা সবসময়
bd1c837d45	e2c11	তবে তারা কেউই নির্বাচনী আচরণ বিধির তোয়াক্কা করেনি।
bd1ce68428	ad69a	মানব সভ্যতাকে
bd1cffeee5	ef4f8	নেমে আসা মেসতায়া স্টেডিয়ামে
bd1da251c6	e00db	ইদুর
bd1da43071	d82d9	অথবা ধনাত্নক
bd1dc2c44e	f658d	সোনার গয়না
bd1dffe907	8ba2b	পাশাপাশি দেশের পরিবহন খাতকে
bd1e438bbc	28dfc	সব নিরাপত্তাকে বৃদ্ধাঙ্গুল দেখিয়ে
bd1e531646	bfac7	ফটিকছড়ির পাহাড়ি এলাকায়
bd1e550809	d9081	বাইরের দিক থেকে
bd1eb794bc	baa02	সেখানে একবার টেস্ট করা হয়
bd1edd8124	351dd	সৃজনশীলতাকে উৎসাহিত করবে
bd1f3b955a	698a4	মমকে বাসায় নিয়ে যায়
bd1f5f7d19	a1201	কারচুপির সুযোগ নেই
bd1f6dac24	ab946	খালেদ নেমে আসেন
bd204ee85e	e03fc	ভোটগ্রহণ হয়েছে
bd209bcb50	13b6a	যুক্ত হয়েছে
bd20a3fd9a	410fa	ব্রজরঞ্জন রায়
bd212af593	9d7bf	শেষ আটে
bd2134b65f	ca088	হাইকোর্ট বেঞ্চ
bd21c7e167	d9b11	পণ্ডিতমশাই আমাকে
bd224effb3	b5fdc	বড় হুমকি হয়ে
bd228ab563	1b359	চমৎকার কর্মতৎপরতা
bd22af9bda	bd576	বাকিদের খোঁজে
bd22db2829	5dd61	তাদের ঘনিষ্ঠতা
bd2368c2c8	b8ed8	কিন্তু আমরা জানি
bd23d8657a	52578	পাথর ও পেট্রলবোমা ছুঁড়ে মারে
bd23ffe06f	49543	লেবাননের শিয়া রাজনৈতিক দল
bd248ef929	bc81e	তাই আমি মনে করি সময় লাগবে
bd24fe9fe8	9813c	আবেগ
bd259fbc1b	c0d65	গ্রেপ্তার চারজনের মধ্যে
bd25ece0ad	2909b	এখানে এসেছেন
bd261986a2	0696e	একজন হিসাব বিভাগ
bd2639d88d	c173f	সে মাছ ধরতে
bd2685f83f	351dd	ছবিটিতে গান গেয়েছেন
bd26e26f8f	9813c	অবস্থার কোন পরিবর্তন হবে
bd26f25429	7351e	মনস্তাত্ত্বিক ও আবেগের
bd27132e09	c463d	তিনি অসমাজতান্ত্রিক
bd27a2f919	2ee04	প্রথম কোনো বিষয়ে
bd27db61bb	6c17f	স্বেচ্ছায় বোরখা পরেন না
bd280af98b	a3a6d	আমাকে তলোয়ার বের করতে হয়
bd282c69f7	61820	দেশ, জাতি, রাষ্ট্রের
bd28d189ed	5e80b	নির্দেশ দেওয়া হয়
bd29719807	37e17	অধঃপতনের গভীর পঙ্কে
bd299974e8	b9122	দেহে বা মনে
bd29a8d261	698a4	বাংলাদেশ বেশি
bd29b925c1	943de	ডাম্বলডোরের চরিত্রে
bd29dc2a58	321b6	বিনিয়োগ করার মতো
bd2aa94c8d	194f5	অ্যাবাকার বাণিজ্যিক
bd2cb9bf2c	ff1eb	আমাদের কিছু চমৎকার
bd2cc9ec9c	22096	কুঁজো হয়ে
bd2ce4a8b1	0a87a	অপহরণ করে
bd2d35f167	18460	আমি বিয়ে করলে তো
