690004af2b	69449	বাইর হইতে পারিনা
6900198449	1279e	জানান তার
690034eda7	9c8dd	বা সংশয় নয়
69007e5980	18a52	আয় ফিরে আয় মায়ের আদরে
690174ddcc	d1a48	আর সেরার সেরা
6901ab6af1	92bd8	তিনি আজ পুরুষদের
6901c831a4	ac0df	জাতীয় পরিচয় পত্র
6901e7682d	0d8c1	জনপ্রিয় নাট্যনির্মাতা
6902009258	a3a6d	নতুন আমানত সংগ্রহে
69029afe36	e754e	অ্যাডোনিস বা
6902f5f26a	cb842	আর দোতলায় ছিল
690398e139	6b437	মেসিকে সহজ সুযোগ করে
6903c79455	13b70	রোমান্টিক গান
6903fa72dd	f6e55	সরকার দলীয় প্রার্থীর সমর্থকদের
6904a77cb8	8143b	নয় উইকেটে ২৭৭ রান করেই
6905384976	7b60a	অনেক জায়গাতেই
6905b05caa	0f047	পলাইতে পারিয়াছিল
6905b7689b	17ca1	টঙ্গী সরকারি কলেজ
6905e0b53b	47e8d	সব ফার্নিচার সেগুন কাঠের
6905fe8403	14816	ভারতচন্দ্র, রামমোহন রায়, প্রভৃতি
69063d8160	22096	ফতুল্লায় এশিয়া কাপের
690692612b	fda1a	নজর দেওয়া উচিৎ
6906bc07f0	c173f	ইন্টারনেট সুবিধা দেয়া হয়
6907d1a9ba	5a61c	আকুণ্ঠ নিমজ্জিত
6907ffc4f5	8ba2b	আমাদের দলের সিনিয়র নেতারা
69081bd0f3	6d129	চিকা
690836e313	e2ba2	দেশভ্রমণে যাইবেন
6909121b25	37e17	ব্যবহার উচিত নয়
6909b1dbd9	c1e30	পাইবেন কই
6909cfc475	46da4	বড়দের প্রতি ছোটদের শ্রদ্ধাবোধ
6909edf745	6c17f	তবে বর্তমান সময়ে
6909fa8e4a	e03ce	সেই কমিটির কাছে
690a0f7b38	54e68	২৮টি স্কুল
690a11f1f6	33aef	এমন কারও সঙ্গ
690aedab12	2de86	আক্রান্তদের সতর্ক থাকতে
690b21498a	06527	মানুষ নিহত
690b509798	8cf95	ওই নবপর্যায়ে আদিমকালের
690b723ca3	ee994	পাঠকরা
690bdcf921	b8bf0	টানা তিন দিনের হরতালে
690c4f687f	fb4cb	সাবিনাসহ মোট তিনজন মহিলা
690c59491b	e3f89	তাদের একাধিকবার শাসিয়ে দেন
690c714902	f4ba7	একজন তরুণ
690c7318ed	a916a	আমি আমার পুরো জীবনটাতেই
690c8a4ad2	e7230	তবে এর কারণ
690cbdd60d	0d9f1	বিসিবির সংবিধানেও
690ce6e723	e8dde	একজন গৃহস্থের বাড়ি
690ceef26c	5d12f	ওরিয়ন ইনফ্রাস্ট্রাকচার লিমিটেড
690e37c24a	80505	জোরদার করার জন্য
690ea0920c	dae88	বেবর সাহেব
690ebf16fe	e6203	স্বাক্ষরের জন্য
690f5aa8e6	a916a	অবলম্বনে লেখা
690fca1990	17dcd	ফলে দিনকে দিন
691046f690	239f7	চট্টগ্রামের রাজনৈতিক নেতারা
69105632c1	388c9	মাহিকে আর
691065cd53	25696	কি প্রেম দেখাইলা এরই মধ্যে
6911e56b85	29089	অর্থ আয় করতে পারে
691248d910	da6f0	কাজ করছে বলে
69135c3cbc	2d78f	পাকিস্তান ক্রিকেট দল
6913efa74e	323f1	যাত্রাবাড়ী মোড়ের জায়গাটুকু
69140a1dd8	80505	যাইতে হইলে
69147505c5	bbb22	চোট পায় জুডোকারা
6914f2502e	2fe3c	সীমিত আসনের
6914f75f8b	32b3e	ভীমরতিপ্রাপ্তর পরচরিতচর্চা গ্রন্থগুলো
69150497e6	d1b12	আমি বহুবার জ্যাঠামশায়ের শরণাপন্ন হয়ে
6915673689	fb4cb	সে-দলের প্রত্যেকেই
6915885f55	2909b	তাহা হইলে ইনি
6915996c2e	7ed14	দক্ষিণ আফ্রিকার ক্রুগার ন্যাশনাল পার্কে
69159e41af	25696	গুপি কি
6915b5d9cb	93080	তাঁর বিখ্যাত অস্ত্রশালা
6915d7a40d	7e191	এই সময়ের
6915ff1790	7b103	ঢাকায় চলে আসে
69164fc4bc	65652	নতুন ফটো
69165e81e8	d82d9	যুদ্ধাপরাধী ও তাদের প্রভু
691664fae1	e6203	একসময়ের দোর্দন্ডপ্রতাপ
6916881010	28bb3	৫ই মার্চ
6916cf79a7	65e30	নির্বাচনী সরঞ্জাম
6917585cbd	e03fc	২০১৩ সালের সেপ্টেম্বর মাসেই
69177b1e4c	bbb22	তবু সেই রাতেই
6917c264a0	1f733	যাত্রী বাদল হোসেনের
6917ccba1c	c7705	জুতা খুলতে হবে না
6917ecdc28	f280a	৩ হাজার ৯৬৫ টাকা
69180ed7d5	c7705	১ ঘন্টা চেষ্টার পর
691868118f	7351e	এটি অতি ক্ষুদ্রাকৃতির
69188d7478	6ab59	নাম নিয়ে
6918c766da	13b6a	চীনের কাছে হস্তান্তর করেছিল হংকং
6919866877	0d9f1	স্বতন্ত্র ২০৯ জন
6919bbb409	d7a68	এতে প্রায় শতাধিক ছাত্র-ছাত্রী
691a12ebbd	e03fc	সে একাজ করেছে
691abcd8a5	3bea8	পেঁয়াজ কেনা
691b9645e2	2d78f	তার পরিমাণও ক্রমেই কমে আসছিল
691c088218	2c9c5	স্নাতক শ্রেণিতে পড়ালেখা করেন
691c2f30a3	75f18	১৩৫ জন সাধারণ মানুষ
691c3a18d2	2de86	সেই রামপালের বাসিন্দারা
691cbbdb90	2f547	তাহাকে ধরিবার জন্য
691d0dad1a	c11b1	তিনি যে আদর্শ রেখে গেছেন
691d1ef883	9351a	সত্যেন সেনের ভিন্নতরভাবে
691d658f1e	aa820	কাজ না করার ব্যাপারে
691e30da94	93080	মিজানুর রহমান বলেন
691e5308bf	491a5	আমরা পরীক্ষা করে দেখেছি
691e59a09d	65e30	একজন ইংরেজ চলচ্চিত্র পরিচালক
691ee83e71	f143a	চট্টগ্রাম বিশ্ববিদ্যালয়ের
691f572c2b	6973e	একই রকম আরেকটা ছোরা
691fd064ee	9092b	মৃদু শীতকাল সুবিদিত
692019c85f	2bd99	প্রেসিডেন্ট সালভা কির
69212439d5	d71a3	বা শীর্ষ পর্যায়ের নেতাদের
6921a94090	7297e	১৯০৪ সালের ১৩ সেপ্টেম্বর
6921e7fbbe	0d9f1	ছন্দমালা
69221ae311	d9ba9	মঙ্গলবার গভীর রাত পর্যন্ত
69224ca4b4	5d12f	ঢাকায় পুলিশের একজন কর্মকর্তা তিন বিএনপি নেতাকে আটক করার বিষয়টি নিশ্চিত করেছেন।
6922dbf414	1b359	ভেবে পেলেন না
6922ee4dd4	6c6bf	ততক্ষণ পর্যন্ত
692301b2fe	eaa7a	কলকাতা হাইকোর্টের
69230557c0	932bb	রবিবার শুরু হবে
69232ebb6f	f658d	বেসরকারি ক্লিনিকে
692346af66	d2294	বিক্ষোভকারীরা সন্তুষ্ট হবে বলে
692373f390	65652	এক অভিনব পদ্ধতি
692395f4c5	2840e	হুদা ও হায়দারকে
6923f80b81	7aed9	অনেককেই বলতে শোনা গেছে
692401ae94	13b70	আবিষ্কার করার
69241a2ad3	f0f95	মোবাইল ফোন
69245c121a	b4ea7	অন্তহীন জল্পনা চলছিলো
69248af43a	e55de	আমার কাজ করা
6924f4b87e	71522	যা খুশী মনে চায়,
69252745f5	ad2a0	আচঁল
69254916cf	7e1d5	কঠিন তোমাকে ছাড়া একদিন
692571236d	d2294	জঠরজ্বালা নিবৃত্তি করিতেন
692635faa0	e6752	ঋতু পরিবর্তনের সাথে সাথে
6926996992	72649	ওই কিশোরীকে কটুক্তি করলে
6926bb8348	bdfc1	হতে হয়
6926ea9294	086dd	সুচিত্রা সেনের খবর বেরিয়েছে
6927631bd6	29f8c	নতুনভাবে শোষণের চেষ্টায়
692772357b	195f7	সিন্ধু সভ্যতা
69282261b7	7e191	অপরদিকে চরম বিপাকে পড়েছে
69282bcc3f	943de	দুই বছরের জন্য
6928660aa3	b9a81	অভিযোগ করে পুলিশ
69291f81db	29089	উচ্চারণ করতে পারে না
69294c9b97	91ac1	আনা হয়েছে তুলনায়
6929bc787b	2fc12	প্রেসিডেন্ট নির্বাচন
6929e01ec6	56508	ইন্টারনেটে এখন বাংলাদেশের বিভিন্ন ওয়েবসাইটে নিত্যপ্রয়োজনীয় জিনিসপত্র পাওয়া যাচ্ছে।
692a103ff9	06e62	১৬০৮ সালে রাজা অষ্টম হেনরি প্রথম বরফের মেলার আয়োজন করেন।
692addeeed	75936	কয়েকভাগে ভাগ করে
692af1ab2e	4fc91	মাসরুর হোসেন সিদ্দিকী
692b0335b2	f7a7f	একেএম এমদাদুল হক মামুন
692b1fd0bb	bf530	এখনো আমাদের
692b669254	2ee04	জিত
692bd550e1	880ae	আন্দোলনের এক পর্যায়ে
692bf16f7c	4c555	ভারত প্রথমেই ট্র্যাকচ্যুত হয়
692d9f5972	e8dde	আবুধাবির শেখ
692de278c1	b8ed8	অভিনয় থেকে অবসর নেয়ার পর
692e103dc9	577fa	রাজনৈতিক নেতারা এতে
692e317d7b	b9122	থিম পার্ক
692e32c914	4dd57	শ্রীলংকার ব্যাটসম্যান লাহিরু থিরুমানে ১০৮ বলে ১০১ রান করে কাজটা আরো সহজ করে দেন।
692efccf7d	ce629	রায়ের এক পর্যায়ে
692f17c929	d9ba9	বিচার সম্পন্নের উদ্যোগ নেয়
692f26d917	c11b1	ছোট কাঠ পড়িয়াছিল
692f570ff2	bc81e	বিজেপির শাসনামলে
693041644e	80e98	তাই কিছু সময় পর
69305518f3	e2ba2	কবে তোমার
693057d551	3bb15	নরেশ মিত্রের পরিচালনায়
69308d8f92	351dd	পুলিশ বার বার
6930b63929	dba43	বিষয় হবে
6930be02d5	590d0	সরিয়ে আনার
693129dded	75f18	ধ্বংস করে দিয়েছে
69313c0b13	29089	তাঁর ক্ষুদ্রান্ত্রের
69317005c2	31f2a	মৌলিক ধরনের প্রশ্ন
69322f51ff	7df87	বন্ধ রাখা হয়
6932483637	b8bba	শেরপুর জেলা
693278d429	49d63	নিতে চান না
6932d5a18b	e7230	প্রকাশ্যে তার হাতে
69332b7cf9	b618b	ঘুমানো সম্ভব নয়
6933575a35	9d398	শ্রীলংকা ও বাংলাদেশের
69335d0c2d	8cf95	বেঁচে থাকা রেশমার
69337fea50	0744c	সবাইকে তেজগাঁ বিমানবন্দরে যেতে হবে
6933a92936	577fa	একবার বাকেট পাল্টে দিচ্ছে
6933e6c202	14816	তাদের লাশ
693435ceef	c1e30	ঢাকা মহানগরের পূর্ণাঙ্গ
693459259c	43b04	পলাতক এলানের বিরুদ্ধে
693480755d	1e7c6	অর্থাৎ অর্থ-বাণিজ্যের কেন্দ্র
693494f520	2ecf8	আমাদের সংসার চলছে না
6934cdd403	4a918	সুজন বিডিনিউজ টোয়েন্টিফোর ডটকমকে জানান
6935b29326	32c77	তৈরি পোশাক রপ্তানিতে
6936a2c702	f2b7d	উদ্ধার তৎপরতা
6936b4e62e	698a4	চালকদের কাছ থেকে
69376c18b5	37d7e	সক্রিয়ভাবে জড়িত থেকেছেন
6937b5be3a	dae88	রেললাইন উপড়ে ফেলার খবর
6938131b61	6d129	তাদের গ্রেফতার করতে
693823b4c8	2ecf8	মায়ের গর্ভে ভ্রুণ এলে
6938fe95b4	1a4a9	ওকে ধরে রেখেছে রুকিয়া
6939294f76	f280a	বাংলাদেশের স্বাধীনতা অর্জনের পর
693954a169	f1ff2	মধ্যবিত্ত শ্রেণীর দুর্বল অবস্থান
6939d3519d	8c120	স্টেডিয়ামের ভেতরে স্থান পাওয়ার জন্য গতকাল সোমবার রাত থেকেই বহু মানুষ তাঁবু খাটিয়ে স্টেডিয়ামের বাইরে অপেক্ষা করেছেন।
693a8f7330	fdcba	সেইসঙ্গে চুল হবে
693b284130	7351e	সাবেক দলের বিরুদ্ধে
693b332428	8c07c	অন্য কোন দেশেই নয়
693b3347e6	77f82	অপকর্ম করে আসছে
693b70a85c	0d4cb	তবে ঐ চুক্তির মধ্যে
693b7aada7	8b859	আমেরিকার ৫৮ হাজার
693be0d109	5354e	মুন্সীগঞ্জের মাওয়া ঘাটে
693c915f2b	cb1aa	চেষ্টা করল ও
693d907222	76329	গড় ক্ষতি ৬০ মিলিয়ন ডলার
693db8722b	ff970	হঠাৎ করে ভারী শোনাল
693e0e1e49	1e7c7	আসামি করা হয়েছিল
693e150e1b	5dec6	অশোকতরু বন্দ্যোপাধ্যায়ের
693ecebd97	410fa	মুহিত জানিয়েছেন
693f2e587d	9c8dd	সেই পুরনো অবস্থানই
693f57b276	86b1b	চার্জ গঠনের দিন
693f5a3e5b	ef915	তাতে বিপুল পরিমাণ
693fcc835e	ce629	প্রত্যাখ্যান করেছে শ্রমিকপক্ষ
693fd0cfa0	c1e30	অফিসের সব মহিলাদের
693fdd8d29	8406e	কিন্তু বলতে পারছেন না
69400f0e57	b8fe1	বিস্তৃত অঞ্চলের অধিবাসীরা
694040100e	29d44	শহরতলী ব্যান্ডের যাত্রা
6940e27e15	e9589	ইস্কুলের সকল
6941295bff	52578	শুধুমাত্র জরুরী বিভাগে
6941f74399	e31e7	অনেক বেশী হবে
6941feed8b	37d7e	কাম কেয়ারটেকার মোস্তফার সঙ্গে
69421fbcd4	38d3a	এই বিহারটি ছিল
69424e584d	72649	পড়াশোনা ছেড়ে দিয়ে
6943594577	83c53	মৌমাছি
6943597620	7d133	যে কোন অচেনা অজানা
69435ba10e	f2097	প্রতিদিন বেঁচে আছি
69437c8c56	33aef	খুনের অভিযোগে জগৎ সরকারকে
6943be61ff	a8710	তাকে খুন করা হয়েছে ধারণায়
6943f7d8e7	b618b	কোন কোন বিষয়ে এক্ষণে
69446c0400	4a67e	আই লাভ ইউ
69447c52aa	e9589	মহাখালী বাস টার্মিনাল ছিল
69448f6106	54cdd	অজানা ঢাকাকে খুলে দিলেন
6944fff49f	cb842	ফুটবল তারকা
69454779d6	6c17f	নীরব ছিলেন
694557299d	8edea	এ ছাড়া হেরাক্লেয়নে
694565120b	a06a1	প্রচণ্ড গতিতে ঘুরছিল
6945a43b1f	2695f	কামিজ
6945ce3094	1279e	আমার মুখ দিয়ে
694625b582	c41d8	যেগুলো আমরা করছি
6946312050	0e637	পাছেরটা আসিয়া
69464712ea	72649	আমাদেরই চোখের সামনে ঘটল
694677ba37	65e30	বাংলাদেশের উদ্বেগ রয়েছে
6946a4ef8c	14d25	ভাষাগত দিক দিয়ে
6946e8fec4	39dd0	আসবার বেলা আটকাক
69473bb768	6ab59	রবীন্দ্র ভুবনে বইয়ে
6947b6138e	2c9c5	ফলে যে কোন সময়
6947f60df1	76329	ভালো মানের প্রদর্শন
694829fd2f	4ea73	গ্রাউন্ডের বাইরেও
69485a53a6	577fa	ক্ষমা চাইতে বললে
694885f437	2556b	আমরা কিছু তরুণ কবি
6949b7d5bf	a8710	এসেছিলেন বিশ্ববিদ্যালয়ের ছাত্র
6949e5af83	3fc9d	প্রথম ব্যক্তি
694a0b88ed	1279e	কাজ করছেন ফারহানা
694a4b0100	cb627	ঢাকা বেতারে
694aa390ee	baa02	বিভিন্ন সময়ে
694bcdf90d	69d9a	কয়েক রাউন্ড গুলি চালিয়ে
694bf3878a	2f547	থাকতে দেখা গেছে
694bfcb3f6	14d25	পিঁপড়েকে উড়িয়ে নিল
694cbe0d24	16877	৪ থেকে ৭ নম্বর
694d3374d9	d9817	নারী-পুরুষের
694d34729c	79b06	এশিয়া কাপ আয়োজিত হয়ে আসছে
694df5f309	239f7	আমি একজন ইনট্রোভার্ট
694e464a88	b78ec	উর্দু জানলেই হবে না
694e69d111	eb179	ফুলসজ্জার রাত
694f194efe	554fe	বৈদ্যাবাটীর বাবুরাম বাবু
