cc00110e79	76329	নাবিকেরা লেপ্টে আছে
cc0027a9c3	7f2ef	কিন্তু এতে
cc00f665ef	5cb47	যুক্ত হয়ে সাধারণত
cc015dddf4	80539	লোভী
cc018ec1b0	a7c6f	অ্যালুমিনিয়াম
cc019b9313	0d8c1	অপরাজিত আছেন
cc01ae2b00	f0f95	বলে বর্ণনা করেছেন
cc0234b377	c0d65	খাড়িটি বড় সুন্দর
cc025be73f	16877	নজিরবিহীন উন্মাদনা
cc028010c5	9813c	পরিণামকেই যেন চিহ্নিত করেন
cc033af60d	1c618	গেঁতু হাতে বটি নিয়ে
cc03431a18	39293	পানামা খাল
cc036344e5	8a46d	আজকে ফ্লাড লাইট
cc03a73a96	1e7c6	একটি শিশুর
cc048bf40c	6e8cb	পেষণ থামিয়ে
cc04968ae7	ee852	তাদের এসব বিলবোর্ড
cc05492027	9c8dd	ভিসা প্রদানে
cc05550e70	1e7c7	সামিউল্লাহ সেনওয়ারির বলে
cc05c19f82	06ea3	নাসিমাকে আটকের
cc069a8726	6aac8	খিদে পেয়েছে
cc06a974fe	b618b	আজ থেকে প্রায়
cc06dc7d78	8845d	মৌলের অন্তত
cc072140f1	b8bba	আলোকচিত্রীকে এই পুরস্কার দেয়
cc074ccb10	c5dc8	সায়েন্সল্যাব ও আসাদগেইট
cc076119a1	ced74	আয় হয় না
cc07b772bd	8c120	এ খবর ছড়িয়ে পড়লে
cc0839c6df	4c555	কৃষ্ণ চটিয়া লাল
cc08408d1d	60b9d	অ্যামেচার বক্সার
cc08af1f4e	13b70	তা নিয়েই অনন্তকাল
cc08de0bc0	9e923	আমরা কাজ করব
cc08f74513	3fc9d	সংমিশ্রন করে
cc094ab07a	ad2a0	জাতীয়করণের লক্ষ্যে
cc09fce35a	616ec	বাড়িটির এক মালী
cc0a52d8f2	95907	একসঙ্গেই বর্ণবাদের বিরুদ্ধে
cc0a8a33a8	2ac82	পুলিশ আরো জানিয়েছে
cc0a9ed103	7f2ef	এক শিক্ষক জানান
cc0ad5405a	6b437	আমি বুঝিতে পারিলাম
cc0aef2634	b8bba	উট
cc0afa9cee	a0277	দুঃখের বিবরণ স্মরণ করিয়া
cc0bb165f9	6c6bf	সেটা আমরা হতে দিবোনা
cc0bc63afb	b8ed8	তাই ডেটা রিকভারি
cc0bccdcf3	21e54	হাসঁপুর থেকে
cc0bf306ba	4f450	আনুমানিক ৪৭০.২ মিলিয়ন ইউরো
cc0bfa09d4	29089	লেখার এমনই যাদু
cc0c013eb0	fbb81	আফ্রিকান ইউনিয়ন এই বিচারগুলোকে ঘিরে আইসিসি থেকে বের হয়ে যাবার বিষয়ে আলোচনা করলেও শেষ পর্যন্ত সমর্থন পায়নি।
cc0c0d0301	49d63	বাংলাদেশে গত দুই দশক ধরে শ্রম আইন নিয়ে কাজ করছেন আইনজীবী নেসার আহমেদ।
cc0c21423e	404ee	রাষ্ট্রদূত হামিদ আবুতালেবি
cc0c6ec6cd	16877	পুরুষতন্ত্র যুগে যুগে
cc0ca15bea	38ff0	নেপালের ছোট্ট মেয়ে
cc0cae31af	ff970	ফলে অচল অবস্থায় রয়েছে
cc0cd20c9d	05901	কোনো নতুন বৈজ্ঞানিক ভাবনায়
cc0cf0fec1	c0965	কনডম
cc0d5f7893	e00db	সকলে আরম্ভ করিল
cc0d87bd63	9f25e	একই মুখে
cc0d926ad0	06736	শেষমেষ সবাই
cc0da0eccc	91230	চার্লি চ্যাপলিন
cc0da967d8	693cb	চৈতালি মরে গেলেও
cc0e511e9f	b618b	মানুষের দেহের
cc0e824ea5	e43d4	বর্তমানে আমাদের
cc0e87d2c9	880ae	ঘোষণা রয়েছে তাদের
cc0ea6224a	25117	বাসে ওঠার সাথে সাথেই
cc0f1ba4c7	730c3	মার্জনা করা যায়, কেন না
cc0f34ecaa	95907	ওসমান ফারুক
cc0f526348	f4ba7	ইংরেজি বুঝত না
cc0f891f77	ee852	আমাদিগকে যাহা করিতে হয়
cc1006a86d	91dff	শুধুই একজন কবি
cc1015250b	7ee9b	কি পারবে
cc102ea885	256f5	নির্বাচিত প্রতিনিধি
cc105bd955	9d46f	গুরুতর আহত ও নিহত হন
cc108da4da	6e6fa	ব্রাজুকা
cc11522d48	0895a	যেসব ঘটনা ঘটেছে তা নতুন
cc119fa1dc	fcc89	তুমি কী এখন
cc11a4652e	11bd2	ফেডারেশন
cc12069023	fcefa	এ্যানিমেশন বা সজীবতা হচ্ছে
cc12135315	43199	নানা সীমাবদ্ধতা সত্ত্বেও
cc124cb490	73629	আসামি পক্ষের আইনজীবী
cc12922831	91223	অনেক নাবিক ঘুমিয়ে ছিলেন
cc12a0c635	420df	দলের কোনও সদস্যকে
cc12c57b91	c7a89	তবে এর সংখ্যা কত
cc135318f6	d5f7b	আধাঘন্টার মধ্যেই
cc13cb075a	7b900	গরু
cc14147ba0	91223	পোশাক
cc149012f5	d5213	কার্যকর করা হয়েছে
cc14baa32e	3fc9d	পরিবারের সবাই
cc14e5a63e	943de	তাদের মূল অনুভূতি
cc15579527	870e3	মার্কিন ডলারের ঋণপত্র খোলা হয়েছে
cc1569df76	61820	সিআরপি থেকে ছাড়া পাবেন
cc15f7b6f5	0c39f	বুঝিতে পারিতাম কি না
cc16cc6655	0c39f	বাঙালি মুসলমান সম্প্রদায়ের
cc175a9d56	f2b7d	প্রথমতঃ উন্নতির পথে
cc17f281a8	91223	নাশকতার বিভিন্ন মামলা রয়েছে
cc181b875e	95f83	জীবনের বিচিত্র পথ তৈরি করে
cc18809f3e	1f733	পাত্র হিসেবে পরিচিত
cc1925fc84	21e54	জীবনে বিজ্ঞানের
cc19954ed6	d1a48	গুরুতর আহত হয়
cc19a89fdd	61820	গাছের মূল
cc1a01578a	7ed14	তিনি তাঁর কবিবন্ধু সম্পর্ক
cc1a2a3e1a	e68af	গুড সেলার হবে
cc1a87946c	6da0a	ওপর এর প্রভাব কী পড়বে
cc1aa29833	b2a62	শিল্প, বাণিজ্য ও শিক্ষাকেন্দ্র
cc1aafe70b	11915	কিন্তু লিডারশিপ দক্ষতায় লিংকন
cc1abddd28	57d54	কৌশলের বিদায়ের পর
cc1baac695	6da0a	অনেক কর্ম করিয়া
cc1c27961c	3faff	বাঙালি হওয়ার শখ জাগে
cc1d8431f5	967fd	মিজানুর রহমান
cc1d9af8a6	01e91	আমার ছেলে আর্থার
cc1e4bf208	5dd61	ব্যাংকটির লক্ষ্যমাত্রা ছিল
cc1e5f5684	28bb3	অনেকের কাছে গল্প মনে হলেও
cc1e64e19b	f29bf	সিএনজেডএম
cc1e74f0f0	a1d4a	দীর্ঘদিন মানিকগঞ্জ জেলা কমিটি
cc1eb480ae	8b859	উল্লেখিত ছবি তিনটিও
cc1f0529fd	16cfb	তারু খলিফার
cc1f1efaea	33814	সমস্ত হোম্স্-কাহিনীর ছবি
cc1f22e1ad	2bd99	নয় হাজার ৯৫৭ জন ছাত্র
cc1f55d54a	e2ff7	নিলেও তা বাস্তবায়নের আগে
cc1f8bd1ea	cd3ac	হওয়ার কথা ছিল
cc1fccdd1c	153c9	ইনিংস খেলেন
cc1ffe75e6	3f875	এই করোনা জাতীয় ভাইরাস আছে
cc200c2154	47e8d	কিন্তু সরকার পতন কি
cc20121472	68549	মাত্র ১০১টি আসন
cc207b7714	2556b	রাজামশাই সশরীরে
cc208bee46	06e62	এবার দশম জাতীয় সংসদ নির্বাচনে
cc208d4881	16877	শিংমাছের ঝোল
cc20d37b0f	92f59	বিস্ফোরণের পরই সাবমেরিনটি ধীরে ধীরে পানিতে তলিয়ে যায়।
cc20e3130b	14d25	যখন চট্টগ্রামে ছিলেন
cc20e390b0	c958a	ভাষাকে বোঝায়
cc20f80024	80518	এবং ৫০ জন আহত হয়
cc218c41ee	d0c70	উজাড় করে দিচ্ছি
cc22547fbb	a3a6d	প্রতিশ্রুতিতে নয়
cc22cb7478	6fb36	চন্দন কাঠের চিতায শুয়ে়
cc22d9a31a	5639c	সামনের ডান দিকে
cc23b6120d	0a7a0	নহিলে পারি না
cc23b67eba	66dcd	তার মত কি আর কেউ নেই
cc23b9539d	590d0	বাসায় থাকা ৫ নারীকে
cc243d9579	92bd8	অর্থনৈতিক চিন্তাভাবনার
cc249dde77	b08d0	আসতে থাকে
cc24dcc98a	5b13f	ক্রেতাদের
cc24e2643d	f0f95	হাল সিটির গোলরক্ষককে
cc24e28429	92bb2	মহারাজ
cc2535f28d	bd576	জন্ম নেয়া সুচিত্রার শৈশব
cc25cc3603	28dfc	পিছিয়ে থাকতে চাইনা
cc25d0b15f	44322	আমি আমার বাসায়
cc266530fc	2ee04	গীবত
cc2705f039	1de6c	ফুটিয়ে তুলেছে
cc270d8e43	aab0f	লিখিত বক্তব্য পাঠ করেন
cc27373d90	28dfc	কুকুরটাকে দেখতে পাসনি
cc27e242ed	72649	আজ ৪৯ জন
cc2891556a	fb4cb	ব্যালট পেপারসহ
cc28b75faf	dec2d	বিগত সময়গুলোতে তিনি
cc28fa7635	f9dfb	আপনারা দুজন
cc28fde9f1	860f4	৪ পয়েন্ট
cc294b682c	6973e	তিনি রেকর্ড করেছেন
cc29862dad	4ea73	আশিয়ান সিটি আবাসিক প্রকল্পকে
cc29b73a2a	420df	না হওয়া পর্যন্ত বেক করুন
cc29da6c4a	b4ea7	সরকারি মালিকানাধীন
