840012549a	a43b5	আরিচার বুকে
840028bf24	730c3	বিষয়টা ভারতকে
8400625e8d	38d3a	তত্ত্বাবধায়ক সরকার ইস্যুতে
84008c2bad	65e30	বসিয়া আছে
8400b9a87d	a06a1	মুর এলাকায় প্রায়
8400fd0e24	ee7b2	অধিকার আদায়ের সম্ভাবনা
840123f12d	e31e7	মিজোরাম সীমান্তের প্রস্তাব
840125803c	25117	জবানবন্দি দেয়া শেষ করেন
8401507ace	91dff	ফলে প্রস্তুতি ছিল
840160616b	6da0a	দায়িত্ব নেয়ার পর থেকেই
8401b2f8e3	e03fc	র‍্যাবের মুখপাত্র হিসেবে পরিচিত
8401e3794f	5b13f	দাম বাড়ার কারণে
840241b91f	83c53	পাবনার সাঁথিয়ার বনগ্রামে
8402646c97	ac904	জাতিসংঘ এবং আইএমএএফের
8402a034bf	8632b	ঢাকায় যানজটের সৃষ্টি হওয়া
8402cc1ad4	a699c	সেই বদ হাওয়া
8402e76832	e2c11	নৃতত্ব অনুসারে
840434c42e	0a7a0	আয় রে
84049fb226	61820	প্রাথমিক রূপরেখা দিয়েছি
8404aace25	bc81e	হুমকি দেয়াহচ্ছে
8404c519cf	15a75	নিজের জন্য নিজের
840560f01a	d71a3	সরকারের ভূমিকা
8405b5edad	2d78f	তাজরীন গার্মেন্টসে অগ্নিকান্ডে একশ’র বেশি শ্রমিকের মৃত্যুর পর দায়ীদের শাস্তি দিতে আন্তর্জাতিক চাপও বাড়ছে।
8405c44f96	6fb36	তিনি সক্রিয় হয়ে পড়েন
8405e47728	f2b7d	নির্দিষ্ট চেয়ারে বসে
84060565c2	7351e	নগদ ৫০ হাজার টাকা
840624d6ca	967fd	যাওয়ার কথা
84066b83cc	d2d71	৫ শতাংশ করার দাবি জানান
8406c57819	80e98	প্রকৃত দোজখের রূপ দেখার জন্য
8406d7703c	577fa	উর্দু সব কাগজের
8406ea6541	91b16	ওই গাড়িতে লিফট নিয়েছিলেন
840705c70a	430b2	তেঁতুলের প্রসঙ্গ তো
84078044d5	b08d0	এমন মুখোমুখি অবস্থানে
8407cb9f02	9fa90	এই প্রতারকরা অভিনব উপায়ে
8407f415cc	9092b	আমরা এখন যে পদার্থকে
84084b2de4	bdfc1	কবে হবে সেটি নয়
8408513031	6a35e	ক্যাডমিয়াম সালফাইড
84089320d2	3f875	সে রকমই
8408f861fc	d1a48	রাতের বেলায় ম্যাচ চলার সময়
8409123f18	95907	লোকের চোখে কৌতূহল
84093a6b78	2f547	বোয়িংয়ে কাজ করতেন
840952c2bd	28dfc	এই তদন্তকারী কর্মকর্তা বলেন
840968af9a	29d44	সরকার ট্রানজিট সহ
8409da59dc	e9589	আমাকে নিয়ে যাওয়া হবে
840a0b071f	ee852	এবং বিশ্বের প্রাচীনতম
840a701a9b	e3d8b	আর্মড পুলিশকে
840b153ac7	fd880	সংযোগ নেওয়া হয়
840b1c94e5	80518	১৯৪৭ সনের আগে যেরূপ ছিল
840b9ff6a0	28bb3	প্রতি সপ্তাহে
840c18b64e	bfac7	ঢাকা ও চট্টগ্রামের সঙ্গে
840cc7074d	eecdd	৩৬ মিনিটে
840cfb5348	fcefa	সরকার দায়িত্ব পালনে
840d061472	cc9fd	মেয়েরা ঋতুবতী হওয়ার পর
840d322aec	491a5	দৃষ্টির বিভ্রম ঘটে তেমনি
