67003329d2	d9081	অন্যভাবে বলা যায়
6700588c2f	976b1	এখানেই নির্বাসিত দিনাতিপাত করেছিলেন
670094d518	11de3	কাছে গিয়ে
67012e348e	7a227	সে ভারতীয়
670156a119	ef4f8	এমন চরিত্র সৃষ্টির মধ্য দিয়া
6701dea4fb	0bace	ভারতীয় সীমান্তরক্ষা বাহিনীর সঙ্গে
67023fedd9	07660	প্রভাব এসে
6702577260	fd880	কত জায়গায় ঘুরিল
6702b8a52e	c7705	প্রমাণ ছিল
6702cc554f	274ee	দুধের সাবান শনাক্ত করার জন্য ফেনফথেলিন টেস্ট করতে পারেন।
6703955106	ad69a	কোন দ্বন্দ্ব সৃষ্টি করেছে
6703a9fae7	10a9f	তাহলে রবীন্দ্রনাথের
6703c5e496	06527	তাই এ রেখাকে
6704195c18	68ab7	ব্যাপকভাবে সম্পৃক্ত করার
670423c0c7	f280a	জাতিসংঘের যে অস্ত্র পরিদর্শকরা
67048f6bbf	4f2ae	বঙ্গবন্ধু সাফারি পার্ক
67058302e4	a699c	রাত সাড়ে ১২টার দিকে
67063e7aff	cb1aa	ইয়াংগুন বিশ্ববিদ্যালয়ে
67065df4e5	9351a	পরীক্ষা কেন্দ্রে
670762e5c9	ac0df	তাঁর লক্ষ্য হচ্ছে
6707f03cac	e3f89	বাঁশি দিয়ে
6707f61b26	e9759	যিনি পীড়ার আশঙ্কা করিতেছিলেন
6708921803	809cd	জামাতা-শাশুড়ীর সম্পর্ক যে
6708e869e7	8ba2b	এটি আর একটি দরবার
6708f72671	68549	পিতামাতার সম্পদের উত্তরাধিকারী হবেনা
670967fd13	9642e	যাকে বলে রীতিমতো উত্তেজিত
670b554c3b	0a87a	এটাও স্পষ্ট হয়ে গেছে যে
670bb8e5d0	9f25e	এ ধরনের ঘটনার বিষয়ে
670d0146eb	9b864	ক্যালোরিযুক্ত খাবার
670d059d71	2de86	মাশরুম চাষ
670d1aa2ad	1e7c7	ফুটবল ২০১৪
670d2e063d	430b2	একসঙ্গে প্রকাশ করা হতে পারে
670d42dae5	bdfc1	জামায়াত নেতাকর্মীরা
670d72c1d4	2fc12	আমীর হোসেন খান বাদী হয়ে
670d939570	66c6b	বঙ্কিমচন্দ্র চট্টোপাধ্যায়ের
670e036b83	7b900	বিদ্যুতের দাম বাড়ানো হল
670e0a7127	c9c19	একটা রিকশার গা ঘেঁষে
670e39fe2a	fd880	মুখে সিগারেট আর ট্যাটু
670e5baa18	d9817	অভিমানী
670e840ffc	69d9a	উৎপাদিত পোশাক কিনতো
670ea71402	b2a62	কাঁদাকাটা করিলেন
670ee853ec	25696	ভ্রমণ
670f11f0aa	d9ba9	হাই কোর্টে জামিন চাইলে
6710b19cc9	06bb7	জীবন রক্ষা করে
6711939ae2	f0f95	তা অবশ্য এখনও
6711da460e	491a5	প্রাকৃতিক সন্তানের মতো
6712a1ecb7	767ff	১৯৫২ সালে ‘শেষ কোথায়’ নামে
6712b10239	4bd2c	সাদ হত্যার বিচারের দাবিতে
6712c1b8af	b8bf0	ইসলামী আন্দোলন
6712d0bfd7	3c897	এমনি কথাবার্তা বলছে
6712edb2a6	eaa7a	মিথ্যা
6712f7adff	2556b	সাজানো ৬টি চার
67130ab9c7	f6e55	বাঘের সৌন্দর্য ও ভয়াবহতার
6713132859	388c9	প্রতিরোধ করিতে চায়
6713902fc9	616ec	এক নার্সের জবানিতে শুনুন
6713c4b1cc	4fbd1	প্রধান রাজনৈতিক দল দুটির একটি
67141291b8	195f7	মর্গের সামনে ছিলেন
6715039523	0606d	দিনাজপুর নিয়ে আসা হচ্ছিল
671633187d	75626	জন্মের পর তিনি
671698f1ad	1279e	তাদের প্রভাবের
6716c7c271	8406e	যুক্তরাষ্ট্রের নেতৃত্বে
6717212c4b	f837a	বার্সার হয়ে
6717230558	730c3	ন্যূনতম ১৫০ টাকা বিক্রি
671726ecb2	a1d4a	রংপুর বিভাগীয় কমিশনার
6717c69a5b	29bab	নীতিমালা করা হয়
67187f91dc	e3f89	কর্মসংস্থান পত্রিকা
67189e26d1	bfac7	উনবিংশ শতাব্দীর
6718b4c989	68549	এছাড়া যশোর-মাগুরা সড়কে
6718c4325c	95907	অফিসে পৌঁছাতে
6718f3bf2f	7c272	পদার্থবিজ্ঞান বিষয়ে
6719187a3b	bdd05	ভালবাসার কষ্ট
6719b6cf9f	24aed	বয়াতি ছিলেন
6719cc24a9	75626	আমার ভয় হচ্ছে
671a95ed55	dafb6	প্রক্রিয়া চালু করার জন্য
671aaa69cb	4237e	অবশ্য সমস্যা ছিল
671ae89dd8	5cb47	থ্রিডি ক্যানাবিস সেন্টারের মালিক
671b1ee676	4fbd1	বঙ্গবন্ধু ছিলেন এর নেতা
671b1fd0d4	536d9	জার্মানির পররাষ্ট্রমন্ত্রী কিয়েভে বলেন রাশিয়া ইউরোপকে ভাঙ্গার চেষ্টা করছে।
671b314723	bc81e	আমার বাড়িতে
671b736b82	287bd	লাইফ গার্ডের
671b9a20a7	fdcba	গোড়াতেই নির্ণয় করতে পারলে
671bf067e0	4c1eb	যা গেমসের টিকিট
671cb56c67	68549	সেনাবাহিনীর ৫০ হাজার সদস্য
671d0fc604	d7a68	নভেম্বর মাসের শেষ দিকে
671d915736	e6d83	বাংলাদেশিদের লাইক বা হিটই বেশি
671e116495	64092	বাইচা আছে
671e592afe	92bb2	নিয়ে যাওয়া হয় ট্রফি দুটো
671e5ebf20	7297e	অনেককে সরকার
671e7d806f	7f2ef	আমি মরিয়া হয়ে উঠলাম
671eff9936	3faff	আইনসভা ও স্থানীয় সরকারের
671f65d427	14d25	অনেকগুলো মেয়েকে
67200489ba	b78ec	উন্মুক্ত বিশ্ববিদ্যালয়
67201b314b	56508	উৎসে কর
67201b7c9a	09f0d	আল্লাহকে মানতে বাধ্য
67201fb31d	f1240	ফিরে আসুন
6720251215	bbb22	ছিলেন কলকাতা বিশ্ববিদ্যালয়ের
6720609d38	c8f7f	অত্যন্ত গুরুত্বপূর্ণ
6720a8bc37	4fc91	ভিন্ন ভিন্ন পরমাণু
6720bb123b	282d3	দেশের নাম
67224e7a87	2695f	পছন্দ করে
6722a78104	91dff	বন্দরটি ভারতের
6722f752c9	ad69a	যেকোন একটিতে কথা বলেন
6723565f15	9092b	তার উত্তর একটাই ছিল
6723826f07	e9fa7	সংবিধান লঙ্ঘিত হয়েছে
6723d19312	80e98	ভারতীয় হ্যাকারদের কবলে
672413edb4	fb4cb	বাড়িসুদ্ধ সবাইকে
67242da7c4	1b359	গুরুত্বপূর্ণ হয়ে
67242dbab0	1b359	বাড়তি অস্ত্রের জন্য
67245945ee	25696	নিরাপদ মনে করতে
6724ec6854	3bea8	বিশেষ করে মামলার বাদীদের ক্ষেত্রে
672519fb96	91ac1	ঠিক ছেলেপুলের হাসির মতো শোনায়
6725783a6a	0895a	আয়োজন করে
6725cf6706	e2f12	পর্তুগালের লিসবনে অনুষ্ঠিত হবে
672673a087	c7705	সাফারি পার্ক গাজিপুর
67268585a3	1f974	আরেকটু হলেই
6726db26f9	91ac1	এছাড়াও মাথিয়াং
6726e701fb	35ef3	রোববারের এই বিতর্কিত
672744c5f6	9092b	প্রামাণিক পুস্তক বলিয়া গণ্য হইবে
67276272c3	24f73	কিছু কিছু শাখা-প্রশাখা
6727d09217	e9fa7	চোরকে পুলিশে সোপর্দ করেছে জনতা
6728592e66	86b1b	দৈর্ঘ্যের প্রভাবকে
6728fc19dc	880ae	এখানে বড় প্রশ্ন হচ্ছে
6729261587	239f7	গণজাগরণ মঞ্চের সমাবেশ প্রতিরোধে হেফাজত ইসলামের ডাকা হরতালও স্থগিত করা হয়েছে।
6729845d1f	5dd61	মিজানুর রহমান খানকে
672a0f2800	b8ed8	শুরু হওয়া এই সমাবেশে
672ac2b318	e754e	মাছরাঙা টেলিভিশনে শুরু হচ্ছে
672ae3641e	cc18a	এই প্রতিষ্ঠান থেকে
672bbe4d7d	d8c80	শিশু পার্ক
672c312b94	7f71c	দাবী মাসুমের
672c64d555	274ee	টি-টোয়েন্টি বিশ্বকাপ
672cbae842	b8bf0	হ্যাটট্রিকসহ ৬ উইকেট
672d6edd59	0d9f1	কিন্তু এ দিক থেকে
672dc9006e	06736	মন্ত্রণালয় বলেছে
672e6ebdcc	6e8cb	পরিবারের সদস্যদের সমবেদনা জানান
672eefc805	80be1	কোন বৈষম্য যেন
672f2b3371	76329	আধুনিক বাংলা কাব্যের
672f7290fb	e03fc	বাংলাদেশের মুক্তিযুদ্ধ
672f7f07c8	06ea3	কয়েকটি উইকেট হারিয়েছিলাম
672fa52e3c	91b16	সাভারের বেদেপাড়ার বাসিন্দা
6730d145ae	77f82	টমাস নল
67312722f6	cb1aa	লাভ ও মূল টাকা
6731901238	4a67e	সাগর সেচিলাম
673195a86f	d9817	একই ধরনের মন্তব্য করেন
6731c1cb46	ad69a	কামনা বাসনা
6731d3961e	43b04	স্বাক্ষর মেলে
6732ad3a54	d82d9	বড় মামা একই রকম
6732c5826d	f1ea4	এটা ভাবা নির্মাতাদের জন্য
67330012e0	3fae0	প্রদর্শনীতে ল্যান্ড অব ফ্যান্টাসি নামে
6734ec0ddc	f658d	এমনকি আমাদের
67353d9b20	80e98	চোট থেকে সেরে উঠেছেন মেসি
6735d5aee3	7d004	একজন বিশিষ্ট জার্মান বিজ্ঞানী
673681231a	10a9f	চিরতা
6736ac50d1	14816	যেরূপ পাষাণ
6736c28c46	29f8c	আটিবাজার ছেড়ে
6736ce0fd2	2d98b	বিবিআনার
6736e37ecc	ff0fe	জবানবন্দী রেকর্ড করার
6737016019	8845d	মনে করিয়াছে
6737b15d93	2ee04	কাজী হাবিবুল আউয়াল
6738c193a0	6d129	চইলা গেল
6739248462	28bb3	আমি গান গাইতে চেয়েছিলাম
67393c4a0b	086dd	তবে টিপাইমুখ নিয়ে কী হবে
6739569305	e9fa7	বেহায়াপনার কথা বলিয়া
67395719eb	f0f95	আমার জীবনে
673975b40a	f1240	কাজল নদী
6739822301	ee4ad	তিনি লন্ডন ইউনিভার্সিটিতে পড়াকালীন
673a1a161a	7027a	বাংলা রসালো
673a3d21df	a0277	তাঁদের মাহফিল হয় না পরিত্যক্ত
673a7595e0	f658d	প্রতিদিনই যান
673a7fbe4a	3c897	আলু ২২ টাকা
673aafd22b	76329	বলিতে শিখিয়াছি
673addaf0f	2ee04	আরটিভিতে
673b2a9add	b8bf0	ওই এলাকাটিতে মৌসুমী বন্যায়
673c424f42	274ee	মৌলিক পরিবর্তন ঘটায়
