d40051d2f8	56508	অবসান ঘটে
d4006d0e3b	ac904	মুক্তিযুদ্ধ নিয়ে গত ৩৯ বছরে
d400d5d738	6b437	পাঞ্জাবের সেরা বোলার সন্দীপ শর্মা
d400e63dd2	8ba2b	খোয়াবনামা ও চেলেকোঠার সেপাই
d4010bef21	0895a	বেছে নিতে পারে আইসিসি
d40149f346	195f7	স্বামীর সঙ্গে
d401582bbf	95f83	কোন মন্তব্য করেননি
d402151461	61820	ভবনের সামনে থেকে
d4025f5847	9813c	পুরুষ যত ক্ষতি করতে পারে নারীর
d402f5e7c4	f89d7	জানা যাচ্ছে
d403905e63	ba2f6	উদ্ধৃত করিব
d403dcc763	1e7c7	আর একদিকে যারা
d403ebacfd	09f0d	পর্যায় সারণি
d404271088	f2097	১১২ ডলারের ওপরে
d4048640c9	43fc0	দেশে এবং দেশের বাইরে
d4048badd9	e3d8b	হাতবোমা বিস্ফোরিত হয়
d4049aac27	3fb17	যদিও ভালো আচরণের জন্য
d4055035df	7e191	তিনি আবারও অভিযোগ করেন
d405a332a4	2d78f	একটু পরেই দেখলে
d405f3ed44	14d25	আগামী নির্বাচন
d40653ed65	195f7	সেই সঙ্গে
d40665ec1a	61820	প্রয়োজনীয় সব সামগ্রী
d406e391f6	c5dc8	চিমনির মুখে শোনো
d4070307c6	0e637	দেখিতে পাই না
d407379bba	59c73	নির্বাচনে আনার দায়িত্ব
d40847580a	28dfc	বেশ কয়েকবার গুরুতর
d408c335c4	6fb36	ধরা যেতে পারে
d408cd82de	18460	ব্যবহৃত সড়কগুলো
d409e0ac66	2556b	আর 'বাংলার বাণী'র
d40a35d5b6	25696	এবং পরে হাসপাতালে
d40a5424f4	9813c	প্রধান প্রশাসনিক
d40a610ba3	06736	আন্তর্জাতিক সংস্থা
d40a66e9ee	eb179	তা জনিই বলতে পারবে
d40a6bbd72	23291	ডেথলি হ্যালোস চলচ্চিত্রে
d40b2f0d7c	1652d	বাকীদেরও হতাশ করেনি কর্তৃপক্ষ
d40b44c116	e6e48	তাদের ব্যবহার সে জানে না
d40b667118	7e191	মানুষ
d40b6aea99	d0c70	টিপু সুলতানের চরিত্র ছিল
d40bba4f23	28bb3	এই গাছের গল্প
d40c3f315e	7df87	অগ্ন্যুৎপাতের ঘটনায়
d40c515728	ad050	পরিবার থেকে পাই
d40d1d6d90	e2c11	সাক্ষ্যদাতাদের বক্তব্য অনুসারে
d40ded1837	ee7b2	পালন করতে যাচ্ছে
d40e0f550a	43199	তক্ষুনি দেখা করতে হবে
d40e2899ac	adf01	পাঁচটি গান আছে
d40f900a95	a699c	শাস্ত্রের ভূমি ছেড়ে
d410238cbc	92f59	পুলিশের হেফাজতে রয়েছে
d4103f65e0	778c0	তফসিল ঘোষণা করে নির্বাচন কমিশন
d410d194c1	ad69a	প্রতিটি ইনিংসে
d411238b63	d5213	আজ সোমবার দুপুরে
d411c997d2	d711f	রেখা
d41222f777	a274b	আনামুল হক করেন
d4123f89ff	5354e	ভালোবাসতে পারতো পুরুষ
d4128c4823	f9dfb	সেটা নির্বাচনী ফল নির্ধারণে
d412bda408	4f2ae	কাজ বলে সন্দেহ
d413eb580f	d1b12	তার একটি ইতিকথা
d414050f01	17ca1	মৌসুম শেষ হওয়ার কথা
d4140e06c3	4f450	এ সম্পর্কে তাঁর বিখ্যাত উক্তি
d4143b23e1	d9081	বাবা-মায়ের
d4143ff917	a699c	রাইফেল গর্জে উঠল
d414513566	9092b	সিরিজ সেরা
d415264821	3fce2	নিষ্ঠার সঙ্গে
d4153c1e97	ef915	একচ্ছত্ব্য রাজাও বলেন অনেকে
d415e99309	4c1eb	নির্বাচনে গণতান্ত্রিক সরকার আসার পর
d416d1afed	bfac7	মনোনয়নপত্র জমা দিতে হবে
d416f194bf	3fb17	প্রতিমন্ত্রী পদমর্যাদার
d4175f516c	0895a	এবং চট্টগ্রাম বিমানবন্দর থেকেও
d417bb5e06	4fbd1	সৌন্দর্যের বৃক্ষ
d417c5a70f	c11b1	ইল্যান্সের দুটি ওয়ার্কশপ
d41821428f	bd576	এই গ্রামটি এক সময়ে
d4189d1447	3f875	ঈদের ছবি
d418c7bfe1	b8bf0	আর পরিস্থিতি
d419a643d2	f0f95	বাংলাদেশ সংলাপ শুনেছেন
d419c8d825	5cb47	ঝলমলে এক ইনিংস
d419ed3d32	8c120	বাঘা বলল
d41a3e7a7e	6da0a	জয়লাভ করে যারা
d41a43dbbe	e8dde	দশবিধ শুদ্ধিজনক
d41a5aac7e	46da4	ক্রিকেট দর্শনের কথা
d41aa5a5b2	2ee04	ভাঙ্গিয়া দিয়া গেলেন
d41abc8bb2	b8fe1	আমার আপনার ঘরের
