8c00776904	11915	কেন্দ্র সবুজ সংকেত দিলেই
8c007ea56d	410fa	দলে শৃঙ্খলাজনিত কোনো সমস্যা নেই
8c0091206c	25696	হলুদ চাকতি
8c00ae9909	e03fc	দুজনই বিনামূল্যে ওষুধ পাওয়ায়
8c00b292bb	d3e06	এখন পর্যন্ত পৃথিবীর
8c00be1e94	b52ab	কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে ১৯৬৪ সালে ফলিত গণিত ও তাত্ত্বিক পদার্থবিজ্ঞানে পিএইচডি ডিগ্রি লাভ করেন জামাল নজরুল ইসলাম।
8c010e3f2c	91dff	প্রায় ৪৫ শতাংশ সদস্য শুধুমাত্র
8c01641068	bc81e	তিনি ২০১০ সালে
8c01780444	dfefa	ব্যাপক হত্যাকাণ্ডের অভিযোগ
8c022bf4ed	f2b7d	সাহিত্যের সামনে
8c0237c76a	5cb47	সকাল থেকে বন্ধ থাকায়
8c02772d5f	d7a68	সূচনা বক্তব্যে সীমন উল্লেখ করেন
8c028df10d	93d3b	উভয় পরিবার লোকজন
8c03014840	e3f89	নির্দেশ দেন হাইকোর্ট
8c0393da73	f1240	মারা যান শামসুদ্দিন
8c03b890f2	a1d4a	নাকি ছাড়া পেয়ে
8c03ba7535	32c77	কিন্তু ভোটারদের উপস্থিতি
8c04c90ef3	4ea73	যাঃ গেল
8c051cab4a	6ee5f	বাছাই পর্বের ম্যাচগুলো
8c056237af	520fb	বারবার ব্যর্থতার পরিচয় দিয়েছে
8c05b3de34	efc0d	পয়সা লাগে
8c05f85ce8	e2ff7	কত মানুষের লাশও
8c06075bd8	b08d0	সেখানকার পরিস্থিতি অবর্ণনীয়
8c063a2029	5d12f	আজ খুব সামান্যই
8c065184bd	9351a	শাহীনের বড় ভাই
8c066fede9	5639c	চলতি মৌসুমে বার্সেলোনা দ্বিতীয়
8c06e9480f	d82d9	সাপ্তাহিক পত্রিকা রাখা হয়
8c073689e2	21e54	সমালোচনা করেছেন
8c075b0be0	745b7	রুমটির চারদিকে
8c0778f9d7	e3f89	কিন্তু কেন এমন হবে
8c0780250f	3c897	অস্তিত্বকে সমর্থন করে ভ্যাটিকান
8c07c2fc03	9b864	মি. কবির জানান
8c07e02c36	bd576	রেমিট্যান্স এবং রপ্তানি প্রবৃদ্ধি
8c0834de71	4dd57	এই সকল নামের সঙ্গে
8c0844ee03	83c53	বাইরের সংস্কৃতি
8c08539a1c	ced74	সবচেয়ে ভয়াবহ দুর্ঘটনা বলে
8c08c81f0c	ff970	দেওয়া হবে
8c090bc651	31f09	এই ওয়েবসাইটের কর্মকাণ্ডের
8c091a8daf	cc9fd	তৃতীয় বিশ্বের
8c096b180b	bcaa8	বাড়ি থেকে মনুমিয়ার দোকানে
8c09a2ee8f	ce629	দূরত্ব কমিয়ে ফেলুন বন্ধুদের মাঝে।
8c09ecc9f2	a43b5	চেষ্টায় রয়েছেন
8c0a7643b5	29d44	ঝাড়ের রংধনু আলো
8c0abb2255	5dec6	মরে পড়ে রইল
8c0abd52ec	0bace	অনেকগুলো সামাজিক এবং সাংস্কৃতিক
8c0b523793	6e6fa	তখনকার দিনে বাতাস ছিল
8c0bee9c3b	d9081	মারা যাবে
8c0c08ebf5	7351e	চুল শ্যাম্পু করে
8c0c1e11ec	c9c19	দেশকে ভাগ করতে চাইছে
8c0c225ce0	c749e	পাকিস্তান ক্রিকেট দল
8c0c9f39cf	d9ba9	এখন ভেস্তে যেতে পারে
8c0cae42f4	e00db	করে বেড়াব
8c0d380d9d	f29bf	সেটা আশ্চর্যের
8c0d73ad80	b8bf0	সংস্কৃতিতে পরিণত হয়েছে
8c0dcb222a	1c618	বিবিসি বাংলার সংবাদদাতা জানাচ্ছেন
8c0e417d31	e9589	তিনি জানাচ্ছিলেন
8c0e4e6eca	767ff	বাড়িটি বিক্রি করে দিয়ে
8c0e67f19a	c2082	দেয়ালে পরিচিত-অপরিচিত
8c0f5c5a72	577fa	সাহারা মরুভূমি
8c0f825427	75936	জুডিশিয়াল ম্যাজিস্ট্রেট বৈ জয়ন্ত বিশ্বাস
8c0fb249f2	ad2a0	কিন্তু আমরা
8c10f8e48c	f2097	অনুবাদের একটি বিশেষ শাখায়
8c11057be8	ef4f8	বর্গমূল কে বলা হয়
8c1163c268	92f59	আমি বিশ্বের অনেক দেশ থেকে সম্মান পেয়েছি, কিন্তু নিজ দেশের সরকার আমাকে কোনো সম্মান দিল না।
8c1268546b	e31e7	ইলিয়াস আলীর পরিবার
8c127b51f6	948d3	লবণাক্তও ছিল না
8c12f22f1e	f9dfb	ডান কাতে বাম কাতে
8c133abc8d	46da4	প্রকৃতপক্ষে বাঙালি নারী
8c13597afa	6dff5	সিরিজে ১-০ ব্যবধানে এগিয়ে যাওয়া
8c13b36735	fdcba	তবু সেই রাতেই
8c1401fc77	577fa	৪ নাম্বর নারী
8c143815ef	388c9	যখন চুক্তিটি হয়েই গেল
8c1471da22	9d7bf	ও আলোচনা সভা
8c1486d484	16cfb	জঙ্গনামা’ পুথিটার ওপর
8c15ab0b32	577fa	কে এম মহিউদ্দিন
8c16a876ba	bc81e	কত কী-যে শুধু নিত্য ঘটে
8c16e7b3a4	54e68	এক তরুণীর সঙ্গে
8c1717b51e	9282d	পালন করে
8c1788126b	b08d0	র‌্যাম্প থেকে শিখেছি
8c18315ec9	13b70	আরও একদিনের ঘটনা
8c18684d4b	fd880	দেখা গেছে যে
8c1875cfa7	3bea8	মেয়ের বাবা পুলিশ অফিসার
8c189e84af	fcc89	আলোচনার বিষয়গুলো চমৎকার
8c18d441be	09f0d	অফিস থেকে
8c1965f8d1	7f71c	ভোটকেন্দ্রে আগুন
8c19ea36f3	65e30	কোনো সরকারই
8c1a4f4b2d	59c73	ওয়েব ইন্টারফেসের মাধ্যমে
8c1abdb3c8	520fb	পরিস্থিতি দেখে বোঝা যাচ্ছে
8c1ac2c84f	7027a	মনোয়ার ইসলাম বলেন
8c1acf7f06	0a7a0	রংপুর, সাভার, নারায়ণগঞ্জ
8c1b614496	60b9d	ফিল্ড মার্শাল সিসি
8c1c11a006	698ff	পায়ে চলার পথ বাড়ানোর
8c1c626edd	2aecc	তখন প্রবল হচ্ছিল
8c1c7e246c	8845d	বাংলা ভাগের বিপক্ষেই
8c1cbc6adc	b4ea7	সেই দূর্নিরিক্ষ অন্ধকারে
8c1cdcb7ef	d8c80	ফাইনাল ম্যাচসহ
8c1d0b32fa	c9c19	দুর্নীতি দমনের ক্ষেত্রে
8c1d223837	08458	জল দেবে
8c1da78393	ca088	একটি মরূদ্যানের ওপর দাঁড়িয়ে আছেন
8c1dfa349b	7a227	তারা অনেক খেটেছে
8c1ec94c4d	a06a1	এই নিরাপত্তা ব্যবস্থা
8c1f3970b3	410fa	মুসলমানরা গাছটিকে বেশ
8c1f5f89a8	17ca1	এখনো স্থানীয় হিন্দু সম্প্রদায়
8c1fb52c6c	d1a48	মালা
8c1fd2b471	a9a58	যাদের দুই জন
8c2009fa81	95f83	অভিনয় থেকে অবসর নেয়ার পর
8c200c2b91	4c555	সরকারকে মাশুল দিতে হবে
8c2059116b	e43d4	ও সড়কপথে রয়েছে
8c205e81ec	54cdd	খোলা আছে
8c208d0f21	14d25	১৯৪৫-১৯৪৬ সালে তিনি
8c212ea13f	22096	প্রথমবারের মতো ডাক পেয়েছেন
8c216c68b0	7aed9	ভাত দে ছবিতে অভিনয় করে
8c2178fc70	239f7	প্রায় পৌনে ২ লাখ টাকা
8c2204a839	2f547	চালিত করে রাজনীতিতে
8c223afe1b	39293	ডিএসইর বাছাই সূচক ডিএস-৩০
8c22bdff91	c8f7f	কেউই বোরখা পরতো না
8c22d652db	3faff	বর্ণবাদ বিরোধী নেতা
8c22e42107	49543	দিন দিন উন্নত
