ba001772da	18a52	টাকা কি গাছে ধরে?
ba00923be8	8406e	রূপ হিসেবে গ্রহণ করেছিলেন
ba01c32911	9642e	নার্সিং কলেজকর্তৃপক্ষ
ba01ef1623	21e54	আরেকটি রেলসেতু করার
ba022e6ecf	a274b	চিত্র
ba027adc70	3fae0	অ্যাডভোকেট মনজিল মোরসেদ
ba0342e706	c5dc8	প্রার্থী হিসেবে
ba03b55268	e2ba2	তিনি যে আনন্দ লাভ করেছিলেন
ba03b9cc43	bdd05	যুক্তিবিদ্যার শাস্ত্রীয় সিঁড়ির ছায়ায়
ba03c75a35	4dd57	বাকি তিন অপারেটরকে
ba03f70f65	0d4cb	অনেক সময়
ba04134d72	43199	রাশিয়া অবস্থান পরিবর্তন
ba0489ee5c	0696e	সুরতরু আমার কাছে
ba04d2d2bd	e89bb	আঘাত হচ্ছে জিতবার চাবিকাঠি
ba055475f5	809cd	ক্যাম্পেইন শেষে ছবিগুলো
ba059ba814	69d9a	গোপী প্রেমের আভাষ নাই
ba062fb317	b5fdc	এক সুগভীর ধিক্ষর ছিল।
ba063dc5cf	16cfb	আমি পড়াশোনা ও গবেষণা নিয়েই
ba06957c3c	089ef	তিনি হামিদুলের মাথায়
ba0700ad05	31f09	গ্রানাদার মাঠে ১-০ গোলে
ba07b2e523	b00ba	বিধ্বস্ত হবার পর থেকেই
ba07d5414e	43b04	একই রকম ডিস্ক দেখেছিল
ba08090cbe	b00ba	লাশের ময়না তদন্তকারী
ba081ec14a	12702	বাংলা একাডেমি প্রাঙ্গণ
ba0823b5d6	64092	এমন বাড়ি দু-একটির বেশি
ba08704137	f143a	ট্রাইব্যুনালের রায়ে আটটি অভিযোগ
ba08b6c937	a3a6d	কেউ কেউ বলছে
ba08c1d964	aab0f	মাথিন কুয়ায় আসতেন
ba090f2f32	33aef	নির্বাচন করতে হবে
ba090fcccc	089ef	করতে পারো
ba09b59008	2c9c5	রাশিয়ার ইতিহাস
ba09bd6316	4fd66	মেধার বাতানুকুল ঘুঙুর কাব্যগ্রন্থ
ba09fab124	6fb36	বোমা তৈরির দুই কারিগর
ba0a850617	5cb47	হাসপাতালের এক নারীমুখপাত্র বলেন
ba0afbc47a	0f047	রবীন্দ্রসংগীতের প্রতি
ba0afd082b	8a46d	নানা পদের খাবার
ba0b016561	509f6	তবে তিনি জানিয়েছেন
ba0b10c29d	f1240	করার অপকৌশল
ba0b3d99da	80518	তাতে আমন্ত্রিত হয়েছেন
ba0b9c8ed0	dba43	রামপালে কয়লা ভিত্তিক কেন্দ্রটি
ba0bcacf52	bdfc1	অলিম্পিক গেমস,
ba0c1ad24e	6b437	নতুন এই সাফল্য
ba0c3a8c3b	e2ba2	দ্বিতীয় অবস্থানে
ba0c5b9999	7aed9	আকরাম এক্ষেত্রে তাদেরকে
ba0c7d5cf4	1279e	সে ব্যাপারে কোনো সিদ্ধান্ত হয়নি
ba0cc7bddd	430b2	প্রথম ভালবাসা
ba0cd86c30	68549	ভবিষ্যতের চিন্তায় দিন কাটছে
ba0d31607d	11de3	দীর্ঘকাল কিংবা আজন্ম
ba0d7b1a08	2bc73	অঢেল অর্থ পকেটে ভরছিল
ba0dd2f9be	80539	বুঝতে পারছেন ঘটনা
