2500b4297b	5639c	পরমার পরাজয়
2500db1a8b	c958a	দ্বিতীয়ার্ধের তৃতীয় মিনিটে
25015ff23e	31f09	মোহাম্মদ খালেদ হোসেন
25017ad822	cd3ac	নতুন রাস্তা না বানিয়েও
25018f6413	c173f	এছাড়াও দলের পক্ষে
25019cee80	3b1f7	৯০-এর দশকের
2501f6c47f	16e96	এই কর্মসূচি দেখার পর
25023fce99	6973e	লোকের চোখে কৌতূহল
25024db3de	3faff	ওজিল
2502c93157	c41d8	তাদের অধিকাংশই মাদকাসক্ত
250313aa0a	a699c	সরকারি ছুটির তালিকা
25031c81d1	bdfc1	স্যার, ১০ মিনিট পুরো লাগেনি
250372ea38	e9759	সে এর আগে
2503bbf4c2	8a46d	স্বাভাবিকের তুলনায়
2503d61c78	93d3b	তাহাও প্রক্ষিপ্ত
2504587054	0b7ca	এর মধ্যে উল্লেখযোগ্য হলো
2504a8fc90	54e68	মুফতি ইজাহারুল ইসলাম
25050f52e1	a699c	সুনীল কুমার বসু
2505bc3683	43199	পুলিশ নিশ্চিত করেছে
2505bdc9cc	fcefa	শুধু মৃত্যুদিনের উপরেই
2506556622	b8ed8	সরে যেতে হয়
25068e8e68	d136b	ষাটঘন্টার হরতালের প্রথম দিন
25068f48c7	5dec6	কিন্তু সে সুযোগ
2506a8fe27	420df	চুলের কাটিং
25079b6247	2fe3c	ভারতবর্ষে সাতটি
25079fdc5f	d9081	জিডিপিতে ক্ষতির পরিমাণ
25094e825a	1c618	খারাপ আবহাওয়ার কারণে
250a72b11a	10a9f	রেল গাড়ি
250a73179a	d136b	তাঁর জায়গা
250ac1fd28	e8dde	এত বলেন কেন
250ae7dda2	54cdd	করণীয় কী হবে
250bfcc1b7	11915	গলাচিপা
250c52c53b	ac0df	বেশির ভাগ মেয়েই
250c9c359a	2d78f	জনপ্রিয় করে তুলেছে
250cf9742d	8143b	সমাবেশে বক্তারা অভিযোগ করেন
250d08be01	fbb81	কাজ করবেন তিনি
250de97f8a	7ed14	রাতের বেলায়
250e1d3728	46da4	চিন্তা করিয়া দেখিয়াছেন
250e315b52	e2c11	সিদ্ধান্ত নেয়া হলেও
250e534c41	e9fa7	মানব পতাকা নিয়ে
250eca8441	0e637	এটা কি ইচ্ছাকৃত
250f238f9e	4c555	ইঁহারই পুত্র যদু
250f547b1f	3c897	জমি বিক্রি হতো
250f65c16f	ce180	শুক্রবার সম্মেলন শেষে
25104936fe	194f5	দুদল গুন্ডার মধ্যে
25107ae63b	f6e55	আলি’র নেতৃত্বে
2510812727	4c555	ক্রমান্বয়ে অন্ধকার গিরি
2510c824db	f143a	গুগলের ওয়ালেট সেবা
2510db4063	38ff0	কবে তাঁর শিক্ষা বিষয়ক তৃতীয় বিবরন
25110a53ee	06bb7	তিনি আন্তর্জাতিক অপরাধ ট্রাইব্যুনালের
2511ca9a74	baa02	মধুমতীকে বিবাহ করেন
2511f0d90c	b618b	রেস্তোরাতে গিয়ে
25123f1d51	7d004	শীত মৌসুমে
25125434b7	42898	এক বিবৃতিতে জানান
2512cef619	72649	নিবন্ধন হয়েছে
2512e11975	49d63	মাধ্যম হিসেবে
2512f533a6	69d9a	একাত্তর হাজার
25133d12b2	a43b5	অনুমান করা হয়
251353fe0d	7a227	অন্তত ৭৩ জন
2513c49c3e	ce629	রীতিমতো সুকান্ত সমগ্রর ভূমিকায়
2514492aae	351dd	বিধানসভায় জনলোকপাল বিল পেশ করা নিয়ে দিনভর নাটক চলার পরে সন্ধ্যায় মন্ত্রীসভার বৈঠকের পর ইস্তফার সিদ্ধান্ত নেন তিনি।
251464f255	6fb36	অমিতা শর্মা
2515636b72	e6752	বের হয় ১৯৪৮ সালে
2515664ee5	c41d8	আমার মাইরা ফেলার
251579d985	430b2	নেমে এসেছে শোকের ছায়া
25157ce2c7	e6203	মেজবা ও রফিক নামে
25159386b9	7d3e1	এসে পৌঁছেছি
25168b3c69	1f974	আমি অবলা বলিয়া
2516f0d602	bbb22	কোনো পরিকল্পনা রয়েছে
2517234fe6	0e637	কথা বলিবে
25180c7728	b9b98	প্লেকার্ড নামানোর ঘোষণা
2518357a71	809cd	লাঞ্চের আগেই
25186c534e	21e54	নাক্ষত্রিক বিস্ফোরণ
251879a242	9d7bf	এত মিছিলের দিকে
2518cde5aa	491a5	অপরাধ মূলতঃ
25190486b0	16cfb	১২শ শতাব্দীর প্রথমভাগে
251921c9e4	17dcd	দুই জনগণের
2519585816	cfc65	সেখানে প্রবেশের চেষ্টা চালায়
25197a5f27	315e9	কোথায় যেন
251992e0a4	49d63	বড় মামার কাছে
251993fb15	6b437	তীব্র গতি সঞ্চার করে
2519997a8d	b618b	আগুনের মধ্যে
2519cab950	c463d	ভালো ফল করতে পারে
2519d3fe71	5dd61	বোমা ফাটার আওয়াজ
251a10400b	66c6b	মামলা দিয়ে নিরীহ
251a148cbe	e2ba2	সমাজবিজ্ঞান বিভাগের অধ্যাপক
251a64a7c7	76329	বেজে চলেছে
251ab59a1d	520fb	দক্ষিণ মুম্বাইয়ের
251b14574e	b00ba	নির্বাচন করতে হয়
251b3399dd	4a918	অ্যালুমিনিয়াম
251b584191	e6e48	একটি মাদ্রাসার ছাত্রদের সঙ্গে
