b0001a6dae	7027a	সংবিধান থেকে
b00050788d	82926	ওইদিনই এ মামলার
b000b4d398	22096	স্বতন্ত্র প্রার্থী হিসেবে
b0024e8a5a	420df	ঠাকুরমার ঝুলি ভিডিও
b002873118	a0277	যে যুদ্ধ সংঘটিত হয়
b002b05d8a	a916a	অবতীর্ণ হয়েছিলেন
b0030be9ac	ee852	স্থান ত্যাগ করে
b003e4f49a	92bb2	পাইলস
b0046a284e	37d7e	রাজনৈতিক সহিংসতা চলাকালে
b0046c0f31	e6e48	খুশি হওয়ার
b0046e57c2	f837a	আগের দিন শুক্রবার দুপুরে
b0049785ce	35ef3	মঙ্গলবার চার গ্রামের মানুষ
b004ba05cf	f2b7d	স্কুলগামী শিক্ষার্থী ও রোগীর
b004bea223	49d63	আবিষ্কৃত রোবট বিধুশেখরকে নিয়ে
b004da7b91	4164f	অসহনীয় শারীরিক যন্ত্রণার পাশাপাশি
b004ef3d4d	72649	সিনেপ্লেক্সে রয়েছে সাতটি সিনেমা হল
b0051368e4	93d3b	হাশেম মামার কান্ড দেখে
b0054a6c2c	e3d8b	শান্তিপূর্ণভাবে নির্বাচন অনুষ্ঠানে
b0056f4c2e	0d8c1	ব্রেইল পদ্ধতি
b0059c9072	f1ea4	নিহতদের সবাই বেসামরিক নাগরিক
b005bc58b9	9351a	বাড়ানোর সুযোগ পেল
b005d17474	577fa	স্ত্রী হিসেবে গ্রহণ করছেন
b0065e5d73	06736	সাপ্তাহিক 'বাংলার বাণী'
b0067e1e0d	75936	পে কমিশন গঠনের
b0069aaa69	b8ed8	রিংটোন ডাউনলোড
b006f01428	1e7c7	এই কাঠামোগুলো হবে অনেকটা
b00715135b	7e191	আর রোধ করা যাচ্ছে না
b007296ecb	03284	জিজ্ঞাসাবাদ করা হয়
b007433811	b08d0	তাদের নিয়ন্ত্রনে নেই
b00771d074	2695f	বাজেট ২০১৪
b007914205	4c555	নাম জড়িয়ে পড়ায়
b007a0ca10	7297e	সরকার তাদের ওই প্রস্তাবের
b007a27390	65e30	অগণিত খাল-বিলের
b007d53a31	ee994	আল-সিসির ছবি সম্বলিত পোস্টার
b009452d59	80518	উদ্ধার করার সময়
b00a450d9e	7297e	তিনি ষাট এর দশক থেকে
b00a59f8b3	e2ff7	কিন্তু সেখানেও সমস্যা
b00b2b199e	194f5	পরবর্তী ৯০ দিনের মধ্যে
b00b3c68ff	15a75	শহিদুলকে স্থানীয় স্বাস্থ্য কমপ্লেক্সে
b00b9bed08	404ee	অ্যাডমিরাল অ্যাঞ্জেলো এমো
b00bed9bfc	01e91	চীনের আন্তর্জাতিক
b00e0e7800	93d3b	যাদের নেই
b00e81aa4b	4486f	আলোচনা করা যেতে পারে
b00eb20dda	195f7	সেন্ট পিটার পোর্টে
b00f085730	86b1b	একই ধরনের আচরণ করছে
b00f5b6e78	0e637	কথা হয় চলচ্চিত্রের
b010251ac2	0e637	৬৩ হাজার ৫৪৩ জন
b010588438	0b7ca	আপনি বাইরে যাবেন
b010e4b5f7	6ab59	বায়াতে পৃথক এক বোমা হামলায়
b0112afcda	e2ba2	সিডিএমপির অর্থায়নে
b0112c8ea3	9b864	এই পুঁথিসমুহের প্রতি
b0114bf153	54e68	গড়তে পারি
b011cebfd7	c958a	তাজউদ্দিন আহমেদের স্ত্রী
b011f899fd	d2355	মানপত্র
b012c3cc71	ee7b2	বাবার সুবাদে ঘরেই
b012f222e1	52f27	এমন তথ্য উঠে এসেছে
b013f19e49	24aed	শেষ আটের
b01421735f	4fc91	বিষ খাবারের সঙ্গে মিশিয়ে
b014380279	cc9fd	পৃথিবীর নামকরা বিজ্ঞানীরা
b0143d6e7b	2f547	প্লেব্যাক করেন ১৯৮০ সালে
b0144d22e7	b52ab	জোরারগঞ্জ থানা
b0149bb945	5dd61	এবং দিনাজপুর এবং ঠাকুরগাঁওয়ে
b014a06406	92bd8	সেই পুরনো অবস্থানই
b01521e84f	dafb6	চার্চ অব টু সেইন্টস নামের
b015dcd812	29bab	বাম মোর্চার বিক্ষোভে
b0163d8b2c	c0965	নিজের বা তাঁদের
b016af92f1	4dd57	ফেলিয়া আসিয়াছি
b01700a796	28bb3	বের না হওয়া মানুষ
b0174a0e6e	ce629	সুজা হত্যার দুঃসংবাদ নিয়ে
b01762685f	7aed9	অ্যালার্জিটিক খাদ্য পরিহার
b0178c28b0	903fa	মূল মন্দিরের
b017993d0d	e55de	দেশের দশের আন্দোলনে যাচ্ছো
b018f2bb89	bfac7	ভাব বুঝাইবার জন্য
b019092bc5	69d9a	এ নিয়ে হয়ত
b019506649	7e1d5	কারণটি হল
b019796fcf	2d98b	দেশীয় সংগীতে সঙ্গে
b019a47d48	6b437	আইনজীবী বলছেন
b019c8c9db	c4973	অন্যভাবে বললে
b019fb4877	b08d0	চঞ্চল অভিযানে
b01a5500ea	ced74	রিপোর্টে শিশুদের
b01ab6f841	1c618	এমনকি খাওয়ার পানি
b01ac83cfe	73629	রামদা-
b01afe13b8	21e54	তখনো আকাশে জমে নি
b01b32cb99	f89d7	মাতৃভাষা হিসেবে গ্রহণ করে
b01b787737	69449	পরে ১৮০৮ সালে
b01b92970d	f2097	একমাত্র মেয়ে
b01caeccc9	16877	এক ছিনতাইকারীকে আটক করে
b01cfd2712	f600a	জাদু
b01dd88861	7f71c	একজন বলেন
b01de91358	fda1a	আমগোর বাড়িতে ভিড় হইত,
b01e369031	509f6	বানচালের উদ্দেশ্যে
b01e903876	baa02	সেখানে মোনাজাতে
b01ed35bb0	2d78f	তার বাড়ি
b01ed57026	7ee9b	ভোটও পেয়েছেন
b01f03ced0	9092b	প্রতিরোধ করা সম্ভব
b01f573fcf	8b859	এভাবেই তুলে ধরেছেন
b01f66b3f6	aabe7	অন্তর্ভূক্ত থাকবে
b01f8dac7f	b4ea7	আমদানির ঘোষণা করেছে
b01fab6d2a	c2082	ত্বকের বিভিন্ন রকম
b01ff64bd1	d1a48	পরিবেশকের পক্ষ থেকে
b0201b5298	c8f7f	সব দিক থেকে
b020840d42	29089	প্রায় আড়াই বছর
b0208d664e	29089	বিশেষ ওই আদালতকে
b020d0f35f	8632b	তাদের ভগবানের কাছে
