b600d7fda5	7297e	ভাঙা জুতার বাড়ি খায়
b6010e11cc	59c73	২টি গাজরকুচি
b6014c192f	14d25	ব্যবহার সম্ভব
b601976125	b5fdc	ডুবে যায়
b601c8aa1d	a1201	তেজগাঁও থানার ভারপ্রাপ্ত কর্মকর্তা
b602025f1e	64092	যতটুকু ছিল চোখের কোণায়
b602204dbc	5b13f	পরিস্থিতি পুলিশের নিয়ন্ত্রণে রয়েছে
b602349ac5	ad2a0	একযোগে সারাদেশে
b602b7b2cb	f29bf	ক্ষুদ্রাকৃতির এ রচনাটি পড়ে
b602e91b90	e6e48	প্রয়োগ করা হবে
b60307943b	2695f	ফেলু মামাও সরে যাচ্ছেন
b603492f95	8ba2b	ক্লাস শেষের ঘণ্টা বেজেছিল
b603b2b7b4	a3a6d	ধর্ষণ করার অধিকার
b6045bd0df	f2097	হরতাল শুরুর আগে
b604fbc147	c6848	নানা ধরনের কর্মকাণ্ডের ফলে
b60517f65b	6e6fa	এ সমস্যা দেখা দিলে
b6051acfce	9282d	ওকে কথা বলানো মানে
b605add9bf	d1a48	পরবর্তীকালে ২০০৮ সালে
b605dcf0ae	43b04	সময় কাটছে তার স্বজনদের
b605ffa68b	58998	সেনবাগ উপজেলা নির্বাহী কর্মকর্তা
b6063117a5	adf01	থেকে শুরু হবে
b606bf5f93	7ee9b	জায়ান্ট স্ক্রিনের সামনে থেকে
b6070e86d9	2ad74	১২তম এশিয়া কাপে অংশ নিতে
b6073e9b01	e03fc	এই আগ্নেয়গিরির
b60778294f	b00ba	সাত ওভার বল করে
b607bdd1a2	7d004	পারিলাম না
b607cfc333	b8bdd	মুক্তিবার্তা
b60807f06f	1f733	ব্রাজিল জার্সি
b6082d5988	d3e06	মামলাটি
b60838bde2	80518	মেয়ে তাকে বলেছে
b6088d8750	b9122	ভালো হয়
b609961965	8ba2b	এতে ইতিহাস বিকৃতির
b609aaa009	321b6	যার ফলে মামলাটিতে
b609bb88e9	44322	মন্ত্রীর পারিবারিক কলহের
b609ce1b28	e50f1	অন্যান্য সকলে
b609fead6e	6e8cb	একুশের চেতনা এবং বাংলা সাহিত্যের
b60a3b8773	db735	মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়
b60a5e8b21	b5fdc	সমন্বিত ভর্তি পক্রিয়ার
b60a613a2c	e2ba2	আমাদের আনন্দের কারণ অন্য
