1d00a2c7eb	388c9	৮৫ রান ওঠে
1d00b8fb52	4237e	বলা হয় তাঁকে
1d0100fbb4	4164f	ব্যবহার কমছে না
1d012d7fbf	cd3ac	তাদের ভাবনা কি
1d0178e6fd	6aac8	এলাকার উত্তেজিত জনতা
1d021bf62e	f658d	তারা কেউই
1d02226236	ad98d	নেপথ্য-ভূমিকা ছিল
1d027586e1	09f0d	তোমার গ্র্যান্ডপা মারা গেছেন
1d02dfe014	554fe	ঘটনাস্থলে গিয়েছে
1d03e22dea	b2a62	সারাদেশে সড়কপথে
1d0453e84e	2909b	অনেক ঘাম ঝরাতে হয়েছিল
1d0489024d	e2ba2	সমস্যা আছে
1d04c309a2	03284	অন্যতম কারণ হচ্ছে
1d05c164df	7e191	অবৈধ কাজে লিপ্ত হতে
1d060a1481	43b04	মতিঝিল এলাকা ছেড়ে যায়
1d07b783f7	91b16	যানজটে নেই, হাসপাতালে নেই
1d08225f9e	8406e	প্রাধান্য দিতে চাই
1d0856655a	10a9f	প্যারা অলিম্পিকে
1d086aa64e	9092b	এ্যাপ্লিকেশন চালু করা হল
1d08bb4243	577fa	৭১৭ জন ইন্দোনেশীয়
1d08cee5fb	39dd0	অবস্থিত একটি সুপারকম্পিউটার
1d08d92730	38d3a	ওয়াশিংটনের লং-বিচের
1d08e3ab75	7898e	উপস্থিত করিয়াছিলেন
1d090d9664	75626	কান্ধের মাছ
1d0921dded	3f875	সামাজিক প্রকল্পের জন্য
1d094d923f	e2ff7	কমে যাওয়ার বিপরীতে
1d09e3f7d0	c7705	ঐ রকম দীর্ঘ এক কাহিনী
1d0a6b02b4	09f0d	ব্যক্তিগণের মধ্য থেকে
1d0a75732c	14816	ইংরেজ যেমন জাহাজ ভরে
1d0a99890b	bbb22	কৌশলগতভাবে গুরুত্বপূর্ণ
1d0a9bfbed	ce775	সিরাজগঞ্জ ও বগুড়া
1d0aa77e40	6dff5	ধীরে ধীরে সমস্যাগুলোকে
1d0ab4fa08	08458	ব্যাপক উপস্থিতি রয়েছে
1d0ac463b1	52578	ছায়া রং ছায়া আঁকার
1d0b8b8460	d1b12	জন্ম ১৭৮৬, মৃত্যু ১৮৩৬
1d0cb03691	7aed9	এখনও কল্যাণ সংজ্ঞার উপর
1d0ccd7cd6	4a918	সন্দেহভাজন গারো জঙ্গীরা
1d0da05d5f	c7a89	যুক্ত ছিল না
1d0dd45291	4dd57	এ বিষয়টির আন্তর্জাতিক সমাধান
1d0de3795e	f83df	কয়েক শতাধিক যাত্রী
1d0e25881d	b9a81	গিটার শিখ তুমি
1d0e2976da	52f27	ছিল উৎসবের আমেজ
1d0e3a3f8e	8b859	সেখানে সবার জন্য
1d0e7a9b0c	e2c11	সহসা দেখা
1d0f643565	cb1aa	জার্মানিতে অনুষ্ঠিত
1d0f649402	f280a	সংগৃহীত রূপকথা
1d0fe51b0b	2695f	উত্তর অক্ষাংশ
1d1038368f	a06a1	জন্ম ১১ই মে, ১৯২৪
1d10c83534	0d4cb	আরাকান রাজ্য আক্রমণের জন্য
1d10d18a16	3ccf1	তাদের কথিত আন্তর্জাতিক আইনের
1d11429198	68ab7	একটি দল
1d11473c83	860f4	প্রকৃত জাদুঘর
1d11af6f05	4e900	বর্তমানে দেশ গার্মেন্টস পরিচালনার
1d11d093f7	e68af	প্রধানমন্ত্রী সৈন্য পাঠানোর ব্যাপারে
1d131cadd3	91b16	সংরক্ষণ করতে হয়
1d13dfdc95	16a17	পুলিশ অস্ত্রাগার
1d1429f952	d2faf	লোকে দশ-বিশ টাকা দেয় ওকে
1d14406f7a	cc18a	ইরাকে বেড়াতে আসেনি
1d1464dd5b	baa02	রস অরোজেনিতে সৃষ্ট
1d14cbf506	9fa90	আগের মতো
1d151258db	577fa	এক ঘণ্টা দু ঘণ্টা ক’রে
1d152cbefa	85430	নজর নেই
1d15d023fc	7df87	সাথে সম্পর্ক যুক্ত
1d15d4a25c	ff1c3	স্থানীয় লোকজনের সহায়তায়
1d15e0ed84	1652d	কিছু বলুন
1d16027cd5	9813c	তখন এটাকে আমরা
1d166281a2	767ff	সমাধির ভিত্তি কাঠামোটি
1d16b76cdd	75936	প্রাকৃতিক উপাদানের
1d16c96f31	c9c19	অনন্ত জলিল
1d16ce7949	39dd0	ইসলামী কয়েকটি দলকে
1d16d42e0b	d71a3	সাধুবাদ জানাই।
1d17ab7164	07660	ঢালাওভাবে অনেককে আটক করা হয়েছে
1d1805da82	f600a	প্রচেষ্টা হিসেবে
1d1869a064	43b04	তবে আটক নিজামত জানান
1d187a57ac	7b103	ষোলটি দলের উপস্থিতিতে
1d1889fa0d	ced74	হিসেবে জয়লাভ করেন
1d19489f42	d71a3	এখানে আরও পাওয়া যাবে
1d19e35caa	7f71c	এ সমীক্ষার ফল আগামী ১৬ মে
1d19ef0f93	6973e	প্রকাশন সমিতির সভাপতি
1d1a186fb1	93d3b	সেই তাপে
1d1a83f2da	80539	মহাখালী ফ্লাইওভারটি গাড়িচলাচল
1d1a8fa54b	f0f95	গল্পগুলোর আণুবীক্ষণিক মুহূর্ত
1d1ae9b14f	c7a89	আমরা বলে কয়ে নিয়েছি যে
1d1bd1b677	f2b7d	আগে ধারণা ছিল
1d1bd929c0	3ec4d	তাড়াহুড়ো করে
1d1bf5a5fd	2fc12	যতক্ষণ সে না হচ্ছে
1d1bfeaaa1	80539	চোট
1d1c1cd969	0f047	বিদ্যুতের ক্রমবর্ধমান চাহিদা মেটানোর লক্ষ্যে
1d1c2edc38	66c6b	অন্য সব কর্মসূচি
1d1c745148	f7a7f	মূলাবিদ্যা বা মায়ার ধারণাটিকে
1d1cc206ff	49d63	আনিসুর রহমান ও আবুল কাশেম
1d1d5805e6	14d25	মিস্টার বসু রয় বলেন
1d1dc457eb	ec91c	পরিচয় ঘটানো হয়
1d1dcf8bea	9813c	লকেট
1d1f6d88f0	e03fc	এতে প্রথম
1d20103651	3fae0	রনিকে প্রায়
1d2035e3b3	b8bf0	অধিবেশন মুলতবি ঘোষণা করা হবে
1d203e13e9	68ab7	পরবর্তী অধিবেশনের শুরুতে
1d206567de	0edef	দলটি নির্বাচনে অংশগ্রহণের যোগ্যতা হারিয়েছে
1d207a257f	c2082	দাঁত
1d2095798a	767ff	গত কয়েক মাসের সহিংসতা
1d211c220b	3c897	চৈতালি বলে
1d212209eb	fbb81	সামিল হয়েছে
1d21350fd8	ce180	তাদের বিদায় জানালাম
1d213c8aea	d82d9	অজ্ঞেয়বাদ, নাস্তিকতাবাদ
1d217e1c86	d41be	সেই হাত ধরিয়া
1d22438525	39dd0	শাকিব আল হাসানের
1d22add0ec	ca088	বিংশ শতাব্দীতে
1d235e3ab2	f280a	পক্ষে খেলেছিলেন
1d23811208	e6203	আর এই সুযোগের
1d23834d1e	aabe7	হে দেবতা
1d23fb322d	ff0fe	কিন্তু কিছুতেই
1d245d5974	7f71c	যানবাহনের অপেক্ষায়
1d24d68dd2	bdd05	ষোড়শে একা ইন্দ্র দেবতা
1d25000647	7e1d5	রাত্রে কুপি জ্বালাইয়া
1d25098588	6b437	তাঁহাদের সঙ্গিনী নাই বলিয়া
1d251cc8cb	37e17	সুসংহত উদ্যোগ
1d251df7ec	5e80b	আমরা হাজার বছর ধরে
1d25394896	80be1	তা গণনা করা হয়
1d258498a7	49d63	ব্লগার ও অনলাইন অ্যাক্টিভিস্টরা
1d25ef32ac	6e6fa	চিকিৎসকের কাছে যাচ্ছিল
1d2620a8ef	d8c80	বিটিভির একজন রিপোর্টার
1d2689b2f2	8c120	৫টি ছক্কা
1d26d5f0cc	ff970	যখন ক্রিস্টোফার কলম্বাস
1d27e122f6	db735	১১ পয়েন্ট বেড়ে
1d2800a56e	66b3c	ডলারের দাম তত
1d282f94e5	80e98	তার অতীত ভবিষ্যৎ
1d28b9022e	95907	সাক্ষ্যগ্রহণ শেষে
1d290857b9	153c9	আরও গতি আনতে
1d290bcbc1	cd3ac	ইউক্রেইনের প্রেসিডেন্ট
1d29b1b21b	d0c70	দ্বাদশ রাশি রাশিচক্রের ভিতর
1d2ab0d2d2	85430	চিঠিতেই প্রেম
1d2b1b20b0	f658d	আবুলের চার-পাঁচ বছর আগে
1d2b21a05e	e3d8b	গোলমরিচ ছিটিয়ে
1d2b388755	0895a	তাওবা
1d2c0bbded	c8f7f	নিহত হওয়ার পর
1d2c38269b	fcefa	কৃষি লেভেলটা
1d2c3d7aa2	e9759	জানিয়ে দেওয়া হয়
1d2c476fc6	ff0fe	সরকারি সুযোগ-সুবিধা সংক্রান্ত
1d2c6f642d	17ca1	মাসুদ রানার বই
1d2cb5bf0a	2695f	কোনো নতুনত্ব নেই
1d2cf36417	410fa	নতুন করে পোস্ট করলে
1d2e153dea	aab0f	ভিটামিন বি
1d2e2dabef	c41d8	যা একই সাথে
1d2e9eba55	0edef	পাকিস্তানের সাবেক স্পিনার
1d2ea91913	0744c	প্রাথমিক পর্যায়ে
1d2ec7365e	9e923	আঘাত করে মারা হতো
1d2ee7a7cd	9065c	এই কথা নিয়ে
1d2ef88383	fda1a	কেননা পুরো ব্রাজিল তাকিয়েছিল
1d2f87c1d1	a1201	নিয়ে যায় হামলাকারীরা
1d2fab9fc8	f0f95	আলোচনা করিবেন
1d2fed3300	6c17f	তার হুকুম ছাড়া
1d31e439b0	db735	খোরাক জোগাল
1d32356347	4fd66	বক্তব্য দিয়েছেন।
1d323deb69	a8710	অজমের শহরের
1d325bb376	f0f95	কে হিন্দু আর কে মুসলমান
1d32837493	967fd	দিয়ে কোনো
1d3315a121	ad69a	এবং ভারতীয় চিত্র-শিল্প
1d33a09875	351dd	আলমকে মারপিট করে
1d33aacaa3	da6f0	দেশের ৩২টি জেলার মুসল্লিরা
1d33af35e7	c7a89	৭০ শতাংশ ক্ষেত্রে
1d33bd5824	a8710	২০০৭ সালের সেপ্টেম্বরে
1d33c776aa	d2d71	আমি বলি, ওই মিয়া
1d33cfb415	ec91c	সিইউএফএল’র সে সময়ে
1d347291af	e00db	নিভিয়ে দিল না পিসিমা
1d35463b57	29bab	ডি-৭ সিআইডি কর্মকর্তা ও তার স্ত্রী
1d35dbaa39	194f5	বোর্ডের প্রায় কোনও কর্মকর্তাই
1d35dd543c	eecdd	এই ধর্মকে ব্যবহার করা হয়েছে
1d35dd8238	767ff	নিগৃহীত ছিলেন
1d35e97dc8	1f733	আন্দোলন নস্যাতের জন্য
1d36c0cc57	4dd57	যৌতুক প্রসঙ্গ
1d3764c22c	93d3b	ছেলে-ভাইপোকে টোলে না পাঠিয়ে
