e00016d136	3ec4d	মহিলা বস
e0001f3a2e	778c0	রাসু আমার মেজ খালু
e0006f6967	d9081	যারা ছিনিয়ে নিয়েছে
e0009e3661	b8fe1	তাতে সবারই
e001a571d7	24f73	আমি আগে কখনো দেখিনি
e001a968e3	2ee04	একজন প্রখ্যাত কবি
e001c5810c	388c9	মনোনিবেশ করেন
e001e0d01f	b5fdc	ফের খুঁজে পাবে কেউ
e001e7180a	e6e48	৬ দশমিক ১৫ কিলোমিটার দীর্ঘ
e00207ed8f	4fbd1	একজনই আশা ছাড়েন নি
e002aa9e32	6ee5f	ভাবে বোধ হল
e002aae480	dafb6	হিউম্যান রাইটস ওয়াচ কোথায় পেল
e002b221e3	7297e	আমার মনে খুব কষ্ট
e002c9ec3f	b8bba	প্যারিসে আছেন
e002cc88f1	29089	গভীর ঘুমে আছি
e003422a9b	6c17f	অভিনয় করাটা
e0035377af	f1ff2	শিশু
e003686f12	e6d83	সেই বৈঠা নিয়ে উঠলেন
e0037534a5	11915	বেশিদূর যেতে পারলেন না
e003eb36f0	13b70	পাঁচ-ছয় বছর পর পর
e0044c76d4	85430	বাংলাদেশের কাছে
e004704494	16a17	পুনর্বাসন কেন্দ্র সিআরপিতে
e0049733cf	91b16	এক শত বৎসর আগের ঘটনা
e005792761	6ab59	কম্বল বাজার
e005c3ca1c	09b32	বৃহস্পতিবার জানানো হয়েছিল
e006140245	14d25	পরবর্তীতে আরাকান
e006f7d0ac	9092b	বাংলাদেশী জাতিসত্তার পরিচয়
e007a6d7bb	d2faf	ভগবান শ্রীকৃষ্ণের
e008397aeb	b8bba	মৌলিক বিষয়
e0084eb971	323f1	বক্তৃতায় তিনি তার পারিবারিক
e008dceeef	9642e	পোশাকসহ প্রতিটি শিল্প স্থাপনের আগে
e009434ef0	321b6	প্রয়োগ করা যায় না
e00a25799e	b9a81	অ্যাসবেস্টসের সকল প্রকার নিষ্কাশন
e00a61c5a1	a4750	মোটেই বুদ্ধিমানের মতো
e00a87025d	ad98d	এখনো অনেক মানুষ নিঁখোজ
e00aa6ea60	bdd05	আবার শুরু হবে
e00ae3f280	c3cca	আয়োজন করেছি
e00af81cfa	cc9fd	শহীদুল আলম সোহেলের
e00b6e1526	54e68	নষ্ট হয়ে গেল
e00c006112	0895a	রাজা তাদের বিচার করবেন
e00c49c398	95907	এতে অন্তত তিন জন নিহত
e00ce8a6a5	0d9f1	মুক্ত সময়
e00d12de84	577fa	মেলায় কর্মরত কাস্টমস হাউজ
e00d29a48a	17dcd	মনোরঞ্জন ঘোষাল
e00d430f70	1652d	লাইসেন্স এক এলাকার লাইসেন্স
e00d451f06	256f5	মূলত সেবানির্ভর
e00da54d9f	554fe	একটি জেলা
e00db6d2a1	4dd57	সরিষাবাড়ি থানার ওসি
e00dc503fa	f2097	মোট ষাটটি গল্প
e00dd05d1d	4f450	ধরে নিয়ে আসব
e00e306274	7b900	স্বর্ণের মার্কেটে ব্যবসায়ীরা
e00e431536	80e98	দু-চার ফোঁটা রক্ত গড়িয়ে নামছে
e00ea4cd90	7e191	৫ টাকা বেড়েছে
e00ec9f7e3	c3cb3	উরু
e00f2a7115	24aed	জ্যাঠামশায় এ প্রশ্নের
e00f346d28	a274b	এক প্রশ্নের উত্তরে
e00fb51917	7ee9b	তাদের পরামর্শ উপেক্ষা করে
e00ff6ed8a	93d3b	আদল বা প্রতিমা
e0103e0299	a46e2	কোথায় থাকে
e01080ebb3	0b7ca	প্রাকৃতিক মুগ্ধতা
e01084229c	9b864	পূর্ব চীন সাগরে কয়েকটি দ্বীপের মালিকানা নিয়ে জাপান ও চীনের মধ্যে উত্তেজনা বেড়েছে।
e0111908ae	68ab7	অবশ্য বলছেন
e0111af8a7	2fe3c	আঙুল ঢুকোনো হাত
e01135c3c5	d3e06	তিনি নানা মাত্রায়
e01152c259	15a75	২২শে মার্চের পরে আসতে
e01175ae52	3fc9d	যে বসে আছে
e011ba1661	f1ff2	বিক্রি হয়েছে
e011cf0578	1de6c	কোন ধরনের বার্তা আসলে
e012369082	eecdd	দেশি বিদেশি
e0124a7cb5	e55de	জাতিসংঘে বলিভিয়ার রাষ্ট্রদূত
e0125a4ac9	12702	প্রয়োজনীয় যাতায়াতের সুযোগ দেয়নি
e0126511da	dafb6	যন্ত্রণার উপশম হয়
e0133d63af	d5213	টনি বেন ছিলেন
e0134339a4	f837a	উদাসি বনের ছায়
e013ea61b0	b8ed8	চিরদিন জেগে থাকবে
e0140a1b24	91b16	কামরুল হাসান
e0140c41c2	75f18	সবার ততটুকু হতে হবে
e014249978	321b6	একটি শপিংমলে গিয়েছিলাম
e01440ed7c	dba43	স্বীকৃতি দিয়েছিল বাংলাদেশকে
e01453fb4b	e754e	মুসলিম নারী
e014b5cff4	b8bdd	সরিয়ে নিতে বলার ঘটনাটি দুঃখজনক
e0153c20d2	e03fc	দাবি জানিয়েছে
e015536338	b9b98	রাজনৈতিক দলের নেতা হিসেবে
e01563285a	3fb17	কঠোর ব্যবস্থা নেওয়ার
e015a1af55	e31e7	মোট শুল্ক আদায় হয়েছে
e015d90576	33814	মাত্র ১২ জন
e015dc57c5	cb627	ধনু রাশির জাতক-জাতিকার আজ যাদের জন্মদিন তাদের জন্য দিনটি খুব শুভ।
e015fb0c49	bdd05	ক্রাইমিয়ার গণভোটকে
e01600b536	59c73	আরো কয়েকটি সুযোগ হাতছাড়া করেছে
e016fc53e6	11915	শুরু হয়েছে অনুষ্ঠানের
e01729b71f	520fb	ধান, গম, ঘাস জাতীয়
e017605b9e	46d49	বেকিং পাউডার ১ চা-চামচ
e0176b36e1	01e91	মুহম্মদ শহীদুল্লাহ
e017d6da1e	59c73	আমের আচার তৈরি
e017f5367d	1652d	রাজা সাহেব
e01809cf5a	6dff5	যোগাযোগ বিচ্ছিন্ন হয়ে
e0190d3dc2	e9589	মাঝরাতের ঠিক আগে
e0196c80fa	cb627	হাসপাতাল থেকেই তিনি
e019ab28b4	fd880	ব্যবহার কমছে না
e019ba1953	c3cb3	তীর হারা এই ঢেউ এর সাগর
e019c4ab4d	ad050	মেয়ে আফিয়া মাহমুদ নাহাদী
e019e1ff3d	e9759	জনসংখ্যা হল ৫৬৭১ জন
e019e9350f	06736	গেট থেকে
e019f41053	cb627	নতুন নতুন উদ্ভাবন না হলে
e01a09540c	4bd2c	আমাদের সম্পর্ক নিয়ে
e01a22b5a4	442b7	ছড়িয়ে ছিটিয়ে ছিল
e01a2ee718	e55de	বা নাগরিক সংহতি নামের
