c5000080f3	06527	জুনো চরিত্রে অভিনয় করে
c5003d4c23	ced74	হেরেছে বাংলাদেশের মেয়েরা
c50066cf65	60f77	কেউ আমায় চায় না
c500975845	9d7bf	তা অর্থহীন হয়ে যায়নি
c500a6a026	1e7c6	দুইজনকে গুলি করে
c500f59f60	5dec6	সেখানে শক্তিশালী প্রার্থীদের
c5010b91cb	693cb	বিকল্প ছাপাখানা থেকে
c5014ee95d	5cb47	এই যুবতী আওরাত
c501f3f377	b9b98	কবির সাধ্য বটে
c5027cb5a7	d9081	অংগীকারে তারা বলেছে
c5027f65d4	c11b1	তাদের হাতে ছেড়ে দেয়
c5029a76df	cd3ac	উধাও হননি
c503f362d5	778c0	গাওয়া হয় লালন শাহের
c50400c654	d2d71	ইসলামী আন্দোলন বাংলাদেশ
c504098391	745b7	পৈতৃক বাড়ীতে
c50444da4c	6b437	বালতির পানি
c50537b5ca	5cb47	পোশাক কারখানায় অগ্নিকান্ডে
c506c35197	06ea3	অপিওয়েডের মতো
c506df2ee4	4bede	৬ দশমিক ৩ শতাংশ জিডিপি
c5075eaa7d	79b06	আন্তর্জাতিক মানদণ্ড অনুযায়ী
c50839375f	91223	হাইয়ান ফিলিপাইনের মধ্যবর্তী উপকূলীয় প্রদেশ
c508cc54d5	ac0df	দু’দিন যেতে না যেতেই
c5096df99c	2f547	শীর্ষেন্দু কলকাতার
c509800d2a	0e637	অস্তিত্ববাদ তখন
c50992ab62	4f2ae	বহিষ্কারও করা হয়
c50a99f933	cc18a	ভিয়েতনামের টহল বিমানগুলো উদ্ধার অভিযানের সময় সাগরের জলে তেলের স্তর দেখতে পেয়েছেন।
c50ad35ae8	9c8dd	অর্থকষ্ট আর অন্নকষ্টে চলছে রানা প্লাজায় নিহত শ্রমিকদের পরিবারের জীবন।
c50b0ec897	3f875	একে অপরের মুখোমুখি হয়
c50b98f600	11de3	তা দেখতে গিয়ে বুঝতে পারি
c50c1058b5	6973e	মানুষের দিকেই মনোযোগ দিচ্ছেন
c50c3551bf	bf530	অন্যদিকে তার
c50c3f4316	4237e	তার কূল-কিনারা নাই
c50cbb993d	ca831	দশ থেকে পনেরো মিনিট হেঁটেছিল
c50ce7f9c4	943de	বাবু জন্মিবেন যে
c50d01ecef	f0f95	কারো দিকে না তাকিয়ে
c50d0e340c	59c73	সমস্যা হওয়ার কথা না
c50d2b2fa9	32998	মালিকদের এই মজুরির প্রস্তাব
c50d806481	e6e48	আমি দেখলাম
c50d84d47f	388c9	বেইজিং থেকে
c50db68ec4	f7a7f	আরজিনা
c50dbc157c	4c555	এক্ষণে উভয় গ্রন্থই অপ্রাপ্য
c50e34c4bf	60f77	তিন ঘণ্টা হাসপাতালে থাকার পর
c50eaa617d	9b864	আমাদের জাফা ছেড়ে
c50eaea4fd	29f8c	শোক প্রকাশ করে
c50ed2bbfc	4f2ae	আইনশৃঙ্খলা বাহিনীকে
c50eea3e4a	d9817	আন্তর্জাতিক মাতৃভাষার মাস
c50f267a40	5cb47	এক সমর্থক নিহত হয়েছে
c50fcf883f	29d44	১৯ এপ্রিল ২০০১ সালে
c5103661c6	46da4	এত কম সময়ের মধ্যে
c5103a80ea	7e191	চট্টগ্রাম মেডিকেল কলেজ হাসপাতালে
c510abf662	b08d0	একটা রেনেসাঁসের দরকার
c510ddaaca	2909b	শ্রীকৃষ্ণের জন্মদিনটি
c5117899fd	6fb36	ফিল্ড মার্শাল সিসি খুব সহজেই
c51189797f	5dec6	পটল
c511b33a5a	4bd2c	অবস্থান করিয়াছিলেন
c512177ea9	1e7c7	রাফতো পুরস্কার
c5122755dc	e9589	বোয়িং এর উপর
c5135a5f66	6aac8	আর এক ধ্যানধারণার উদয় হয়েছে
c5137dd7eb	68549	ও আর্ন্তর্জাতিক মাতৃভাষা দিবসে
c513bc9a99	d1b12	আপনাদের কৃপায়
c513d51586	32998	নিয়মিত সিনেমা
c513f0970d	4bd2c	টেলিটক ফ্রি নেট
c513f1cb68	d71a3	গণঅভ্যুত্থানে মি. মোবারকের
c513f1f75e	1f974	ন্যাশনাল ইনভেস্টিগেশন এজেন্সি
c514a8e99b	b08d0	অথবা একই প্রজাতির
c514beaa42	2556b	পেশাদার অভিনেতা
c5151b4b15	239f7	তারপর তিনি বলেছিলেন যে
c51568fb0d	491a5	যাদের মাথা
c5157430ed	b9a81	মৃত্যুর চল্লিশ বছর পরে
c515a21d3d	06bb7	প্রায় পাঁচ কিলোমিটার এলাকা
c516347bbf	17dcd	আর অন্যদিকে
c516a83f7d	2840e	পাঠকদের বিতরণ করা
c516ed1a0d	66c6b	তদসত্ত্বেও তিনি চল্লিশটি উপন্যাস
c5176983d2	dae88	এসআই মাসুদুল করিম
c5178426c3	86b1b	অন্যতম রাষ্ট্রভাষা করার দাবিতে
c517d27de3	932bb	কিন্তু পরিণামে
c518cf3db4	d9081	যমের মতো ভয় পেতাম
c518f99c7b	e6752	কাজটা খুবই শক্ত
c51966a365	153c9	ওয়াদেল আবদুল্লাহ
c519c68cdb	66b3c	সুন্দরবনের জন্য বিপর্যয় হবে
c519e2a411	43199	ভিন্ন কৌশলের বিষয় আসছে
c519ef71ed	880ae	এক কোটি টাকা আমানত
c51ab22664	491a5	এখানে সেখানে
c51b2b0e98	b618b	বৃষ্টি নেমেছে আজ আকাশ ভেঙ্গে হাটছি আমি মেঠো পথে
c51b8288c1	33814	সুচিত্রা সেনের মৃত্যুতে
c51b8b01d1	7d3e1	এই ভিডিওটি দুই বছরের পুরনো
c51c0ef26b	4c555	হিন্দুরা কালো ফটক পেরিয়ে
c51c135f9c	c7a89	যাদের গ্যাস্ট্রিকের সমস্যা আছে
c51c34ff0d	ced74	ই-টিআইএন সেবা সেন্টারের উদ্বোধন শেষে
c51d2cd6c3	0633a	মানুষের দেহে
c51d753017	66c6b	বাংলাদেশের রপ্তানিখাত দাঁড়িয়ে আছে পোশাক শিল্পের ওপর।
c51da16cd7	24f73	১ ফেব্রুয়ারি বিকেলে
c51dec2ce6	1f974	৬৪ জন উপজেলা মাধ্যমিক শিক্ষা
c51e8a2063	6ab59	এতই বিষাদ
c51ec2092c	410fa	যেমন, তুমি তো এবার
c51f66dbdc	c3cb3	বাংলা লাভ এস এম এস
c51f6d728d	25696	এ বিষয়ে সরকারের মারফত
c51fa4735d	d9081	গুলি ছুড়তে থাকে
c5200c0416	d5213	জাতির সঠিক ইতিহাস তুলে ধরতে
c520157ff7	61820	রূপালী জগতে
c5201edf47	a274b	ওইখানে আমি মাসে একবার যাই
c520719874	ad69a	পরিপাক তন্ত্র
c520846f68	9fa90	আমার সর্বোচ্চটুকু দিয়েই খেলবো
c520c6dd58	0744c	সাংগঠনিক ব্যবস্থা নেয়ার
c5222cd52f	c41d8	ফিংক প্রকল্পের মাধ্যমে
c52241eb0e	95f83	চরমোনাই পীর
c5234f4bc0	10a9f	ফেরত পাঠিয়েছে
c523a52b8c	bcaa8	বা ক্লান্তি মেটাতে
c523b68b23	11bd2	মনের হরিষে
c523c2f321	4c555	১৯৭৬ সালের ২৩শে নভেম্বরে
c523e08d59	5cb47	বেশিরভাগ অপরাধীকেই
c523e7f8d5	ac0df	দাসী একুনে আটজন
c5240c9522	f4ba7	পুড়িয়ে দেয়
c524353ae9	4f2ae	একে অপরের নাম পর্যন্ত
c5256831f5	80e98	প্রতিবন্ধী শিশুকে
c525e1f500	b8ed8	উদ্ধার কর্মীরা জানান
c525f22704	7027a	স্টিমার ঘাটে আসিতে
c52703bf00	b4ea7	এরকম চুরির ইতিহাস
c52714a58c	cc18a	টিকটিকি
c5273b765b	f600a	যেমন দেখেছেন
c527404e80	b8fe1	কর্মরত ছিলেন
c5274dd850	adf01	রুটিন
c52780611d	47e8d	তাদের প্রথম সংবিধান
c527c16dc4	86b1b	ভারত সর্বোচ্চ পর্যায় থেকে
c528072385	4bede	মজা
c5287f6da4	9d7bf	খাবার টেবিলে বসে সবাই খাচ্ছে
c528847f3b	14d25	নানি, রুনুখালার শাশুড়ি
c528f1f510	1a2a1	মিথ্যাবাদী
c52a476dde	17dcd	পুলিশে খবর দেন
c52a74d4f0	b8bba	দ্রুত একটা সমাধানে
c52b304e64	f4ba7	এর সবচেয়ে ভালো
c52c1f9574	a46e2	রাজীবকে প্রধানমন্ত্রী পদে বসানো হয়
c52dd7b912	7297e	বিবিসি বাংলার প্রতিবেদন
c52e938b72	c3cb3	ওয়াহিদা রেহমান জানান
c52f150a59	7b900	সে সম্পর্কে সুনির্দিষ্ট কোনো
c52fbdaeb1	7d133	এ কথা বললে
c52fe5909c	5a61c	নড়াচড়া অসম্ভব
c5307aef67	0a87a	ছাতক শহরে
c5309e00ef	6ee5f	মন্দিরের একটি নামফলক থেকে
c5309fdce6	efc0d	পীরগঞ্জ থানার ওসি
c5310b135c	c7a89	তাহার ভিতরে
c5310baadd	778c0	সুফল বয়ে আনবে না
c53165556e	7027a	সদর থানার কাছে
c53184c25b	c0d65	অপরিমিত ব্যয় নয়
c532816e5a	32b3e	বারাণসীর অধিপতিগণ
c53292408d	39293	পুলিশ জনবল
c532da3903	2840e	আইসিসি চ্যাম্পিয়ন্স ট্রফির
c5335756c3	ef915	নিকিতা কার্তিককে বিয়ে করেন
c533828322	72649	ওয়াল্টনে পাবেন
c534306af4	d7a68	লিখিত হোক
c534402a7b	cb842	ছোট হবে মনে হলো
c534414000	66c6b	আজ একদিক দিয়ে
c535d4cad5	4c555	যিনি ফোন ধরেছেন
c5362188a3	76329	চেট
c5365aae5c	47e8d	৮০০র মতো ছিল
c53754b3cd	29089	গার্মেন্টস কর্মীরা দুপুরের লাঞ্চের জন্য যে শুকনো খাবার সাথে নিয়ে আসেন, সেরকম অনেক খাবার রেশমা পেয়েছিলেন।
c5376ccda8	2556b	বৃষ্টির কবিতা
c537e05adb	590d0	আজ সে
c53882800c	5a61c	সাবেক ভাইস প্রেসিডেন্ট
c538b2d451	7e191	১ টেবিল-চামচ
c538be284e	33aef	একজন ফুল-টাইম কান্ট্রি ম্যানেজার
c538efdc08	4486f	অভিনেত্রী
c5391cfee9	ca088	এবং মা রোজ ফিটজেরাল্ড
c53a0542c7	91dff	পশ্চিম, মধ্য ও
c53a434c27	cb842	কাজ করছে বিসিবি
c53ac88814	6973e	অত্যন্ত শক্তিশালী সামরিক বাহিনী
c53b0adf7c	72649	এগিয়ে রয়েছে সোনালী ব্যাংক
