41010b9d16	0bace	পরের ম্যাচে
41010f8c65	92bd8	ক্ষমতাসীন দল জানিয়েছে ইংলাক চীনাওয়াত নির্বাচনে প্রতিদ্বন্দ্বিতা করবেন।
410127d48a	e9589	ফুরফুরা
41016acd3b	c7705	সম্মুখীন হয়েছি
4101b8db62	efc0d	এগিয়ে যাওয়া সম্ভব হবে
41024a60a5	1e7c6	প্রবৃদ্ধির হার কমে
4102577a56	7aed9	দিলদার অভিনেতা
4102cd7710	194f5	তাঁর পা ফুলে গেছে
4102dc4b62	91dff	ভারত মহাসাগরের
4103281f1a	92bb2	জড়ো হওয়া বৈধ নয়
410349c554	75936	জাহানারা তাঁর বড় ভাই
4103a2da10	0a7a0	শুনতে ভালোই লাগছে
4103b12c27	e9759	ট্যাবলেট পাওয়াটা নিশ্চয়ই
4103d13d49	e50f1	কর্মজীবী নারীরও কি উচিত
41046bba78	410fa	এবং দুজন নারীও রয়েছে
410484a16d	dfefa	আকাশ কত দূরে
410489d60d	6c6bf	পৃথিবীর নামকরা বিজ্ঞানীরা ট্রেনটিকে বারংবার পরীক্ষা করে দেখেছেন।
4105579379	1e7c7	তেজষ্ক্রিয় ক্ষয়ের
41057e5bd4	c9c19	পরদিন সকালে
4105a316fb	9c8dd	বুধবার সকালে রাজধানীর ইস্কাটনে
4105aecfc8	aab0f	ওমর সানি
41060908cd	a43b5	অনেক শিশুই এখন বাসায়, বন্ধুদের সাথে এমনকি স্কুলেও হিন্দী ভাষায় কথা বলছে।
410675b62a	5cb47	রেখে গেলাম
4106f23be3	7e1d5	বাড়ি থেকে ডেকে নিয়ে
41070ff1d5	4c555	ঢাকার মোহাম্মদপুরের খুচরা বাজারে
41071f9c01	2b883	কারণ থাকতে পারে
410736911c	56508	নারী সমাজ জেগে উঠবে
410767605c	37e17	প্রশাসন কখনো
4107b58754	29bab	চালানো সামরিক অভিযানের
41084df918	c958a	হিসাব ফরম ও অর্থ জমার বইতে
4108966ff2	2aecc	মর্ফিন ও প্রয়োগ করেন
4108e42fba	fd880	তাদের শ্রদ্ধা জানাতে
4108ed7a28	b5fdc	দর্শকদের অধিকাংশই সরকারি চাকুরীতে কোটার চেয়ে মেধাকেই বেশি গুরুত্ব দেয়ার আহবান জানান।
410a69742e	7d133	ভ্যাটমুক্ত করার দাবি জানান
410a8236fe	f9dfb	ফাইল ব্যাকআপ করে
410ac7a1ef	e43d4	আপনারা সালোয়ারের
410ba89693	07660	সংখ্যা
410bfb0d07	eaa7a	কতটা গুরুত্বের সাথে নেয়
410bfefd5a	bdfc1	আপনার একটা লেখায় পড়েছি
410c16c496	7b900	বিআরটিএ’র যে সার্কেলের আওতাভূক্ত
410c28c968	ee994	আমার বাতাসের ঘর
410c60b9e0	75936	পুড়ে ছাই হয়ে যায়
410c976ccf	cb627	প্রিজনার অফ আজকাবানে
410e54c743	e8dde	বিদেশী রাষ্ট্রের কূটনীতিকদের
410e76ff1d	f2b7d	বিভক্ত অপূর্ব এই মহাবিশ্ব
410e848dcd	809cd	তখনও সে দাসী
410f068dbc	43b04	এমন আসা-যাওয়া চরিত্র আছে
41100d726c	77f82	বাঙালি হিন্দুর
41109cb35e	b2a62	তাকে বৈষম্য ঘোচাবার
4110b82d36	e03ce	বিনিয়োগের একটি বড় অংশ
4110cdfdb1	0606d	আর ময়না বুড়ি
4111169bb9	b08d0	আধুনিককাল পর্যন্ত
411169eee8	a9a58	আমি বসার সঙ্গে সঙ্গে
4111a23b6c	c7705	কলকাতার সুবর্ণ রেখা থেকে
