dd0029e82d	420df	একযোগে মুক্তি দেওয়া হবে
dd01bac863	c5dc8	এবং ঢাকার
dd01f8842b	f2b7d	তাঁর ভাই বদলাবেন না
dd022ecc23	b08d0	ক, খ, গ, ঘ ইত্যাদি
dd026e9cc9	93bf3	স্পিনার সাঈদ আজমল
dd02805d87	c958a	জাতি সম্বন্ধে এত গোলযোগ যে
dd02e7b320	c463d	অক্ষয় কুমার সালমান খান
dd0309dd94	745b7	নানা জল্পনাকল্পনা
dd035fba55	21e54	একজন বাঙালি রাজনীতিবিদ
dd0378fc6d	4a67e	উদ্ভিদের কোন অংশের
dd03b8d407	93080	বাস্তবায়িত হতে পারে নি
dd03e7673b	d3e06	পরপর ১২ জন
dd03e7cb6e	e68af	মাছরাঙা টেলিভিশনের প্রতিবেদক
dd044edad1	e6203	হত্যার ইন্ধনদাতাদের
dd04d6ea36	8a46d	এরা হচ্ছে
dd05146223	ca831	তবে এ ব্যাপারে
dd051a4486	64092	প্রথম প্রথম অবশ্য
dd05907914	7a227	তা উল্লেখ করেন এভাবে
dd05c90ada	287bd	পাণ্ডুলিপিটা বের করে
dd05f2fbb2	61820	নানিবাড়ি থেকে নানিকে
dd0609f9d5	ca088	বি এস এফের নিজস্ব আদালত
dd069f5f4c	274ee	অবেস্তা ভাষা
dd06f7f19c	69449	সিগারেট, গাঁজা এবং অন্যান্য সরঞ্জাম
dd07896fd9	8edea	এটাকে বক্তৃতা বলাই ভালো
dd091575ff	61820	বেড়ে হয়েছে
dd09284fd9	9f25e	সমাজসেবী যুবক
dd09f64ec0	f89d7	সমাজ-ইতিহাসের সঙ্গে
dd0a41a89f	4dd57	তবে তারা
dd0a5dd485	5354e	সন্ত্রাস
dd0aa8b79b	e9fa7	সহায়তা দিতেও সম্মত হয়েছেন
dd0acdd419	c7a89	এই কাউন্সিলের
dd0afbda0d	c749e	বন্দুকযুদ্ধে
dd0b0c3321	d3e06	কেউ তাদের দেখতে পেল না
dd0b8156e3	194f5	আমি হলাম কাদামাটি।
dd0b92001b	388c9	কাঁখে নিয়ে
dd0c47c0f5	ff970	পূর্ব লন্ডনের
dd0c80a11b	388c9	অভিনয় করছি
dd0ccff30a	0edef	৫ই এবং ৬ই মে
dd0d0eba4f	8cf95	পত্রিকা ছাপিয়েছি
dd0d75d548	e6752	বাংলাদেশের নাগরিক জীবনে
dd0da4a40c	4a918	অবসর জীবনে
dd0dc73d5d	c173f	আজ বুঝি সব বন্ধ থাকবে
dd0dd5c402	5d80e	আইন অনুযায়ী
dd0e39f46c	f7a7f	আমি শুধু দেহ-মন নহি
dd0f069457	b2a62	শাহরুখ খান জানিয়েছেন
dd0f80eb6e	42898	তুমিই জান
dd0fd52b9b	3f875	যোগাযোগ ব্যবস্থায়
dd0fd60c7f	43fc0	বাংলাদেশের চূড়ান্ত বিজয়ে
dd0fe7fe67	59c73	পশ্চিমা দেশগুলো
dd10298183	8c120	ওই কোম্পানী থেকে তাকে জানানো হয়েছে, তারা গ্রাহকদের টাকায় আফ্রিকার একটি দেশে স্বর্ণ কিনে থাকে।
dd1051bfea	9f25e	দিনটির পেছনে
dd1079893a	9d398	দিনটি পালিত হয়ে আসছে
dd10bf2cb2	68ab7	পরবর্তীতে তা স্থগিত করা হয়
dd10f056ba	a7c6f	উদ্বোধনের মাধ্যমে সরকার
dd112f4199	8b859	সব শুনতে পান
dd11adc3c1	37d7e	সবচেয়ে ঘনিষ্ঠভাবে
dd11aff725	932bb	ডিলিট করে ফেলার পর
dd11b0b47c	8143b	তিনি সরকারের তথ্য প্রযুক্তি বিষয়ক কর্মকান্ডে গুরুত্বপূর্ণ দায়িত্ব পালন করে থাকেন।
dd11f5dd2f	491a5	আমরা তথ্য পাচ্ছি
dd1203b111	da6f0	বিষয়টি নিয়ে বৃহস্পতিবার
dd1232955b	7e1d5	কারণ সমাজ আমাদেরকে
dd12a94eaa	0e637	সে অফিস বন্ধ করবে
dd135e0aed	7b60a	মধুর ধারে কাছে না আসে
dd138b34a2	cfc65	তাঁর কাছে গেলে
dd13b496bd	bdd05	আফগানিস্তানের লক্ষ লক্ষ ভোটার
dd146721b3	11915	তিস্তা ব্যারাজের
dd147368fb	a06a1	রায়ের নানা প্রসঙ্গে
dd15758fe1	f6e55	ফোঁপানো কান্না
dd168793ac	9f25e	গত বছর পাসের হার ছিল
dd16886786	86b1b	আবিষ্কার হবার পর
dd16a7500f	ff1c3	ডেপুটি কন্সাল
dd16ae8eba	03284	নিজেকে সূর্যমুখী ফুল মনে করছে
dd16ec09b1	4c555	অন্যতম একজন
dd171f245b	903fa	স্বামী-স্ত্রী ধরে নিলেন
dd1761065f	3fb17	সাড়ে ৫টার দিকে
dd17846739	44322	পুরস্কার ঘোষণা করেছিল
dd187185cf	28bb3	উজ্জ্বল তারা
dd1881ab7f	ad69a	বেশি প্রাধান্য দেবেন
dd18cd025a	d8c80	একজন ছাত্র
dd18cd9698	06527	পৃথিবীর বিভিন্ন প্রান্তে
dd18de4dbe	c463d	বরেন্দ্র বহুমুখীউন্নয়ন কর্তৃপক্ষ
dd192058ce	3faff	সেখানে পড়াশোনাও হচ্ছে
dd19441ba2	7ee9b	সঞ্জীব চট্টোপাধ্যায় নামের
dd19f32ca6	b9a81	বৌদ্ধশাস্ত্রের মধ্যে ললিতবিস্তরে
dd19f483da	29bab	পাল্টাপাল্টি কর্মসূচিতে
dd1a150c78	c2082	ভুল সংবাদ পান
dd1adfb21c	0606d	তাহা পূর্বে বলিয়াছি
dd1b1fa9ac	4ea73	এক অধ্যাদেশের মাধ্যমে
dd1b609a8e	7c272	কোনো ভূমি জরিপ হয়নি
dd1bbcb6f3	f1240	তিনটি ওয়ানডে খেলতে
dd1bf95756	ee994	প্রায় একশ সদস্যের
dd1c1d0366	7898e	যুক্ত ছিল না
dd1c678ace	e7230	বিশ্বাসঘাতক ক্ষমতালোভী রাজনীতিবিদরা
dd1ceec9ed	06bb7	বিভাগপূর্ব ততকালীন
dd1d02f4eb	11915	উত্তম-সুচিত্রার
dd1d7f4f57	d9b11	পথনির্দেশক পরম শ্রদ্ধেয়
dd1deb02f8	b8bf0	ওই পুলিশ কর্মকর্তা
dd1e1b5a6a	92bd8	টেবিলে বসলে
dd1f00380e	46d49	পিযুষ বন্দোপাধ্যায়
dd1f19eb54	2909b	ময়দা আড়াই কাপ
dd1f52aeb8	85430	কোনো কোনো লোকজন
dd1f7d7f44	baa02	তিনি আশুরাকে
dd1f824bff	17dcd	ও গ্রহণযোগ্য নির্বাচনে
dd1fb49c79	79b06	অ্যাস্টেরিক্সের কাহিনীগুলো
dd1ff7eec0	24f73	কিন্তু না
