890046e1c8	21e54	প্রায়ই অগ্ন্যুৎপাত করে
890077692a	43b04	কোথাও নৌকা বাঁধিয়া বিশ্রাম নিবে
8900b58c1c	ef4f8	এ সময় পুলিশের গুলিতে
8901f5f19f	0e637	এদিকে দেশটির রাষ্ট্রীয় বার্তা সংস্থা জানাচ্ছে সোমবার পর্যন্ত তাহরির স্কয়ার বন্ধ থাকবে।
89022f8114	b8ed8	লিখে দেওয়া হল সীমাহারা
89023df0d8	b8bf0	২৭ রানে
89024fd5ef	0f047	পরে পুলিশ লাশ উদ্ধার করে
890302b053	ee886	ঢাকার বায়তুল মোকাররম মসজিদের
890393492b	2bc73	স্থাপন করে
89039f3462	29bab	ইপিএলের প্রথম তিন দল
890429d024	e2c11	কণ্ঠে করুণ সুর
890430367a	577fa	অবরোধ করে
890454b9ff	d3e06	দেখা যেত না
8904b25311	76329	আপনি দেখতে পারবেন
8904cdb303	d136b	সিরিয়ার বিষয়গুলো দেখাশুনা করা হয়
8905d65f00	194f5	সবচেয়ে বেশি ভোগেন
8905ef3f16	1cb75	পুলিশ মৃতের বন্ধু
8905fc767f	33aef	তোমার স্বামী ব্যস্ত থাকিতে পারেন
890686107e	dba43	বাংলা সাহিত্যের সুপরিচিত
8906966ed3	d5213	আমাকে মাদ্রাসায় দান করেছে
8906c5716e	9f25e	ঘণ্টা খানেক পরে
8907c0e89f	a8710	বিশ্বের বিশাল শিল্পকলা জগতে
890808113a	c2082	এখন পর্যন্ত
8908444a38	2bc73	আলোচনায় অংশ নিয়ে
89087e2cce	60b9d	বাংলার প্রকৃতি
8908df1bf8	6da0a	বহিরাগত ছাত্রী হিসেবে
8909709f5e	809cd	মুখের দিকে চাইলে
890a9138ff	52578	তিনি প্রথমে ভাবেন নি
890b4a4781	b8ed8	জেনারেটর
890b50915b	a1201	সুবির দত্ত জানান
890b9c8ec0	315e9	তাকে আটক করে
890c5dadff	f2b7d	উল্টে গিয়ে
890cefc729	e2c11	অফিসের ভেতর এসি আছে
890d1654d6	aabe7	তা নিয়ন্ত্রণ করা উচিত
890d6c2e93	8cf95	সেনাবাহিনী মিশরের বর্তমান রাজনৈতিক সংকটে হস্তক্ষেপ করলে তা আরও বিভ্রান্তির বীজ বপন করবে।
890d6cf355	3ccf1	ভাসানির প্রতিকৃতিতে
890d9dd40c	1b359	মানের বিষয়ে
890de4d3ad	f2097	তবে তিনি আশাবাদী
890e4ba4b4	7b132	ব্যাংক
890e6c9d9a	52578	তাকে হিংসা করি না
891025a4ae	0606d	প্রাচীন জনপদ
89104b75b2	9d7bf	একটি জীবনী
8910df5e83	6c6bf	এ ছাড়া ঢাকার বাইরে
89117421a8	698ff	তখন থেকেই নিজেকে
8911fdb220	80518	ছড়া
891294e478	e754e	ফুল তৈরিতে লাগবে
8912a247cf	ad050	ব্যাপক ছিল না
8913273834	1652d	ঢাকাতেই থাকবেন তিনি
