060001e9b1	16877	উৎপাদন করা সম্ভব
060019ea1c	ab946	মক্কার ছবি
0600f8d225	dafb6	অভিধান প্রকল্প
0601693bc3	98b81	অনেক কষ্ট
060188a78e	420df	কথা জানান মুনমুন
0601df5529	ad050	তাহা লাভ করিবার
0601eb4c1b	cc18a	চৈতালির ঠোঁটে
06020b2d8a	086dd	গত নভেম্বর মাসে
060247e1e0	520fb	এ ধরনের পদক্ষেপ
06024c349a	121bd	নারীর যৌন কামনা থাকতে নেই
06027a5e91	d136b	আতাউল করিমের দেয়া
0602b7ec7f	0e637	সাহারা গ্রুপের কর্ণধার
06037fc375	80539	এগিয়ে আছে দীপিকা
060447ee25	9d398	যেমন করেই হোক
0604de883e	c2082	আখাউড়া এলাকায়
060536ddd8	cfc65	বাংলাদেশের টাঙ্গাইল জেলায়
06059ba13f	4fd66	মেঘনা সরল হইয়া চলিতে চলিতে
06061a2b80	b8bba	কোন নির্দিষ্ট দলের সাথে নয়
06061f1efe	0bace	অনাবিল ভালো লাগা দেয়
060629b9b9	2695f	কিছু একটা ধরা পড়ে
06063b432c	86b1b	বিদায় হয়ে
060686bc5e	e6752	রিপোর্ট এটি
0606a2476e	da6f0	যে কুঁড়েঘরে শাশুড়ী আছে
0606d0e0d5	39dd0	তারা নামাজও পড়ে
0606f98f7f	8406e	পুলিশের কাছে নিহত মফিজুলের বিরুদ্ধে সন্ত্রাসী কর্মকান্ডের অভিযোগ রয়েছে।
06079dd4ec	410fa	অলিজিহ্ব্য নাসিক্যধ্বনি
0607c6fc5e	da6f0	প্রতিবাদ করুন
0607cbe96a	577fa	পেয়েছেন ২৬ হাজার ২৫৯ ভোট
060859ea10	7aed9	দিলি্লর বাদশা
06088f1061	f2780	কাজের মৌলিক একক
0608a1fb95	ca831	মটরশুঁটি ১ কাপ
0608cba4a3	6b437	গীতিমাল্যের গানেও
0608f8260d	11de3	ক্যারিয়ার বিবেচনায়
0609280114	32c77	চুপী গ্রামে
06096b76b8	7d3e1	এক অতিকায় স্থুল মানুষকে
0609b7706d	880ae	বিবিএ
060a5cee34	f9dfb	ইঞ্জিন বলা হয় না
060a81ab14	b78ec	নেসলে বাংলাদেশের
060aaa35db	d8c80	অর্থনৈতিক পরিকল্পনা
060aab3331	1e7c7	কোন তথ্য নেই
060acbaf8e	089ef	টেবিলের পাথরের দিকে
060adf0cd2	e6d83	সেই যায়গাটুকু
060b11d895	bfac7	ওয়ার্ডপ্রেস
060b9090bb	49d63	যখন তারা ক্ষমতায় যায়
060c1fdc69	520fb	প্রাণ, তুমি আজো আছ ঐ দেহে
060c5a3659	e3f89	সবার ধারণা
060ca9074e	42898	মদ্যপান, কোকেন
060d555033	976b1	তবে বারিক বিশ্বাসের
060d5a7444	42898	চালানটি পাওয়া যায়
060e270b77	6ee5f	দাদা বললেন সিলেটের মেয়েরা
060e33caec	9d398	নেপাল সরকারের
060e40dfa2	0744c	পথগুলো দিয়ে
060e4b192e	d7a68	চারিখানি গ্রন্থ মাত্র নহে
060ebc0c6d	6ee5f	বাছাই করা ১০টির মধ্যে
060f36a620	72649	বইটা যে অবস্থায় আছে
061038fa08	321b6	বেশ চোখে পড়ার মতো
06104e2881	e2f12	মির্জা গালিবের স্ত্রী
0610e0948e	b8ed8	তিনি প্রায় সর্বদা
0611131136	e31e7	কেউ একজন তাঁকে
061113ef0e	0606d	উচ্চ আদালত থেকে
06111fa41d	8845d	কয়েক'শ মানুষ নিহত হন
06116ece94	31f2a	এখন এই সময় শেষ হলে
0611dc9535	43199	জলযোগ করে
0611e1a994	17ca1	শুক্রবার রাত ১২টার দিকে
0611f49f51	b8bba	এড়িয়ে চলতে হবে
06128d2ba3	baa02	তাহলে দর্শকরা কোনো
061291b8af	80505	বিখ্যাত সার্চ ইঞ্জিন
0612ca4e32	b08d0	তিনি ওই প্রতিষ্ঠান থেকে প্রায় ৬০০ ডলারের সমপরিমান স্বর্ণ কিনেছেন।
0612d64635	e7230	ময়দা প্রায় ২ কাপ
0613226856	f1240	স্পেনের মুখোমুখি হবে ইতালি
0613b6e241	860f4	দুই আইনজীবী
0613f83700	29bab	অন্যরা সাঁতার দিয়ে
06142c9463	cd3ac	একই রকম চেহারার
061475d60f	e2ba2	ক্ষেপে অগ্নিশর্মা আমার দশা
0614992c2f	a0277	অনেকটা সফলতা অর্জন করবে
06155d805c	7a227	মূল মঞ্চে ওঠেন
0615e2c8a5	fdcba	যা পাকিস্তানের ক্ষেত্রে
06161b6d6a	3c897	পরানো হল
061651e725	06bb7	মাথায় ক’রে
06168d9cb4	c7705	আইনজীবীদের সঙ্গে
0616a55ebe	73629	নির্বাচন কর্মকর্তা জাহিদকে কেন্দ্র থেকে
06170f8986	69d9a	সন্ধান পায়নি
061746893f	01e91	আন্তর্জাতিক সীমান্ত পিলার নিকট
06176016cd	eb179	ও গাইবান্ধায় পঞ্চম
06184139ba	2de86	মধ্যে দ্বিতীয় দফায়
0618877752	2b883	২০ ওভার খেলে
0618f02bed	880ae	কতকগুলি চরিত্র
0618f2388f	13b70	অনিয়মের জন্য
0618fbf98a	eecdd	কোন মালিক বাধা দেবে না
0619109dd2	2396d	বাস করছেন
06194abd51	c3cca	একধরনের অস্বস্তি
0619adfc83	6e8cb	বহু চেষ্টা করে
0619c5c456	0c39f	বাংলাদেশের নাগরিক নন
061a116053	ee852	সাত মাস বয়সে
061ab36a2e	66dcd	কুকড়া রেল সেতুর পাশে
