0c001df55f	9065c	ছবিটি অক্ষত রয়ে যায়
0c0066496e	e2c11	লালনের ওপর
0c00778ccf	d3e06	হরতাল কর্মসূচিকে কারণ দেখিয়ে
0c01299a88	7b60a	তা দেখে তারা খুব
0c026a1331	31f2a	কোন আইনজীবী ছিল না
0c033dbcd4	948d3	এখনো তার সেরা
0c0343f137	4bede	মৃত্যুর প্রকৃত কারণ
0c036274b8	6e8cb	খরচ জোটাতে
0c03bf1620	1f733	তাহা হইতে ঘাটিঁয়া
0c03cba9ae	31f09	কিন্তু ক্লাবের পক্ষ থেকে
0c03df6c0c	4bd2c	১১৫ মাইল পশ্চিমে
0c04faac47	13b6a	সামনের দিকে এগুতে হবে
0c050b405a	d71a3	ফর দি স্যাংটিটি
0c05815557	91dff	অসিতবরণ মুখোপাধ্যায়
0c05a45b58	2fc12	মারসেলের ফ্রিজ বিক্রি বেড়েছে
0c05af6885	4237e	সর্বোচ্চ ১৫ বছরের
0c062e0078	71522	তবে কিছু উপকারী
0c0643f612	93bf3	সংঘটিত সে যুদ্ধে
0c06def44b	91dff	সকল প্রকার
0c06e4a5f0	bc81e	পরিচয় নেই রাষ্ট্রব্যবস্থার
0c070329e2	72649	বন্দুকধারীরা একটি শিল্পাঞ্চলে
0c07084a74	18a52	এই দুই প্রতিযোগিতার
0c070e571c	7aed9	ইহার একটিও দর্শনের
0c071f2607	ca088	একটি কমিটি সেরা গ্রন্থ নির্বাচন
0c0782f1be	39dd0	এর শোধ তারা নিবই নিব
0c07c38619	52578	তখন ঘরের ভিতর হইতে
0c098a65fe	693cb	ও প্রাইভেট গাড়ী
0c0a5b383b	6c17f	অনলাইন পত্রিকা
0c0abdda5c	520fb	অন্তর্ভুক্ত করা হয়েছে
0c0ac97a23	0744c	বক্তার অভিব্যক্তিই এখানে মুখ্যচ
0c0adb3a72	37e17	ফিটনেস
0c0ae906e7	d82d9	যার ওপর ইচ্ছে
0c0af2a065	98b81	কথা বলেছেন
0c0b1d0f36	c8f7f	সে কাউকে জানতে দেয়নি
0c0b1e7480	351dd	হাছান মাহমুদ বলেন
0c0b69b683	6c17f	তার জন্য কি সত্যি সত্যি
0c0bafb5bc	5b13f	সুন্দর একটা পরিচয় নিয়ে
0c0be2658f	4dd57	হাসান তারেক
0c0be4851d	3f493	তাঁদের একজন অবশ্যই
0c0bfa9d0e	932bb	প্রাণপণ চেষ্টা করেও ব্যর্থ হন
0c0c5c72e0	7ed14	চলচ্চিত্রের জন্য
0c0cc9618d	32998	সাকিব বলেন
0c0d5a922b	f2097	ঠিক গোয়েন্দা গল্প
0c0d93ba61	a06a1	ইউক্রেইন বিষয়ে
0c0d99a472	32c77	তাদের নিয়মিত গার্মেন্টসের কাজে
0c0dd34d8f	d2faf	অন্যতম সহযোগী ছিলেন
0c0ebc71b5	64092	জাদুর বাক্স
0c0ebdbe4e	4c555	প্রতিহত করার জন্য
0c0f34623e	baa02	অভিনয় করলেন
0c0f415e41	7ed14	রাজধানীর চানখাঁরপুল
0c0f562f2a	2f547	দাবি করেছিলেন যে
0c0f5f42a4	09f0d	কেবল মা’র পুতুলের সঙ্গে
0c0f6b8d0a	4237e	বাংলাদেশের স্বাধীনতার চল্লিশ বছরে
0c0f84ab48	8c120	সুচারুভাবে পালন করা যায়
0c0f9672c4	2ad74	নেশা
0c103670c7	66b3c	10th ntrca exam
0c10c36b5b	194f5	দালানকোঠা, দোকানপাট
0c11bfa499	b9122	ছাপাখানা ও প্রকাশনা আইন
0c11ced825	f7a7f	সরকারের মধ্যে
0c11d06d0a	3b1f7	ফিল্ড টেস্টে সামনে-পেছনে
0c1226421f	65652	এর পেছনে অবশ্য
0c125f7367	5b13f	ঘেন্না যা পেয়েছে প্রীতি
0c12746576	e2c11	রেখে দাও
0c134b0244	b8bdd	মুক্তিযুদ্ধের সময় বহুল উচ্চারিত একটি শ্লোগান স্বাধীনতা উত্তরকালে চরমভাবে দলীয়করণ করায় তা গ্রহণযোগ্যতা হারায়।
0c1352d9d6	d9ba9	উপজাতীয় জনগণের আগমন
0c1366ad97	6ab59	গায়ক প্রার্থীর দাবি
0c1369e7fa	fdcba	এই প্রস্তাবে সায় দিয়েছে
0c13ec9bb7	860f4	সে সবের মাধ্যমেই
0c13f7d76e	0633a	আগুন দিলে
0c1413a1a7	93080	প্রথম হিন্দু মন্দিরও
0c1435a3f8	e6752	মেহেরপুর সদর থানার
0c144554a3	33aef	নির্বাচনের তফসিল ঘোষণা করেন
0c146e2ea4	32c77	তিনি তৈরি করিয়েছিলেন
0c14eb751c	0606d	আপনাকে কিন্তু
0c15685534	4f450	আর এ কারণে
0c159e9f33	fcefa	চাকরিজীবন শুরু করেন
0c15a1959a	acb88	কিংবা ফেনিল সিন্ধু
0c162fb417	1de6c	অপরিবর্তিত ছিল
0c164f6f40	9813c	জন্মহীন সত্য
0c16704e82	46da4	খারকিভ শহরে
0c16823961	b4ea7	ঢাকার অভিজাত পরিবারের সদস্য
0c16fa9f40	dafb6	স্বপ্নদোষ কেন হয়
0c17cd3623	f600a	বলা হয় সক্রেটিসকে
0c180dc218	943de	তাদের বাড়ি
0c181da04d	4a918	এ সময় মন্ত্রিসভা কেবল
0c183e86ac	3fae0	স্বামী স্ত্রীর সঙ্গে
0c18622913	8845d	বাকিটুকু পড়ুন
0c18ea504b	b8ed8	কি ভীষণ শক্তি
0c18efd574	ced74	ঠুনকো কারণে
0c1923c511	cb627	মাইকেল চ্যাংয়ের সঙ্গে
0c193bc5c1	616ec	অনেকেই ছাত্রীদের
0c194363fd	ee994	ঘটে যাওয়ার আগেই
0c1951fd8a	03284	সপ্তর্ষিমণ্ডল রাশিচক্রের বাহিরে
0c19ac3e17	2ecf8	কিন্তু একটা পার্থক্যের কথাও
0c19ba2ce6	8a46d	দ্বিতীয় রাউন্ডে যেতে হলে
