d600414926	77f82	জুডিশিয়াল ম্যাজিস্ট্রেটরা
d60043ca50	65e30	ভারত মহাসাগরের মাঝ বরাবর
d60049cd05	4dd57	শ্রীপুর উপজেলা স্বাস্থ্য কমপ্লেক্সে
d6012e150f	a1201	উপজেলাওয়ারি অন্যান্য তথ্য প্রদানের পর
d60187e973	f7a7f	এই নতুন শ্রম আইনটি নিয়েও
d60234e335	ca831	চলতি বছরের ১১ মার্চ
d6024bdc97	92f59	বক্রেশ্বরবাবুর অতি প্রিয়পাত্র হইল
d602a667d5	4dd57	বন্ধ করতে চাইছে
d60308f205	f4ba7	আবার কাউকে অন্য কোনো সিনেমায়
d6032fdb30	b08d0	ঘরময় চেয়ে থাকবেন
d603511ebe	54e68	বুধবার কমিশনের পক্ষে
d60447efe2	eb179	সাংবাদিকদের এ তথ্য নিশ্চিত করেন
d604ca9286	e3d8b	বড় হন তিনি
d6052ff804	536d9	সেনা হত্যাকাণ্ড
d6054691bc	ce775	কাঁটাতার না থাকলে
d6058557bf	2556b	বেশি দিন সংরক্ষণ করতে
d60722b486	0d9f1	প্রেক্ষাগৃহ এ শিল্পের সেই অংশ
d607e5592f	351dd	দেবতার সঙ্গে কোলাকুলি
d60804e218	f9dfb	সুর ও সঙ্গীত
d608164c33	37e17	আগামীকাল ফের
d60847d021	1a2a1	গরম গরম পরিবেশন করুন
d608898e41	a1d4a	উত্তেজনা বেড়েছে
d6091d4671	fd880	ঢাকায় শিশুকালে শুনেছিলাম
d6094a2899	1a2a1	নাটকটির গল্প প্রসঙ্গে
d60981137c	6b437	অভিযান চালানো হচ্ছে
d609de1554	18a52	তথ্য কর্মকর্তা সুবোধ চন্দ্র ঢালী
d609f12999	18a52	মনের উপর
d60a25d4a5	ff1eb	তখনই অজ্ঞান হয়ে গেলেন
d60a607b14	e6752	আলোচনা সভাসহ নানা অনুষ্ঠান
d60aa75861	e3f89	অন্ডাল, ভারতের
d60ab2250f	9282d	নীল আলো বিচ্ছুরিত হবে
d60b120f69	8ba2b	ঠিক এ কারণে
d60c26268e	16a17	আমি দ্বিতীয় বর্ষে
d60cc0ec3b	93080	পূর্বের তুলনায়
d60cd24fa1	6da0a	হয়তো ওরা
d60d280fd0	15a75	কুরুক্ষেত্রের যুদ্ধ
d60d8b8a5e	d9ba9	২০১২ সালের তুলনায়
d60d9eb7a1	c1e30	আপাত দৃষ্টিতে
d60dd90e3b	a699c	যিনি আর কখনো
d60df2e2a5	43fc0	এদের নাম ‘Kopje’ অর্থাত্‍
d60df8a6e5	4bd2c	জর্জিয়ার এক স্কুলকর্মী
d60ef51e88	44322	তাকে অ্যামবিগ্রাম বলে
d60f248480	932bb	যোদ্ধা
