af0053da0c	4e900	প্রভৃতি নামধেয় নরাকার জীবগণের
af006a4097	f83df	মুহূর্তটি উদযাপন করে
af00e4a10a	3fb17	স্ত্রী ও সন্তানদের নিয়ে
af00f71145	e2ba2	আমার দ্বিতীয় উপন্যাস
af0104e8a7	acb88	সকালবেলা সোনারঙের রোদ দেখে
af01a7959b	9351a	সেই কারণে
af0235be98	ce775	তবে তারা বিষয়টিতে
af02e5a7ce	17dcd	শিক্ষিত সমাজ
af033c1c2c	6ab59	এতে দুই দেশের সংসদের মধ্যে
af03c08a11	089ef	শ্রমিক ঐক্য পরিষদ
af03c7c166	0633a	ভোটার উপস্থিতি
af042a420a	acb88	স্পিকারের কার্যালয়ে
af04ed87fb	14d25	চালক সেখান থেকে পালিয়ে
af05395c93	ab946	এটা অনস্বীকার্য যে
af056b375d	3bea8	কঠোর নিরাপত্তার মধ্যে
af05bc2ca9	a8710	তার উত্তর জানেনা
af05f7a2a4	0a87a	কমলাকান্তের দপ্তরেও
af066470b7	1cb75	খুঁত বর্ণনা করেন
af06bfe603	8406e	চীনের মিঙ সাম্রাজ্যের রাজত্বকালে
af06e7911c	ee886	নৌ-পরিবহন মন্ত্রণালয়ের অতিরিক্ত সচিব
af07693c58	6e8cb	মাথার চুল থেকে
af078c5e5d	d2d71	নকল ঠোঁট
af07b14d15	a06a1	ফেসবুকে বন্ধুত্ব
af07ca89ff	d9b11	খন্দকার হাসান মোঃ ফিরোজকে
af080eb1c2	8edea	বাংলাদেশে গরমের দিনে
af0810266a	287bd	ভ্রাম্যমাণ দোকানপাট
af08925c88	38ff0	স্যার অ্যান্ড্রু জন ওয়াইলস
af0959599d	a1201	অস্ত্রসহ পুলিশ
af09776813	9d46f	অবিশ্বাস
af097f96db	6dff5	ভারতের স্বাধীনতার পর
af098f3cbc	2bc73	একই এলাকা
af09bd980d	47e8d	উল্টো বমি আসার
af09dd42a9	3ec4d	দেয়া হতে পারে
af0a3cec12	92bb2	নদীয়া বিভাগেই তিনি
af0a5821a8	93d3b	সেল্তার স্ট্রাইকার ফাবিয়ান ওরেলানের
af0a5f8bca	9d46f	আমরা কি দেখিনি
af0a659730	e6752	জাকির নায়েক
af0a794990	e6e48	রোগীরাও নিজেদের কখনো
af0a8d5d10	7b900	এক বিক্রেতা বাংলামেইলকে বলেন
af0b99c3a3	23b22	লুকিয়ে থাকা মানুষগুলো
af0bd9a631	16e96	পাঁচশত বছরেরও বেশি
af0c59941b	a916a	সমস্যা তৈরি হওয়ায়
af0c63fef6	e6203	রমণীদেহ একেবারে নিরাভরণ
af0c6ab4b2	cb842	চুল বাধা
af0ccd6e55	ce180	রিজিয়ার অবস্থাটা তখন কী
af0ceb8eae	8edea	বাঙালি নাগর
af0d259ce3	d41be	আমি নতুন করে ছবি এঁকেছি
af0d720ca4	52578	বিশ্বাস রেখেছেন
af0dd89d6a	f83df	অসমীয়াভাষী ইন্দো আর্য জাতিটিকেও
af0e2ad591	e6d83	হত্যা করা হয়েছে
af0e5bc6ae	b8bba	ভুগতে হচ্ছে
af0f28e5f0	4fbd1	মানুষের মধ্যে একধরনের
af0f4287d9	0d9f1	বিল জনস্টন
af0f6b39c6	c6848	তেমনি সমালোচকদের দৃষ্টিভঙ্গীও
af0f82fe6e	46da4	উৎঘাটনের নেশার বশেই
af0f9b6528	71522	তা করা হয়নি
af103b91f2	4237e	একাত্তরের যুদ্ধের সময়
af107a0bd8	0bace	চোখ সরে যাচ্ছে
af107bc64e	e2ff7	টেলিফোনে
af10a0e97f	2c9c5	নদীর নাম কি
af10a968c5	870e3	তার বিয়ে ভেঙ্গে গেছে
