49000f8266	1cb75	হ্যাঁ গো মা
49004dfc3b	f6e55	যুদ্ধাপরাধীদের বিচার নিয়ে গবেষণা
490092a917	7898e	নদীর ধারে জড় হয়
4900fabe3a	903fa	সিদ্ধান্ত হয়েছে আগামী অর্থ বছর থেকে
490112ca41	ff970	আসন্ন ২ টেস্ট সিরিজের জন্য
4901156fb5	e2ba2	বিক্ষোভ হয়
490135199a	95907	আমার ক্ষুধার কথা জানাইলাম
4901506d7c	6fb36	উল্টো আমাকে
4901910f2d	2ac82	আশা করি শেষ বছরে
49019ea1c1	80539	ঘরে-বাইরের মধ্যে
4901aa1f3d	e00db	তখন এ দেশের মানুষ মাতৃভাষাকে
4901e44603	f600a	করতে পারবো না
490223a391	4c1eb	এই বাসনা ছিল
490264b758	9092b	বিভিন্ন মার্কেটের বাইরে
49038a83e3	c2082	উচ্চবিত্তের মাঝেই দিবসটি
490435e165	24aed	বাংলায় নামাজ পড়লে অসুবিধা কি
4904a26da9	52578	মধ্যিখানে কয়েকটি শতাব্দীর পরিবর্তন
49050a493c	65652	সেই আদি ব্রাহ্মসমাজেই
49056b16a5	64092	এখানে বড় প্রশ্ন হচ্ছে
49057892cb	351dd	১৬টি বিভিন্ন ধরনের অস্ত্র
49059a912f	66c6b	হচ্ছে আন্তর্জাতিক ফুটবলে
4905a78ec8	0744c	ইউরোয় চ্যাম্পিয়ন
4905ba2699	29089	প্রধান কোচ হিসেবে নিয়োগ দেয়
4905f5475d	8edea	হয়তো সম্ভ্রমেই জানতে চেয়েছিলেন
49062199a1	2ee04	তিনি তেজস্ক্রিয়তা আবিষ্কারের জন্য
490689c6e2	4ea73	জাফর ভাই তো পাতার কাজ
4906b5e539	554fe	জনপ্রিয়
490779a0cc	e31e7	সকাল ১০টা থেকে
490794f372	d82d9	এসোসিয়েটেড প্রেসের সঙ্গে
49087788da	9b864	গণতন্ত্রের কোন বিকল্প নেই
4908c2fefb	ba2f6	ফুটবল ছবি
4908ca5492	c41d8	ভোক্তারা বকেয়া শোধ করে
4909d72281	9642e	তার শ্যালকের স্ত্রী আকলিমা
490a012e8f	12702	অজগর
490a09fb67	64092	বেদকে এই চারি ভাগে বিভক্ত করেন
490a375a0f	2aecc	পবিত্র কোরআন অনুসারে
490acfae23	256f5	পাকিস্তানোত্তরকালে একটি গোষ্ঠী
490ada3414	16a17	দেশের সব প্রাথমিক বিদ্যালয়ে
490addf295	d2355	বুঝতেই পারতাম না যে
490aeef5c4	ab946	যৌতুক প্রসঙ্গ
490b276331	c4973	উপেক্ষিত হওয়ার
490c1205e8	fd880	এর মধ্যে ১১শ'রও বেশি লোক
490c9c60b5	7aed9	নারীবিরোধী সমাজের বিরুদ্ধে
490cc45e88	8632b	চট্টগ্রাম পর্যন্ত স্টিমারে
490d389810	2aecc	এ কেন্দ্র নির্মাণ করা হোক
490e0b9dc6	f4ba7	সকল ভাই এরূপ করে না
490e211bd4	e2c11	সম্পৃক্ত করার কাজটি
490e4a1699	f1ea4	উপদেশমূলক বার্তা দেয়
490e5730ae	3f493	জন্য সেটি খেলেও
490eac550b	c2082	অবমাননাকর হারের পর
490eae899b	33aef	আমি এখানে কেন
490eb0a2fa	d1a48	কারণ হয়
