dc00120bdb	dae88	কুতকুত খেলার বয়সী
dc001b6806	db735	আল-কায়েদার সঙ্গে জড়িত
dc00230dab	e8dde	তুই তাহলে বুঝতে পারছিস,মোহন
dc00355a5b	dae88	তাদের কে সুযোগ দিচ্ছি
dc00a25c80	ac904	পড়ে থাকতে দেখেন
dc0158b264	1de6c	সুদান
dc0158e151	321b6	ভরসা কেবল পতিতপাবন
dc018c17e8	65652	ধাওয়া করে
dc019b834c	37d7e	স্থানীয় লোকজন সড়কে জড়ো হয়ে
dc030f6e3e	274ee	এই নীতি কার্যকর করা হয়েছে
dc038172d6	f7a7f	গল্প,উপন্যাস, চিত্রনাট্য, রাজনৈতিক প্রবন্ধ
dc04172f82	ee852	এরপর শুরু হল
dc0441975e	18460	তিনি নারীদের মতো
dc049823b3	32b3e	আশরাফের ভূয়সী প্রশংসা করেন
dc04a97bef	fdcba	সিগারেটের কটু গন্ধ এসে লাগছে
dc04c935aa	2396d	৭৫ রানের অবিচ্ছিন্ন জুটি গড়ে
dc055bbe5c	75f18	কোন প্রাকৃতিক বা কৃত্রিম উপগ্রহের
dc057ca907	0c39f	শব্দ নীড়
dc05ea7822	77f82	এই বিক্ষোভের মুখেই
dc05efd2ec	16877	প্রোফাইল পিকচার
dc060e0477	d9ba9	শেষ হয় ৩১শে মার্চ
dc0615e10a	69449	এই শরণার্থীদের বিষয়টি
dc0619afa8	153c9	২০১১ সালের ফেব্রুয়ারিতে
dc062873db	75f18	ইসলামী আইনের অনুসরণ করা হয়
dc069190ba	11de3	রাস্তায় কতদূর হাঁটিয়া দেখি
dc06e44b3a	ac0df	স্ত্রীর হাতে
dc07de82fc	194f5	ডাঙায় রয়েল বেঙ্গল টাইগার
dc08b2b422	efc0d	৭০ পয়েন্ট নিয়ে
dc08bee83a	eaa7a	মূর্খের মতো
dc08e6af55	80505	পাঠ করা হয়
dc0900706a	1b359	৮০ হাজার টাকা ব্যয়ে
dc0925ebe7	fcefa	মার্ক্সবাদী অর্থনীতি সাধারণত
dc096df6b7	21e54	সিনিয়র সাব স্টেশন ইঞ্জিনিয়ার
dc09734fae	1f974	এরশাদ শিকদার
dc0980b4bc	acb88	নানা নামে নানা মতে
dc099c6730	6dff5	যাহা এরূপ দুষ্প্রাপ্য
dc0a618ef9	4a918	১ দশমিক শূন্য ২ শতাংশ
dc0a8b647a	52578	অনুকূলচন্দ্র ঠাকুর
dc0b02b5bf	4c1eb	খুলনার পাখি বেগম
dc0b059964	6e8cb	বৈঠকে দেশের রাজনৈতিক পরিস্থিতি নিয়ে
dc0b809c36	29089	তার কাছে কোনো ঝামেলাই
dc0b8b6320	11915	জীবন প্রায় কাটিয়া গিয়াছে
dc0c2c5e71	274ee	বেদ ঈশ্বর-প্রণীত, ঈশ্বর সর্ব্বজ্ঞ
dc0c4d25c8	85430	উত্তরাধিকার পাবার যোগ্য হয়
dc0c5e5403	4237e	কী বিবশ করা এই উত্তেজনা
dc0c720cec	fd880	দেশের অনেক শিক্ষাপ্রতিষ্ঠানে
dc0d561671	ea8fa	যে শারীরিক পরীক্ষা হয়
dc0e4513bc	976b1	সমাবেশের উদ্দেশ্যে
dc0e5c3362	c173f	হানিফ বাস সার্ভিস
dc0e5c4e5a	86b1b	আন্তর্জাতিক অলিম্পিক কমিটির
dc0e8cc57b	4164f	বারবার ঘুরপাক খায়
dc0eb08309	68ab7	ভদ্রলোকের বৃত্তান্ত
dc0edc7307	c0965	মেজাজের পারা চড়ছে
dc0f33a853	1b359	স্পেনের পতাকা
dc0f6028f5	b2a62	করার পর
dc0fe5474d	4c555	মর্ম বুঝতে ও জানতে সহায়ক হবে
dc105c68c9	f89d7	অর্শ
dc1070146a	03284	রোমিওর কোমর
dc10ff8445	693cb	সন্ধে হলে
dc1124ad86	e9759	ভাই আমার
dc1186586d	6aac8	কলকাতা ব্লগ
dc11eafb18	eaa7a	বিছানায় বসে বলেন
dc121ea983	cd3ac	সুট-টাই পরে
dc127783e2	f9dfb	লক্ষ্যে পৌঁছে যায়
dc1344f768	351dd	দেশটির সংকট নিরসনে
dc147f4313	91b16	এটাই হবে কোনো নভোচারীকে নিয়ে
dc14a49bf8	8edea	নিহত হন
dc151bc810	22096	শুধুমাত্র তাকলোবান শহরেই
dc161007ea	ac904	তাদের পণ্য ও সেবা প্রদর্শন করবে
dc1621b368	943de	এই ছবি নিয়ে
dc1630faac	d8c80	অটোরিকশাটি নিয়ে গেছে
dc163cab86	cf82a	রুপা
dc1666ec1d	5e80b	গরমে শিশুর যত্ন
dc16a1dbc0	3d17c	দ্রুত বাড়া উচিত
dc16d30cc6	0606d	বড় বড় গোঁফ
dc172e8952	d71a3	আটকের চেষ্টা করছে পুলিশ
dc175b4c64	4bede	আছে কি
dc1791d1a6	870e3	অরবিন্দ লন্ডনের
dc179ce68d	7b132	সাইকেল
dc17cb41a6	4ea73	স্থায়ী হয়নি
dc185aa8d0	fcc89	একের পর এক উপন্যাস
dc1862689c	f2097	এবড়ো থেবড়ো
dc19dfc6c0	1c618	সেন্ট মার্টিনসেও
dc1a08a95a	ced74	আমার বমি আসে
dc1a28f3d7	b52ab	এসব কথা বলেন
dc1a5ebba5	256f5	‘উদ্বোধনী ভাষণ’ পাঠ করেন
dc1a952718	16a17	বাংলাদেশের ১৮-দলীয় বিরোধীজোটের ডাকে সারাদেশে চলছে ৩৬ ঘন্টার হরতালে।
dc1abef228	c11b1	আমার ছেলেমেয়েরা
dc1b6796dd	f7a7f	নারীর প্রতি পুরুষের করুণা
dc1b6ba797	91b16	গরমডুবো তেলেমাঝারি আঁচেভাজুন
dc1baf4db6	66c6b	একটি পূর্ণ প্রতিযোগিতামূলক বাজারে
dc1c0ca8bd	65652	তাদের নিজের ঘরে উপস্থিত
dc1c0f2405	7b900	রামরাজত্বে সরকারি রামদাস
dc1c313638	c3cca	জনপ্রিয় নায়ক
dc1cf38eb7	84145	বিপদ অবশ্যম্ভাবী
dc1dbfb73f	cfc65	চিরবিদায় নেন
dc1e8e3c70	351dd	যান চলাচল বন্ধ হয়ে যায়
dc1ed86272	4c555	লঙ্ঘন অব্যাহত থাকবে
dc1ef6ace6	72649	তখন সেখানে কেউ নেই
dc1ef867fb	4c1eb	অপর দুই অভিযুক্ত
dc1f07b5dd	d2355	সেখানে গেলে
dc1f0f054e	17ca1	বেশ রাগ
dc1f5f3039	80e98	হত্যা ও বিস্ফোরক আইনে
dc2044a6a1	75936	শুধুই একজন কবি
