a90011f712	17dcd	নির্বাচন অনুষ্ঠানে আবার
a900621a62	870e3	আইন শৃংখলা রক্ষাকারী বাহিনীর
a900777d76	21e54	১৯৫২ সালের একুশে ফেব্রুয়ারি
a900a5b795	fb4cb	কোন শ্রমিককে তারা
a900aa5515	66c6b	১৯১১ সালে
a9019d0764	e03fc	সম্মুখীন হয়েছেন তিনি
a9019df7e5	85430	সুলতানের পরামর্শে
a901a5489f	7c272	দেশের শীর্ষ আদালত
a901d09768	7d3e1	টিউব মেহেদি পাওয়া যায়
a9025082f8	39dd0	সে বিষয়টিকে
a9025cbb32	ce629	উৎপীড়িত ও অসহায়ের জন্য
a902b3c43e	10a9f	হ্যারি পটার চলচ্চিত্র
a902c37e92	cb1aa	তাঁদের মধ্যে কেন সৃষ্টি হলো
a9035aee8b	ad98d	তাকে আসতে হবে জীবন থেকে
a9038b920a	eecdd	অন্যান্য দুষ্কর্মের মধ্যে
a9040ff402	31f09	এই বলিয়া রাজসিংহ
a904395bd3	0d4cb	ইন্টারনেট
a904d88380	92bb2	ভূতের কথা লইয়া
a904d9b966	dae88	কিন্তু আমার ভিনদেশী সহপাঠী
a9050bde30	932bb	এই যুবতী আওরাত
a9050c4056	8ba2b	আবার এই সমস্ত
a9059d97fc	e50f1	সুখ-দুঃখে
a905bdbe55	d8c80	তিনি মানব স্বভাব
a905dae074	bfac7	ঘাটে নিয়ে
a9068920fb	9e923	যাতে প্রতিভাত হয়েছে
a9068dd053	430b2	ছেলেমানুষের মতো হয়ে বললেন
a9080eb459	6e8cb	ভয়ে থরথরিয়ে কাঁপে
a9085a171c	cc18a	ঋণ বিতরণ করেছে ব্যাংকটি
a90886a0ad	2c9c5	পাওয়া যাবে না
a90911e181	9813c	তলপেট
a909192881	c1e30	মিশ্রণটি থেকে অল্প অল্প
a909503e77	b5fdc	মা-বাবাকে মেরে ফেলার
a909c0e3e7	47e8d	শারীরিক দুর্বলতা দেখা দেয়
a90a33b268	25117	কলরব
a90b0baaa4	33aef	স্টেট রিসার্চ ব্যুরো
a90bba534d	69d9a	অষ্টম পর্যায় রয়েছে
a90bdb48ca	b4ea7	আটকরা দীর্ঘদিন ধরে
a90bf4b7c7	d0c70	এখনো নিখোঁজ রয়েছেন
a90c119ef5	9e923	গত বছরের মতো এবারও
a90c1447ce	60b9d	সেই যুদ্ধের অন্যতম ইংরেজ কমান্ডার
a90c263fec	256f5	তবে এত শক্তিশালী ঝড় আসছে
a90c41b358	4fd66	জয়লাভ করে যারা
a90ca7cfee	d41be	ভর্তির ঠিক কিছু দিন পরই
a90d2fdc14	c0d65	আর্থিক সহযোগিতা কামনা করছি
a90da5394e	1279e	বিশ্ববিদ্যালয় কর্তৃপক্ষ মঙ্গলবার
a90da74eee	92bd8	তাহাতে সন্দেহ নাই
a90e060524	491a5	শরীর বাঁকিয়ে
a90e0aeb44	f2780	দেওয়া হবে বলে
a90e1868d7	29bab	ব্যাংককের বিভিন্ন এলাকা
a90e210bfc	06e62	আইনজীবীরা জানিয়েছেন
a90eab2b46	38d3a	তা পরবর্তী
a90ead6b99	17dcd	বিভিন্ন বয়সের নারী-পুরুষ
a90eb99888	3bb15	এবং সংবিধানের সাথে সাংঘর্ষিক
a90f0fd04c	430b2	তার দুর্ব্যবহারে অনেকেই ক্ষুব্ধ
a90f8fe786	b9122	নিজ বাসভবন থেকে
a90fad8270	9e923	তাদের বাবার নাম রাতুল শুভ
a91008df9f	520fb	নভেম্বর ১৯৬৪- মানব ইতিহাসের
a9109cf37b	6d129	আলুথালু কেশ
a910c17dd9	12702	ফতেহপুর গ্রামে
a9110395a2	11de3	কখনোই নিরাপদ
