140041bd81	f0f95	সাহারা
14009d04fc	16877	বা ডি এম কে-র মুখপাত্র
1400e33015	0d9f1	দীলিপ কুমার
1401c6b392	f1ff2	ঠান্ডার বাপের ওপর
1401f5ac89	8cf95	মাটি ও মানুষ
1402ca51e2	f6e55	আমরা বিচার চালিয়ে যাচ্ছি
14030b826f	c8f7f	অডিসিউসও ছিলেন
140314e301	f658d	রাজধানীর উত্তরা এলাকার জন্য
1403363cbc	cd3ac	গার্মেন্ট মালিকদের নেতারা বলছেন
1403430112	80505	বিএসএফের এক রক্ষী
14039fd551	56508	সত্যিকার চেহারা নিয়ে
1403b61d6f	a3a6d	অস্ত্র প্রশিক্ষণ
1404491b9e	c173f	তাঁহাদের গৃহপালিত পশু
14047cc59d	7e1d5	ড্রয়িংরুমে যাও, মা
1404e456e7	c0965	একটি পতাকা
1404eaad4a	b08d0	আনন্দে তোল্পাড়
140533e800	c4973	কমেন্ট ফটো
1405e8034c	ad98d	অভিশাপ
14062f4aa6	4dd57	বিভিন্ন তত্ত্ব আছে
1406800fc9	efc0d	অন্তত ৬০০টি অনুষদে
140686b85e	5a61c	অন্তর্বর্তী সরকার নিয়ে
1406878c35	06527	দক্ষিণ কলকাতার নিউ আলিপুর
14069314a9	a916a	ম্যানিলা হেম্প
1407a1b2c4	7297e	দলিলপত্রও তাই করতে হয় না
1408b30334	d7a68	গ্রেপ্তার হলেন নাজিম হিকমত
1408ccf174	9f25e	অন্যদিকে সত্যেন সেনের
1408e1bb02	4fbd1	অর্জুন, সমরেশ মজুমদার সৃষ্ট
1409028d35	b8bdd	জানিয়ে দেয়া হচ্ছিল
140927a0f1	520fb	আমাদের কোনো ভাষা নেই
1409296732	ff970	অবশ্য এই বিক্ষোভ
140989254b	25117	উন্নয়নের কাজ চলছে
1409cd483a	c3cca	একাদশী
140a3b4f0b	09f0d	অপদস্থ হইয়াছিলেন
140ae09306	f4ba7	অসহযোগ আন্দোলনকে
140aea69de	a06a1	আচ্ছা, আপনি কি শহীদ কাদরী
140b0ead04	49d63	শ্রমিকদের বসে বসে
140ba0f9eb	ef915	আইনশৃঙ্খলা বাহিনী
140c2187e2	410fa	ও সড়কপথে রয়েছে
140c337a8f	4c1eb	কোনোদিন একটা লাইন
140c46115c	ff0fe	এখন পর্যন্ত আমরা
140c8e6c50	1cb75	একটি বিষয়ে প্রায় যায় না
140ce7b525	c11b1	দেশের ১১ লাখ
140cfe2733	8b859	আমরা তোমাদের হেলাফেলার জিনিস
140d014522	75936	আরও কয়েকটি জাতি
140dba22c7	59c73	তত্ত্ব প্রদান করেন
