66001d5e62	b52ab	সমঝোতার জন্য
66004f0a9f	49543	পুরো অংশ জুড়েই থাকবে
660055176a	2ad74	সুব্রত রায় সাহারা
6600af3581	c2082	অসাধারণ ঢংয়ের কারণে
66010b01ef	616ec	রিলিফ ট্রেন এসে
66010eca13	f1ff2	গডজিলা
6601338171	29f8c	বিএসএফের সাথে যোগাযোগ করেছি
660188a845	f0f95	চলচ্চিত্র ও নাটকে মুক্তিযুদ্ধ
6601d01ef3	f0f95	কিন্তু অতীত উদাহরণ
660236007f	95907	ব্যাপক গণহত্যা চালায়
6602c110e9	16e96	আমার সাথে
6602e40a9e	91230	কোনো দুশ্চিন্তা করছেন না
6603262d17	1e7c7	সকলে অদৃশ্য হইল
66034c929c	7027a	মা এবার বুঝে ফেলে
6603548707	e2f12	বাকি ২২ জনকে
6603b77048	61820	ছাড়া পেয়ে কলকাতায়
66043c6840	420df	এজন্য নগরবাসীর দুর্ভোগ
66044089d4	29bab	তাঁর প্রত্যাশা ছিল
66046c3016	f143a	প্রতিষ্ঠানের পুরষ্কার জিতেছিল
6604c50609	6e6fa	তাঁহার বিরুদ্ধে
66051a590f	5354e	লাথি মারছেন
660522007c	6da0a	মাঝে মাঝে মাংস উল্টে দেবেন
6605957cd3	f1ea4	সাজিয়ে রাখা হয়েছে হাজার হাজার ইঁট আর নকশা খোদাই করা পাথর।
6605ce11a7	ab946	সে কি দাদা, খাবে না
6605eb2981	e2ba2	ডুমুরিয়া
66060e2557	d8c80	আকরাম খানের হাত
6606ab6486	2f547	ক্রেতারা প্রয়োজনীয় পণ্য খুঁজে পাবে
6606b7a2e0	17ca1	কলম্বিয়া রেকর্ড কোম্পানি
66074e6c8d	4f2ae	বেশ কয়েকজন বুদ্ধিজীবীকে
66076616c8	698ff	কল্পনার চোখে আজাদ দেখতে পেল
6607679d35	0b7ca	আব্দুল মান্নান খান নামের
6607b8f7e3	49543	পরবর্তীকালে রচিত
6607f9ad7a	5639c	শশী তরুর পরে বলেন
660817b6c3	2909b	আপনারা এবং আওয়ামী লীগ
6608e8b0c4	08458	প্রথম
6609033e07	cb1aa	আর সে কারণেই
66094f76fb	f1240	সরকারি, বেসরকারি এমনকি
66096d0299	e2c11	অনেক ছাত্রনেতাকে
660a33205a	14d25	গুজব বলে ধরে নিয়েছিলেন অনেকেই
660ae3a39a	e89bb	নিহতদের বেশিরভাগই
660b3b18c9	d136b	স্বীকৃতি দিয়েছে
660b53944f	9fa90	চালান
660baab4be	09f0d	শুরু হয় আন্দোলন
660baacfc8	bfac7	বিসিএস ১৯৮২ ব্যাচের
660cc4307e	b8fe1	ঢাকায় বিভিন্ন স্থানে বিপুল সংখ্যক পুলিশ আর র‍্যাব টহল দিচ্ছে।
660d3ce2d3	6da0a	আন্দোলন করে আসছেন শিক্ষকরা
660d9eb911	5cb47	অনুষ্ঠানে বাংলাদেশ
660de85be4	f83df	তা দিয়ে হিসেব করে
660e70d2be	d2d71	অনেককে খামার গড়ার
660ea04710	3bea8	বিকেল ৪টা পর্যন্ত
660f1d9560	2aecc	স্ত্রীলোক ছিল না
660f61a990	efc0d	ভুবন
660f779757	0edef	সেই পত্রিকাখানি দায়ী
660f8f5ca0	7d133	আগামী নির্বাচনে এককভাবে
660fb0ca5d	9d46f	যাহা কিছু লিখিতেন সবই সংস্কৃতে
6610354fc0	ced74	আইনের প্রতি শ্রদ্ধা রেখে
66104a3d9d	a699c	বৃহস্পতিবার রাত ১১টার দিকে
6610d829b2	cb627	ড্রয়িংরুমে যাও, মা
661185b187	1f974	সময় সময় বলেন
6611b2dc36	ca088	ক্ষুদে শিক্ষার্থীরা
6611b5b43a	57d54	এটিই প্রথম আনুষ্ঠানিক অস্ত্রচুক্তি
6611ef2593	9282d	এবার নিজেদের বিষয়
66123a7ab8	4a67e	টলিউড
6612495204	256f5	কবি নিজেই ‘খুন’ শব্দটি
661266b495	14d25	খাওয়া-থাকা দিয়ে
6612912e5c	3bea8	চোরাচালানকারীদের কাস্টমস আইন ছাড়াও
6612aec1c0	194f5	প্রতিনিয়ত বলি হচ্ছি
6612c3b260	1c618	গম্ভীরভাবে মাথা নাড়লেন
661310bd38	0a87a	মনেপ্রাণে আমরা দুজনই ছিলাম সাদামাটা
661335cb0d	c749e	এই প্রতিবেদন সামনে আসায়
66138734a3	66b3c	পরিচিত গিরিখাত
6613cae90c	f7a7f	সহকারী কেমিস্ট পদে
6613dc53cc	d1b12	তবে জীবন যন্ত্রণাময়
6613f3954e	69449	অনুরূপ বিধিনিষেধ পুত্রবধু
66141ec56b	4c1eb	বেনাপোল চেকপোস্ট পুলিশ ইমিগ্রেশনের
661472a232	7b900	জনগণই ক্ষমতার উৎস
6615875f51	e2ff7	প্রতিশোধ নিতে
6615a1e5b2	cc9fd	চাহিদা মেটাতে পারছে না
6616f5a22f	2396d	তবে গাজা থেকে
6616ff92bf	2f547	পূর্বদিনের যুদ্ধে
661716fa3d	52578	এখনও ২.৪-৩.২ মিলিয়ন জোড়া
6617a22634	4f2ae	মসজিদে নববী
6617ce71c5	7f2ef	এবং কে কতটুকু লাভবান হবে
6617da8338	ad69a	একেবারে নাস্তানাবুদ হওয়ার বিষয়টি
66181fc8b8	16cfb	যা বর্তমানে
6618c9be5e	29d44	বাংলাদেশ আছে ১০ নম্বরে
6618e173d5	2de86	একে অনেক সময়ই
661963599c	2840e	রামপালে কয়লা ভিত্তিক কেন্দ্রটি
66197cdf66	ced74	বের হলেই জ্যাম
66198c30bb	ff1eb	দীনবন্ধুর এই অলৌকিক সমাজজ্ঞতা
661a0d48cf	33814	কবির সাধ্য বটে
661a40ae95	a1201	তারা একশ’ টাকা
661a4b2714	7d004	প্রযুক্তির নাম কি
661a653842	69d9a	পুরাহাটা গ্রামের পোশাক কারখানার শ্রমিক
661a73535f	3fc9d	শ্যুটিং হাওয়ার কথা ছিল
661aa011c1	d1b12	সাজানো হয়েছে প্রদর্শনী
661b257ca8	44322	কিন্তু একটা ছক আছে
661b39fda3	75f18	মোট ছাব্বিশটি অক্ষর দিয়ে
661c5bad00	17ca1	নিখোঁজ সংবাদগুলো সংগ্রহ করত
661d229803	38ff0	হারুনুর রশীদ
661d28bd35	c749e	শত সংকটের মাঝেও
661d324c21	e8dde	এই কথা কয়টি শুনে
661d34d6ee	3fb17	বর্তমান সিটি মেয়র
661d823aa1	21e54	দুপুরে ইজিবাইকে করে শেখ আমির হোসেন
661db22e9e	f4ba7	সিপি গ্যাং
661de8c9c3	c749e	সৃজনকর্ম তাই সাহিত্য-সাংবাদিকতার
661e109bf9	09b32	সেটিকে কাজে লাগাবে সরকার
661e1b3bad	d9b11	বেলারুশের ভিসা
661e85b6fb	4fd66	প্রথমের প্রশ্ন
661e8f3b0f	86b1b	নাওয়ের পাছায় সুবল বাতাসের ঝাপটায়
661f0132fe	38d3a	মোহাম্মদ সাঈদ ইকবাল জানিয়েছেন
66201d6242	ea8fa	আপনার গল্প শুনে
