c900319447	75f18	অন্যন্য দিনের চেয়ে অনেক বেশি
c900c91bb8	1652d	এখন অনেক জ্বর
c901512dc7	778c0	মুক্তিযোদ্ধা সনদ
c901735401	693cb	উচ্চ বিদ্যালয়ের সামনে
c901820158	f1ff2	তার অভিযোগ অস্বীকার করেছে
c901d87470	c8f7f	ঠ্যাং হলে ঠ্যাং
c901f12a88	d2faf	অতিবাহিত হয়েছে
c9026dfb5a	b8fe1	নেওয়া যায়
c90306d3ab	f0f95	এসব আর কিছু নয়
c90336adcf	c2082	রাজভাই , রিয়াদভাই আছেন
c9037a4e0b	65e30	বর্ডার গার্ড বাংলাদেশ
c903ad51f8	cc9fd	সাধারণ সম্পাদকের দায়িত্ব
c903ae2fb0	61820	শওকত মোমেনের মৃত্যুর পর
c903c1f86b	f1240	হস্তান্তর করা হয়
c903caea95	e9fa7	প্রবেশ করিতে না পারি
c903fe27c4	0c39f	অজন্তা ক্রিকেট খেলায়
c9047ac3d1	33814	ভিন্ন নামে হয়েছে
c9048c24c0	9d46f	তারতো খুশি থাকা উচিত
c904ca31f5	6973e	সাইমন এসব প্রবণতার
c905b84fd3	1a2a1	তহবিল গঠনের উদ্যোগে
c905eee995	6a35e	আটকে রাখতেন তিনি
c906a39e49	4bd2c	তাঁকে একটি পত্রিকার প্রচ্ছদ
c906e6495a	43b04	ছবিটির প্রিমিয়ার অনুষ্ঠিত হয়
c9074ea03b	5cb47	পুলিশ ইউনিট
c907667a67	e2ba2	বন্ধুবান্ধবের খোঁজ নিতেছি
c9078314c0	ff0fe	একহালি বই না বেরোলে
c90797c6a1	ea8fa	আর বাসায় বসে
c907a4b34e	3fb17	গাজীউর রহমান
c907b150a5	554fe	নিজের বা তাঁদের
c907c8d84f	bdd05	নিজেই দোষী বলে মনে করেন
c907ecc6a6	c7a89	কোনও যোগসাজশ রয়েছে কিনা
c908af05c5	4237e	এ ব্যাপারে এখনো নিশ্চিত নন
c90940b407	e9589	একসঙ্গে আমাদের দুজনকে
c909436970	3bb15	টাকা পাচারের এই মামলায়
c909d5a784	c8f7f	স্কুলে মাস্টারি করিতেন
c909de6bd5	2ac82	মামানী সাহেবা
c90a04a7f1	cc18a	হারায় মানিকগঞ্জকে
c90a998ac4	ad69a	ছোটবেলায় কথা বলতে শেখার সাথে সাথেই শুরু হয় তাঁর গান গাওয়া।
c90ab29600	809cd	দ্রৌপদীর বহু স্বামীও এই জন্য
c90ac73bda	39dd0	সংবাদ দেব
c90af8ca72	c7a89	কুয়োর পাড় ছাড়ালে
c90b5b931c	315e9	জুন মাস থেকে
c90b611391	f658d	মেয়েদের ওপরই আসে
c90b93b0d3	1279e	দেশটিতে প্রায় এক দশক ধরে
c90bd86e86	3f493	চিরদিন দর্শকের মনে
c90e37a74f	f2b7d	এই প্রবণতা প্রকাশ পায়
c90e758aed	351dd	হ্যাটট্রিকসহ ৬ উইকেট
c90f5549a0	25696	কেঁদেও পাবে না তাকে
c90f56385c	f280a	সংঘবদ্ধ হওয়ার সুযোগ পায়
c90fa1005f	57d54	পেয়ে বসেছিল ওকে
c90fba4797	2ac82	দীর্ঘক্ষণ বাড়ির বাইরে
c90fe7c7f3	24f73	বাদ দিয়ে ফেলা
c91062e71e	c173f	চাণক্য
c910a5f8f9	ac0df	কেনাকাটা করতে যাওয়ার
c910d51b8c	3bb15	তোমার এঁটো কে নেবে
c910dfda6b	11de3	বেশি অগ্নিদীপ্ত ও জ্বালাময়
c911210c41	69d9a	হবিগঞ্জের মৃত সৈয়দ আব্দুল মতিনের
c911988d44	7e1d5	রাম-অবতার এ অভিনয় করে
c911a1d06f	5dd61	তারপর কি ঘটল
c911c8b013	18a52	ম্যাচ শেষে
c912166895	ac904	নেমানিয়া ভিদিচের হেডে
c9124fdd3c	16cfb	আছে ছাই
c91294ddf1	4c1eb	নামে অভিহিত
c912bb7aca	f1240	আমার আগের প্রজন্মের লেখকেরা
c9138ff704	af81d	বিল্লাল গাজীর দ্বিতীয় স্ত্রী
c913da82d5	06e62	সুশাসন কায়েম করতে হলে
c913ecf238	2d78f	টেনে নিয়ে
c914b3a68e	4dd57	গোটা বিশ্বই
c914e3e16d	ce629	অয়লার ইঁট
c914f9d087	57d54	মেক্সি
c9157ba6d8	1c618	পরিচালিত হয়েছিল
c915abd853	da6f0	১১ জানুয়ারি ২০১১ তারিখে
c915c08ab7	f2097	যদি তবালয়ে
c915c850f0	31f09	আবুল আড়ষ্ট হয়ে ভাবেন
c915cd0bca	ad2a0	এ বছর বাংলা একাডেমি
c916099a32	23b22	আমির তাকে
c9160e23ca	cd3ac	এরশাদ মোটরসাইকেলে করে
c91639dc43	66c6b	ওই বছর তার বিয়ে হয়
c9164e72d3	e89bb	ধনুকে টঙ্কার
c91670d210	b52ab	আমাদের টেলিভিশন সহযোগী
c916b2bf72	03284	তিন কোটি ২৮ লাখ টাকায়
c916d9dc80	e2ba2	দূরের যাত্রার অঙ্গহানির সম্ভাবনা আছে।
c916ed88e4	5b13f	খুলনা থেকে গোয়ালন্দগামী
c91792ace2	d41be	মন্দির
c917a09c65	9e923	রাজলক্ষ্মী চৌধুরানীর আশ্রয়ে এসে
c917b785d6	fd880	একটা কথা আছে
c917de5622	60b9d	২০বার কিউবগুলো নাড়াতে হয়
c9184244f8	6973e	উন্নত চিকিৎসার জন্য
c91870f2d7	29d44	বাংলাদেশের মুক্তিযুদ্ধ
c918746336	6fb36	থ্রিস্সুর জেলার
c91931287e	4ea73	শহীদ নিজামুদ্দীন আহমেদ
c919435a02	18460	টি-টোয়েন্টি বিশ্বকাপকে সামনে রেখে
c9196b6993	4fc91	আমরা শাড়ি পড়ে বসেছি
c91979771c	590d0	তিনি কিছুকাল কলকাতায়
c919dcfbed	4fc91	হর্যশ্ব নামে একজন ইক্ষ্বাকুবংশীয়
c91a124f23	24aed	গাঙচিলের ৩৮তম সাহিত্য আসর
c91a12ca5c	c749e	ভোর বেলায় রমনা বটমূলে
c91a13c958	e03ce	আসল তথ্য
c91a59b895	11bd2	তাৎপর্য সহজেই অনুধাবনযোগ্য
c91a5c180a	e03ce	আরেকটি বিষয় ছিল
c91b066342	f600a	আকসুর কর্মকর্তারা
c91b8da185	4c1eb	ভারতীয় ক্রিকেটের সবচেয়ে বড় আসর
c91c3ca654	06527	তিনি এবং আদম
c91cc49979	47e8d	জেলা প্রশাসক ও পুলিশ সুপাররা
c91d85cf66	6ab59	লীলার সহচর হওয়ার প্রয়োজনে
c91da093c5	6a35e	ঋষিদের ঠকাইতে যাওয়া অসম্ভব
c91da6b04a	b00ba	লাশগুলো দেখেই
c91dc114ef	7f2ef	গত বছরের ৩১ ডিসেম্বর চেয়ারম্যান
c91de5b9b8	98b81	যাতে প্রযোজ্য হয়
c91e3b171d	0f047	কেনা হয়েছিল
c91ec6bb39	4dd57	অতুলচন্দ্র গুপ্ত
c91ed5d95d	089ef	আমার জন্য শুধু
c91f35fbb9	509f6	গ্রামে বাস করে।
c91f54954b	80505	আরো পাঁচজন
c91fb4e3c7	eaa7a	সেই লক্ষ্যে কোম্পানি
c920d141fa	5cb47	বাংলাদেশের কমিউনিস্ট পার্টি বা সিপিবি এবং অন্য একটি বামপন্থি দল বাংলাদেশের সমাজতান্ত্রিক দল বা বাসদ যৌথভাবে হরতালের ডাক দেয়।
c921f37370	fd880	যেখানে উহার পিতা
c92222e4b3	d5213	মিল আছে দুটি মাত্র জায়গায়
c9224a86d5	8ba2b	কোন প্রাধান্য নাই
c923fb8a38	84145	শেষ দিকে শাকিব আল হাসানের ২৩ বলে ৩৭ রানের ইনিংসটি নেপালের ম্যাচে ফিরে আসার সম্ভাবনা একেবারেই মুছে দেয়।
c9242c735e	5d80e	নির্ভরতার কথা ভেবেই
c9247000e1	aa820	পঞ্চপুষ্প প্রভৃতি পত্রিকা
c924a13370	7aed9	২২ মিনিটে তার গোলেই
c924dc81aa	d9081	চিন্তাবিদদের মাঝে
c9254d032e	56508	স্বর্গের বর্ণনায় বলিতে হয়
c92584f97e	6da0a	আমাদের যুগে নারীদের
c925bb3dcc	4237e	সীমাবদ্ধতা রয়ে গেছে
c925d1efb5	e3d8b	কেন বার্মায় রোহিঙ্গাদের নিয়ে
c925d847f2	fbb81	ঐ কোর্টের বিচারপতি
c926988223	2d98b	খেলোয়াড়রা যেন
c926b45a8c	29bab	মাসুদুর রহমান জানান
c92708ecd4	a1d4a	সঠিকভাবে চিনতে পেরেছিলেন
c9271a1755	bdfc1	ছোট ছোট শিশু-কিশোর থেকে শুরু করে
c9275ff523	61820	একাত্তরের মুক্তিযুদ্ধের সময়
c9277a58b4	355c1	অধিগ্রহণ করে
c929b846d5	73629	এমন কিছু যন্ত্রপাতি রাখা হয়েছে
c92a87ccd9	91ac1	তা উপলব্ধি করতে
c92a942140	4c555	অনুমতি নিতে হয়
c92b1de71d	92bd8	এমন কথা বলার সুযোগ
c92b777aaf	d7a68	আকবর আলি খান বলেছেন প্রহেলিকা
c92bc996f0	dec2d	সাক্ষাৎ হইল
c92bea7ef0	bbb22	ভেষজ উদ্ভিদ
c92c4acc18	1652d	এই সংবাদ সম্মেলনের পরই
c92c78d644	730c3	বাংলার নবেল উপন্যাস শুধু
