88004841bf	7df87	বাস্তব হইতে পাওয়া
88004cf88f	9c8dd	আশ্রয় নিতে পারে
880055791c	ad050	যাচ্ছেন বাংলাদেশে
880099b77b	4164f	এ ছবি কখনো শেষ হবে না
8800ae8883	ce180	তিনি গুলশান- ১ নম্বরের
8801236e47	0606d	দেশে ফেরার কয়েকসপ্তাহ পর
88016c77a3	d711f	স্নাতকোত্তর পাস করেন
8801a9f46c	66dcd	কালে দেখাইব
8801b4d787	351dd	তাও আবার ইরানের মতো
8801da0f33	315e9	কী গো কী যেন খুব ভাবো তুমি
8801ea0781	80e98	পাইল রাধা
8802007d80	e6e48	কাহার পথ আলো করিলাম
88024e447b	0d9f1	শোণিতপ্লাবিত ব্যাধি
8802fce890	410fa	সামর্থ্যের প্রমাণ রেখে
88031eb03e	b8ed8	আন্তর্জাতিক ট্রাইব্যুনালে সমাধানের জন্য
88032730e2	1c618	শুনানি চলছে
8803313303	38d3a	নিশ্চিন্তে ছিল
88038a620c	7d3e1	মুখ থেকে থুথু নিয়ে
8803a679a6	ca088	আরও বেশি করে
88049cc342	355c1	তাকে নথ বলে
880543b0c2	75936	তবে ট্যাবলেট একটা ফ্যাশনেবল জিনিস
8805612e37	37e17	দর্শকপ্রিয়তা তো আছেই
88056ca3da	32998	আন্দোলনে নামে শিক্ষার্থীরা
8805cc10d4	80be1	আমরা সহজেই বলতে পারি
88076323fa	bdfc1	সেই তালা খুলে দেখা হল
880842e4aa	6b437	নিবন্ধগুলো আগেই বিভিন্ন পত্রপত্রিকায়
88086a41ed	06736	গ্রেপ্তারি এড়াতে সেই নির্দেশের ওপর
8808b1e8b8	7e1d5	১২টা ৪৩
8808b8b1d7	eaa7a	নাম অনুসারে
880915f403	7027a	মধু ১ চা-চামচ নিয়ে
88092dc1c2	a7c6f	স্বর্ণ রাখা যাবে
88097fa169	f4ba7	পাহাড়বেষ্ঠিত উপজেলাগুলো
8809dbc68a	92bb2	ইংল্যান্ডের এই জনপ্রিয় দলের
880a349b6c	7c272	তিনি অশালীন বলছেন
880a5e1638	c7a89	ভূতের কথা লইয়া
880b06d060	e6e48	ভাইস চেয়ারম্যান পদে শাহনেওয়াজ হোসেন জোয়ার্দ্দার, মাওলানা সিরাজুল ইসলাম ও শেখ সেলিম আক্তার স্বপন মনোনয়নপত্র জমা দেন।
880b0a6ee9	31f2a	ঠিক করেছে তা হলো
880b56fd66	75936	নিজের লেখালেখি
880b8cbd30	0895a	গুরুত্ব দিয়ে অনুষ্ঠান সাজায়
880ba30a1e	3c897	ফ্লোরিডার একটি জলাশয়ে
880bd79b53	0f047	আমার সেই কথাটিই
880c4fde72	410fa	একইসাথে তিনি মনে করেন
880c52f4ad	c8f7f	আমি ছেলেমানুষ
880cf0d9ea	eecdd	আমাদের দিয়েছিলেন
880d24d960	2bd99	নির্মিত হয়েছে নোয়াহ
880d5fad4d	72649	দুদক সূত্র থেকে
880d8fcb66	ee7b2	কাজী শাহাদাত হোসেনের কন্যা
880d9e991c	4486f	আহত হয়ে হাসপাতালে চিকিৎসা নিচ্ছেন ৬ জন কর্মী।
880dce6dc2	a3a6d	পাদপ্রদীপ জ্বালানোর মতো
