d700b5e6a7	28dfc	গণহত্যা চালানোর পর
d701866fc3	24f73	ঢাকা সিটি করপোরেশনের দুই অংশের
d702098dc4	16877	ইদু মামি লিলুকে মৃত দেখে
d70267275c	dae88	এমন সব বক্তব্যের
d702fb2e87	a06a1	সংখ্যা বৃদ্ধি পাচ্ছে
d70334a40f	28bb3	নানা তদবির নিয়ে
d7034079f8	16877	সব ভরণ পোষণের ভারও
d7034164fa	1c618	এছাড়া, রংপুরের পীরগঞ্জে
d703825763	e3d8b	সেটাকে নিয়ন্ত্রণ করা
d703d1f66a	880ae	মেয়েদের শরীরের
d703e45bc3	3d17c	না পারে
d704402949	66b3c	স্কন্ধদেশ একেবারে অদৃশ্য
d70464d304	80505	ঢাকার সব টয়লেটই
d704d5007d	943de	বিরত নেই কলোরাডোবাসী
d705c925e4	9c8dd	তিরিশের অন্যান্য কবিদের
d705f681df	1de6c	নাসিমাকে আটকের
d706192bd8	c11b1	বা সরকারি কাজের
d7062a5aaa	a916a	যে মালিকের জন্য রেজিস্ট্রেশন
d7068990d6	4237e	এই দিন এলাকাটিতে
d706a1a591	b08d0	গুণ মারিয়া নৌকায় উঠিল
d706a66c0c	410fa	আপনি আবারও
d706bbdbea	f143a	ইস্যুটিকে পরে
d706e1b25c	06ea3	বন্ধ থেকেছে
d706f2f6c3	e00db	অম্বিকা সোনি
d70728d8a3	f1240	লালপতাকার নিয়ন্ত্রণে রয়েছে
d7075ccea3	b8bdd	তার বাস্তবায়ন সম্ভাবনা
d707743cb7	18460	মানসুরের এই দাবির
d707938362	9f25e	একজন কসাই
d707be19f7	5e80b	এগুলো ছাড় করা হবে
d708bc3b89	e2f12	এই অভিযান
d708e3b736	82926	ভূপাতিত করার পর
d7091470b2	ee4ad	সমাবেশ শেষে
d70a18636f	8edea	আসামিদের প্রত্যেকের
d70a2b6be5	76329	শনি
d70a41504b	315e9	মন্তব্য করুন
d70a7f1a9c	56508	এক হ্যাকার
d70abeecef	73629	এসব বই
d70add569a	9e923	তুমি না পার
d70afbf6c0	f1ea4	বলা যাচ্ছেনা
d70b4cf235	aab0f	যখন তখন ডাকলেই
d70b879590	7b103	বিবেচনা করছেন না
d70be04ac8	d2355	সেকুলারিজমের মানে হলো
d70c0206d3	8cf95	বোঝার চেষ্টা করছে
d70c645e85	d82d9	ভিলার জানালার দিকে তাকাই
d70d065363	4f2ae	বিশ্বমন্দার প্রভাবের পাশাপাশি
d70d6c2d24	2bd99	তাহলে কি খেতে ইচ্ছে করছে
d70e1ecb96	6ee5f	সাধারণ সম্পাদক
d70e7a71ca	98b81	আমার ঘনিষ্ঠ বন্ধু
d70e813ebb	c3cb3	কালো
d70e88d9d5	5639c	১৯৫৯ সালে
d70edf9975	c5dc8	মোরগ
d710d73ed7	717bb	লাতিন ও গ্রিক ভাষার
d710e7d4ee	12702	এটা করলে সংবিধান
d710ff9eca	b7be9	কিঞ্চিৎ প্রাধান্য আছে
d71139940b	509f6	চাপ আসছে
d7115057a8	0606d	তাকিয়ে রইলেন
d71169f4c3	520fb	কোনো প্রার্থীর নাম
d711cd4fc8	66dcd	ঢাকার ধানমন্ডিতে
d7126cc00e	f280a	ইউএসএ, জন্ম ১৯৫৩
d7136b919d	2ee04	হিশাব নাই
d713be6aaa	15a75	পাটক্ষেতে ফেলে রেখে গেছে
d714bc7c52	323f1	একই অভিমত ব্যক্ত করেছেন
d714c03d9f	f2097	সব বেরিয়ে আসে বাইরে
d714ea84ac	3bb15	আমার পানীয়তে ছিল অন্যদের জীবাণু
d714f8c22e	61820	উত্তর কান্নাড়া জেলার
d71514a23e	b2a62	২০০৬ সালে মিরপুর-৮ এলাকায়
d7154c5bbb	e00db	রচিত একটি নাটক
d715b18cb3	11de3	মিডল্যান্ডের একটি বাড়ী থেকে
d715d942ac	9d46f	র‌্যাম্পের পাশাপাশি বিভিন্ন
d7160f79e4	14d25	নামতে হবে
d71630a3d4	6ab59	নিজস্ব বৈশিষ্ট্য
d716e7bb25	0895a	দ্যবিয়ের্ন অ্যাক্টিনিয়াম আবিষ্কার
d717abb700	6fb36	বা এটি দিয়ে রস
d717d69f2e	91dff	অমিয় চক্রবর্তী
d71800dc13	47e8d	ট্রিটমেন্টের মধ্যে আসবে
d719688278	06527	এ দুটি ডায়ালগেই
d7198ff608	92bb2	জাতীয় চলচ্চিত্র পুরস্কার পান তিনি
d719ae171b	a0277	ইউনিয়ন পরিষদের সদস্য ছিলেন
d719ece1bd	a9a58	চক্ষুলজ্জা বলতে
d71a01dbfb	b618b	খাবারের মধ্যে
d71a1e32f5	9351a	শিশুকর্ণারে থাকবে
d71a216b71	39dd0	সেই ইচ্ছার
d71a50946e	554fe	ইতালিতে থেকে সম্প্রতি ব্রিটেনে
d71a662a96	dfefa	ছবিটি অক্ষত রয়ে যায়
d71a687311	61820	পতি উপপতি
d71a75bfc6	967fd	মন্ত্রণালয়গুলো হচ্ছে
d71aeb7900	9d398	পাতলা মেঘের মধ্যে
d71b94f3ee	404ee	কিন্তু ব্রাহ্মণ ও উপনিষৎ অনেক
d71bda4aa4	8143b	সিগনাসে বাঁধো ঘর
d71c33cba8	d3e06	বাসায় ফিরে
d71c62765b	0c39f	শ্রীলংকার সরকারের পক্ষ থেকে
d71d3861fe	a916a	প্রথম গদ্যকর্ম
d71d4ace83	d9ba9	স্ত্রী ব্যাগে
d71d66d398	80518	চেষ্টা করেন
d71debf65b	ad050	তপ বাণ
d71e7aff9b	69d9a	আমদানি কমার পেছনে
d71ea49bc4	4a67e	এতে অভিনয় করেছেন তিনি
d71f130abd	b2a62	যিশুখ্রীষ্টের জন্মের পূর্বে
d71f285758	38d3a	সাবলীলভাবে হিন্দীতে কথাও বলতে পারে সে।
