030067defc	6.5E+031	লেখাটা কতদূর পৌঁছাচ্ছে
0300c20530	ea8fa	মৃত্যুঃ এপ্রিল ২৯, ১৯৮০
0300f44f65	3f493	ইসলামের ইতিহাস
0300fc68e8	88654	ছোট বোনের সঙ্গে
030152da48	577fa	বিক্রেতারা জানিয়েছেন
030187664b	82926	আমাদের দাবী উপেক্ষা করে
0301c953bd	d82d9	একটি মেয়ে হয়
0301da74d6	ef915	ওই গাড়িতে
03021a4618	ce629	জুলাই ১১, ২০০৮
03026e7333	3faff	বিভিন্ন থানায় গিয়ে
0302ba0d91	0a87a	পাড়া ঘোরাল ক্লাবের ছেলেরা
0303511970	32c77	মুখোমুখি হতে হবে না
0304133e8b	7027a	শুরুতে জানান
0304851f19	4164f	অনেক উদাহরণ আছে
0304f9651b	7d133	ছোট্ট সুন্দর মেয়েটি এখন
030548cc04	0d4cb	টাঙ্গাইলের লাবলু-বাবলুর
030557653d	06ea3	সক্রিয় সদস্য শফিকুল ইসলাম
0305c944bc	fcefa	বলে আসবে সে
0305f1557d	7b103	অনুপ চেটিয়ার একটি আবেদন
0306147420	93d3b	তবে তাঁর ছেলে মাসুদ সাঈদীর
03066f2a02	2ecf8	শুধু ফুল ফল!
0306fc58c6	6736	পাকিস্তানি বাহিনীকে
0307e6ca03	58998	জেলা সদরের
0308114640	c0965	যাহা হরিবংশ ও পুরাণে আছে
03083ae33a	c0d65	যাপিত জীবনের নিরালম্ব কাহিনিই
030889beee	bbb22	নিহতের পরিবারের কেউ
0308f75b70	88654	শেষতক লুগার
030909cdf7	d9081	সুযোগ নেই
03095d7fad	a1201	এখন পাশ্চাত্যে
03095e21e1	a0277	প্রশান্ত মহাসাগর
0309b146b1	f4ba7	পরিবর্তন ততটুকুই করেছিল
0309ede15c	7f2ef	বেসিকের জন্য লেখা
030a1ad915	91230	বসিয়া থাকিতে হইল
030a40ab14	442b7	তো অনেক বেশি
030b50d851	aa820	ভয় দেখিয়ে
030bdf22fd	4c555	জরুরি বলে জানিয়েছেন চিকিৎসক
030bef9b5a	dfefa	শিশু গৃহহীন হয়েছে
030bfd34c6	fcc89	আমারও একটু যেন সেইরকম ঠেকছিল
030c454427	4fd66	সম্মত হয়েছে
030cd9bf9d	bcaa8	পানি ও বিদ্যুতের মতো
030ce7af90	db735	ও ভাইস-প্রেসিডেন্ট
030d085344	9351a	ঢাকা শহরে যাত্রীবাহী বাসের সংখ্যা
030d8efedf	287bd	দেশের পানির সম্পদ
030df63c89	23b22	সুতরাং নবী রাসূলগণকে
030e19efa0	a8710	ব্যক্তি উদ্যোগ
030e3a2b9e	88654	প্রিয় হয়ে ওঠে শাবানা আজমি
030e475616	9351a	৬শত শিক্ষক
030e92f111	dae88	টুঙ্গীপাড়ায় সশস্ত্র বাহিনীর
030ec36cbd	d2d71	লেখাপড়া
030f68bf17	f0f95	তাড়াতাড়ি ঘরের বাহির আসিয়া
03101bebad	d2294	জমি নিয়ে
0310436f98	e2f12	প্রথমত তারা
0310467d08	089ef	শেষ হবে
03108f4237	dafb6	বর্ণনা করা হয়
03109fb878	3284	অন্যজন বাস ফেলে
0310d1af9a	590d0	আমি দেখিলাম
03118eaeb0	9c8dd	হাদিয়া জমা নিয়ে
0311d0d887	745b7	ভারতের জন্য মূল সমস্যা হল
03121b1f6c	f9dfb	ঝিনাইদহের সিভিল সার্জন
0312239003	f7a7f	ভার্নালাইজেশন পদ্ধতির ফলে
031277f6ee	75936	১৯৭১ সালে স্বাধীনতা যুদ্ধের সময়
0312d7f8c4	59c73	সবচেয়ে ঘনিষ্ঠভাবে
0313df7c26	ad69a	হালিমের মাথা ও শরীরের বিভিন্ন স্থানে
031459d123	c7705	হরিণ তার
03152577fe	2b883	শিল্পকেন্দ্র হিসেবে কাজ করে
031553d4d3	17dcd	ঐ রকম দীর্ঘ এক কাহিনী
031599be80	f1ff2	১৫ ফেব্রুয়ারি দুপুর পর্যন্ত
0315af75dc	8c07c	কাজেই হোমস্-কাহিনীর নমুনা
03162850fa	0a87a	তার মানস গঠন
031688b23d	b2a62	পূর্ব লন্ডনের
03169290b9	b8ed8	প্রাকৃত থেকে
0316d0d97d	7660	নিষেধাজ্ঞা দেয়া হয়েছিল
03171d3273	ad050	আমিও নিজেকে এর সঙ্গে
03174ef99e	9065c	তাঁতিরা আজ দিশাহারা
03179ccebf	1E+091	ওর যত ভাব
03180b9ac9	17ca1	গণতন্ত্র রক্ষার জন্য
0318340fdb	9d46f	দাবি জানান তারা
0318492032	3fae0	চারটি বিভাগ নিয়ে
03189d6966	ee886	বেঁচে থাকে
0318cbba7f	82926	শুভ জম্মদিন
0318e7988a	23b22	কাজ করার কথা আছে
03197eda21	c0965	প্রায় ১৮ ঘন্টা অপেক্ষার পর ছেলের লাশ পেয়েছেন চাঁদপুরের মোহাম্মদ ইয়াসিন।
031a15f653	ff1eb	কোথায় তলিয়ে থাকে
031a1dcd94	a3a6d	১৮৬৯ সালের দিকে
031a45c507	c7a89	ব্যবসায়িক কর্মকাণ্ড বাড়ছে
031a993d1c	15a75	এরই মধ্যে ভিডিওটি নিয়ে
031ad4c6f2	0696e	রানা প্লাজা বিধ্বস্তের পর দিন-রাত নিজের বাসা থেকেই উদ্ধার তৎপরতা দেখেছেন তিনি।
031b6a3a16	ff0fe	দৃষ্টিকোণ থেকে
031b929964	aa820	প্রেম ও পরিবারের দ্বন্দ্বে
031bac389a	1.6E+097	কেউ আবার এক বছর পর পর সঙ্গী পরিবর্তন করছে।
031ca8cb6e	32b3e	দুই পক্ষকে নিবৃত করতে
031ccada7d	1652d	কী ভেবে হঠাৎ
031d626853	d3e06	অপরাধ গুরুতর
031d8d9bc7	e68af	সিঙ্গাপুর ও মালয়েশিয়াকে
031dd4e481	35ef3	সংক্ষিপ্ত পরিচয়
031e2cc020	29089	যে পরিমাণ
031e3bd710	9d46f	বাংলাদেশ শুধু বেইজিংয়ের হয়ে
031e3f6b2d	976b1	আবার অনেক খারাপ
031e56f2a7	0d4cb	দেশটির সেনা প্রধান স্থানীয় সময় রাত ১০ থেকে ভোর পাঁচটা পর্যন্ত এই কারফিউ বলবত রাখার আদেশ দেন।
031ec1c727	bfac7	যন্ত্রপাতির ভ্রাম্যমাণ
032008aff5	6c6bf	মুক্তি পেয়েছেন
032079db53	2b883	এই পুরুর বংশ
03207b6b26	b4ea7	কেহ তাঁহার দিকে
03214067b9	2aecc	জন প্রশাসন বিভাগে
0321698471	fb4cb	১৯৪০ সালের
0321a2fbbe	f29bf	নন এমপিও শিক্ষকরা
0322147dbe	c463d	এই প্রতিযোগিতায়
03221f6865	7b103	গ্রন্থসমূহ যেমন
03222bf35d	b8bf0	আপনারা কী ভাবছেন
03223a6d19	767ff	হুইলর সাহেবের ন্যায় পণ্ডিতেরই
032244a9ff	2b883	বহুলাংশে কমে গেছে
03225bddae	2d78f	অন্যদিকে নকলা উপজেলায়
0322a86284	2840e	সিদ্ধান্ত নিল বিএসএফ
0322c5d58e	6e6fa	বরই
0323467175	9d46f	শাহজাহান আলী জানান
03234921c2	fdcba	মান-সচেতন নির্মাতারা
03235ff656	e00db	উদ্বেগে পরিণত হয়েছে
03237fb77b	47e8d	অনেক বেশি স্বাধীন ছিল
0323c001f4	e6d83	রেলে রাজশাহী
0323f32416	6dff5	সৃষ্টির শুরুর দিকের কথা
03242f0bf3	4fbd1	সঙ্গী পাওয়া যাইতে পারে
03246a2788	d0c70	ভারতবর্ষ ব্রিটিশ সিংহের
0324fa5d83	a916a	তাঁর বিরুদ্ধে মোট বিশটি
0325244b04	38ff0	দ্বীপটির অবস্থান
0325260fe1	23291	আর একটু বেশি
03254f5862	ced74	আমি অ্যাজমা রোগী
0325889614	f83df	ম্যাচের ৫৪ মিনিটে
032628b240	91ac1	এটি অ্যান্ড্রোজেনিক অ্যালোপেসিয়া
032635a1e0	86b1b	ধর্মবিশ্বাসের মধ্যে
03263bb3f6	c0965	বাছাই করা হয়
0327613891	a274b	অব্যাহত রেখেছে এ তিন ব্যক্তি
0327855d7f	7d3e1	বিদ্যা বিভাগের সহকারী অধ্যাপক
03279384dd	29bab	কালো রঙের
0327a3db05	a4750	ফুট ওভারব্রিজের সঙ্গে আঘাত লেগে
0327a704f8	dec2d	২০ আসামির মধ্যে
0327b12bcb	92bb2	‘বিদ্রোহী’র নব্বই পূর্ণ হয়নি
0327bd0b79	09b32	তবে এই ক্ষমতা দখলের নাটক
0328a0c075	321b6	ভোট পড়ায়
032933ee89	dae88	আলাদা ইতিহাসের বোধ
032a083bd3	3fc9d	আমি প্রতি সপ্তাহে
032a0a3bc9	388c9	তাঁর হূদয় ব্যাকুল হয়ে উঠেছিল
032a270ff0	6ab59	ইংরেজী-সাহিত্যবিৎ
032b157630	bfac7	মানবাধিকার সংগঠন
032b38cb48	b8bdd	১৯৬০ দশকের
032b81669f	9092b	আগের তুলনায় বেড়েছে
032c1d7fe6	2d78f	কোনও হ্যাকিংয়ের ঘটনা ঘটেনি
032c89f9a6	d2294	শ্রমিকদের কমিটির মাধ্যমে
032c8c4e41	92f59	ছয়টি ভিন্ন ভিন্ন বিভাগে
032cb097e7	1cb75	ঢাকা ও তার আশেপাশের এলাকায়
032d011b91	75f18	বিহার
032d0e8c90	61820	মাসির বাড়িতে গিয়েছিল শেফালি
032d5774d0	717bb	তবে বাবুর্চির সঙ্গে
032d694525	a699c	তলোয়ার
032d7adb86	2909b	পাঞ্জাবের হাদালিতে
032d8979ea	6736	তা ভুলে যায়
032db01e7f	2.1E+055	কাছাকাছি পাড়াতেই থাকি
032ddf29ad	f83df	বিজেপি সমর্থিত প্রার্থী
032dedb9dc	d2faf	দক্ষিণ আফ্রিকার
032df08575	fcc89	এই বেটি মরে আল্লাহ
032e028583	616ec	কত দিকে প্রসারিত
032e489b11	388c9	মাসিক একশ ডলার থেকে
032e59f4dc	16a17	তৎক্ষণাত পালিয়ে যায়
032e96efa8	d2faf	চোখ বাড়াবার
032ed709b8	33aef	তখন নিজের জড়তা
032ee34aee	66c6b	প্রায় ২৩টি হিসাবের মাধ্যমে
032f29c16d	31f2a	যে কোনো ছবিই
032f2af807	d711f	স্বীয়া নায়িকা
032f357b70	f2097	শুরুতে সত্তর দশকের
032f5b9b72	13b6a	ছেলে শফিকুল জানান
032fa051a3	4f2ae	বাংলাদেশে স্ত্রীকে ধর্ষণের কারণ কি
032fb943c5	d9081	কলমের মুখে আনিয়া
032ffde16a	52578	তারা মৃতদেহ পাননি
032fff811e	b8ed8	চ্যানেল আই ক্রুদের
03301eced3	e50f1	নজরুলের দৃষ্টিতে ধূমকেতু হলো আগুনের পতাকা।
033024689e	4a67e	সরকারের সেবা সংক্রান্ত
03302a04eb	d1b12	এবিসি নিউজকে জানিয়েছেন লিনডেন
0330932e37	91223	খামোখা পন্ডশ্রম
0330a1f3d6	d3e06	উপ-রাজ্যপাল নাজিব জং-কে
0330f7e9cf	83c53	অনেকে এই অভিনেতাকে
033167beea	c1e30	শিক্ষা দান করে থাকে
03322eb344	5dec6	পদ্মা সেতু প্রকল্প
033237b179	23b22	কবিরাও ছিলেন বহুদর্শী পন্ডিত
03325b4fba	18a52	বিমানটিতে বেশ কিছু শিশুও ছিল বলে জানা গেছে।
0332609f51	d1a48	সাংবাদিকতার ছাপ কিংবা নিছক
0332a64ab5	29d44	দীর্ঘ হওয়া উচিত নয়
03331a1315	a916a	তারা একশ’ টাকা
0333377f57	d9ba9	একটু বেশি ছিল
0333474353	239f7	অন্যদের চেয়ে আলাদা
033417081b	eaa7a	শুরুতে কিন্তু পিছিয়ে পড়েছিল
03343a6eaa	6aac8	ফোন পেয়ে তার পরিবার
0334be4f19	8406e	এই শরীরকে
03351b8b32	6fb36	মূলত ডায়রিয়ায় আক্রান্ত হয়ে
03357be25f	0	চিকিৎসকদের অবহেলা
03359b196c	860f4	বাবরি মসজিদ বানিয়েছিলেন
033635f19f	7297e	আদালত এই অভিযোগের
033696bbed	e2ba2	বলেছিলেন বলে
0336c06ff3	c41d8	ভিড় জমান
0336faae37	f600a	ওল্ড ট্র্যাফোর্ডে খেলতে নেমে
0337a07d78	4ea73	তারা বাস ছেড়ে যেতে
0337b8148e	5dd61	দিনটি তাঁর জন্যে
0337d8cff0	14816	ঘুমপাড়ানি মাসীপিসী
033800d72f	d8c80	হাঁপিয়ে উঠেছিল দর্শক
03384a4a19	9813c	তার ব্যবহৃত কাপড়ে
03388f6e2a	2bd99	ছেলেবেলায় এখানেই
0338a970ee	db735	স্থল- বিমানবন্দরে
033913dff5	91230	অক্সফোর্ড দক্ষিণ মধ্য ইংল্যান্ডের
0339352650	86b1b	প্রয়োজনে অসহযোগ কর্মসূচী দেব
033946b871	d9ba9	দিনের আলো জ্বেলে
0339741661	2ecf8	সদরঘাটের উল্টো দিকে
03399ce3b9	239f7	মন্তব্য করেছে
0339c706d7	491a5	সেপ্টেম্বরে খুচরা বিদ্যুতের দাম ১৫ শতাংশ
0339c7c376	315000000000	মিলাইবার জন্য কেহ
0339dccaa5	ad69a	মোহাম্মদ নাসিমের আবেদন
033a30fef1	65652	বিদেশে দেশের ভাবমূর্তি
033a7db8a2	2f547	তারপর গোয়ালন্দ থেকে
033b44d92a	ac904	দুদিন ধূমপান ছাড়লে
033bad6722	46d49	যেমন সাগর, আসা, চাষ, ইত্যাদি
033c53aa1e	d2355	শেষ চিহ্ন হিসাবে
033c54d606	3bb15	কিন্তু আমরা যখন বলি
033d280c17	bd576	ব্যাখ্যা করতে গিয়ে
033d46b533	698a4	চলবে দুবাই চলচ্চিত্র
033d73044e	fd880	মি. মোদীর দল বিজেপি
033d8532ed	f2097	মিরাজউদ্দীন আহমেদ বিবিসিকে জানান
033dbf1c0b	25117	একটি সাংস্কৃতিক বিপ্লব
033df4c063	49d63	শাপলা ফুল
033dfa9498	29f8c	ভণ্ড প্রেমিকদের প্রতি
033e0769a2	f2097	তাদের পার্কে
033e8a1dce	2ad74	উদয় হলে
033eb0afb0	321b6	প্রতি বছর ১৪ ফেব্রুয়ারি এলেই
033ec9b651	8458	সমাপনী অনুষ্ঠানের মধ্য দিয়ে
033ef7bdc5	536d9	হাজীদের প্রয়োজনীয় সেবা প্রদান
033f01cdeb	ea8fa	তবে তদন্তকারী কর্মকর্তা
033fb98a35	c4973	সমালোচনা করেন
033fc033c5	c9c19	ব্রাজিলের টিকিট কাটল তারা
033fc06f2b	f1ea4	মানবজাতির কারল
033fc6eebe	baa02	নরওয়ের পুরাণে আছে
033fce71d7	dafb6	জানিয়েছেন ইউক্রেইনের প্রতিরক্ষামন্ত্রী মিখাইল কোভাল
03401b5750	d9ba9	এবং রবীন্দ্রসংগীত শিল্পী
03407a8d82	5.4E+069	লিখেছিলেন অনিল করঞ্জাই
034090b431	274ee	বিনোদনের সব খবর
0341acd10b	cf82a	আইএ, বিএ, এলএলবি
0341c35f97	ef915	একজন হিসাব বিভাগ
034273c5d8	717bb	মৃত অবস্থায় পরে রয়েছেন তিনি
0342ad2ada	5d12f	পর্যাপ্ত নিরাপত্তা
0343136ecf	121bd	জাফর যেন অন্য জগতে আছে
034384825d	2695f	এর মধ্যে রয়েছে
03443f8757	17ca1	জায়গাটির সামনে এসে
03454d8b53	8458	সেই সঙ্গে হাজারটা
0345dde4af	b8ed8	বিষয়টি প্রাধান্য পেয়েছে
03465ec1d9	ee886	গোলাম কবির ও শামসুজ্জামান
034666b255	c7a89	মুখস্থ ছিল
034705dacc	3c897	পদত্যাগ করার পর
03472cfe91	dfefa	ব্রাজিল
0347b037c4	351dd	ক্লাবটিকে আন্তর্জাতিক পরিচিতি এনে দেয়
0347f8c294	29d44	নরেন্দ্র মোদীর ঘুম ভেঙেছে অনেক দেরিতে, কিন্ত তার কথাকে আমরা আমল দিচ্ছি না।
03483f1407	73629	সমাবেশের অনুমতি
0348b5af99	49d63	মাঠে চরাতে এনেছিল
0348c5047b	cf82a	অনুসন্ধানী দৃষ্টিভঙ্গি
034998267f	92bd8	ফায়ার সার্ভিস কন্ট্রোল রুম
03499db649	12702	এ চলচ্চিত্রের ট্রেইলার
03499ea0bc	dafb6	দুই বছর আগেই
034a30b50f	d3e06	পার্বত্য চট্টগ্রাম থেকে
034a4b2354	c0d65	উপায় না-থাকে
034a597e34	b9a81	নিজ গ্রামে
034a87126a	f29bf	মেসির ছবি
034afdcc65	66dcd	মান যাচাই করা হয়
034b197caf	91ac1	কাঁচামরিচ ও সামান্য একটু
034b9a6eb3	31f2a	মৃত্যুর অভিযোগ শুনলেও
034ba1642e	b9a81	গৌতম বুদ্ধের
034bfc23c1	4237e	ফিরে আসার কথাও
034c9ec52c	eaa7a	উদ্ভব হয়েছে
034cc29881	5.4E+069	হিযবুত তাহরীরের মতো সংগঠন
034d0fba14	69449	এতে কর্তৃপক্ষেরও
034d15c3ce	82926	আয়োজিত এ কাউন্সিল হতে
034d1aca56	47e8d	বেশির ভাগ পুঁটি
034d956499	3fae0	অনুমতি নিতে হয়
034dace04d	baa02	নিজের শহরকে
034dcb1fc1	0b7ca	মেশিন
034ded69d9	1a2a1	প্রতিযোগিনী গোপী আছে
034df37859	75936	বাড়ি ফিরে গেল
034efa9f17	9813c	গ্রেপ্তারের দিন থেকে
034f460a94	69449	নজরুল ইসলামই হইতেছেন
034feb0150	e2ba2	অতিনবতারা আবিষ্কৃত হয়
0350d7e2c9	dafb6	আপিল করার কথা জানিয়েছেন
0350f8c2a3	e8dde	আমন্ত্রণ জানানো হয়
0351826477	15a75	মনোনয়নপত্র জমা দিতে পারেননি
0351accc7b	f29bf	সংবিধান নাজিল হয়নি
0351d8d9f6	92bd8	ছটকু সেরাতে এভাবেই ঘুমিয়েছিল
0352294ce4	7ee9b	নিজস্ব অর্থায়নে
03522c8251	239f7	মিশোরে যেভাবে সহজে
03523fda40	e6752	রাজনৈতিক প্রতিপক্ষ ছাড়া
03525d9372	44322	কোমা এবং শ্বসনতন্ত্রে ডিপ্রেশান
035356334c	ec91c	সৈয়দ আহসান আলী সিডনি
0353772bab	1a4a9	বিনিয়োগ অব্যাহত থাকবে
03539669c1	e43d4	জাতীয় পতাকা অর্ধনমিত রাখা হবে
0353f625de	bbb22	সরকারের মালিকানায়
0354279f43	da6f0	কোনো আয়োজন ছিল না
035461c03d	64092	জরুরি প্রয়োজনে
035469ec6a	b4ea7	উচ্চকিত হওয়ার
03546ccb78	77f82	দাবি জানান তারা
0354e50153	e03fc	এড়ানো সম্ভব
0354f9c09f	2fe3c	শেষোক্ত ধারায়
03559d82b0	f6e55	দেবকৃপা নামে একটি সংস্থা
0355ff03e1	06ea3	বিভিন্ন ঘরানার পাশাপাশি
03561887b5	903fa	ছায়াপথের কেন্দ্রকে
03575b3821	2695f	কথা শোনা যায়
0357640bb1	d5f7b	একখানি বেদের
0357985888	dec2d	ব্যয় হয় বলে জানিয়েছে
0357f9a0bd	43b04	জসীমউদ্দীনের ‘সৃজনী প্রতিভা’ অল্পদিনেই
035814314e	e68af	বাংলাদেশ সরকারের কাছে
035829f7be	7ed14	কবি সন্ধ্যাকর নন্দী
0358b41c0d	4e900	এসব দেশের রাজনৈতিক সঙ্কট
0358b4e047	355c1	ইরান সর্বশেষ বিশ্বকাপ খেলেছে
0358d84f1e	29f8c	মামলা করার বিধান রয়েছে
0358ee6bb5	778c0	প্রাণটি থাকবে না।
03591981b4	b9a81	ইডেন গার্ডেন
03591ad2e3	f2780	সিলেটে ইল্যান্সের অফিসিয়াল
0359542d86	8a46d	নিজের জীবন
0359ce8bdd	db181	অন্যদিন সকাল ৮টার মধ্যে
0359d929db	9d7bf	এতে প্রচণ্ড কষ্ট পেয়েই
035a46affc	f83df	অপহৃত শিশুদের বেশিরভাগকে
035a5a9426	698a4	মাঝরাতে বিমানটি যোগাযোগ বিচ্ছিন্ন
035a5dff92	0d4cb	চাপ তৈরী করা
035a93773d	29f8c	খেয়ে সব শেষ করে ফেলেছিল
035ad1dc01	c41d8	ভাষার শক্তি দিয়ে
035ae7f28b	9065c	ঢেউয়ের তোলপাড় চলিতেছে
035af1965f	2d78f	মোহাম্মদ মোরসির
035b012fb6	d82d9	এর স্থায়িত্ব
035b4ab413	4237e	যুক্তরাষ্ট্রের হাউজ অভ রিপ্রেসেন্টেটিভের
035bc2ab71	8E+099	দাবী মাসুমের
035bf5d2ef	c0d65	ব্যবসায়ী সমিতিকে তাদের প্রস্তাবগুলো
035c154f2b	60f77	তাঁর আগে
035c343488	3284	অনেকেই অনেকদিন পর্যন্ত
035c41c3d7	91230	বেশিরভাগই ভালাইপুর হাটের
035d3624e8	56508	প্রধানমন্ত্রী রেচেপ তাইপ এরদোয়ান আলবেনিয়াতে তার পূর্ব-নির্ধারিত একটি সফর বাতিল করেছেন।
035d3c517b	9d46f	অসমীয়া জাতি
035d581932	d41be	পরিকল্পনা করেছে
035e5c3256	9c8dd	প্রাচীন মিসরের উপর
035ea64ab4	5.4E+069	বদনাম করতে
035ecb6cfe	82926	কেন কে জানে
035ed29e87	28dfc	বিশেষ করে ড্যান্ডি নামক এক ধরনের নতুন এবং সহজলভ্য মাদকে আসক্ত হয়ে পড়েছে এসব শিশুরা।
035ee6173f	e2ff7	হাতের রেখা বিচার
035efcf5ee	1e7c7	রিয়ালের সমর্থকদের
035f5cab48	a1201	বিভিন্ন পরীক্ষা
035f6c254b	ff1c3	সহজেই ভেজাল দুধ
035fbc6b01	6da0a	এবারের একতরফা নির্বাচনেও
035fe90d4f	3f493	তিনি গত ২৪শে এপ্রিল
036083b092	92bb2	তাস দেখাতে চাইছে না
03608d74c8	dfefa	সে দাবি করে আনারকলিকে
03609c5f41	2ee04	সে কি করে
0360cfe858	aa820	হযরত আলী মারা যান
0360f7fa2d	767ff	প্রত্যেকটি মার্কেট চষে বেড়াবে
03613efb4e	66dcd	সমস্যা হওয়ার কথা না
03617e4e77	f4ba7	তার একতলায় ছিল
0361adbaad	e6752	লুৎফর রহমান জানান
0361f60670	e03ce	আমি চাই শান্তি
03621a481b	2aecc	সমর্থিত প্রার্থী এ এ মান্নান
0362323c78	e55de	কি খেয়ে বাঁচব
03627bf17e	91223	জুগিয়েছিল সীমাহীন প্রেরণা
0362b1eaca	c463d	তার শৈশবও কেটেছে এই গ্রামে।
036311f1cc	68ab7	ও দায়িত্বশীলদের কারণে
0363411359	80539	মাতিকে পুরুষ যদি ফিরে যায়
0363bf371a	8458	১৯৪৯ সালে আইসল্যান্ড
0363e18606	5b13f	অনলাইনে কেনাকাটা
036469d03a	9fa90	তিনটি মূল স্তর
0364f96c65	4a67e	তাহাদিগকে জীবিতনিরপেক্ষ
0365004000	22096	আমি বেঁচে আছি
03653794bf	ced74	প্রত্যর্পণ আইনের
0365737e50	2ac82	মায়ানমার ভ্রমণ
0365b08ccb	0633a	গ্র্যামী পুরস্কার অনুষ্ঠানে
0365c1c171	6b437	অভিযোগ প্রমাণিত হলে
0365ca730c	491a5	অবতীর্ণ হইয়াছিলেন
03663ccd27	e754e	ছবির মূল চরিত্র
