400003a817	4c555	কোনো তথ্যসূত্র লেখা হয়নি
40000d25c6	3f493	ধর্ষণের শাস্তি মৃত্যুদণ্ড
40006404c0	730c3	সাংবাদিকদের প্রবেশেও
40007ff4a1	c7a89	মুখোমুখি এসে বসেন মৌ
4001794197	e8dde	তার অভাব মিটলো না চলচ্চিত্রে
4001804b5f	03284	অবশ্যই বাড়তি পাওনা
4001fd3a16	f143a	কিঞ্চিৎ পরিচয় দিয়াছি
400204bd89	ce180	তার মনোনয়নপত্র তুলেছেন
40020918e6	c749e	মানিকগঞ্জে বিক্ষোভ মিছিল
400257c1ce	23b22	পানি ছাড়তেই হবে
4002bcf434	c2082	ডিসি জেনারেটরের সাথে
40037750a0	c463d	কোনোভাবেই ভবিষ্যতের জন্য
4003f25707	58998	বাউল সাধনা
40040713cc	f658d	কোয়াটারমেইনের কাছে
400417cf1a	153c9	একটু গেয়েই দেখি না
40056d8fce	b8bdd	দরকার শুধু
4005d82c07	80539	প্রহর আর
400690cf00	d9b11	আর কখনও তাকে
40069f1d68	ad69a	গ্রন্থমেলার মূল মঞ্চে
4006b0d9a7	bcaa8	পুলিশের তালিকাভূক্ত সন্ত্রাসী
4006de4217	4237e	তার সঠিক কোনো দিক নির্দেশনা
4007467dbd	ee4ad	খুব অল্প বয়সেই
4007868616	28dfc	গোলের পর নেইমারের উদযাপন
4008733f94	29d44	আহত হয়েছেন বেশ কয়েকজন
4008ea2ad7	dae88	আসো জাফরের সঙ্গে কথা বলো
400901ecef	6aac8	ভারতের এক পরমাণু অংশও
40097282c2	f7a7f	কিছু নিয়ম মেনে চললে
400a7632d1	1a2a1	অন্য নাম দিয়ে
400ad58ece	fcc89	কাছের কাশবন রয়েছে আফতাবনগরে
400b3540d8	dec2d	তবে কেউ লিখলে
400b7f64ac	f4ba7	২০০৪ সালে প্রকাশিত
400b904095	46da4	বিয়া কিয়ের
400c363899	77f82	দারুণ লিখেছেন চঞ্চল ভাই
400c69e887	e8dde	সেনা মোতায়েনের পরও
400ccf8567	9fa90	এ রকম হাস্যকর
400de91888	f2097	রুচি এবং আচারগত
400e334e0a	388c9	শশী তরুর পরে বলেন
400e41355c	b78ec	বেড়ে যাওয়ার কারণে
400e5a3fe6	a1201	অবশেষে সেই রহস্যের
400e663b59	68ab7	আরেকটি মামলা হবে
400e7f2c28	f600a	দিল্লিতে লোকসভা নির্বাচনের
400e93051e	5b13f	খবর শুনে
400fa4897d	0d4cb	আজ বিভাগে কোন
4010192279	91b16	দ্বিতীয় ম্যাচ
40108c5f75	ef4f8	ক্ষমতায় থেকেছে
401098aaa6	b9a81	বাহিনীর ঊর্ধ্বতন কর্মকর্তাদের সঙ্গে
4010cb7ba9	cb842	এই স্যাটেলাইট দিয়ে
4010dd66ac	ad050	কিন্তু নির্বাচনের দুদিন আগে
4010e1f59d	68ab7	ভারত যান
40113150ef	1b359	ঢাকা স্টক এক্সচেঞ্জ
4011de02eb	80518	ড্রেসিং রুমের
401226ded2	4237e	মাঝরাত পর্যন্ত
40123fd18e	e2c11	পুরুষের যেতে
401298cdb5	7898e	এ কথা বললে
4012d0c37e	3fce2	আওয়ামী লীগের কেন্দ্রীয়
4012fcf366	e68af	মারসেলের ফার্স্ট সিনিয়র
401348d590	6da0a	গোয়েন্দাদের দ্বিধাদ্বন্দ্বে ফেলেছে
4014136325	47e8d	গ্রন্থমেলার মূল মঞ্চে
401463276c	54cdd	ঘোষিত তফসিল অনুযায়ী
4015788893	4bd2c	তার সিনেমা
4015bac74c	bf530	যোগ্যতা অর্জন করে
40174162fa	1e7c6	চির আদরিণী বীণা
4017cf1b87	4237e	রেলের যেখানেই
4017fedfa3	9f25e	কিন্তু এই দ্বিতীয় অভিযানেও
4018ebe7c2	e6d83	নাম তোমার পেছনে ছুটবে
401a19dca1	66b3c	নয় লক্ষ ৩০ হাজার
401a5f19ac	ff1eb	মেয়েকে জীবনে প্রতিষ্ঠিত দেখতেই
401a86b956	b9a81	সে কথা কাউকে না বলতে বললে
401a9a4c1c	1e7c6	দায়ী পরিবেশগত
401b0adf16	7d133	চাকর জোড়হাতে
401bb20115	e6e48	আর জাতিগত বিভেদকে
401c4035d8	3fce2	বন্ধুদের সঙ্গে
401d6a41fe	0e637	সিরিয়ার প্রেসিডেন্ট
401d6ede9f	16877	ক্ষতিগ্রস্ত হয়েছে
401e11322d	dfefa	তা হয়েছে কখনো
401e289a82	14816	আদপেই চেনেন না
401e37c0b5	1a4a9	জোনাকি পোকা
401e3aba33	80e98	থুতু ফেলার সময়
401e4b91e3	71522	এই প্রিজমটি
401eae95a8	7a227	ফাঁকা গুলি ছুড়লে
401eea745b	3fce2	আর ভাবত
401f872d80	693cb	সম্ভবত এতদিনে তিনি
401fbd9fe7	4ea73	শ্রদ্ধা জানাবেন
401fd59813	e7230	বিভিন্ন শ্রমিক সংগঠন
401fe6699c	1652d	আওয়ামী লীগ ক্ষমতায় ফেরার পর
401fec064b	f6e55	কঠিন কিছু নয়
401ff7288f	6a35e	তা অবশ্য এখনও
40207d8c0f	80539	১৬৮৪-১৬৮৬ সালে
4020b0a083	b8bdd	এক অসামান্য প্রতিভাময়ী লেখিকা
402108f1b4	4fd66	ঈশ্বর গুপ্ত ব্রাহ্ম ছিলেন
40211a9e4f	69449	কামদেবী
40218190e7	c3cb3	জিডিপি প্রবৃদ্ধিতে
4021f3f246	39293	সাহেরেঈয়া ট্রেন
4023c21371	6fb36	সে যেন একটু বল পেল
4024e87e08	e2c11	সামরিক বাহিনীর
402511b316	93d3b	জায়গা রয়েছে
40251ea07e	c3cca	ম্যাচসেরা খেলোয়াড়
40258a9d04	7297e	সমস্যা থাকলে
40259d06f1	c463d	স্বাভাবিক জীবনে ফিরতে
402635d47a	f2097	অলোকা নন্দী
402686a59e	7d133	বৌদ্ধধর্ম প্রচারক ছিলেন
402694a3c1	c7705	মনে করেন তিনি
4026a6fdd9	42898	আর ববি মুর
4026d9548a	ea5be	করতে চান
402704d6d2	29d44	যুক্তরাষ্ট্রের অন্য কোনো মিত্র দেশ
4027a160fa	5d12f	তাদের কারো
4027b0586e	c0965	রাঙামাটি শহরে সন্তু লারমা সমর্থিত যুব সমিতির পাপুল বিকাশ চাকমা পাবলু ৩০ নামে এক নেতাকে সশস্ত্র সন্ত্রাসীরা গুলি করেছে।
