3e006bdeeb	6c6bf	বিভিন্ন রোগের কারণে
3e0074f9b7	fbb81	তখনকার প্রেক্ষাপটটা
3e0088a041	9d46f	এর কোন
3e00e6cf1d	239f7	সম্ভবত গাজীপুরে
3e015c9302	6dff5	এরূপ উদাহরণ আরও অনেক
3e01b9d97e	948d3	যেতে উৎসাহিত করেন
3e0249ecc3	c749e	ক্ষোভ থেকে
3e0282f2e5	e03fc	প্রেমিকরা নানা রঙের শাড়ি
3e02c2d0de	0d9f1	পর মুহূর্তে সদ্য রিলোড করা
3e02dee19f	f2b7d	পুরুষ জাতটা
3e02f79d3d	91dff	হেডমাস্টারের সঙ্গে
3e03663e48	bdfc1	সংশ্লিষ্ট একটি সূত্র
3e03d577fe	aab0f	বিরোধী জোট আগেই ঘোষণা করেছিল, নির্বাচনের তফসিল ঘোষণা হলেই দেশজুড়ে সর্বাত্মক আন্দোলন গড়ে তোলা হবে।
3e048056a2	7898e	নামি-দামি বিউটি পার্লারে
3e0552e169	590d0	গ্রেপ্তারের নির্দেশ দেন হাইকোর্ট
3e0556c4f9	2840e	শাহীন ছিলেন
3e056ee9bc	ab946	আন্দোলনরত শিক্ষার্থীরা
3e058193be	b618b	চট্টগ্রামের কথা উঠল
3e058249c1	778c0	প্রথমবারের মতো টানা দুবার
3e06473623	29f8c	অপারেশন করতে হবে
3e0663b40e	80e98	কার্যালয়ে আসছিলেন
3e06766b99	35ef3	লুকিয়ে রাখে
3e06784ba9	5a61c	নারীর অধিকার ছিল না
3e0685f36f	49d63	অবরোধে বিপর্যস্ত দেশের অর্থনীতি
3e0701dc87	b78ec	মামুন ভাই
3e07238cb5	7297e	বাংলাদেশে ক্রেডিট কার্ডের ব্যবহার শুরু হয় নব্বুই এর দশকের মাঝামাঝি থেকে।
3e07e10e96	95907	অ্যাডোবি এনকোর ডিভিডিতে
3e08116169	dae88	বাংলাদেশ সরকার সর্বশেষ দফায় ডিজেল এবং কেরোসিনের দাম সাড়ে ১১ শতাংশ বাড়ানোর সিদ্ধান্ত ঘোষণা করেছিল।
