7200188d44	2bc73	বিদ্রোহের জন্ম হয়
720084444e	d8c80	পেচ্ছাব করে
7200d4c846	6e8cb	উপযুক্ত নয়
7200e698cd	bbb22	যা চলতি মাসের শেষ নাগাদ
72013b5665	d1a48	৬৯টি গোল করেছেন
720143c198	b9a81	অধ্যাপক মেরিয়ার্টি
720171e90e	7df87	ছয় জন মারা যান
7201c4a2f5	3fae0	শ্বশুরবাড়ি ছেড়ে
720209effc	09b32	হালিম, ওবায়দুর
7202349e25	77f82	জন্মগ্রহণ করেন
7202380041	98b81	আইনজীবী চন্দন সরকার
720276a1cb	2d98b	পরিচালিত হচ্ছে ৬টি কলেজ
72027ed7c9	80e98	৭০ শতাংশ
720286f595	9d46f	স্টাইল ওয়ার্ল্ড কালেকশন
720428c6ac	7f2ef	অনেকে ঠাট্টা তামাশা করলেও
720438f673	06736	সমাধির ওপরের
7204424323	8cf95	খোদাই করে
7204f611df	d1b12	নড়াইলের আফরা
7205039e85	3bb15	পুলিশ স্টেশনটি
72053978f7	12702	প্রবীণদের লেখায়
720592a3d1	282d3	এতে বিপুল পরিমাণে
7205dbf754	72649	শহীদুলের অভিযোগে
7205fa27f1	5dd61	শত শত কোটি
72068f35e3	fda1a	সাতক্ষীরা-কালিগঞ্জ সড়কের
7206b20561	dba43	আহতদের অনেকেই চিকিৎসাধীন আছেন
7206ef8e78	11de3	বহু ইমেইল পাঠিয়েছেন
7206ff663d	f600a	তাই ১৯৭১ সালের
72071df834	c8f7f	প্রকৌশলের সেই শাখা যা
7207a51f25	b8fe1	সেটা স্পষ্ট নয়
7207b20786	cc18a	বলেছেন তিনি
7208347eb3	520fb	ইয়াসমীন হকের সঙ্গে
72084c2751	37d7e	কিন্তু সেখানেও সমস্যা
7208500547	7b60a	ও তাদের স্বজনেরা
720878a390	6ee5f	এর মধ্যে কিছু স্বর্ণালঙ্কার
7208a66d41	d8c80	হ্যান্ডলুম শাড়ির জন্য বিখ্যাত
7209412c31	9813c	খাওয়ানোর কর্মসূচী
72098918f3	ef915	এজন্য ৫৫ রান
72099fd9d1	79b06	প্রবাসী কল্যাণ মন্ত্রণালয়
720a361aef	d2355	করে দিতে হবে
720a461928	91dff	এরা সবাই বাংলাদেশী নাগরিকই থাকছেন, কাজ করছেন ভারতে!
720a5d6be4	5354e	ঢাকা যাওয়ার
720a64d4d1	323f1	মিডিয়াতে পরী মনির
720a671daf	76329	নাকি ঢুকে পড়ে
720aa9c37f	6dff5	খুলে রাখায়
720b530845	7ec1c	পিতার অবাধ্য এবং দুর্মুখ
720c8fadb4	1cb75	বিপ্লব বড়ুয়া
720d288991	93080	সরকার তাদের পরিকল্পনা
720d97f853	4237e	যে দর্শক হয়েছে
720d99e0bb	7b60a	এই খাতে বিনিয়োগের জন্য
720dd59639	f1ea4	অন্য কোথাও না গেলেও
720e09093c	b8bba	এ বিষয়ে বাবা
720e09773a	49d63	বিরাট মেলা বসিয়া থাকে
720e0f0c7d	f1ea4	ফকির
720e205988	82926	এহেন ভূমিকা স্বভাবত
720e63fe2a	7b900	বিস্মিত ও বিরক্ত হলেন
720e680dca	7b60a	আজ অভিযোগ গঠনের শুনানি
720e86c48d	14d25	২৩ জানুয়ারির মধ্যে
720f6dd47e	6a35e	বিদ্যুৎ থাকে না
721052c4ac	698ff	আমি ইঁটের কারবার করিব
721108a2c1	66dcd	বয়ে এনেছেন পরিবারে
7211197cf6	3ccf1	এর কৃতিত্ব বহুলাংশে দেয়া হয় বিশ্বের সবচাইতে বড় সমবায় সমিতিকে যা গড়ে উঠেছে বাস্ক এলাকাকে কেন্দ্র করে।
7211441be8	29d44	যদিও সৃষ্টিগতভাবে
7211885339	91dff	এই পরিবহন মালিক
7211d42bdc	b8fe1	মুখখানি প্রথম কদমফুল
72121b1533	98b81	কবি, ভক্ত বা ঠাকুরাণীদিদিগের গল্প
7212460fc8	28dfc	দেবভাগ রাধিবার জন্য
7212cb39e3	f4ba7	শীতের রাত্রি যেন
72133c1849	9d46f	পুড়িয়ে ফেলার উদ্যোগ নিয়েছে
721398ed26	2fe3c	ছুটে বেড়ায় তারা
7213cf2ba9	ced74	যে মোহাম্মদপুর বা মিরপুরের
7213fc8c15	4c555	ক্ষতিগ্রস্ত ৫৮০ জন শ্রমিককে
7214991f7e	8845d	চলচ্চিত্রের জন্য
7214c64f43	77f82	তুলে ধরা সম্ভব হয়েছে
7214d0f0ba	37d7e	সব মহলের
7214ff57bb	adf01	একটা ঘণ্টা চলে গেল
72151b182b	f143a	তিনি ক্ষমতা গ্রহণের সময়
7215335408	404ee	কর্ণ কতকটা নিষ্ক্রিয়
72156d1ee5	b08d0	মিজানুর রহমান শেলী বলছেন
72156fa6c5	ee852	অনুপ জালোটা
721591a131	9d46f	পচে যাওয়ার ভয়ে
72165ca958	698a4	যে সকল দেবতা
7217805914	1e7c7	একদিকে যাইয়া ঠেকিল
7218c4fe59	388c9	একজন মানুষের ভেতর
7219695f02	2396d	হল থেকে
7219b86e5f	577fa	এবং অন্যদিকে শ্রম ও পুঁজির মধ্যে
721a112d84	2556b	তিনি অবসরগ্রহণ করার পর
721a2bc975	91230	সুন্নি মুসলিম জঙ্গিদের দখলে থাকা
721a45a7ec	e9589	ফকির আলমগির তাই গণসংগীতকে
721a7c27c2	59c73	ট্রান্সলেশন
721ab74c8f	c5479	তিনি ষাট এর দশক থেকে
721b16f699	d3e06	খাবার তালিকায়
721b2ef9af	88654	মিয়ানমার সীমান্তসংলগ্ন পাহাড়ি এলাকায়
721c0a7ddb	57d54	সরাসরি দেখানো হয়
721c917db4	410fa	শ্রীলঙ্কা জাতীয়
721cbef1a7	809cd	সংগঠন নেই
721d24be19	2909b	এখন এক মহাসমুদ্রের ব্যবধান থাকলেও
721e16c66a	c0965	আমার সমস্ত অহংকার
721e7b7fd3	860f4	৮হাজার ৮শ’ টাকায়
721edf25b1	17dcd	সম্প্রতি ৩ দফা হরতালে
721eef50ab	3d17c	অত কালো
721ef7e34d	e6d83	১০ টাকা
721efcc6b3	9092b	ধুকপুক শব্দ
721efd4465	92bd8	যৌবন তাঁর চোখ-মুখে
721f2ce87c	5d80e	তাঁর হাজিরা দেওয়ার
721f2dd524	5639c	অস্ট্রেলিয়া ৪ বারের
721f6995ba	28dfc	বৈদ্যনাথতলার আমবাগানে
721fa2d87f	24aed	এত বছর পরেও
721ffba8b5	66dcd	মাত্র ১ বছর বাড়ায়
7220b678ec	f6e55	ট্রাই করেছিলাম
7220ed5d89	943de	প্রয়োজন হইবে না
72213a10ae	c749e	মুখের দিকে চাইলে
72217a8ed2	d8c80	শুক্রবার সুপ্রিম কোর্টে
7221b96bab	7d004	এদিকে একই দাবিতে
7221fec1f3	23b22	বয়স বসে নেই
7222a290d3	3faff	কিংবা কোনো বিচ্ছিন্ন গ্রামের
7222a3de0a	d711f	তাই আর স্বস্তিতে
7222cbf87b	efc0d	প্রশাসন ও সরকারকেই নিতে হবে
7222d7d5de	13b70	বাচিক অভিনয়
7222e6eeb2	a916a	ভুলেই গিয়েছিলেন
7223399b94	fbb81	প্রায় আটমাস
72236d4bb9	eb179	সরবৎ সদালাপ সংগীত-ভীতি
7223704471	ad050	রয়েছে দৃষ্টি, শ্রবণ
7223705a2a	09f0d	জীবনাদর্শের আলোচনা চলতে পারে
7223a9038c	31f09	অস্থিতিশীল পরিস্থিতিতে
7223e293f7	e50f1	রকিবুল হাসান ছিলেন
72245d1901	ee852	বেশির ভাগই দেখতাম
72250083dd	d71a3	পরিচালনা করা
722562e241	d7a68	আর বাসায় বসে
72257518cb	4fd66	পরীক্ষা কেন্দ্রে
7225b6b95c	b8bba	তার সাথে তীব্র
72260fc190	aa820	ভোট পড়ায়
722628317c	a3a6d	সেগুলো মোঘল আমলে
722670c27a	b618b	তিন দিক থেকেই
722674125d	3fae0	দেখা যায় নি
72277c12bb	2840e	যুক্তরাষ্ট্র থেকে
7227f0c14c	274ee	একে পূর্ণাঙ্গ অঙ্গরাজ্যের
722812e555	c2082	খেলা বন্ধ রাখা হয়েছিল
72282ee079	33aef	অন্ধত্ব ঘটতে পারে
7228483b7a	e6e48	ক্যাম্পাসে দুপক্ষের মাঝে
7228b6029e	e2ff7	মর্মরে নিটোল তনু
7229e4cf25	c3cca	মুক্তিযুদ্ধেও তার
7229ef4f02	4fd66	এক ছিলিম তামাক খাওয়ারও
722a601951	83c53	সম্প্রতি করাচিতেই
722a64d939	13b6a	ঘুরে বেড়ানোর শক্তি
722a8fba9d	b2a62	তিনি তিন হাজারের মতো
722a9318c1	1a2a1	আয়নার সামনে দাঁড়ায়
722b28057f	a06a1	অন্তর্ভুক্ত নই
722b4e9ec7	8b859	আব্দুল মোমিন তালুকদার বলেন
722b8cdf8c	9fa90	বর্তমানে নতুন করে
722bb9e785	ea5be	সংগঠনগুলো হচ্ছে
722bc5489f	33814	ছুড়ে দেওয়া হচ্ছে
722c16b082	b08d0	অমনি দেখে
722c1c8c7a	eb179	পণ্ডিতমশাই আমাকে
722c35dfd2	2de86	২০০৭ সালে তত্ত্বাবধায়ক সরকারের সময়
722c37868c	fda1a	কাজ করতে শেখে নি
722c7edcf6	616ec	হাড়ে হাড়ে চটা
722cf4114f	086dd	আর কোনো স্থানে
722d114b7c	1e7c6	কালকের যত প্রসাদ
722d3e4a02	d5213	দরজার দিকে টানতে লাগলেন
722d6e1c14	b7be9	ঋণ প্রদান করেছে ব্যাংকটি
722e829bb5	f2097	চাকরি করেছেন অনেকদিন
722e99d367	dafb6	সবাই দেখি শাস্তর পড়ছে
722ed2150d	6da0a	জিজ্ঞাসাবাদ করা হয়
722edc65a1	e754e	ব্যস্ত থাকে গ্রামের মানুষ
722ee39fdb	2f547	বিলক্ষণ পরিবর্তন লক্ষ করা যায়
722f0432cf	09b32	একটি বৈজ্ঞানিক সত্য
722fa86198	ee7b2	চলচ্চিত্রশিল্পী, বিশেষ করে
722fdcc938	52578	বাধার সৃষ্টি করেন
723012f652	cd3ac	প্রথম কাব্যগ্রন্থের নাম কি
7230c1bc4c	d82d9	ধার দিয়ে
7230d1fb01	fbb81	পোরট্রেট এঁকে
7231004ad7	ee994	বাংলা ও হিন্দি মিলিয়ে
723161dca5	fbb81	বছরে বছরে অনেক বদলেছে
72316c5562	e3f89	হেয়ার কাট
7231716cb3	17dcd	তৈরি পোশাক সেক্টরে ক্ষতি হয়
7231db0e32	3f493	মোহন মিয়ার ছেলে
7231e6d2ed	cf82a	লাভ করেনি
72327022df	0895a	ট্রাইব্যুনাল বলেছেন
7232d777a5	84145	এমনকি তাকে কেউ
72331ab7af	0895a	গত ৫০ বছরে ঢাকায় সবচাইতে বেশি গরম পড়েছে এবার।
7234b0869e	239f7	এতে সার্বিকভাবে
7234ea2792	75f18	আমার সাথে লড়
7235360a8b	2840e	শুধু স্কুলের পড়াশোনা দিয়ে
72357e357b	491a5	ভারতে বিক্ষোভ অব্যাহত রয়েছে
7235c52fdf	e2ba2	চীন সম্প্রতি
72360eaff0	1a2a1	২২টি বিষয়
72366615cc	60b9d	ইন্টারনেটে এখন বাংলাদেশের বিভিন্ন ওয়েবসাইটে নিত্যপ্রয়োজনীয় জিনিসপত্র পাওয়া যাচ্ছে।
72368ce244	ac0df	ভারতে পালিয়ে যাবার চেষ্টা করলে
723698de25	b8fe1	তাদের এই কর্মসূচি
7236c33f64	1b359	গেলে দেখা যায়
7236e28fa2	ec91c	এইরূপ চিন্তার পর
7236f6452d	75626	পাপী
723779cdef	7351e	আঠারো শতকের সর্বশ্রেষ্ঠ নরপতি
7237e7ef8f	e2ff7	ওয়াশিংটনের দিকে
72388c3c74	7ed14	আসার সময়
72389d63c0	778c0	রংপুর পৌঁছেছে
723945567a	cc18a	দ্বিতীয় পুরস্কার গানের যন্ত্র
72399a4c96	32b3e	মধ্যে রয়েছে
7239b2c6f0	5cb47	সকাল আটটা নাগাদ
723b6cb443	dec2d	সন্তানের সুখই তার সুখ
723b7006b7	b08d0	পারভেজ হোসেনের ধাঁচ
723bd22745	7d3e1	ট্রেনের চাকায় কাটা যায়
723bd311d4	ef4f8	আনন্দ ও সন্তোষ
723c2b8163	e55de	শুটিংয়ের সময়
723c4672a5	7b132	সাথী ও তার মা
723cba8670	6fb36	তাঁর এক নাতি
723d0aedde	410fa	থানার দারোগা
723ddda79b	554fe	কারন এটা
723e237a47	06ea3	আলোকিত বাংলাদেশ
723e5eb9e6	e6d83	শিক্ষক কর্মরত আছেন
723e9961be	e2ba2	মাত্র তিন দিন আগে
723ea46eb5	eaa7a	হইল নিপাত
723eb7c83b	693cb	কার্যকর হয়
723ec6042b	717bb	প্রায় ৮ কিলোমিটার দক্ষিণে
723edb453f	6da0a	অপরিহার্য মনে হয়
723f5f9afa	28dfc	স্মৃতিচারণসূত্রে
7240137876	ca088	একটি সিনেমা হলে
7240a82200	f89d7	দাবি করছেন
7241799d81	ce629	জানুয়ারি আর ফেব্রুয়ারিকে
72421d8bc0	2695f	সকল দেশে
7242489a43	bfac7	কিংবা সফল রাজনৈতিক ব্যক্তিত্ব হিসেবে
7242f0759c	2556b	পরিবারের কারও সঙ্গে
72437b1e11	cb1aa	তার এই নাম পরিবর্তন
7243dd09f3	85430	পৃথিবীতে টোটেমই
72442db6d1	6aac8	মিঃ হামিদ বলেন
