ae00354c0e	aabe7	বন্যায় রাজধানী কাবুলের কাছে
ae004bf8d4	4fbd1	মরে পচে ঢোল হয়ে আছে
ae00562e01	11de3	যাঁদের অধিকাংশই ছিল হিন্দু
ae006ca4d1	52578	গলা কেটে হত্যা করে
ae00a7f80b	b8ed8	মিডল্যান্ড ব্যাংক লিমিটেডের
ae01129e1a	88654	সচেতনতা বেড়েছে অনেক
ae0120cbed	fdcba	প্রবৃদ্ধি অর্জন করেছিল
ae01490ada	75936	প্রথম ভালবাসা
ae0166086a	91ac1	আলী আহমদ খান জানান
ae01e2aec0	194f5	তারা নগরবাসীর সেবার বিষয়টি
ae02593a1c	29bab	অপর ট্রেণে উঠিবার সময়
ae02990da9	4e900	যে ধর্ম নিয়ে জন্মেছিলেন
ae029d60ba	717bb	অমর গোপাল বসুর
ae03150598	767ff	বেগম রোকেয়া স্মৃতিকেন্দ্রের
ae039888c7	6da0a	কারাগার
ae04a4e224	cd3ac	প্রকাশ্য দিবালোকে খুন
ae0575b478	2840e	৫০ থেকে
ae057d03f6	76329	গ্রহণ করা হয়েছে
ae059fe894	05901	বা প্ল্যান্ট প্রটেকশন বিভাগে
ae06052c2f	ee4ad	যুদ্ধ অথবা সংঘর্ষ
ae06a45f94	b8bdd	গালি এবং কোঁকানি মিশ্রিত
ae06a4bc84	85430	আহতদের সরিয়ে নিচ্ছে
ae06b64d26	f1240	যোগ্য কোনো কাজ
ae070df402	b5fdc	এই মনের
ae07373ae6	2f547	আবার রাতে ফিরে যান
ae07488a3e	0a87a	তাঁহার বিরুদ্ধে
ae07532dcf	fdcba	যেতে চাইলে
ae07bf965e	6fb36	এমন হইবে
ae07c12692	ac904	পাওয়া তথ্য থেকে
ae08246b63	29bab	কাশবন দেখতে চাইলে
ae0878f834	976b1	এবং মনে হলো
ae088ccdef	83c53	তারপর সিদ্ধান্ত নেয়া
ae088f0d7f	5d12f	নানা প্রকার বদমায়েশ লোক
ae097314d7	3d17c	আরিফ ও বড় মেয়ে হাবিবা
ae09a80280	16a17	অস্ট্রেলীয় কর্তৃপক্ষ
ae09ac1fe8	80be1	ঘোষণা এলো
ae09bb1096	ab946	মোহাম্মদপুর থেকে আসা গাড়িগুলো
ae0a23bdfd	0c39f	হরমোন নিঃসৃত
ae0a7b2e16	db181	আঘাত পাওয়া জায়গাটি
ae0a8e55a2	4fd66	গতবছর এই শিল্পের
ae0abdf2b0	256f5	এতে করে বাংলাদেশ অংশে
ae0ac8134a	91dff	খবর পায়
ae0b77ac81	fcefa	মৃত্তিকার পিএইচ মান ৭ এর
ae0b821d49	0a7a0	সরকারি চাকরি পেতে
ae0b8477fc	37e17	পরে সাংবাদিকদের কাছে জানিয়েছেন
ae0ba45e1c	c173f	হরতালকারীরা অল্প সময়ের মধ্যেই
ae0bb6d6fa	c7705	সম্প্রতি অষ্ট্রেলিয়ার সরকার অভিবাসন আইনে ব্যাপক কড়াকড়ি আরোপ করেছে।
ae0bc7193b	698ff	পদ্মপুরাণেও রামের পাদস্পর্শে
ae0c1604ae	f0f95	তার মধ্যে একি বিপদ
ae0c2d5f35	80539	২৩ জন প্রার্থীকে
ae0c3722e8	9d46f	তার ছেলে সানোয়ার
ae0cad0c14	351dd	জাতীয় মানবাধিকার কমিশন
ae0ce34e83	8edea	সাতক্ষীরা জেলা তথ্য বাতায়ন
ae0d3cef83	09b32	রহস্যকাহিনী লিখবেন নতুন আঙ্গিকে
ae0d50e9d4	0e637	পূর্ণাঙ্গ স্টেডিয়াম
ae0d7165c9	194f5	সম্পর্কের ক্ষেত্রে জোর দিচ্ছে
ae0dadbdcf	e68af	জেরবার করে তুলল
ae0dc2d6ae	37e17	প্রত্যাহারের প্রস্তাব দিতে পারেন
ae0e36a562	c4973	শাহরাস্তি এলাকায়
ae0e682554	491a5	এদেশে মহাপ্রভুলীলা
ae0e6d34d5	e03ce	কেন্দ্রীয় ব্যাংক সূত্রে জানা গেছে
ae0fc9acb7	14816	আনুষ্ঠানিক অভিযোগ গঠনের পর
ae0fd81343	ce629	হেরে যায় বার্সেলোনা
ae1042df5d	5d12f	তুমুল যুদ্ধ হয়
ae105dd282	ac904	অসীম শূন্যের ভিতরে
ae108d3666	05901	মঞ্চে আনে আশির দশকে
ae112a2dc8	3fc9d	করেছেন বলে অভিযোগ উঠে
ae114f4c37	76329	আমি রুমের লাইট
ae1190f48d	b8ed8	রান্নাঘরে গিয়ে আগেই আমি
ae11e0c919	698a4	আমার কথা
ae12002899	c4973	নেতারা জানিয়েছেন
ae1225599e	e00db	সাক্ষ্যগ্রহণের দিন রাখেন বিচারক
ae1263f049	cc9fd	যাতে বিপন্ন না হয়
ae127ac37c	3fae0	হ্যাঁ পিঁপড়ী, অবশ্যি ফেলব
ae12f774c6	73629	এ ব্যাপারে নিশ্চিতভাবে
ae13290919	32c77	জেমস ফোকনার
ae14749f6f	6c6bf	মিউজিকে তালিম নিয়েছেন
ae14858e25	65e30	দুই আইনজীবী
ae1492b2e5	7ed14	আমার উদ্দেশ্য নহে
ae14bab3d4	08458	স্বরাষ্ট্রমন্ত্রী মহিউদ্দীন খান আলমগির বলেন দেশের বিভিন্ন জায়গায় 'মৌলবাদী শক্তির' যে উত্থান দেখা গেছে তা জামায়াতের নেতৃত্বেই হয়েছে।
ae14db527b	e50f1	অগ্নিমিত্র ১৪৯-১৪১ খ্রীষ্ট পূর্বাব্দে
ae150f806c	6ee5f	মোহন কোনো কথা বলল না
ae151ab792	3fae0	বসতি স্থাপন করেছিল
ae1545cf04	e9759	বড়দের প্রতি ছোটদের শ্রদ্ধাবোধ
ae1687decb	d1a48	সরকার যদি এর আকার
ae1729d4d9	06e62	আবুল কাশেম মাস্টারের
ae179c7041	24aed	জনগণ সেটা সাহসের সাথে জানিয়ে দিয়েছে
ae18522727	17ca1	সহায়তা করতে চায়
ae18734a55	3f875	নতুন ছাত্র বিষয়ক উপদেষ্টা নিয়োগ দেয়া হয়
ae18dd33a0	b8ed8	তাহারা সকলে
ae18e2400f	7898e	রাগের চোটে
ae18e71d21	54e68	মুক্তিযুদ্ধের ইতিহাস জানতে চাইলে
ae191926c2	e3d8b	দুর্নীতির সাথে থাকবে না
ae19262432	282d3	রোগ প্রতিরোধকারী
ae1959cae6	4bede	আলোকপাত করে
ae19d5d00a	43fc0	কোন কথা বলিবার প্রয়োজন নাই
ae1a06b1f4	d3e06	সম্ভব হয়
ae1a2faf4f	c7705	দেহের রঙ পাল্টায়
ae1a376973	f1ea4	মার্কিন প্রেসিডেন্ট
ae1a482b39	adf01	সাম্প্রদায়িক সম্প্রীতির দেশ হিসেবে
ae1a630ea6	2695f	অমেধাবী লোকেরা ছবি বানাচ্ছে
ae1a6ad989	9fa90	কিন্তু এরকম অ্যাকশন ফিল্ম
ae1a8353d9	9282d	মেজাজের পারা চড়ছে
ae1a9010bc	d1b12	সাম্প্রতিক বছর গুলোতে ইফতার আয়োজনে ব্যাপক পরিবর্তন লক্ষ্য করা যাচ্ছে।
ae1aab1ab2	e3d8b	অল্টারনেটরে আর্মেচার ওয়াইন্ডিং
ae1b01bb3a	db181	জসীমউদ্দীনের নকসী কাঁথার মাঠ-এর
ae1bb0161b	dae88	সীমিত আকারে
ae1c17abf6	a43b5	জানান মি. দেবনাথ
ae1c92a63c	17ca1	ল্যারি ওব্রায়েন
ae1c9533fa	33814	পারদের মত ঝলমলে
ae1cd6a5f4	22096	সাংগঠনিক ছেলে বলে
ae1d6f1888	e3f89	উত্তর কোণে
ae1e128459	91230	রাজনৈতিক শ্লোগান
ae1e548d6b	3bb15	এফডিআর করে দেয়ার শর্তে
ae1fa270a0	a699c	যা দুই থেকে নয় মিটার
ae2009c109	4ea73	মাশফি, শাওন, সাকিব ও সারাহ মিলে
ae2037006d	e55de	একটি সুরপ্রধান ভাষা
ae2043d95f	3fb17	এ রোগে প্রাণ যায়
ae20509c2f	880ae	ভারতবর্ষের সম্পূর্ণ দায়িত্ব
ae20998c76	0d8c1	লোকজন আসেন
ae20b568c8	f4ba7	সোমবার বিচারপতি ফারাহ মাহবুব
ae2101d7fb	33814	শয়তান
ae21dae2c6	bcaa8	জহীরের সঙ্গে কথা বলতে গেলে
ae2229a389	dec2d	ওখানে আমার একটি উপন্যাস
ae22615057	6ee5f	২০ নভেম্বর থেকে
ae230b3ffa	745b7	তদন্তের জন্য
ae23329d44	ad69a	সনাতন ধর্ম বলিবার কারণ
ae235825ca	75936	প্রাকৃতিক ছবি
ae23e9664a	7df87	এই ধূলা-বালি
ae23fa41c4	880ae	অস্থায়ী রাষ্ট্রপতির দায়িত্ব পালন করবেন
ae23fc2c77	49543	তাঁর পরিপূর্ণ বোধ ছিল
ae2493a5af	c0965	দক্ষিণ কলকাতায়
ae24b1cc8b	e8dde	বাংলাদেশের স্বাধীনতাযুদ্ধে
ae261eedda	0895a	গামছা বিক্রি
ae262837d4	14d25	কুইজ প্রতিযোগিতা
ae26edb688	60b9d	রুশ বিদ্বেষের কারণেই
ae26f9928d	b78ec	বীণ বাজছিল
ae273667cf	42898	থাইল্যান্ড ও মিয়ানমারের
ae27f6dcfd	0d8c1	কিসে অসুখ
ae2816255a	195f7	রেলের জনসংযোগ বিভাগ থেকে
ae2860bbbd	61820	পরিস্থিতির জন্য
ae286a70bf	44322	জীবনের সুখের জন্য
ae29925497	536d9	বেশ পরিচিত
ae29c82e0a	a8710	গাছের ডালে বা গাছের তলায়
ae2a73bf8e	eb179	মৌলিক লোকসংস্কৃতি হারিয়ে যাচ্ছে
ae2ae030ef	fb4cb	এ গাছগুলো
ae2b46d8cf	60b9d	নাজেহাল পাকিস্তান
ae2b4fcdd8	91230	রাজস্থান ক্রিকেট অ্যাসোসিয়েশনে
ae2b52e9e2	bd576	হিন্দুস্থানি গোয়ালারা পর্যন্ত
ae2b996bd7	6973e	বাংলাদেশে রাজধানী ঢাকাসহ
ae2bd84d6a	e6752	সন্ধ্যায় ফিরে এসে
ae2c077333	404ee	প্রায় ১৬৪টি সোনার বার
ae2c33b409	d9081	বকশীগঞ্জের দিকে যেতে থাকে
ae2c771930	9c8dd	আমার উৎসাহ
ae2c9618a6	13b6a	সবচেয়ে বেশি কষ্টের দিন
ae2d355bc4	491a5	ইরানী সমাজ
ae2d4221a1	442b7	ঘুমানো সম্ভব নয়
ae2d6f458a	d2355	শান্তিচুক্তির আওতাধীন নয়
