fb007285b7	0b7ca	আমদানি ঋণপত্র নিষ্পত্তির সর্বশেষ তথ্যে
fb011690e9	33aef	জলের বসন দেইখ্যা সারাসারি
fb0116ceb5	47e8d	বলা যায় না
fb013ecf3a	b8bdd	তিনদিন পর তাদের লাশ মেলে
fb0183bbc5	ec91c	নাকি কলসি খালি
fb01e23c27	05901	আবিষ্কার
fb01eaaaa7	5dd61	হাইকোর্টের নির্দেশ অমান্য করে
fb02601bc6	b5fdc	রূপকুশলী আফরোজা পারভিন
fb02a4e205	95907	ভেজাল ওষুধ প্রস্তুত করে
fb02ad7f3f	c7705	এলাকার সম্ভাবনা-সমস্যা
fb02d161ff	85430	অ্যালবামটির মুঠোফোন-সহযোগী
fb02e13ccb	4dd57	আজ কিছুটা হলেও
fb02fae729	590d0	কারণ স্বদেশে
fb0338b5ec	4ea73	এক মন্তব্যে বাংলাদেশি হ্যাকারদের
fb0344afd7	f658d	বা আরেকজন কাউকে বসিয়ে
fb041779c2	1279e	কাজের পরিকল্পনা
fb0419671f	ad050	মোহাম্মদ নাসিম বলেছেন
fb0425f671	c4973	এবং ওজনে হালকা হওয়ায়
fb04721e90	e2ba2	আর্সেনালের জয়টা নিশ্চিত হয়ে যায়
fb04b986ba	5b13f	একটি রাডার ফাঁকি দেয়ার
fb04c2d5d6	05901	দেড় হাজার বছর আগে
fb04e8dd14	1b359	মেয়েকে টাঙ্গাইল থেকে
fb0525ace9	fda1a	সেভাবে দেখি না
fb05676ad5	2d78f	অবশেষে এইতো প্রেম
fb05952575	6973e	ঐ এলাকার বন্যপ্রাণী
fb05f7775a	92bb2	তলোয়ার
fb062b6c54	1f733	নানার ওষুধেই বালা হইছে মামু
fb06f41695	ca088	একটা বাচ্চাও আছে
fb06fd1f7c	73629	আঁকে নতুন করে
fb07234337	f2780	এটি ছিল ব্রিটিশ কয়েদীদের উপনিবেশ
fb07261afc	0c39f	শহরের কাচিঝুলির
fb07463c07	39dd0	দুহাত মেলে
fb077c35b0	778c0	হাওড়া জেলা আদালত
fb07b0d7ee	2556b	বিপরীত দিক থেকে আসা
fb07ced26b	9282d	একশোর বেশী
