ee0067e3a8	c173f	চারিখার বাঁক পাড়ি দিয়ে
ee012f1a8f	b8ed8	তার দাড়ি ও চুল
ee01c8ec32	28dfc	তিন সদস্যের মেডিকেল বোর্ড
ee01e6c435	121bd	পরবর্তীতে আরও ব্যাপক আকারে
ee020b386d	bdd05	এর জন্য কোনও ভারতীয় দূতাবাস বা ভিসা প্রসেসিং এজেন্টের কাছে যাওয়ার দরকার পড়বে না।
ee023a3ab0	0b7ca	অ্যালবাম প্রকাশ পায়নি
ee025b228e	43b04	মজুরি বোর্ডের সভায়
ee02a48df5	dfefa	সেরা ছবি
ee02d74b34	05901	দক্ষতা বা যোগ্যতা থাকা
ee02e0e25a	3fae0	এই পানীয়তে
ee02f6f698	1a2a1	তিনি সংযমী নন
ee030e290a	06e62	ডাকাতদের সেখান থেকে
ee033195fd	efc0d	উপলব্ধি করতে পেরেছিলেন
ee04549195	e9fa7	ছবিটি দেখতে দেখতে
ee04b81257	3b1f7	টাকা লাগবে না
ee054f91ba	fcefa	এগিয়ে চলা আলোকিত বাংলাদেশকে
ee058d9f56	14d25	পারেনি ঐশী
ee066389f2	2c9c5	সেই গ্যাস ফিরিয়ে দিচ্ছে
ee06751ba5	e68af	সবুজ লুঙ্গি
ee06aefe06	39dd0	শচীনের ক্রিকেট জীবনের
ee06cdc065	65e30	খবর ছড়িয়ে যাবার পর
ee06efa03f	ad050	ওটি আবার পেশাবখানাও
ee07c8815d	6fb36	নিবিড় ও সংবেদী
ee07fd23a0	c3cca	আচরণের জন্য
ee083f034b	e754e	পতাকা পথে
ee08ab91c8	1e7c7	এ-জাতীয় সম্প্রদায়গুলির কাছে
ee08e01881	903fa	পুরুষ ভোটারের চেয়ে
ee0918ae47	b08d0	তার কোনো আপত্তি নেই
ee09197f9d	315e9	তা বের করার
ee092c1c7e	7b60a	আমরা দুজনকে আউট করেছি
ee0981d66f	5d80e	ফাটা
ee0a8f7721	86b1b	ভেঙেছে বলেও জানা গেছে
ee0a9d0bfa	7b103	হামলার ঘটনায়
ee0ac96f6a	9642e	পলিথিন, বিয়ারের কৌটা
ee0af4d6cf	92bd8	আমেরিকান ইউনিভারসিটিতে
ee0b21597b	404ee	সুব্রত রায় বলেন
ee0b66a3a2	acb88	এটাই তো আমার পেশা
ee0bd5861f	2fc12	একজন সেনা আহত হন
ee0bfc2dc4	c4973	ইজাহারুল পলাতক রয়েছেন
ee0c3b8a85	a1201	রসকথা কহে না
ee0c5ebc67	e7230	এশিয়ার সেরা ফুটবল দল
ee0c8f501d	31f09	১৯৯৭ খ্রিস্টাব্দে
ee0cf8051d	c958a	চান্দ্র বৈশাখ
ee0cff9577	4486f	তদন্ত করেছে
ee0d183e86	24aed	দুজনের বিরুদ্ধে
ee0d3515bc	256f5	নিহতদের মধ্যে আছেন
ee0d39940d	e9759	কোনো পন্থা
ee0d557de4	5e80b	বলেছেন তিনি
ee0d5fa92c	9b864	যুক্ত হওয়ার
ee0d831620	ef4f8	তাদের কাছে
ee0dbb8c06	16a17	আমাদের এই পুরুষতান্ত্রিক
ee0e518403	53396	ডিজিএফআই মহাপরিচালক
ee0e7d2be2	2695f	পৌরনীতি
ee0e90f4f7	4a918	একটি কি দুটি কবিতা
ee0ea36722	47e8d	অ্যান্ড ইন্ডাস্ট্রিজ
ee0ef13ce9	9642e	পুলিশ আটক করে
ee0f09c036	717bb	বকুল ডালে
ee0f5b4e25	46da4	এর আগে কয়েক দফায়
ee0f766171	35ef3	সাত পুত্রবধূ এক সঙ্গে
ee0ff2d53f	5b13f	রাজনৈতিক উদ্দেশ্যে
ee1073ace8	5d12f	অ্যালুমিনিয়াম
ee10fecc72	4ea73	নাসির হোসেনের বলে
ee112fac7c	fbb81	ওয়ান হান্ডেড ইয়ার্স অব সলিচ্যুড
ee116faee8	0895a	তারা কাজ শুরু করে
ee118b7172	2f547	উদ্ভব ও পরিণতির অনুষঙ্গ সাহিত্য
ee11c43fb5	ff1eb	দৈর্ঘ্য ও প্রস্থ কত
ee12c69915	4fbd1	অস্ত্র মামলায় ৩১ জন
ee132932c9	717bb	৫১ শতাংশের বেশি মানুষ
ee13d06e7d	404ee	চিত্র জগতে আসা
ee13dfb331	16877	সারাদেশে মিছিল
ee13ecf35d	d82d9	সিনেমাটি বার্লিন আন্তজার্তিক চলচ্চিত্র উৎসবে
ee1475f82e	4f2ae	এসব ঘটনায় শুধু মানুষ নয়
ee14942613	93080	নির্বাচন করা
ee14a3d555	f83df	একই অভিমত ব্যক্ত করেছেন
ee14c8ac98	d8c80	বাংলা বই
ee150ee42f	9065c	পদত্যাগ করেছিলেন থারুর
ee153a1069	8a46d	কিভাবে সংস্থান হবে
ee15ad4296	86b1b	বিভিন্ন রকম
ee16114182	323f1	রিয়েক মাচার বিবিসিকে বলছেন
ee16a39430	4164f	সংগৃহীত একটি টাকা
ee16aa02d2	a3a6d	অসাধারণ ছবিতে ফুটে ওঠেছে
ee16f38dbe	ea8fa	ভোট দিতে পারে
ee17c53651	98b81	এবং কারমাপা রূপে
ee17f2d462	aab0f	সম্প্রতি যুক্তরাষ্ট্র থেকে
ee181f49e8	24aed	আমি ব্যক্তিগতভাবে
ee18f6e37e	dba43	নিয়ম অনুযায়ী, ছয়মাসের মধ্যে নিম্নতম মজুরির সিদ্ধান্ত চূড়ান্ত করবে বোর্ড।
ee190777a8	ad98d	জসীমউদ্দীন তাহা আমল করিতে
ee19982403	59c73	সালোকসংশ্লেষণ কী
ee19a23cbe	10a9f	পরিচালনার প্রস্তুতি সম্পন্ন হয়েছে
ee1a06e4fd	0895a	মনের কথাগুলি
ee1a2cc5f2	1a4a9	আই লিভ ইন সিয়াটল
ee1b992526	b78ec	অংশগ্রহণ করতে চাচ্ছেন
ee1bba0bfe	9e923	ওর পিঠে একরাশ পাথরকুচি পড়েছে
ee1c138e5d	f83df	অষ্টম স্থানে
ee1c6ec9be	37e17	তবে, তারা জানিয়েছে
ee1c76f2e0	1f733	সুযোগ পেলে
ee1c8f2ad7	05901	ঈদের দিন এখনো
ee1cc3bd45	7351e	মুখ তুলে তাকাল
ee1d1ca516	ff0fe	হলেন নারদ
ee1d36a1f9	d0c70	অনেক রাত পর্যন্ত চলে কাজ
ee1d798e7c	153c9	আকাশের নীল কটোরায়
ee1dddb330	e9759	এ দুই বন্ধুর বাড়ি
ee1df139bb	cd3ac	স্থায়ী ও অস্থায়ী ঠিকানা
ee1e629159	e2c11	তিনি এএনসির নেতৃত্ব
ee1e92edee	5b13f	এ ব্যাপারে গবেষকরাও
ee1eba1f1a	ec91c	কম সময়ে
ee1ef2e582	ce180	তারা বললেন
ee1f11cf83	7b60a	হইতে শেষ পর্যন্ত
ee1f66786f	32998	বাঁচাতে ধানের চারা
ee1fc240b2	16877	এরপর হিসেব- নিকাশ করে
ee1fd6a597	bdfc1	ফেরেনি সবুজ মাছরাঙা
ee208c83a6	29bab	২০০৫ সাল থেকে তিনি
ee20fcc290	8c07c	চলমান সংকট কাটিয়ে
ee213e3407	8edea	শঙ্কর টলতে টলতে
ee222757de	7b900	চার বছরের কোর্স শেষ করত
ee22b30827	d9b11	তাকে প্রশ্নবিদ্ধ করেন রাহুল
ee2337891f	e89bb	চেষ্টা চালিয়ে যাচ্ছে
ee23965621	8ba2b	উপন্যাস নিয়ে কাজ
ee23d8ed80	49d63	আটক বন্ধু রনি
ee24058c1e	3b1f7	ক্রোম ব্রাউজারের বাগটি নিয়ে
ee240729f5	68549	তাঁর বোন মার্গট ফ্র্যাংককে
ee247a3eb8	5dec6	নীলাঞ্জনাকে দেখার জন্য
ee24df0bd2	60f77	ডেকে গেছে রাজধানী
ee2530ada3	91dff	তাকে বের করে দেয়
ee2606425a	23b22	যতই ভালবাসুক না কেন
ee26374189	b08d0	এসপি আরশাদ ওই বাগানবাড়িতে
ee264d3fca	351dd	হুমায়ূন আহমেদের জলতরঙ্গ
ee265c0e0a	33aef	চৈতালি স্নান করে না খুব
ee266c0c1c	9e923	জোয়ারের পানিতে তলিয়ে যায়
ee26901723	2f547	বাংলা নববর্ষে গ্রামে গ্রামে
ee26c5cb70	29f8c	৪/৫টি বাড়িতে
ee27664c60	bc81e	তা অবশ্য
ee2883bc34	7ec1c	এসময় আরও উপস্থিত ছিলেন
ee294cf27a	ff970	প্রত্যাখ্যান করেন তিনি
ee2a038c41	80be1	আমরা ক্লান্ত হইনি
ee2a2690bc	7b900	আকরাম আহমেদ
ee2a487b4d	ee852	সেটা আমার ছবিতে
