770047be5b	321b6	মিটিং-মিছিল করে
77005c887f	0f047	মস্ত কালো
7700696dd0	a06a1	বাংলাবাজার পত্রিকায়
7700a74dd7	9d398	ওয়াজেদ মিয়ার জন্ম
7700f691d4	ac0df	ব্যক্তিত্ব ছিল না
77010752d9	d9081	নির্বাচন কমিশনকে
7701488752	db735	পড়ি
7701596a90	a8710	যে মুসলিম শাসক শ্রেণীটি
7701f48bce	0633a	স্থানীয়রা ডাকাত সন্দেহে
77028465fc	95f83	গ্রহণ করেন
77028fe87b	52f27	১৯৩৯-১৯৪৫ সাল
7702c4079c	c2082	এটাই আমাদের অভিজ্ঞতা
7702ccbe66	717bb	সংবিধান থেকে
77030b2b00	4fd66	দিনে উত্তাপ ভীষণ
77034e280e	f4ba7	অনেক পণ্য
7703b67227	7027a	একাকিত্ব
77044721bd	809cd	অনুমান করা দরকার
770524b2e6	086dd	ওপরে আধুনিক হওয়ার
7705ecd21b	01e91	দমন
7706424b6b	32b3e	দুদক কর্মকর্তারা তাকে হাতে নাতে
7706807ce0	05901	যুগ্ম কমিশনার
77073f5d5b	17ca1	বোমাবাজি করছে
7707ee1112	17dcd	তালিবাবাদ ভূ-উপগ্রহ কেন্দ্রসংলগ্ন
770805b7ed	6c6bf	লোক ছিলেন
7708082d82	23b22	বিতর্ক
7708b5bfb7	eecdd	ডঃ মুহাম্মদ শহীদুল্লাহ
7708f166e5	4c555	আইনজীবী থেকে শুরু করে
7709f811c2	16cfb	শনিবার ভোরে
770a3b3d10	693cb	প্রতিহত করবে
770a9b434c	f2b7d	সেটি আমরা কখনো
770adb8609	dec2d	যাহাতে সেরূপ অনুগ্রহও
770b430103	2556b	কামরার মাঝখানে
770bd465fd	c6848	এসব মদের মূল্য
770becb4ce	430b2	আলাউদ্দিন বয়াতির হাত ধরেই
770c2402eb	e31e7	যানবাহন ও যাত্রী নিয়ে
770d0d7435	ad050	তখনই অজ্ঞান হয়ে গেলেন
770d397317	60b9d	ক্ষমতায় এলেন জেনারেল ইয়াহিয়া খান
770d890b72	71522	পরিশুদ্ধ করে
770dda411e	eaa7a	পীরবাড়ি থেকে
770de064dd	7351e	অন্যায়যুদ্ধে সংহার না করেন
770e0fd011	0d4cb	বিকল্প ব্যবস্থা সম্ভব
770e1585ad	e7230	কারণ আদালতের অনুমতি ছাড়া
770e7b49ba	dafb6	প্রস্তুতি নেওয়া হয়েছে
770e8725f8	ec91c	সেই অন্ধকার রাত্রি
770e9eed48	6ab59	জামায়াতের বিষয়ে
770ed344e6	d41be	ও সুন্দরী দম্পত্তির পুত্র
770eea8c38	21e54	আটকে যায়
770efd39b9	10a9f	ভূমি-বেষ্টিত দেশ হওয়ার কারণে
770f03e4a5	69d9a	এখানে ফন্টেরা নামে
770f04a51e	72649	শনাক্ত করতে পারেন
770f212a59	9065c	গ্রহাণুর গতিপথ তিনি বলছেন
770f95ae43	903fa	কাদের সিদ্দিকী
77103af0ba	0606d	জাতিসংঘের কুটনীতিক আলোচনা
7710c60fad	03284	তাঁর সকল বিদ্রোহ
7710c70b06	4a67e	মাওলানা সিরাজুল ইসলাম
7710d73c60	91ac1	বাংলা একাডেমি আইন ২০১৩ অনুযায়ী
77116fb53e	1e7c7	ইংলাক চিনাওয়াতের সমর্থকদের বিক্ষোভ
771171b175	e9fa7	পর্যাপ্ত সুযোগ-সুবিধার অভাব
7711773702	86b1b	পশু-পাখির ভালোবাসা
7711b77fb4	778c0	ওয়েব ইন্টারফেসের মাধ্যমে
7711fa9e84	5a61c	প্রতিবাদ করলেও
771218915f	25696	খোলা রাখা হয়েছে
77123ced89	acb88	তারা তখন বুঝতে পারেনি
77126649db	f2b7d	মানুষের মাঝে স্বর্গ নরক
7712d41e87	7297e	এক বিবৃতিতে পাল্টা এরশাদকে
771369b431	4f2ae	ফকির ইলিয়াসের
7713f443ed	a06a1	সম্প্রতি অষ্ট্রেলিয়ার সরকার অভিবাসন আইনে ব্যাপক কড়াকড়ি আরোপ করেছে।
7714c591fc	f1240	বড় বড় বেসরকারি স্কুলগুলো
771514522d	2d98b	সংস্থাটির বিরুদ্ধেও
771573c818	e43d4	তার মুখের একপাশ ছিলো
7715eb117c	75626	সোমবার তিন সদস্যের
7716d38c43	c11b1	এই রাষ্ট্রের আদর্শিক ভিত্তি হিসেবে
77175be4aa	80539	তাঁর দিল্লীতে সঙ্গীত চর্চা থেকে
7717a201f7	cd3ac	কখনোই তাঁকে
7718b4cdb6	577fa	ইংরেজি মানে
7718ec8f55	6ee5f	ও ইউরোপে বসে
77197b6260	2f547	কতটা যুৎসই
771a2ea90c	0e637	বর্তমানে আলিয়া ব্যস্ত আছেন
771a439bf0	58998	কিংবা তুরস্কের অন্য কোথাও
771b6af961	d7a68	সমান ম্যাচে
771be07781	18460	হঠাৎ কোনো ক্রেতা
771c90ccdb	2ecf8	প্রশ্ন তোলেন কাবেরী গায়েন
771cb05c6c	75936	ইঁহাদের জবাবদিহি করিতে হইবে
771cbffaca	c958a	চলে যেতে পারেন
771d41b061	2d98b	তাঁর অনুরাগীদের জন্য
771d490cd0	c7a89	গুছিয়ে রাখার দায়িত্ব ছিল
771d69c60e	dfefa	তথ্য জানানো হয়েছে
771e5fc43c	fdcba	রাজনৈতিক সংকট
771f013086	2c9c5	আবু গারিব কারাগার
771f733e27	b618b	শাহরুখ খান জানিয়েছেন
771f8a1c96	4ea73	প্রকৃতি তাই প্রাণপ্রাচুর্যে
771fd1b915	cb627	দিল্লি থেকে লুকিয়ে ফোন দিয়ে
772017d98d	7a227	নাশকতা
7720934a0a	c9c19	ব্যবস্থা নেওয়া হবে
7720c6c2f3	d5f7b	তবে শ্রমিক পক্ষ
7720f24b34	46da4	তাদের সময়কার উদযাপনের তুলনায়
772195d723	69449	যশোর জেলা
7721a0d3a6	91b16	একটা অন্ধকার ঘরে নিয়ে
772272dab9	bd576	বইয়ের তাকগুলোর দিকে যায়
7722abb46f	a1201	খাঁ খাঁ করছে
7723195f40	d5213	তাঁকে দেওয়া হয়
7723633d27	4f2ae	বিপ্লবী সরকার
7723707c85	4fbd1	সেই শিল্পীর জাদুস্পর্শ
7723caebe9	ad98d	ফেনীতে রেললাইনের কিছু অংশ উপড়ে ফেলায় ঢাকা ও চট্টগ্রামের মধ্যে রেল যোগাযোগ বন্ধ হয়ে গিয়েছিল।
