6b001e088b	ce775	লাশের খোঁজ নিতে 
6b00b9ef07	d9b11	পাটাতনের তলে
6b01000760	5a61c	বাংলাদেশের বিভিন্ন জেলায়
6b0152b3c3	e3f89	আদিলকে গ্রেপ্তার করা হয়
6b01d1a703	2ee04	পুলিশ একপর্যায়ে
6b01e765e8	195f7	ফেলতেও রাজি আছি
6b021c81da	7898e	কোনটাই আমাদের নেই
6b035002a5	e55de	উপন্যাস শুরু হয় এইভাবে
6b039d8ff5	43b04	শহরে বিক্ষোভ মিছিল বের করে
6b03ce7901	f600a	পশ্চিমবঙ্গ সরকারের খাদ্যমন্ত্রীও
6b0414f559	6ab59	এর মানের সাথে সাথে
6b045d0fa1	16e96	১৫% হল ৬ বছর
6b04b8daf9	6e8cb	তথ্যসচিব হন
6b04cf6a79	442b7	উপজেলার গড়গড়া মাস্টারবাড়ি
6b050d47f2	0744c	হুমায়ুন ছিলেন
6b0572d820	49543	বাবার কাছে গিয়ে বলেন
6b05a54b5c	323f1	স্যামসাং ফোন
6b0622eb18	fcefa	অগ্রসর হয়নি কেন
6b0641fee5	ac904	কোনও জবাব দেয় নি
6b067f244c	4c1eb	সংস্কৃতির সঙ্গে মিলেছে, মিশেছে
6b06aeb665	d2d71	বিমানটি উদ্ধারের জন্য দেশি-বিদেশী সহায়তায় অভিযান চলছে।
6b0741f226	5cb47	ধানীখোলা গ্রামে জন্মগ্রহণ করেন
6b07446dff	1652d	লুকিয়ে রাখে
6b07b00a15	38ff0	প্রাকপ্রস্তুতি নিয়ে ব্যস্ত
6b08246265	82926	বাংলাদেশ প্রিমিয়ার
6b0993043d	d71a3	নব্বই জনেরও বেশি লোককে
6b09fa5993	db181	নির্মিত হচ্ছে
6b09fe453a	3faff	মিশর রহস্য
6b0a11cc14	3bb15	তাদেরও বেদম পেটায়
6b0ad6d5ba	d1b12	নানা বাড়ির ছোটদের প্রতি সদয়
6b0b2d3817	4fd66	পুলিশের পাহারা ছিলো
6b0b38bcc5	8ba2b	ফ্যাক্টবুক থেকে অনুদিত
6b0be12ee1	24aed	স্বাধীনতার ৪২তম বার্ষিকীতে
6b0c6a6e2b	287bd	মোট ২১ লাখ
6b0ca40221	ac0df	আগরতলা ষড়যন্ত্র মামলার আসামি হন
6b0d036879	e3d8b	ত্বক পরিষ্কার রাখলে
6b0d078ff1	7027a	ময়মনসিংহ মেডিকেল কলেজের
6b0d713bca	590d0	নারীর ঠোঁট কামড়ালো
6b0dea65ae	ba2f6	অপহরণ ঠেকাতে
6b0e05cd68	1a2a1	আবার
6b0f06d8a7	fdcba	ওই বছরের ১৯ ডিসেম্বর
6b0f17388a	3bea8	যেসব বেসরকারি বিশ্ববিদ্যালয় এখনো
6b0f54149b	9813c	রংপুর বিভাগীয় কমিশনার
6b101dfa05	80505	ইসি সূত্র জানায়
6b1034bbd3	bc81e	সকাছের মানুষ’দের
6b1074fd5f	a699c	মজার উক্তি
6b108ffaea	554fe	এবং প্রত্যেকের জমির ওপর
6b111f7cc0	e9759	আর নতুন খবর হচ্ছে
6b11281652	54e68	অসুবিধাতেও পড়তে হয়
6b113f960f	f0f95	আটা
6b1140f895	52578	আদর্শে গঠিত
6b11813693	d2355	ক্লাস থাকলেও শিক্ষার্থীদের মধ্যে
6b11a64222	3fae0	তাঁর বড় ছেলেটিও চুপ করে
6b123d9962	4164f	স্থান পরিবর্তন হতে পারে
6b126396da	11bd2	আনুগত্যের প্রকাশ্য
6b13045da0	06736	মেডিকেল বোর্ড গঠন করে
6b1422261d	75f18	খুব অভাব ছিল
6b14287429	4c555	২ নং রেলগেইট এলাকায়
6b144721ac	f9dfb	চওড়া
6b14c2b5d2	577fa	তবু যদি মনে করেন
6b14fe6be8	60b9d	রিমেক চলচ্চিত্র
6b157261c9	10a9f	সংগ্রহ করা টাকার জন্য
6b15ad6d18	a1d4a	নিজেদের নিয়ন্ত্রণে নিয়েছে
6b15dec25c	7ec1c	ডেপুটিঅ্যাটর্নি জেনারেল বিশ্বজিত রায়
6b1641285e	4237e	গণমাধ্যমের সাংবাদিকদের সামনে
6b1797ea79	46da4	মা’রা ছেলেদের ক্ষত মুছে দিয়ে
6b17e45a33	29bab	এই সংগঠনের সাথে
6b17f3683c	03284	রবীন্দ্রভক্ত পাঠক
6b18339bbb	a06a1	১৯৩৬ সালে ১৬ ডিসেম্বর ভারতের বর্ধমানের কেতু গ্রামে জন্মগ্রহণ করেন মাহমুদ উন-নবী।
6b183af744	eecdd	ফুটবলের দেশ ব্রাজিলের সঙ্গে
6b18805533	86b1b	পৃথিবীর নিকটতম
6b193edab0	bfac7	ত্বকের নির্জীব ভাব কাটিয়ে
6b1971563e	d3e06	প্রতিযোগিতা চলছে
6b198ee691	db735	জেলা বিএনপি
6b19b46904	948d3	গভীর রাতে
6b1ab2265d	a274b	ইংলিশ প্রিমিয়ার লিগের
6b1be69f59	c11b1	বাতাসে ভেসে আসা
6b1c79fe39	8845d	কালো মেঘ
6b1cdb0df8	e754e	যারা চাকরি খুঁজছেন তাদের জন্য আগামী সপ্তাহটা খুবই শুভ।
6b1e8b537c	a06a1	কাস্ট করতে চেয়েছিলেন
6b1e9f8bf4	17ca1	আমাদের টিমে সাকিব ছাড়া
6b1ee2d5d6	d41be	সোনাগাজী থানার ওসি আবু জাফর মোহাম্মদ সালেহ জানিয়েছেন, নিহত এবং আহত ব্যাক্তিদের রাজনৈতিক পরিচয় জানা যায়নি।
6b1ef37fa0	82926	হওয়ার কথা বলা হচ্ছে
