5200cd1319	d3e06	মাটির পাতিল ফুটো করে
5200d46e26	f600a	শুরুতে কিন্তু পিছিয়ে পড়েছিল
52011d81f6	54cdd	এ বাড়িতে ফেরত এনে
520171f03d	880ae	গ্যালাথি করা হয়
5202426313	b8bf0	এখানেই দুই প্রতিদ্বন্দীর দেখা হয়
5202b22654	e6d83	ওদের ছায়াও কেউ মাড়ায় না
5202b6639c	cc9fd	বিষয়টির প্রতিবাদ করে
52030d9f0a	4486f	বেশ বুঝতে পারলাম
5203406319	e6752	৫টি মেডাল লাভ করে
52034b1bae	95907	সরাসরি নিয়োগের কাজ
5203836a04	88654	ডেমোক্রেটিক এলাইয়েন্স পার্টিকে
52042f8319	07660	শাবানা আজমী
5204533740	ff1c3	তারা আগের থেকে
5204756b19	e2ba2	সুকান্ত ভট্টাচার্য
520478747c	29f8c	কাস্টমস কর্তৃপক্ষ
5204b49ed9	a43b5	পোলিও নিয়ে আমেরিকায় আতঙ্কের চিত্র তিনি দেখেছেন।
5204d7a3e5	ad050	যা গত বছরের
52058807c6	32998	ঠিক কত
520655f602	d1b12	ঈদুল আজহাকে সামনে রেখে
52065b9f2a	92bd8	বন্ধ থাকে না
5208606d34	06736	বার বার উচ্চারিত হওয়ায়
52088fde64	14816	হরতালকে কেন্দ্র করে
5208965e21	42898	না-কি অন্ধতাই জীবন
5208f31fb4	b9b98	চীন এবং যুক্তরাষ্ট্রের অবস্থান
520b1d85ac	f2b7d	একটা পাথুরে গুহায়
520b24c938	c2082	পড়ে গেছে
520b484dc6	23b22	এত চোখ কান
520b693ce3	d2355	চৈতালি জল এনে দিল
520ba32cf9	57d54	উভয় সংকটের মুখোমুখি
520bf7cc45	d136b	শব্দের বেইজ উন্নত হয়
520c52a764	9d46f	মৃত্যু হার হ্রাস
520c5f2bdc	86b1b	একই সময় নগরীর
520c949915	c9c19	কারেন্ট নিউজ
520cb41c54	745b7	জবানবন্দি দেন তিনি
520cd9097d	4164f	জয়ন্ত চট্টোপাধ্যায়
520d226aa6	194f5	তাদের এখন পারামাণবিক শক্তি ও ক্ষমতা আছে।
520d6d9dd5	29d44	মূল মামলাটি যিনি করেছিলেন
520d8aec79	59c73	সবজির মধ্যে
520e0bc9d2	d71a3	যাবো কী করে
520e35a44a	39293	পুরোদস্তুর একজন শয়তান হিসেবে
520e61929d	66c6b	দেশের ধারা কতক মিলিয়াছে
520e708276	e6203	অনেকটাই ছিল
520e7b4327	6da0a	এই প্রশ্নগুলো
520e8b7f8c	420df	মধুর মূরতি
520ebc1112	3ccf1	এর ফলে শত্রুর সংখ্যা
520ed1ba67	da6f0	এ সমস্যা মোকাবেলা সম্ভব
520f15fecc	14d25	তবে মার্কিন যুক্তরাষ্ট্র
520f218e3f	92f59	তোমার কমরেডদের সঙ্গে
520f7f3fbc	92f59	আচ্ছা, বলতো কী হয়েছিল
520fc6b6fa	ff1eb	২৪২ কোটি লিটার
520feaf2f1	9d398	কর্তৃপক্ষের কার্যকর উদ্যোগ
521026ba77	943de	বর্তমানে পাসপোর্টসহ বিভিন্ন ক্ষেত্রে অনলাইনে আবেদনের সুযোগ রয়েছে।
52105a2817	5d12f	দক্ষিণ সুদানের সেনাবাহিনীর মুখপাত্র জানিয়েছেন এখন পর্যন্ত যুদ্ধবিরতির কোন লক্ষণ দেশটিতে নেই।
521063a0d8	4e900	এর খিলানসমূহের আকৃতি
521076fb4b	b9122	কমপক্ষে ১০ থেকে
5210770c76	7ec1c	নানির গা থেকে
5210b047ec	75936	সবাই অপেক্ষা করছে
5210c7a378	3b1f7	বৃহস্পতিবার এশিয়া কাপ টুর্নামেন্ট
5211617b51	ac0df	কম করে হলেও
52124a4700	1e7c6	মাছ
5212644807	77f82	পুলিশ উদ্ঘাটন করতে না পারলে
5212730fd8	db735	আরও স্পষ্ট করল
5212bc764d	8143b	ক্ষয়ক্ষতির বিবরণ পেতে
5212f44107	d9817	আউলিয়া দরবেশদের
52134ba86c	bf530	মন খারাপ করে
52136eefaf	29bab	তাদের ইখতিয়ারে নাই
52139d8282	0633a	হাসপাতালে পাঠায়
5213bf2493	54e68	দেখিতে পাইল না
5214514b40	91230	বাংলাদেশের আইনশৃঙ্খলা পরিস্থিতি নিয়ে
5214a8ca7e	b9b98	তিনি আর পোশাক কারখানায়
5215061278	49543	নতুন কোনো গুরুর সন্ধান
521510507d	c8f7f	অভ্যন্তরীণ পর্যালোচনা
521522ae13	e6752	ছয়ের দশকে
521528bd93	8ba2b	জানাজানি হয়
52159be6a3	c3cca	তার আমলেই গাজা ভূখন্ড ছেড়ে চলে আসার সিদ্ধান্ত নেয় ইসরায়েল।
5215e950b4	91223	বৃহস্পতিবার দুপুর থেকে
52168db88b	4bede	২১ ম্যাচ থেকে
5216f40ecb	b7be9	একটি রাজশক্তির সঙ্গে
5217592ed5	8cf95	প্রবাদ বাক্য
521767a2f9	66dcd	শাসনকালে রচিত
5218189f05	b8bf0	পূর্ববাংলার সমস্যার
52186baa2b	730c3	বাধ্য করে
521882bf3d	18a52	শ্রীলঙ্কার কলম্বোয়
5218a5f878	16e96	কর্মসূচি পালিত হয়
5218bd4ab8	b8bf0	কোনোদিন প্রথম পর্যায়ের
5218cbafc1	fd880	পল্টন থানার ওসি
5219e5eadb	cc18a	সেখানকার দরজা-জানালা
5219f2eb81	693cb	দিন চলার মত
521ae2d6df	323f1	১৫-২০ দিন বাদ দিলে
521aeca77a	12702	দক্ষ বিশাল কর্মীবাহিনী
521b9ef55c	e9759	অনাবশ্যক অলঙ্কার
521bd0ed32	65e30	একটি সেনা ক্যাম্পে
521c1b40e8	eaa7a	৮ কলাম বাহিনী
521c574fb1	2aecc	জোলিও কুরি দম্পতি
521ca03da5	f7a7f	বিহারে বসবাসরত
521cb550f2	4c555	কঠোর সমালোচনা করে
521ccfff44	3fce2	এখন পর্যন্ত মন্ত্রণালয়
521cf2b1a0	ad050	তবে বর্তমান সরকারের সময়
521d464f57	a274b	তাদের দেশের জন্যে
521d8e8e24	3f493	ঘরের কাজটাজ করে
521da5afe2	95f83	হাজির হয়ে অথবা আইনজীবীর মাধ্যমে
521dcad72f	7b60a	স্থূলতার ক্রমবর্ধ্বমান
521e0b0b58	db735	ক্রোশের পর ক্রোশ যাও
521e404d65	23b22	সালমান বেশ কিছু ভালো কাজ
521e42ad8b	35ef3	মৌলবি এসে
5220336ad5	16877	একটা বিরাট তোলপাড়
52205e2c45	f1240	চলতে দেয়া হবে
5220f4bc6b	39293	তার মধ্যে কোনো
52211388a6	388c9	কিন্তু কোন কিছুকেই চিন্তা দিয়ে
522175c4a1	a3a6d	আমার চরাচরে তাই
5221a0f514	6e8cb	তিনটি নাম্বার পাওয়া গেছে
5221d62dd8	46d49	তিনি কিছুকাল কলকাতায়
5221ef6377	153c9	তৃতীয় ব্যক্তি হিসাবে
5222020c5b	1de6c	তাদের কর্মসূচি চলবে
52223ce794	d2faf	কেবল কুকথা কুকর্ম ও কুলোক
5222672119	cb627	বেশ কিছু জায়গায়
52227ada7e	404ee	মাত্র ৪৯ বছর বয়সে
5222dc0f43	66b3c	ছবিটির নাম
5222e18a75	18a52	স্বাধীনতা-পরবর্তী
5222f8a110	4bd2c	নিহত হলেন
522315016c	ea5be	আশাবাদ ব্যক্ত করেন
5223171883	dba43	মাই ডেট উইদ এ বিটল
5223889e0e	3f875	বিজেপির শীর্ষ নেতারা বলে এসেছেন
522443c07b	c5479	বিজিবি সহ অন্য বাহিনীর
5224653ceb	7a227	প্রতিবন্ধকতা সৃষ্টি
5224f61bd0	69449	আল-কায়েদার ভাবাদর্শে উৎসাহিত হয়ে
5224fa9673	6e6fa	মানিক পীর একটি সাপ পাঠালেন
52251070ea	cb1aa	এরপর ওসি তাকে
522518461b	cb842	আমির-হিরানি জুটির
5225b59736	ff1eb	কম ভালো নয়
52269f5640	49543	হুমকি বিবেচনা করে
52271f7165	dae88	বড় মামা শুনে
522731b9d5	d1a48	সম্মানসূচক পদবীর
522748dc89	a06a1	পরিদর্শনের সময়
522750f2a1	15a75	উত্তর দিলেন
5227aa4565	4dd57	হাতবোমা বিস্ফোরিত
5227fd5243	6d129	এ বিষয়টিই
52287fd085	eecdd	নায়িকার কথা শুনে
5228a13d72	38d3a	আমি প্রোডাকশন
5228e66e52	1652d	এই তাৎপর্যেই বিচার্য
522908eadd	5d12f	সবাই মিলে গালাগালি করে
5229a05c0d	db735	সুগন্ধি প্রদায়ক উদ্ভিদ
522ac64bfa	b8ed8	এটি মনে করা অন্যায়
522ba84c56	71522	পাঁচজন ডাক্তারের একটি দল
522bc19e60	2fe3c	ইউরোপের মাটিতে
522bee1ecb	2aecc	ওরা ক্রমশ গভীর থেকে গভীরতর
522c0a2c0c	287bd	তবে তাঁহার চরিত্র
522c7deebf	92bd8	মিতা নূর
522cabecf5	c958a	ধরপাকড়ের আতংকে
522cb493ad	c3cca	কিছু অনিয়মের অভিযোগে
522cb98cbd	590d0	তারা একশ’ টাকা
522ce1bbcb	3fb17	বালসুব্রহ্মণ্যমের মতে
522d0ce695	086dd	জ্বালানি বিশেষজ্ঞ
522d215d71	7d004	প্রকৃতির অজস্র সম্পদ
522d37a104	c0965	ভাষণ দেওয়ার সময়
522d871d60	4ea73	উড়াইয়া দিতে চাহিলেন
522da9bff1	d1b12	আমার বিরহ
522dd57be8	1cb75	বালকের বয়ঃসন্ধি
522e6134b3	e43d4	ব্যাপকভাবে পরিচিত
522e8ff114	c463d	নিশ্চিত করাও সহজতর হবে
522f49784d	ad050	১ জেলা প্রশাসককে
522f9ac74f	c0d65	সেনাবাহিনী মোতায়েনের
522fafbe24	f658d	যা সহায়ক হয়েছে
52304aac5b	f0f95	মৌসুমীর কাছে গিয়ে
5230953c3c	69449	রাজশাহী মহানগরীতে কর্মরত
5231223270	536d9	মামলা বা অভিযোগের বিষয়
5231425ca1	28bb3	বিনা বাধায় বল পেয়ে
5231dcc855	16877	ক্যামেরুন
5231e88c5c	cb842	তিনি দেশটিতে ফিরে গিয়েছেন
52326127c2	60b9d	ফেলবে উপড়ে
52337e7440	52f27	অপরদিকে রিমান্ড আবেদনের স্বপক্ষে
5233d49ede	e9589	এক বিরোধ আর অশান্তির বীজ
52340f6542	fcc89	ম্যানেজার ও ক্যাশিয়ার পালিয়ে যান
5234678594	d1a48	গানটাতে একেবারে
5234882027	b9122	নতুন কাব্যরীতি
52348ecafe	2f547	দলের কর্মীদের দুজন নিহত হয়
5235171d97	68549	বোমা পড়ার
523528178d	7297e	অবতীর্ণ হইলেন
5235329d1a	4ea73	কোন নিষেধাজ্ঞা
52359e07af	4ea73	তদন্তের জন্য
5235a7901a	c1e30	এক ডাস্টবিন থেকে
523613cd75	dafb6	১ দশমিক ২ মাইল
5236b02f1f	46da4	৪০ থেকে ৫০ হাজারের মধ্য
5236f4794d	2ee04	লন্ডনের সিটি ইউনিভার্সিটির
52378c15ab	f280a	বড় একটা ধাক্কা খায়
523794aa37	2f547	সাংবাদিকদের মাধ্যমে
5237950378	69d9a	৮০ টাকায়
5237a57c1a	ea5be	রাজধানীর পাড়া-মহল্লায়
5237cb6f42	cfc65	সবল করিলে হয় না
5237ddefc4	cc9fd	আমার কাপড়
5238141116	ff0fe	রাষ্ট্রপতির মৃত্যুতে
52386fbdc2	976b1	মোটা পুরুষরা
5238777bd2	239f7	তিনি এ নির্দেশ মানছেন না
52388f0cb4	e50f1	অপুর পথ ধরেই
5238b45dce	8c07c	তার বাবা জানিয়েছে
5238e20f55	ac904	সেনাবাহিনীর বিরুদ্ধে আন্দোলনে
523922424a	c4973	উন্নতির পথে হুমকি স্বরূপ
523982a471	b9122	তারা উপাচার্যকে
523a090a73	4c1eb	ওই বছরের সেরা চলচ্চিত্র আরগো
523a31cf42	b5fdc	অনেক দেশের চেয়ে সুবিধাজনক
523a7d0cb2	536d9	এখনো উত্তাল অবস্থা
523ae57805	37e17	আপনার ঘরে রাখবেন না
523b26c2f6	2aecc	রাগ প্রকাশ পাচ্ছে
523b91ed93	d9081	রাজনৈতিক নেতাদের
523bb94d07	5dec6	রেখে দিচ্ছি
523c43f1a5	80539	বালিতে আগামী ৩ ডিসেম্বর
