0400051bb1	d2355	স্তনের টিউমার দেখাতে
04003a79d7	b8bf0	চট্টগ্রামের কালুরঘাটে অবস্থিত
04006bf125	e50f1	একদিনে ১৫ কোটি টাকা
0401250f75	98b81	এককোণে রাখিয়া দিলেন
040167ffca	b8bf0	কিছু নেই
04017bbc95	ea8fa	আবারও কিছু ভোটারকে
0401802ff0	4486f	হিসাববিজ্ঞানের উত্তর
0401d2e4f3	c958a	খচিত থাকে
0401dab46f	430b2	সে ৭০ ডলার
0401dbd7c8	3284	ব্যাখ্যার প্রতিক্রিয়া
0401f62091	194f5	এসব ছবি তাঁর
0402202dd2	b2a62	ভাই সাইফুল ইসলাম রাজু
0402301a9b	aab0f	পরে আমি ওনার সঙ্গে
0402508ccc	ff1c3	প্রখ্যাত ঔপন্যাসিক
0402618047	80505	গোঁ ধরলাম
040359cd97	1a2a1	৫ মিনিট সিদ্ধ করুন
0403894d05	1E+091	উদ্দেশ্য আমাকে পরিচয় করিয়ে দেবে
0403d06868	3d17c	হরতালের শুরুতে
0403ec6b28	d711f	ক্যাপসিকাম ৪টি
04040aedad	f2097	পুলিশের এ কর্মকর্তা জানান
04040c0c2d	60b9d	রসনা পরিতৃপ্ত করিতে
0404e45d2e	0606d	রাজধানীর বাজারগুলোতে গত এক সপ্তাহে পেঁয়াজের দাম দ্বিগুণ বেড়ে এখন প্রতি কেজি ৭৫ থেকে ৮০ টাকায় বিক্রি হচ্ছে।
0405f14d0f	1cb75	বুড়িগঙ্গা থেকে শীতলক্ষ্যা হয়ে
0406bff2b7	ad98d	রাজনৈতিক দলগুলোর মধ্যে সংঘাত
0406db1985	e9589	এখনই তা
04070dfe15	b8ed8	লাখো মানুষ
04074ab680	bfac7	রেলের কর্মকর্তাদের নির্দেশ দিয়েছেন
04077428c8	a274b	উড়োজাহাজ দিয়ে
0407cda2d2	693cb	জোঁক করছেন তিনি
04084292ee	ca088	মোহাম্মদপুর টাউন হলের কাছেই
04088e21f6	404ee	রুশপন্থি অস্ত্রধারীদের ওপর
0408df438e	69449	ভোটকেন্দ্রগুলো ঘিরে নেয়া হয়েছে
040911bebf	8a46d	আমি শামসুর রাহমানকে বলব
0409246964	ca831	ফাইবার অপটিকস
040934dac3	dfefa	সোনাগাজী
040999abe4	8c120	গ্যারেজের দিকে ফিরে গেল
0409bfccac	31f09	ভুল করা হয়েছিল
0409d5063a	7f71c	কুলা
0409ea21d1	95f83	সফল টমেটো চাষিদের বাড়িতে
0409f00f52	ff1c3	এসব রাসায়নিক
040a10d214	49543	প্রচুর আয় করা সম্ভব
040a1f6828	e754e	কোনো পার্থক্য তৈরি হবে
040a6892ab	d0c70	অনুরূপ নয়
040a9307d2	93080	ও পুলিশ বাদী হয়ে
040b33168d	c11b1	মনোনয়নপত্র দাখিলের শেষ তারিখ ২রা ডিসেম্বর।
040b97f42c	f143a	সরে গেলে
040bac0fff	7ec1c	সুরঞ্জিত সেনগুপ্ত
040bf98464	64092	বাজাজ মটরসাইকেল
040c1aff73	f280a	স্বদেশ চিন্তার শিল্পসফল সমন্বয়ে ঋদ্ধ
040caa0dd0	3fce2	প্রথমবারের মতো
040d7b8768	49543	তার মেলে না
040e5db63c	9065c	কোফি আনান সহ আফ্রিকার বেশ কয়েকজন জ্যেষ্ঠ নেতা এমন প্রস্তাবের সমালোচনা করেছেন।
040e80ea9f	195f7	সুতরাং তাঁহারাও বেদে আছেন
040ea06341	09f0d	সঙ্গে তৃতীয় কমপোজিট স্টেজ
040eecdb9a	d41be	নির্বাচন কমিশনের পক্ষ থেকে
040eef69e9	6ab59	রেশমা তাদের হাসপাতালে
040f466b73	e2c11	এক সতর্ক প্রতিক্রিয়া দিয়েছে
040f7a66a1	9d398	জন সিনা
040fab5dd6	1652d	রমণী যীশুখ্রীষ্টের
041154dddf	ee7b2	বিচ্ছিন্ন একটি ঘটনা বলে
04118e67a4	79b06	বাংলা বিভাগের পুরনো সহকর্মীদের কাছে
0411de442c	32b3e	সাভার বাসস্ট্যান্ডের কাছে
04123ec63c	404ee	সন্ধেয় ফিরে এসে
04125103da	14d25	ঐ সেই চিল আসছে
0412632695	9d398	পোকাটি কয়েকটি জায়গাতে
0412c366db	a46e2	দুদক থেকে নোটিশ দেয়া হয়
041322ee47	4a67e	দৈনিক গার্ডিয়ান প্রতিবেদনে
041326972a	13b6a	অন্য দলগুলো পেয়েছিল
