c200240d57	1b359	যদি সময়মত ফাইলগুলোর.
c200442831	4164f	গঠিত কমিটিও
c200db140f	7351e	৫৮ রানের চমৎকার ইনিংস খেলেন
c201304087	efc0d	সে সময় সেখানে থাকা
c2013aa676	4f450	পুরোহিত-শ্রেণী ৬২
c201904fe9	f837a	রক্তবাহদের চতুর্দিকে
c201ad3f09	5b13f	পাকিস্তানি তালেবান নামে পরিচিত
c201bfd91a	4c555	এই খাতের জন্য
c2023cc7f0	7ee9b	একটা বাড়ির দোতলার রুমে
c202aea907	7027a	তা উল্লেখ করেন এভাবে
c202ee79fa	086dd	সংগ্রহ করা হয়েছে
c20300b096	db181	বৃহস্পতিবার ভারতীয় ক্রিকেট বোর্ড
c2032f52f1	c7705	তাহার নিকট হইতে
c203a23cef	f2b7d	কথা ছিল আমাদের
c2041492ca	ced74	গত ৬ই এপ্রিল
c2041fb73f	e6203	ব্যাংকের মূলধনসহ
c2046721bf	95907	তেমনি কৌরবদিগেরও জীবনবৃত্ত
c2048fb18f	d0c70	রাজনৈতিক অঙ্গনে ব্যাপক
c204a8b4bc	5cb47	গৃহস্থালি কাজে এগিয়ে যাবেন
c204b070e1	ad050	খুচরা কজন ক্রেতার সাথে
c2050394b5	35ef3	কিন্তু শেষ পর্যন্ত
c2052af76a	28bb3	ছয় মাসের শিশুর খাদ্য
c2053b8d97	eb179	ট্রেড ইউনিয়ন থাকলেও
c20557ad50	e9759	রফিউর রাব্বির শায়েস্তা খাঁ
c205f4efca	6e6fa	বেশিরভাগ এলাকাতেই
c2060b3253	520fb	এটা তাহার ভাল লাগিল না
c20616ce12	fdcba	ব্যবস্থাপত্র ছাড়া
c2071c7d34	72649	প্রতিষ্ঠাতা কে
c207d18fae	e3f89	ওই তরুণীর
c207f1f8b3	16877	কোনো লাভ হবে না
c208185a7a	5dd61	আরবিতে এই তারাটি
c2081b6956	c9c19	উনার রসসমৃদ্ধ বাক্যবাণে
c2085af6f8	b9122	শুধু জ্যাক দ্য রিপার নয়
c2087faeea	2b883	অন্যরকম রূপ নিয়েছে
c208a25723	d71a3	গণতন্ত্রের চর্চার পক্ষে নয়
c208ce1074	5d80e	অক্ষর শব্দের
c20a4f3161	9642e	চিমটি কাটল গ্রেগরি
c20a5fc1ad	577fa	অপহরণের ঘটনার পর থেকেই
c20aa2bf87	bdd05	তাহার একটি ছেলে হইয়া
c20aafa86b	195f7	তার বোনকে উত্ত্যক্ত করে আসছিল
c20acf4c2e	0bace	পুলিশ ১০ দিনের রিমান্ডের
c20b5ebd42	6aac8	কোন একটি
c20b88b763	9fa90	তারপর আমার
c20ba1c521	dfefa	এমন কথাই রয়েছে
c20c1a4be4	f7a7f	আজ রবিবারেও দলের মহাসচিব গিয়েছিলেন কিন্তু সেসব গ্রহণ করা হয়নি।
c20c7dacbb	ad2a0	রচিত গান কোনটি
c20cb73563	8c120	মার্শেস এটি ১৯৬৭ সালে
c20cc5993b	15a75	সর্বোচ্চ দুই মেয়াদ
c20cfbb519	86b1b	বয়সী নারীদের
c20da4e48c	4fd66	বেসন
c20dd66e80	c3cb3	আফ্রিকার দেশগুলি
c20e9d9cb7	35ef3	এ শত্রুতা কবে শুরু হয়েছিল
c20eea2a75	3c897	নানা বাধাসত্ত্বেও
c20f233271	e3f89	অক্টোবর ৭
c20fa3ad75	c0965	মা হচ্ছেন
c20faa2564	06736	আত্মহত্যার চেষ্টা করেছে
c20fbef170	66b3c	তবে তাঁকে বিষয়টি
c20ff88305	17dcd	আগ্রহপত্র জমা দেয়ার
c2106dde48	3d17c	তারা যেন একটু হলেও
c210ec5963	717bb	ওই বছরই ম্যান্ডেলা যোগ দেন
c210f2b598	e7230	এ বিষয়ে কথা বলার জন্য
c21105483a	ef915	পৃথিবীর অর্ধেককে
c2117bdaf0	e2ba2	গাবতলী সরকারি প্রাথমিক বিদ্যালয় কেন্দ্রে ১ হাজার ৮৬২ জন ভোটার রয়েছেন।
c211b18a0c	3ccf1	নাম পরিচয় চেয়ে
c2123615d3	bdd05	লালা ঝরতে দেওয়াই ভালো
c212a0ba2f	ce180	অতিরিক্ত পুলিশের
c212cfe762	29f8c	টি-টোয়েন্টি খেলেছে ভারত
c212efa273	66c6b	আমজাদ জাভেদ সর্বোচ্চ ১৯
c212f1e7d0	698a4	অপেক্ষায়
c214360bcf	536d9	দারুণভাবে সফল হয়েছেন
c214695587	c4973	ইহা ভিন্ন আর কয়টির
c214fa002f	4fbd1	একজন প্রযোজক হিসেবে
c2150333c3	a06a1	উত্তেজনা
c2151423bd	b4ea7	বিরোধীদল তার কাছে গেছে
c21530de74	0d9f1	কার্যকারিতা প্রচুর
c215879f60	b5fdc	ও দাম বাড়ার একটি
c21663b0c9	8c120	জাতীয় ও দলীয় পতাকা
c216bead36	aab0f	সচিব হিসেবে
c216cce10c	616ec	আলোচনা সভা ও দোয়া মাহফিলসহ
c216d5cd98	e2f12	এই মূল্য বৃদ্ধির কারণে
c216e50e6e	7ed14	কেউ যদি পাঁচদিনই যেতে চান
c2174ad82f	c749e	তবে আমার তেঁতুল ফুরোতো
c217502be9	b8fe1	মধ্যবিত্ত পরিবারের ফারজানা
c21783dc73	c2082	অনলাইন স্টোরে ঈদের সম্ভার
c217c09794	42898	তদন্ত শেষ
c21801c321	d82d9	যাচাই-বাছাই করছেন প্রভা
c218a2559e	1c618	৭০৫ জনকে
c218ad99e6	3b1f7	আটক হয়েছেন
c218cf720b	d8c80	তিনি শীর্ষস্থানীয়
c21905f5f7	bd576	তাহলে বোন দৌড়ে পালাবে
c2190e1213	c1e30	ভাষ্যগুলো বাংলায় সংগীতবিষয়ক
c21940f1dc	e68af	অসাধারণ এই রহস্য উপন্যাসটি
c2195e52f8	5dec6	মানববন্ধন করে
c2198e4468	baa02	সেসব ক্রিকেট-সাহিত্য বলেই গণ্য
c21a023f8d	49d63	আনসার এলেন
c21a869a02	db181	কিন্তু এ নির্বাচনের আগে
c21a9e280d	3bb15	যার ফলে
c21acbf77d	0744c	আমাদের মুক্তিযুদ্ধের বিজয়ের
c21b0a77a1	8cf95	১৮ জন
c21b0ef61a	43fc0	একটি গোয়েন্দা প্রতিবেদন
c21b2adbd4	e50f1	অনেক পুরুষই
