64008d8a6f	086dd	মিজানুর রহমান খান
64009c527e	b8bba	একই
6400a38300	66dcd	পারলে প্রতিদিনই একবার করে
6400f6559c	9fa90	তাবলিগ জামাত
6401e2fd1a	80539	বইগুলি ছিল
6401fd37ba	39293	সৃষ্টি না হলে
640218f319	9065c	যার ভেতরের
6402284a2e	cb627	মুহম্মদ মুস্তাফা কিছুক্ষণের মধ্যেই
640257152c	6c17f	অর্থ মন্ত্রণালয়ে রয়েছে
64027e5bcf	06ea3	জেনারেল সিসির বিরুদ্ধে যাবে
6402bf8b26	ff1eb	তথ্য কমিশনার এবং সমাজবিজ্ঞানী
6402f105b9	7b60a	আহত হল
6402f966bd	5e80b	দুর্ঘটনায় গর্ভের সন্তানকে নিয়ে
64037c191c	4164f	ভালো কিছু পাওয়ার যোগ্য
6403e1fd4a	28dfc	ঠকাইতে পারিবে না
6403e4b630	274ee	কথা বলতে হলো
6403f9c118	f600a	ইতালীয়,জার্মান,স্পেনীয়
6403fff97b	e6d83	না পুলিশ, না আর্মি
6404244df0	7351e	দাঁত ঘষার তো
640428cf55	17ca1	অভিনন্দন
6404609675	29f8c	পরে অ্যাম্বুলেন্সে করে
640494fdfd	66dcd	তার প্রেমের জীবন
6404e48584	93bf3	বিবিসির জিম রিডের প্রতিবেদন
6405314bf1	5354e	অন্নদাশঙ্করের অনেক লেখা
64053545f9	12702	বনাম সময় লেখকেই
6405467222	2d78f	পুতুলখেলা, ভৃত্য রাজকতন্ত্র,কারীগর
6405ae9e6d	1f733	সম্পৃক্ততার মামলা
64061b935f	75626	রাজধানীর একটি হোটেলে
6406e1cf46	e6d83	গ্রাম সম্পর্কে কাকা
64072b9db5	f837a	বিশাল অবকাঠামো নির্মিত হলেও
640751ba4b	d82d9	উদ্যোগ নেওয়া
6407f4ca8d	4f450	ইউএস আর্মি ম্যাটেরিয়াল কমান্ডের
640844d7ca	eecdd	বের হওয়ার সময়
64085ece87	29f8c	স্কলারি খুবই সন্তুষ্ট হয়েছেন
64087d78e9	d9081	গণেশ, ইঁহারা কেহই নাই
6408acb998	60b9d	যদি সুযোগ হয়
6408c0e43d	32998	ঢাকায় হরতাল সমর্থকদের উপস্থিতি
64090a4926	31f2a	বিচারের সম্মুখীন
64092e92ab	88654	ভারতীয় একটি টেলিভিশন চ্যানেলে
64093e94e8	1f733	ম্যাজিট্রেট মো. মাহাবুব জামিল
6409419322	2ad74	প্রথম থেকেই তারা চেয়েছেন
64094bf63c	d8c80	পরিচয় গোপন করে
6409564f2e	7aed9	তত্ত্বাবধায়ক সরকার ছাড়া
640993abc8	acb88	উপস্থিত হতে হয়
6409994431	fcc89	তাঁর সফরসঙ্গীদের সঙ্গে
6409a58b3f	c11b1	বগুড়া সদর থানার
640ab2b33c	c11b1	বিএনপির কাজ মানুষের
640afc13a9	bcaa8	আক্কেল থাকলে
640b76d112	16e96	দেশটিতে শতাধিক মানুষ
640bbfbf08	a3a6d	পরিচালনার ক্ষেত্রে
640be29e69	8ba2b	কাজ করতে পারব
640c3379ff	194f5	ঝাঁপ দিলে
640cb6c6bb	13b6a	এটি ‘ভ্যাপিং’ নামে পরিচিত
640cddc848	5e80b	তার তাজা নমুনা
640ce1049e	33aef	রাজধানীর বাইরে
640d464281	c6848	অক্সফোর্ডশায়ার দক্ষিণ পূর্ব
640d8483ba	9b864	বিমান যুক্ত হবে
640db3c26a	91230	তবে সরকারের পক্ষ থেকে
640e3a90db	54e68	আলটিমেটাম দিয়েছেন কৃষকরা
640e67b56e	6c17f	আকরাম আহমেদ
640eabfcfb	b8bba	কেন বেছে নেয়া হলো
640fbe3c37	43199	গত ২৪ এপ্রিল
64109ca629	5b13f	পেট কমানোর উপায়
6410d2d58c	d2294	শরীফ
6410d33022	baa02	একটা মুগুরবিশেষ
6411782845	4bede	কণ্ঠস্বর ব্যবহার করে
64124842ea	b8bba	তাঁর হাম্পটি ডাম্পটি
6412e54157	5a61c	বছরের পর বছর
