ea000146a0	80be1	উপস্থিত দর্শক-শ্রোতা
ea006eb42e	98b81	সুলতানের কাছে
ea007f1852	698ff	বর্তমানে অবসর নিয়ে
ea009acdaa	68549	এই হলো মানব সমাজের
ea00a048b9	c3cca	ডক্টর আহমদ শরীফের সম্পাদনায়
ea00d2c93c	9d46f	অন্যতম সদস্য ড্রামণ্ড সাহেব বলেন
ea0152fb96	db735	গর্ভবতী মায়ের পুষ্টি
ea015aab80	2f547	প্রশ্ন হচ্ছে
ea01d0c138	e31e7	বই নিয়ে থাকতে পারতাম
ea0220605e	bcaa8	অনেকগুলি উপাখ্যান রয়েছে
ea024ef014	1f733	সাজা দেওয়া হয়েছে
ea029cefee	2ac82	ভোটকেন্দ্রগুলোকে লক্ষ্য করে
ea0391351d	e6d83	সল্যুশন নামে
ea03a35aee	b00ba	শুধু আমি আর তুমি
ea03d94986	7d004	কিন্তু তা বেশ কষ্টসাধ্য
ea03f571d4	e55de	অন্যদিকে এই জয়ে
ea04720eaf	351dd	দুর্ঘটনার সময়
ea04999664	3faff	অমল সেন
ea051f45ee	37e17	শূন্য হয়ে যায়
ea05585bf3	b8bba	পুরনো তথ্য মন্ত্রণালয়
ea057f6aaa	577fa	গনিত বই
ea05802c08	b8bdd	এক বছরের জন্যে
ea05c7fe9a	f83df	তার গান দিয়ে
ea06598ec6	23b22	তাই সূর্যের কাছাকাছি
ea06d60d17	aabe7	পুলিশ হেফাজত কর্মীদের ছত্রভঙ্গ করতে রাবার বুলেট, এবং টিয়ারগ্যাস নিক্ষেপ করে।
ea06e49829	e6203	আর্য-ব্রাহ্মণ্য রূপান্তর
ea0754f8bd	e9589	নিহত ছাত্রদল কর্মী
ea08325aec	4164f	ভারতের বিপক্ষে হারের পর
ea09285ae2	58998	৪টি করে টিম
ea0965753f	b618b	নিতে হচ্ছে ভোক্তাদের
ea09757ceb	d2faf	মুখ খুলতে পারছেন না
ea0a2d7472	18460	তবে ওরূপ
ea0a5886d7	2d78f	আমার বিপরীতে অভিনয় করছেন
ea0a7f0844	536d9	বেলা ১২টার দিকে দৈনিক বাংলা মোড় এলাকাতে পুলিশের সাথে হেফাজতের কর্মীদের সংঘর্ষ হয়।
ea0ae92b3a	64092	বেশ বিব্রতকর অবস্থায়ও
ea0b125cfb	f600a	প্রতারণার ধান্দায়
ea0b1eed68	11bd2	দ্রুত ব্যবস্থা গ্রহণ করা হবে
ea0b99b6a4	79b06	আমার আছে জল
ea0bfac117	2840e	ঢাকার রাজপথে
ea0c0bac7d	e3d8b	সত্যিকার চেহারা নিয়ে
ea0c10575e	5dec6	সুস্মিতা সেন
ea0c2ee9b0	38ff0	একক আলোকচিত্র ক্যাটারিতে
ea0c3ced70	9065c	ছত্রাকের প্রভাবে খুশকি হয়
ea0c598709	42898	কেশর-দোলানো
ea0c6669a5	e9759	জুলাই ২০০৫ থেকে
ea0c7a424a	ee994	কে বলবে প্রথম বই
ea0d9a7e24	86b1b	এক ভ্রাম্যমান ক্লিনিক
ea0da6a6f3	3fb17	সময় এসেছে
ea0e236820	21e54	খোদা তাঁকে
ea0e470e4f	e03ce	বৃদ্ধা এবার ভাশুর আর ভাতারে
ea0e5e78e4	e03fc	মার্সেলোর পাস থেকে
ea0f7290e8	8edea	জাতীয় ক্রিকেট স্টেডিয়ামে
ea0f8ad5e2	f2097	খুলনাকে আবারো
ea0fa430e4	d71a3	কবিতা নিয়ে
ea0fcc7106	355c1	বিশ্ব ভালোবাসা দিবসে
ea10c2c844	420df	করে দিতে হবে
ea10c32d73	2c9c5	আজ তাদের পরনে
ea10c55bd6	16cfb	অন্যদিকে একটি মানবাধিকার সংগঠন
ea10e07694	8c120	মামলা দ্রুত নিষ্পত্তি করার জন্য
ea11800cff	75f18	চিকিৎসক সংকট মোকাবেলায়
ea118beab7	7c272	স্পট ফিক্সিং
ea11addec3	49d63	আমাকে প্রথমে
ea12e51011	509f6	১১৫ রানের সৌজন্যে
ea132b456f	590d0	গঠন করা হবে
ea134bbc08	6aac8	পুরুষেরা খালি গায়ে
