08000eb5ad	121bd	সবচেয়ে ক্ষুদ্রতম জনসংখ্যার
080043b07a	21e54	মোট ২১ জন
0800976ea9	491a5	মুক্তির দাবিতে
0800f55d90	68549	রাস্তায় কিছু পাঠকের উপস্থিতিতে
08016668ec	2d98b	অপরিহার্য শর্ত
0801c176fd	dae88	শিল্পী
0801e92eee	bdd05	প্রথম কোনো বিষয়ে
0801fede5d	18a52	এর মধ্যে সবচেয়ে উল্লেখযোগ্য হলো
080272b924	4c555	মৃতদেহ ভেসে ওঠার ঘটনাস্থল
08035031ab	6ab59	ঠেলতে ঠেলতে
0803a58ec3	aabe7	ম্যানেজার মোঃ নুরুদ্দিন
0803e176b6	cc18a	তবে সমস্যা হচ্ছে
08043a0e84	9813c	মালিক
08043cc78d	ff0fe	মানব সভ্যতার
080473ec26	76329	খুব শীগগিরই
0804828b97	ee852	ফলে কথা উঠেছে
0804e9f550	cc9fd	বেছে নেয়া হয়নি
0804f3f51f	3fc9d	সেই বিএনপি কিসের দল
0804f5c8e3	24f73	হরতালের ফলে তাদের
080501fe7e	88654	৪ পয়েন্ট
08066a34bc	0a87a	বিপুল লোক হতাহত হয়
0806701f53	77f82	তারপর থেকে
0806da945b	ee994	ইংল্যান্ড এবং নিউজিল্যান্ডের মধ্যে
0807268307	92f59	শাপলা ফুল
080740627c	80e98	রুবেল হোসেন
0807480bce	b78ec	দেশব্যাপী মারসেলের পরিবেশক
08074b05e9	06736	এক সময়ে
08077d7244	2b883	কাঁদানে গ্যাস
0807807817	536d9	কুয়ালালামপুর থেকে
08078982a4	ee852	৫ মিনিট পর ধুয়ে ফেলুন
0807ed6430	42898	ফয়স লেকে
0807f73168	ff1c3	ভারত বিরোধিতাও রয়েছে
08080cf326	ff0fe	উপজেলার রোয়াজারহাট বাজার এলাকায়
08087a278a	b08d0	আমি অনুরোধ করলাম
0808a2f2c0	16a17	খেলাধুলার বিভিন্ন ক্ষেত্রে
0809068cd5	c1e30	চিঠি
080a093532	bcaa8	এছাড়া বিভিন্ন এলাকায়
080a2120f1	809cd	নিঃশ্বাস ফেলছিল
080aa19e20	7df87	ব্রোঞ্জ পদক লাভ করেন
080adbec4a	7297e	আমাদের যেহেতু
080b0f91d0	25696	উড়িয়ে দিলেন
080b656e31	809cd	উলম্ব নিয়ন্ত্রণ
080b6cc242	ee7b2	অড্রে বিটয়নি
080bf83415	37d7e	শতপথব্রাহ্মণে, মহাভারতে
080c047e81	49543	দিবানাথ সেনের মৃত্যুর পরও
080d9ebc1e	91b16	ঘুরে আসি
080db73b38	b8bba	বাংলাদেশের স্বাধীনতা যুদ্ধের সময়
080e608a7e	e6203	যেখানে খুশি যেতে পারবো
080e832676	f4ba7	আমরা অধিক সহ্য করেছি
080e9aa9cb	ce629	দেখতে পাওয়ার সম্ভাবনা রয়েছে
080ee609a2	b2a62	মাল্টিমিডিয়া সংযুক্ত স্মার্টফোন
080f02bdbe	0d9f1	আবিষ্কার হবার পর
080fa2f388	3c897	২১শে সেপ্টেম্বর ২০১০
080fe35a74	a4750	মোতায়েন করা হয়
08100098ab	d1a48	দেখা
08103ad270	83c53	হত্যার হুমকি, ধর্মকে কটুক্তি
08107cc04e	0f047	সাধারণ শিক্ষার্থীদের
0811e8583b	28dfc	এখনকার তরুণ লেখক-পাঠক
081231f6eb	0f047	অর্থ নতুন
0812846c85	f83df	তিনি মাদক মামলায়
08128dc085	5d80e	তার ঠোঁট কাঁপছিল
0812dfd79a	18a52	দলটি গত কয়েক দিন ধরেই
0812fea202	967fd	ডি বক্সের মাঝে দাঁড়িয়ে
081379833b	d5f7b	তদবীর
0813ca8f05	4fbd1	তাঁর সঙ্গীত ও মিডিয়া জগতে প্রবেশ
0813cbdcb4	c0965	কলিকাতা অধিবেশনের
0813f41c35	14816	নিহত মিরাজ হোসেন
0813f4ac23	cd3ac	পরে জানা গেছে
08140e9ec6	a3a6d	প্রথমবারের মতো
081470b96b	44322	এবং নতুন কিছু সুবিধা
081488c5cd	77f82	মীর্জা ফখরুল ইসলাম আলগমগীর
0814a78645	2d98b	বগুড়ার উদ্দেশে সিরাজগঞ্জ ত্যাগ করে
08153c7bd9	577fa	কোতোয়ালিথানার ওসি এমদাদুল হক জানান
08158931b8	dba43	বিবিসি’র জন্য
0816792895	ee7b2	নিচু গলায় কথা বলল
081698b682	acb88	তখন অনেক কষ্ট হচ্ছিল
0817c66ce6	1a2a1	পরিবারের সদস্য সংখ্যা মোট ৮জন- তাই ইফতারের আয়োজন একটু বেশি।
081829905e	903fa	রাশিয়া
08189128af	8cf95	সেখানে অন্য কবির স্থান নেই
0818bc2d90	aa820	কিন্তু ২৮ বছরের মধ্যেই
0818f11203	d2d71	তাঁরা বাঙালী মুসলমান জনগণের সঙ্গে
0818fe29c6	9b864	ধাক্কা দিয়ে চলে যায়
081909465f	db181	সমর্থকদের ইস্তফা পত্র দেখিয়ে
08193e2aac	ef915	চলচ্চিত্র সিরিজে
0819b45476	2fc12	মরণোত্তর পুরস্কার পাচ্ছেন
081a85024c	08458	তাদেরকে আমি আমার চেয়ে
081b45aeff	c7a89	বিরূপ প্রভাব পড়বে
081b5e2068	d5f7b	গরিবের বাড়ি ঘর নেই
081b63ee5f	a916a	পরিকল্পনা রয়েছে তাদের
081ba0c4f3	2de86	চাকরির প্রথম ধাপে
081c076272	b52ab	মাথুরের একটি গান
081c578b67	d2faf	তাহলে তিনি এ থেকে
081d015e37	bfac7	কিন্তু ধ্বংস হবে না
081d2e827d	c6848	প্রতিনিয়ত বেতন কাঠামো সহ অনেকক্ষেত্রে
081d4df4e2	0606d	হাসিনের বাড়িতে আসে সে
081d890e66	1e7c7	অবিরাম ঘুরতে থাকা
081dbdc888	0f047	আরসুলা জলৌকা প্রভৃতি
081e10836c	8a46d	সংঘর্ষে মারা যায় এক বৃদ্ধ
081e92f920	7c272	চোখের সামনে সাদা শ্বেতপাথর
081ebbd9e2	5cb47	নববর্ষের নানা সংস্কার প্রচলিত আছে
081ee7cad1	f837a	তালিকা
081ef0db3b	ee7b2	তাঁর বিখ্যাত অস্ত্রশালা
081f176e72	287bd	সিদ্ধান্তে পৌঁছান
081f1c14e2	fd880	নামে কী বা আসে যায়
081f338424	66b3c	এক প্রকাণ্ড নদীর ধারে এসে
081f7aa4f5	0696e	কিছুটা দ্বিধার ছায়া
081fa62a61	3f493	কতটা গুরুত্বের সাথে নেয়
081fbf3e74	b8bf0	মধ্যযুগের সমাপ্তি হয়
08202cd667	29f8c	মান উন্নয়ন হবে
0820a81e46	f6e55	এসো মা ফাতেমা মাতা গো
082136532f	f9dfb	ভারতে একের পর এক
08214e4011	da6f0	একমত পোষণ করলেন
0821c2dd00	0606d	মেঘলা
0822d281ca	bc81e	এককথায় বলা যায়
0822e06d13	f2097	চেষ্টা করতাম
0823581d6b	e7230	উদাসীন ভাব
08236222ef	23b22	২০০৮ সালের ২৫ অক্টোবর
08236d2b8a	1de6c	তিনি তৈরী করে দিয়েছিলেন
0823aca724	3fb17	প্রায় তিনশো মাইল বিস্তৃত
0823b458b0	88654	তারপর দুই দিন
0823e93946	16877	সরি বলতে থাকবে
0824563e0f	38d3a	ডেডলাইন ২৫ অক্টোবর
0824c4f059	e55de	ব্যবহৃত হয়েছে
0825340e2f	f2b7d	আশঙ্কা রয়েছে
0825373457	09f0d	২৬ হাজার ১০৯ জন ছাত্র
0825eb2dfd	14816	নামে গণ্য
082619918b	880ae	বার্ন ইউনিটের চিকিৎসক
0826d4d92b	68ab7	টিসিবির প্রধান তথ্য কর্মকর্তা
0826d94fc4	7f71c	সরকার এ কমিটি গঠন করেছে
0826e481f2	e9fa7	তিনি জানতেন সংযোগটি অবৈধ
0827761b5d	cc18a	হত্যা, চাঁদাবাজি, সন্ত্রাসীসহ
082794c6aa	75936	পাকিস্তান আমাদের ২৯ ধাপ নীচ
0827fae44b	bcaa8	এই স্মার্টফোনের স্ক্রিনের মাপ পাঁচ ইঞ্চি
08280242f2	c41d8	পরিকল্পনা নিয়েছে ১৮ দল
082811e1f4	f600a	সব সময় সহায়তা করে আসছে
0828405dfc	efc0d	ভুলভাল মন্তব্য করছেন
082853e4f1	d5f7b	পরিচয় ধরে রেখেছে
08287039e1	9d7bf	কবিতা রবীন্দ্রনাথ ঠাকুর
0828cbf79e	28dfc	দুর্বৃত্তায়ন বন্ধ করা
0828cf6ceb	442b7	নিয়মিত প্রাকৃতিক নির্যাসে
08293176c3	e55de	সাভারের পক্ষাঘাতগ্রস্থদের
08297be7a7	b08d0	ক্যারিয়ারের দিকেই
0829e7bf7a	bd576	মঙ্গলবার বিকাল ৪টায়
082aa63188	8edea	কয়েক হাজার আহত হন
082aa65bc5	7ed14	অপিওয়েড মস্তিষ্কে
082b3cf888	f2780	নতুন করে প্রেম
082b748a0e	4f450	পাত্তা না দিয়ে
082b8713c7	e89bb	তবে পণ্যের দাম
082bb0b147	2909b	এটাও ঠিক যে
082c005c11	16a17	২৩ জানুয়ারির মধ্যে
082d0edc4f	8ba2b	চিকিৎসকের পরামর্শে
082df8e894	e6752	হিন্দী মুভি ডাউনলোড
082e1fca9a	9d7bf	অনুসন্ধানে এ তথ্যের
082e39e9fc	b78ec	এবং উদ্বেগের জন্ম দিয়েছে
082eaa6619	355c1	স্ত্রীপর্ব আরও ভীষণ
082ed56232	31f09	আজ জয় বাংলা
082f909b80	cb842	না গরুর বাছুর আনতে
082fc7e324	71522	ব্যাপারটা একেবারে ভিন্ন
083004cb4a	79b06	বারবার বিদ্যুৎ বিভ্রাট
0830917f1d	7ee9b	সরকারি ছুটির তালিকা
0830944c45	98b81	সেটাও ছিল
0831215570	903fa	বাউবি
08312f33c2	f1ea4	কদম ফুল
08315c4b52	aab0f	গুয়া গালাইয়া দিইনি
08318040aa	f2097	প্রযুক্তির সব খবর
0831c68654	d3e06	যোগ্য নতুন প্রজন্মই হবে
08323364ed	da6f0	যথার্থ কি প্রকার ছিল
08329cf4c8	e43d4	তিনশত বছর আগে থেকে
