ef0163c146	92bd8	সোনারং জোড়া
ef018c5280	c3cca	তারপর তিনি আর স্কুলে যাননি
ef0209bd59	14d25	আখাউড়ার প্রায় ২০ কিলোমিটার
ef0219f85a	1f733	তিনি ছিলেন প্রতিশ্রুতিবদ্ধ
ef021c1587	943de	বেসরকারি বিশ্ববিদ্যালয়ে
ef0280c0a6	7b900	সম্পূরক প্রশ্ন করার
ef02855249	1a4a9	তুই যদি চিনতি আমায় পরানের পাখি
ef02b5c8da	ea8fa	এখনকার তরুণ লেখক-পাঠক
ef02fc0ab1	693cb	সে কারণেই আমরা
ef030a6aa9	4fbd1	তাকে দেখে আমি তো
ef0323a384	6973e	ড্রাইভার
ef0334bec6	b9a81	সেরে যাওয়া
ef03377cba	52f27	মিথ্যাবাদী
ef04472579	b9122	আহা, তার মালা গাঁথা হ’ল না
ef0490c095	6d129	শনাক্ত করা সম্ভব না হলে
ef04cc16ad	c463d	বাঙালি কিশোর শিক্ষার্থীরা
ef04db0467	0d9f1	চিত্রনায়ক অক্ষয় কুমার
ef05dd2223	dec2d	মানুষের প্রতি ছিল
ef060dd8f7	4a918	ও ইসরায়েল সফরের মাধ্যমে
ef0615d7cc	5dec6	ঐ গ্রন্থে কৃষ্ণকে
ef063bb6ea	d8c80	বাংলা ইসলামী বই
ef06b3c26b	4bede	নিবিড় অনুশীলনের মাধ্যমে
ef06d8054b	49543	এখনো মানুষগুলিকে
ef0750ef43	13b6a	দুটো বছর দীপুর প্রেমে
ef07c47825	0696e	খল চরিত্রে
ef08071e04	0e637	ঘুমাতে পারি
ef083fbbaf	e8dde	মধ্যপন্থী হিসাবে দেখা হয়
ef0860f932	ef4f8	এ সময় সমাবেশ থেকে সমস্বরে ‘হৈ হৈ রৈ রৈ, ভণ্ড প্রেমিক গেলো কই’ স্লোগান দিতে থাকে প্রকৃত প্রেমিকরা।
ef08b4e605	ef4f8	চিরতরের জন্য
ef091b4560	31f09	সিলিং-এর দিকে তাকিয়ে আছে
ef095b7bdc	e2f12	বিচ্ছিন্ন কিছু ঘটনা ছাড়া
ef09a0bb06	ee4ad	ভারী অস্ত্রের নির্বিচার আঘাতে
ef09cf9d12	870e3	ক্লিনিকের ভিতরে চলে যান
ef09d7f87b	a699c	চিত্রকল্প এঁকেছেন শব্দে
ef0a720df2	1de6c	সপরিবারে নিউইয়র্ক সিটির রিভারডেলে
ef0a9e3616	8406e	ঢাকা: বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয়ের শিক্ষার্থী আহত হওয়ার ঘটনায় আন্দোলনরত শিক্ষার্থীরা তাদের আন্দোলন স্থগিত করেছে।
ef0aaad523	6b437	কই যাস এত রাইতে
ef0aed9a7e	717bb	দাঙ্গা দমন থেকে নারী-নির্যাতন রোধ কোনও ব্যাপারেই যে উত্তরপ্রদেশ পুলিশ কোনও তৎপরতা দেখায় না বলে অভিযোগ।
ef0af7f603	1f733	দুটি বাসে চেপে
ef0baa594e	a0277	বাইচের নৌকায়
ef0be5d6e8	9092b	ভালো নেই
ef0c25deb7	4c1eb	যা সেই সময়
ef0c7cc484	948d3	হিন্দু ও মুসলমান ভাগে
ef0c85f66f	4486f	সৌদিআরব থেকে আসা
ef0cb3f0c7	c173f	এক বিবৃতিতে পাল্টা এরশাদকে
ef0cc35369	d5f7b	ছন্দোবদ্ধ করার মূল উদ্দেশ্য হলো
ef0d07dc0b	e9fa7	ছাত্রদের বুকে গুলি চালানো হয়
ef0d6d494b	0c39f	হইয়া নিরাশ
ef0e3c78b6	a43b5	ময়দা আড়াই থেকে তিন কাপ
ef0e896c39	6e8cb	বিশ্বের সবচেয়ে
ef0ecfcae1	a7c6f	তাদের আহকামা
ef0f446516	39293	মৃত্যুর পূর্বে
ef0f59f963	e6752	তারা আমাদের স্বার্থের কথা
ef0f76ef38	39dd0	আদালত ভবনের সামনের ফটকের বাইরে এ সময় বিক্ষোভকারীদের স্লোগান দিতে শোনা যায়।
ef1047aea5	8edea	৯ জন আঞ্চলিক উপ-পরিচালক
ef109dfbfa	80518	নারায়ণগঞ্জের চাঞ্চল্যকর সাত খুনের ঘটনার প্রাথমিক তথ্য-প্রমাণের ভিত্তিতেই র‍্যাবের তিন কর্মকর্তাকে অবসরে পাঠানো হয়েছে।
ef10c175d1	2ac82	অন্তর্ভুক্ত করা হবে
ef110577c9	4a67e	দেখবেন এখানের অনেক কিছু
ef1146c516	0633a	সকাল ১০টার দিকে
ef11a426f9	f0f95	আউন্স প্রতি ৪০০ ডলার করে রাখছে
ef11caff1a	39293	বাংলাদেশের মুক্তিযুদ্ধকে
ef1241c172	11bd2	কালের কন্ঠ সংবাদ
ef124cc4cf	e754e	টেক্সট মেসেজ হিসেবে
ef134c262f	520fb	রাষ্ট্রয়াত্ত্ব টেলিভিশন বিটিভিকে
ef13546764	ee994	অধ্যাপক জিল্লুর রহমান সিদ্দিকী
ef13eeede9	ec91c	বিশ্বের নবীনতম রাষ্ট্র দক্ষিণ সুদানে রক্তপাত বন্ধ করতে আন্তর্জাতিক উদ্যোগ ক্রমশই জোরালো হচ্ছে।
ef14b6ded2	e3d8b	বহু প্রতীক্ষিত এই বিচার
ef1584178b	9813c	তবে বাস্তবে
ef15e0d30e	3fae0	যাওয়ার মতো আলো বেরোচ্ছে
ef16233847	8cf95	এখনকার চেয়ে কয়েকগুণ বাড়বে
ef162b9b21	5354e	কিনে আনতে বলল
ef166c95bc	46d49	আহ্বান জানিয়ে
ef16b6c097	47e8d	পুলিশ একাডেমিতে
ef16ba32a2	db735	প্রকাশ হওয়াকে বোঝানো হয়
ef16fcd25c	2396d	হ্যালো…হ্যাঁ
ef170f7aa7	13b70	আরেকটু এগিয়ে যেতেই
ef1738de6f	ce180	চিরকালের প্রেমিকা
ef173f3cae	80e98	ওই অনুষ্ঠান আয়োজনের
ef18241595	3fb17	একটু কড়া মন্তব্য করে
ef1882d136	68549	রায় যে কোনো দিন
ef1886c0a1	ee852	মা টিউটোরিয়াল পরীক্ষা আছে
ef18b11f9a	491a5	সংগ্রহ করতে পারবে
ef18e5f4da	8406e	মৌলবাদীদের হুমকি
ef19435b5e	0f047	অনেক বেশী হবে
ef19ba8ee7	5dd61	আমাদের দেশে প্রথা ছিল
ef1a2413e6	c5479	বেগম খালেদা জিয়া
ef1ab5ac44	698a4	আক্রমণকারীরা সবাই
ef1ab5cd59	07660	একমাত্র মেয়ে
ef1ac58a2c	38ff0	জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ে
ef1b63b14e	21e54	বড় একটি শ্বাস ছেড়ে
ef1bd1aaff	3c897	দর্শকের কাছে
ef1c02b21e	c463d	জোহান্সবার্গের হাসপাতালে
ef1c1cb986	54e68	কারও মুখ
ef1ca71be4	2fe3c	তিনি এককথায় অনুমতি দিলেন
ef1cfcb976	31f2a	গবেষণাটি নিঃসন্দেহে
ef1d52e5da	f837a	আশি বছরের জামদানি শিল্পী
ef1db61587	ced74	দ্বিতীয় পর্যায়ে হাজীদের অবস্থানস্থলে জমজমের পানি বিতরণ করা হয়।
ef1dd61183	23b22	বাহিনীর সদস্যদের
ef1e10ec80	b618b	স্কুল বোর্ডিংয়ে
ef1e58dfe6	24aed	রুমি নোভিয়ার ছবিওয়ালা
ef1ee09020	06527	ক্ষতিগ্রস্ত করে
ef1eff5364	9282d	সোহেল খান পরিচালিত সিনেমাটি
ef1f0218c5	c9c19	আকার ধারণ করে
ef1f2e51bf	12702	অশোক লেল্যান্ড
ef1fe82436	e3d8b	মর্ফিন ও প্রয়োগ করেন
ef20383d99	2840e	আবার এরই পাশাপাশি
ef204d47e7	ca088	ভিড় আরও বাড়ছে
ef20b8f41e	2b883	নেত্রকোনার জারিগানের আসরে এসে
ef21834ab4	4c555	ভোট গ্রহণ করা হবে
ef21a3e7fc	43fc0	সংঘর্ষের পেছনে
ef226e1701	da6f0	মরিয়া গেল
ef23b69c3f	590d0	পরিচালিত ঠিকানা সিনেমায়
ef23dba575	7aed9	আরও ছয় মন্ত্রী
ef24dc2ec9	351dd	নেতা-কর্মীদের পাশাপাশি
ef25f39bf9	860f4	শাড়ি
ef2637713b	8a46d	আলোচনা অনুষ্ঠিত হবে
ef2751b46a	f29bf	ইতিহাসে বহু সংস্কৃতিতেই
ef277943c6	e03fc	ইংরেজি গান
ef2794d106	16877	আর বাজার ব্যবস্থায়
ef27bc7534	430b2	দুটোই ঘটে ১৯০৫ সালে
ef28501508	dec2d	শত শত রোগী
ef299a1f15	9065c	তার হেডটি
ef29a675fc	4f450	একটি নিরপেক্ষ প্রতিষ্ঠান
ef29b51075	ea8fa	তবে তা ভেবে দেখব
ef2ada3734	4a918	সংরক্ষণ করা হয়
ef2af51159	e6e48	হোমস্ এইবার অবসর নিতে চলেছেন
ef2b019701	18a52	তাঁকে অতিথি বলে
ef2b188cb8	f837a	একশ বছর এগিয়ে গেছে
ef2bd6b74f	f7a7f	তাদের একজন কর্মী
ef2bfdf223	16e96	গাইবান্ধায় ভোটবিরোধীদের
ef2c031ce7	b8fe1	অর্থনীতিবিদেরা বাজারের
ef2c9b0c03	e00db	বেশিক্ষণ থাকবে না
ef2d09c481	54e68	খালি করতে পারে
ef2d73dde4	fcefa	জাফর গান গাচ্ছে
ef2d785383	25696	এই কুচক্রীদের
ef2d8ac47b	31f09	বড় ধরণের
ef2d99fdb6	75936	দু-একটি খোঁচা দিয়া দিল
ef2db7142b	4fd66	রাশিয়ার বেশ কয়েকজন রাজনীতিক
ef2e5df8ed	52578	আমার একটি ধারাবাহিক
ef2e7b3fc2	b00ba	ফকির ইলিয়াসের
ef2edc23de	7b132	যেমন করেই হোক
ef2f49e1c1	77f82	১৯৯৬ সালে প্রকাশিত
ef300009d8	68549	এখানে গাবতলীর উদ্দেশ্যে
ef30054ba5	9c8dd	অবদানও রাখতে পারে
ef31467b01	bdd05	নির্বিকার, যেন আওড়াচ্ছি
ef31791e38	d0c70	একটি পুরোনো ভবনে
ef319c6585	121bd	ছয় তলায় থাক তো
ef31a59842	cb842	মেয়েরা হাঁটা চলা করতে
ef32b5ea0b	e9fa7	হাতে চলে আসে
ef32f203c5	16877	সম্পৃক্ত হয়েছে
ef32f35458	ec91c	এখন প্রকৃত দুগ্ধশুভ্র
ef3328f476	64092	সর্বোচ্চ সতর্কাবস্থা জারি করছে বিজিবি
ef342b847e	e89bb	বিষণ্ন মুখে বসে আছেন
ef344da17a	52f27	সবচেয়ে বড় অনুপ্রেরণা
ef35283fe3	efc0d	যিনি দেশের জন্য
ef3544af54	d9081	ঘটনাটি অবগত নন বলে জানিয়েছেন
ef358c61e1	8143b	দিতে না পারাও
ef35a62b67	4dd57	দীর্ঘকাল শান্তিনিকেতনে ছিলেন
ef35fb7c76	e9589	সিনিয়র রাজনীতিকদের
ef3612a1ad	153c9	হাজার হাজার শিশু
ef36391c94	1a2a1	তার বিরুদ্ধে চলা
ef36746f88	a43b5	নিঃসন্দেহে সুন্দর দেখতে দাদা
ef369bc536	d9081	ইতিহাস বিকৃত করা হয়েছে
ef36ae24b2	ec91c	আগুন লাগানো
ef36b7059a	f1ea4	বাকি মামলাগুলোর বিচার কাজ
ef36baf463	c9c19	রাতে ও সকালে
ef3702098a	06736	গুরুতর আহত অবস্থায়
ef376667fb	ff1c3	ইয়ামা বলেন
ef378fbf98	4a67e	ধনীরা বলে পয়সা কামানো
