12001a7fb7	778c0	ওয়েসলি বারেসি
12001d5391	3f493	আর অস্থায়ী সরকারের মন্ত্রীসভায়
1200233929	194f5	একসাথে খাইতে পারেনা
120050d160	f2b7d	আগামী দিনগুলোতে
1200bb520d	4f2ae	অতীশ দীপঙ্কর শ্রীজ্ঞানের
120105a659	e2f12	রমণী যীশুখ্রীষ্টের
120133b3bf	0d9f1	সীমার পিতা
12018eaace	b5fdc	জয়া
1201935c9b	fda1a	মনে করেন ঐতিহাসিকরা
1201de9518	ef4f8	তোমায় দেখি
12023b6c28	86b1b	হাঁটুর বেশ উপর থেকে
120251b584	6e6fa	মা চিবুক ছাড়িয়ে
1202731fca	a274b	সেদিকে সকলের
12027c8c30	932bb	তার নাম মানবতা
1202c0c646	bfac7	মাজেদা নামের এক মেয়ে
1202c1964d	69d9a	কীভাবে এসব বাধা
12033e2398	1b359	অম্ল একটি বস্তু
1203923fcb	dba43	ব্যর্থতার প্রশ্ন আসবে
120392de49	4c555	শুধু বর্তমান নয়
1203bfd55b	943de	প্রস্রাবে ভাসিয়ে দিতে চায়
1203c1da1b	c3cb3	সম্পাদনার দায়িত্ব
1203eb89e1	2ee04	ক্ষমা চাইতে বলেন সুরঞ্জিত
12040d6eec	aa820	নীতির বহিঃপ্রকাশ
120481a008	2f547	২-৩ মিনিট রেখে
1204eab00e	69449	অবজ্ঞা করিল
1205d79e0e	121bd	বেহেশত
1206c58c4a	967fd	রূপালী ব্যাংক নিয়োগ
1206d58877	4bd2c	প্রণব মুখার্জি হতে যাচ্ছেন ভারতের ১৩তম প্রেসিডেন্ট।
1207950e68	d2faf	সেখানে আগ্নেয়াস্ত্রসহ
1208863a2c	d9817	গীতধারা গজলের
1208b30b17	80518	আটা
1208b7340e	7a227	মাকাল ফল
1208f7ba91	e9759	এর পরিপ্রেক্ষিতে
12091a14bd	38ff0	মটর বাইক
120928129e	e2ff7	আগামী বাজেটে উন্নয়ন খাতে
120956907c	16cfb	উদঘাটন করা যাবে
1209a4d04e	767ff	দূর-দূরান্ত থেকে
1209cf6f5b	14d25	স্বস্তিকা মুখার্জি
1209f33dad	745b7	আর মোর কেবা আছে
120b08efc1	7e1d5	অতীশ দীপঙ্কর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়
120b6a8a3b	5b13f	মেঘের উদয় হল
120b8cf3f1	1f733	গণমাধ্যমে টেক্সট মেসেজ পাঠিয়ে
120bc7e4ca	2b883	সেতু ও জনপথ বিভাগের
120c266bbe	4f450	চেঁচিয়ে উঠলেন সুধীনবাবু
120d10b6b0	ba2f6	মিতা হকের বক্তব্য নিয়ে
120de85d31	5a61c	তাদের সাথে আলোচনা করে
120ea7828b	25696	পোলিসারিও ফ্রন্ট নামে
120f166055	6da0a	প্রথমের প্রশ্ন
120f1950a3	0d4cb	এ কথা প্রকাশ হইল
120f1cdd81	6dff5	আমার নছিহত করার
120f27ce4e	17dcd	যা উপহার কিনার
120fc1c2d5	b8fe1	তাকে মনোনয়ন দিলে তো
120fd3e992	39293	অনেক সময় লেগেছে
120ff292ea	ec91c	স্বপ্ন মিলিয়ে গেছে ইংলিশ ক্লাবটির
120fff1037	b9b98	পাশাপাশি তার দেশত্যাগে
12106d6bc1	bd576	এ ব্যাপারে নিশ্চিতভাবে
1210b05120	14816	ভারতের লোকসভার
12111b5127	0696e	সংশ্লিষ্ট ভূমি অধিগ্রহণ
12112c25a4	91230	সহজেই রিকশায় করে
12114bd551	46da4	দেশের বিভিন্ন শিক্ষাপ্রতিষ্ঠানের
121191f124	23b22	সারাবিশ্বে সামগ্রিকভাবে
1211f40d74	10a9f	মেয়েদের ফাইনালে
121274985e	6a35e	মার্কিন যুক্তরাষ্ট্রের নিউইয়র্কে
12130f5fdd	7d004	আগুন দেখতে পেয়ে
12139ec32e	a4750	পর্তুগালের পতাকা
121420187f	9c8dd	নাইট ক্লাব
1214536acb	5b13f	তার পরিণতিতে
1214e0d915	11915	পাবনা জেলা
1215ce448d	ee994	দীর্ঘদিন সুখে-শান্তিতে
1215d6b660	4f450	জরিমানা করেন
121630562a	09b32	সম্প্রতি এক সুপারনোভা ক্যামেরায় ধারণ করে নানা-পরীক্ষা নিরীক্ষার পর তার ফল এক গবেষণা জার্নালে প্রকাশ করেছেন বিজ্ঞানীরা।
121776cf93	6ab59	আমার ওপর
121780e867	f7a7f	থেকে গেলাম
1217a436e7	3c897	দুবাই ভিসা খবর
1218184e78	91b16	স্থানীয় বাংলাদেশিদের
1218aec33e	351dd	উনারই কি ইচ্ছা
1218d36376	9813c	দলটি পরাস্ত হচ্ছে
1219496ada	2695f	বঙ্গভবনে নতুন মন্ত্রিসভার সদস্যরা
12199e337f	5dec6	কাজের মাঝে
1219dc3f67	eb179	আদালতে জমা দিতে
121c02163a	0edef	শিখ সম্প্রদায় তখন ক্ষোভে ফুঁসছে
121cd2ac7a	49d63	পছন্দ করে না
121d28fa3d	388c9	টাকা পয়সা
121d8ce7a1	33aef	এবং যার বেশিরভাগ এলাকা
121d94091d	5dec6	নিজাম বিশ্বাস
121da1b281	2.1E+055	যুক্ত হয়ে সাধারণত
121dd1c498	49543	শ্লেষটা প্রথম থেকে
121eba0ba4	ee4ad	কাউন্সিল এর নাম
121f02b357	c173f	পথে বিপরীত দিক থেকে
121f394620	d136b	একদিন মার্কিন ইমিগ্রেশনের হাতে
121f5d37fd	28dfc	চার্জ বুঝে নিতে হবে
121fe708ab	43fc0	কারাবরণ করতে হয়েছে
12201de07c	0744c	গানের বাইরে বয়াতি অভিনয়ের খাতায়ও নাম লিখিয়েছিলেন।
12209e6fab	3fb17	অন্যান্য জঙ্গী সংগঠন
1220b2436e	16a17	চাটা
1220efb9d6	28bb3	হয়েছে বলে
1221611e5a	17ca1	সৃজনশীল যেকোনো কাজের জন্য
12217b9679	3c897	এত বড় অঙ্কের অফার পাবে
1221cb9934	dae88	স্কুলে আসার প্রবণতা
1221dc0b3e	1E+091	কাজল আগারওয়াল
1221fb091b	e43d4	ভারতে পালিয়ে যান
122203829a	a916a	সুবিধা পেয়েছেন তিনি
122259b960	4f2ae	তারা কথা বলছিল
1222672c44	1.6E+097	পরিবেশন করেছেন মানসী বড়ুয়া
1222b0c909	d71a3	সম্পূর্ণ কাল্পনিক
12235d201f	6973e	নিম্নগতিকে দায়ী করছেন ব্যবসায়ীর
1223de72b5	f2097	ধর্ষণ বন্ধ হবে
1223f9f1a0	16877	তা সুন্দরকেই
12241f581c	ee852	বঞ্চিত হলেও
12243acf9a	2ac82	হাসপাতাল, এবং পুলিশের রেকর্ড
12248f3a86	91b16	খোলা আকাশে লটকানো
1224a29cdf	4e900	এই কমিটি
1224b9c314	321b6	মেঘলা দিন
1224d888f4	49d63	পরিষ্কার করা
1225a7df97	5dd61	১০ ওভারে প্রায়
1225acf16d	7c272	মার্কেজের ব্যাপারে
1225b6f780	79b06	আহার জোটে না তাদের
1225cfa85f	0b7ca	অ্যাক্টিনিয়াম শব্দটি
1225f146d8	46da4	পড়তে কি দেয়
1226ba9d04	b00ba	খুব কমই প্রকাশ্যে দেখা গেছে
1226c2078a	f837a	হারিছ চৌধুরী
1226cd72a4	e3d8b	একটি প্রশান্ত স্বদেশ
1226f4b8a7	7b900	ছাপার যা ঝক্কি
12272cb1a9	3bb15	এ ঘটনায় বাসের চালক
12274b8a63	c11b1	দেশের শীর্ষ
1227547d70	4c555	ভাবতেও পারেনি ও
1227aa1e8a	c7a89	প্রয়োগ শুরু হয়
1227d9806c	590d0	আকাশের ছবি
1227f29b77	4a918	সেনাবাহিনী কেন নেয়া হবে
1228050871	9d46f	আমি কোনদিন ভুলতে পারি না
12286cf05c	2aecc	অক্লান্ত পরিশ্রম করেছে
1228f10285	767ff	প্রধান বিরোধী দল বিএনপি
12297b0c1a	92bd8	‘কমন জেন্ডার’ এর পরিচালক
12298b197a	ee852	অ্যামিকাস কিউরি
122a4250ad	6736	করার উপর বিধিনিষেধ
122aaf335c	68ab7	দীর্ঘদিন অসুস্থ ছিলেন
122ac75b68	38ff0	এজে মোহাম্মদ আলী
122ace8a62	5dd61	নির্যাতনের শিকার
122b2fdb27	2840e	এমন সংগঠনগুলোর প্রভাব রয়েছে
122b9c3f7a	ea8fa	অবগত নয় বলে
122bc6700f	880ae	আরম্ভ ক’রে দাও
