fa0017709e	0b7ca	প্রভা
fa00740183	cb842	ট্রেনের চাকা রেললাইন ছোঁবে না
fa00976682	121bd	ইমেইল করা যাবে
fa00be82e8	5639c	নার্সিং কলেজকর্তৃপক্ষ
fa00e43874	d9b11	ক্ষমতায় এলেন জেনারেল ইয়াহিয়া খান
fa010934ca	256f5	সভাপতিত্বে বৈঠকে নয় ব্যাংকের চেয়ারম্যান
fa014f6f02	60f77	অল্প তারতম্য ঘটলেই
fa01e2002f	75f18	ভয়ঙ্কর ক্ষণিক,-তুমি আমি ক্ষণিক
fa0216594c	8a46d	ঠিকমত দেয়া
fa0217ffdf	f9dfb	অল্প হলেও লেখালেখি হয়েছে
fa0244c7d3	adf01	সে ব্যাপারে তারা সরকারকে
fa032437f4	5dec6	পরীক্ষায় ১০০টি প্রশ্ন থাকে
fa0418a08f	93080	যাত্রী কম থাকায়
fa044ca824	3f875	কমেন্ট
fa0473860c	baa02	বয়স্ক ভদ্রলোক
fa04e2d5a8	a7c6f	এসব নেই
fa0503e3b6	d8c80	ঢাকা মহানগরীর ললাটলিখন
fa053647df	c6848	যে অস্বস্তিকর পরিস্থিতির মধ্যে
fa059c824b	66dcd	তোমার ডিটেকটিভ বুদ্ধিটা
fa06fee0b6	dec2d	পর্যাপ্ত পরিমাণ
fa07400086	c9c19	চূড়ান্ত কোনো নাটকীয়তার জন্য
fa07cf735b	121bd	তখন তাদের বলা উচিত ছিল
fa084339ef	db181	অলিকে মারতে
fa08865efe	ea8fa	এসময় আরও উপস্থিত ছিলেন
fa08ce3c25	ad98d	সংবাদ মাধ্যমগুলোতে
fa08e84562	e31e7	কখনো কখনো
fa09043494	16cfb	সকাল থেকে সাইকেল
fa0a3988b2	8406e	মিগুয়েল সার্ভান্তেসের দোল কিহোত-এর
fa0a729802	bdfc1	ইদুল আযহা
fa0a7cc2d2	ee852	বিশিষ্ট ছড়াকার
fa0ab2e895	15a75	দেওয়া কষ্টকর বৈকি!
fa0abcbab7	43fc0	পরে তদন্ত কমিটির সদস্যরা
fa0adcf1a5	932bb	গোপাল চন্দ্র জানান
fa0b0b1a8d	f2b7d	ঐতিহাসিক উপন্যাসের জন্যই
fa0b17a043	da6f0	বাইরে বাদ্যযন্ত্র বাজিয়ে
fa0b4eeb76	72649	গণমাধ্যমে নিয়মিত লেখালেখি
fa0b62db5c	c5dc8	তার স্বাভাবিক চলাফেরায়ও
fa0be30039	a699c	সে চুক্তি অনুসারে
fa0c14d245	68549	মঈন খানের কনফিউশন
fa0c4096ae	ef4f8	বছর খানেক ধরে
fa0c779472	fdcba	ধর্মীয় সহিংসতার কারণে
fa0c77d999	0e637	ওয়ান-ড্রাইভের সঙ্গে
fa0c7caf04	e8dde	অস্ট্রেলিয়ায় কুকুরদের মধ্যে
fa0dc5ebac	e3d8b	মহানগর ছেড়ে প্রত্যন্ত জনপদে
fa0df5b485	a3a6d	নিখোঁজ ব্যক্তির
fa0ea4d084	65e30	জায়ান্ট মিলিবাগ
fa0efd74d9	5cb47	দেহ উদ্ধার হয়
fa0f3eb3a9	c0d65	একটি চিকেন দিয়ে
fa0f608d08	2aecc	মতো উপরে
fa100fd88d	2ee04	সুনিশ্চিতভাবে নির্ধারিত হয়
fa103a4a33	06736	একদিন চিলেকোঠা ছেড়ে
fa104f6c36	37d7e	জয়-পরাজয়ের হিসাবে
fa10ab40ad	c3cca	এখন পর্যন্ত যুদ্ধবিরতির
fa10f69ef5	ab946	আদালতে সরকারবিরোধী শ্লোগান দিয়ে
fa1159d2cd	7d004	বড্ড শুকিয়ে গেছে
fa11739344	56508	তাঁর একমাত্র পেশা
fa122c20f9	1a4a9	রাজনৈতিক সহিংসতা না থাকায়
fa127075c7	b08d0	কাজেই সেখান থেকে
fa12abac85	ee852	রিকসাটি শাহজাহানপুর
fa1301cca6	3f875	মুনমুন সেন
fa1361e2a2	5dd61	দাউদ হায়দার
fa139873fb	8ba2b	মাগো, একটা সিংহ-ই
fa13c7e4c1	880ae	অনুষ্ঠানে এসে দর্শকরা
fa13d18b93	f658d	তাকে আসতে হবে জীবন থেকে
fa13f0cc65	355c1	সাংবাদিকতায় গুরুত্বপূর্ণ অবদান ছাড়াও রাজনৈতিক জীবনেও সম্পৃক্ত হয়েছিলেন তিনি।
fa14290e7e	3bea8	এক প্রকান্ডকায় অজগর পাইথন
fa14b2bf1c	cc9fd	লোকটি প্রথমে ঐ নারীকে
fa15185287	c5dc8	এই সেতু নির্মাণে
fa154c96a3	2909b	ফ্লাওয়ার ভাসে রাখুন
fa158085f2	410fa	২০১৪ সালের
fa159cedf2	2d78f	মূলত নিউটনের আগ্রহ ছিল
fa15e0ebe3	f9dfb	ছড়িয়ে ছিটিয়ে থাকা যন্ত্রপাতি
fa161cfe8a	31f09	বোঝার চেষ্টা করছে
fa16205981	69d9a	সে কথা
fa167976a0	e43d4	চাপা ক্ষোভ বিরাজ করছে
fa16c28329	16e96	কিছু পুনরাবৃত্তি
fa1733ee19	f2097	হস্ত পদ, কর্ণ
fa177b3ef1	46da4	বিলের বিরোধিতায়
fa17a143c1	351dd	এরকম একটি সংবিধান
fa17afd8ae	1652d	রান পাননি বললেই চলে
fa17cf37e1	84145	অনেকে হয়ত বলবে
fa17d31f2f	282d3	চলছিল না বলে
fa180c99dd	0606d	তার নির্মিত শেষ চলচ্চিত্র
fa183e840c	a699c	সোশাল নেটওয়ার্কিং সাইট টুইটারে
fa18677a36	554fe	আর তাতে যোগ দিয়েছেন
fa18c5e4b8	14d25	পূর্ব অংশে অবস্থিত
fa1918e377	717bb	জন্ম ১২ সেপ্টেম্বর, ১৮৯৭
fa19574743	ff970	সেখানে ভালো করে
fa1982d1c4	e754e	লাশেরগলায় আঘাতের চিহ্ন রয়েছে
fa19e961ca	6d129	গত পাঁচদিন ধরে
fa1a06b6b2	0895a	যখন তাদের উপরে
fa1a2e0feb	32b3e	সেনা সূত্রগুলো বলছে, তিনি যেকোনো দিন পদত্যাগ করবেন এবং নিজেকে প্রার্থী হিসেবে ঘোষণা করবেন।
fa1a514a10	3f875	এনে দেওয়া চলচ্চিত্র
fa1a88c06d	8632b	নাভি
fa1ab448e5	388c9	আন্তর্জাতিক মাতৃভাষা দিবস
fa1b209b16	e2f12	বাটাজোড়া গ্রামে
fa1b734f2c	0b7ca	বিদেশি লাভ নামের
fa1bfa6447	9d46f	অনেক আত্মবিশ্বাস
fa1cb018b3	05901	কোরিয়া উপদ্বীপে
fa1cc00b53	28bb3	কোনো ভূমিহীনকে খাস জমি থেকে
fa1cd26b80	d1a48	সব কিছুই আবার বদলে গেল
fa1d291c66	bcaa8	অধ্যাপক আইনুন নিশাতের কাছে
fa1d4089ab	2ee04	তবে সুশাসন ও জবাবদিহিতার যে কথা টিআইবি বলেছে তার সঙ্গে আমি একমত।
fa1d71c8f5	e3d8b	সোশ্যাল অ্যাক্টিভিজমের পথ
fa1d8c9137	e754e	এই গ্রামেই জন্ম
fa1e309db8	6b437	এক বিশাল সম্ভার
fa1ee75e3a	2ac82	২৩ ডিগ্রি ২৮ মিনিট
fa1efef10f	83c53	পর্তুগালের ঊপকূলে
fa1f4db239	32c77	শরীর সুস্থ রাখে
fa1f7b93d2	ce180	পরাজয় ছিল সঙ্গী
fa20058463	2fc12	আড়াই লাখ ডলার জামিনে
fa203509ce	d8c80	নিহত মেজবা
fa20e2a74a	f83df	আটককৃত সোনার চালান
fa21853273	1652d	১১৬ বছরের দীর্ঘ
fa21dd9b25	967fd	তা সাড়ম্বরে উদযাপনও করেছে
fa220e1840	0744c	চাঁদের পাহাড়
fa22383778	d9081	এরপর ট্রাইবুনালের তদন্তকারী সংস্থা
fa22bcaf30	85430	প্রকাশিত প্রতিবেদনের ভিত্তিতে
fa22c4fdc4	b9b98	বিপুল সামরিক নৌযানের
fa22d22219	509f6	আজকাল পত্রিকা
fa2334217c	a0277	ভারতের সঙ্গে চুক্তি করে
fa234822d4	5d12f	পর্তুগালের ঊপকূলে
