b700475389	5d80e	দ্রুত রান তুলতে গিয়ে
b700689d64	6c6bf	আগেই অবেস্তা ভাষার
b700c5bed4	54e68	তুমি ভুল করছ টিবল্ট
b7019d6a3d	42898	রাসু খালু দীর্ঘশ্বাস ফেলে বলেন
b701ad0dec	7b103	আরে, না না
b701c6490b	6da0a	বিরল নহে
b702239bcb	c958a	কোন স্বীকৃতি নেই
b70254b8a1	d9817	কেটে যায় একটা বছর
b702e4bcda	33aef	নির্বাচিত করে টাইম
b70333a362	4fbd1	কেন তাকে
b703663292	d1a48	কোনোভাবেই সম্ভব নয়
b7039c392f	09f0d	আশ্বস্ত করার পর
b703e4c258	4dd57	এবারকার বৈঠকের প্রতিপাদ্য হচ্ছে
b7041fb213	14d25	কোন প্রটোকলে
b704236e9c	28dfc	উইকেট নেন
b70431d9fc	fcefa	এবং কেনিয়ার কাকুমা শরণার্থী শিবিরও
b7045befe2	32998	মুক্তিযুদ্ধের বহুমাত্রিকতা কিছুটা হলেও
b70475ef4b	d3e06	খুনীদের খাবার খাইয়ে
b7048d58c1	52f27	তবে সেনা সূত্রগুলো বলছে, তিনি যেকোনো দিন পদত্যাগ করবেন এবং নিজেকে প্রার্থী হিসেবে ঘোষণা করবেন।
b705180202	77f82	আকার বা ক্রম
b705af0202	03284	আপনারা দীর্ঘদিন ধরে
b706293dff	e03ce	কেউ হয়ত
b7062a1fb9	870e3	অগো মা-ঠাকুরানী
b7067c2e50	91ac1	তারা নীরবেই চলে গেলেন
b70694fd86	b00ba	কটাক্ষ বা ছোট করে
b706b1321a	e3f89	জনসংযোগের দিক দিয়ে
b706de3a10	32c77	পাঠক জানিতে পারিবেন
b706e1d95f	1c618	উনি ছিলেন দেবতা, তাই না
b70707641d	2fe3c	অ্যাডা একটি বৃহত ভাষা
b70711d067	976b1	নতুন গতি পায়
b7071e9b22	7d3e1	তাদেরও বেদম পেটায়
b7089e4f47	e55de	অভিভাবকত্বজনিত সমস্যা
b70966b3cb	554fe	শিল্পপতির ছেলে
b70a04ed8f	e03ce	তিনটি খাল
b70a1f26c0	767ff	অনিবার্য পরিণতি কি
b70a73e8fe	9f25e	একটি ডিম
b70ac8687d	6e6fa	পথসভা করার কথা
b70b4de94a	2f547	সংবিধান পরিবর্তন করে
b70b706cba	a274b	চেষ্টা তিনি করেননি
b70bdc0d01	80518	সরকার বা পরিবেশের উপর
b70c209766	03284	খুব ঠকাতে পারে না
b70c39f522	16e96	বাস্তবায়ন চ্যালেঞ্জিং
b70c5971ff	a06a1	তালিকার শীর্ষে থাকা প্রথম তিনটি দেশ হচ্ছে সুইডেন, যুক্তরাষ্ট্র এবং যুক্তরাজ্য।
b70cd27ff7	c4973	দুবাই প্রবাসী
b70ce95018	f2097	যে বরাদ্দ চাওয়া হচ্ছে
b70d0da4bf	2fc12	উচ্ছ্বসিত প্রধানমন্ত্রী মনমোহন সিং
b70d1af27d	7297e	তিনি পেয়েছেন
b70d2f5b59	bbb22	তার পেট
b70d7fcfaa	fcefa	আত্মীয় স্বজনের কাছ থেকে
b70d8c87b3	84145	বিধ্বস্ত হওয়ার কারণ
b70e81adf5	ea8fa	নয়কো তাও বড়টা
b70eaa7617	a1201	ছোট কবিতা
b70eb7ac6c	c8f7f	গম ক্রয় করা হচ্ছে
b70ed258d0	16877	তার অসাধারণ
b70ee889de	e68af	আন্তর্জাতিক মানের করা
b70ef06321	db181	তাহার সঙ্গে এ গণনা
b70f71b9d8	10a9f	চলাফেরার বিষয়ে মার্কিন নাগরিকদের
b70faebca4	cd3ac	৬৮১ জন
b70fef47ef	ea8fa	সারাক্ষণই শাসন করতো
b71108daf8	a274b	খুঁজে পাওয়ার নজির
b7111bf1d5	14d25	শাহরিয়ার আলম বলেন
b7111eb48d	1c618	তুমি আমার মনের মানুষ
b7112a7eea	0b7ca	টাক্সফোর্স গঠনের
b711702a6b	9b864	খুব একচোট নিন্দা করলেন
b71227430d	eb179	অতীব জরুরি
b712e4c9b3	2ad74	মন্ত্রী ইউসুফ আলী
b714f8658f	bdd05	রুবেল হোসেন
b7151f7b91	ee852	সেশনজটের নাকালে পড়ে
b7156b355f	2556b	তিমি এখানে জ্বরে ভোগে বটে
b715b0ccfa	11915	একই সাথে শ্রমিকদের
b715ca8443	95f83	১৯৯৮ সালের
b715fbb886	69d9a	সাধারণ শ্রমজীবী মানুষ
b7163e6121	ef915	নিজেদের আলাদা করে এসেছে
b71695b834	ff1c3	বাংলাদেশ হলো একটি উপাদান
b7171ed9b9	d8c80	তিনি চোখ মেলে দেখলেন
b71759ecc5	92f59	মূল অভিযানে
b717943364	efc0d	মেঝেতে উবু হয়ে বসলেন
b7187f9d3d	7027a	বেজায় ঘাবড়ে গেলেন
b718b14b1c	b8bba	এবং জাতীয়
b7199568e2	c1e30	ছবির সমস্ত চরিত্রের ধরন
b719e84e4d	943de	একটি প্রতিফলন থাকবে
b719ea22f9	39293	কাহিনীর সারাংশ
b71a0a2ad8	31f09	শোকাবহ স্মৃতির দুয়ারে দাঁড়িয়ে
b71a4cb4c7	14d25	সেদিন রাত্রে
b71a6c662c	23b22	প্রেক্ষাগৃহের মালিক, কর্মচারী
b71aca5db7	a1201	সহায়তা দেয়ার জন্যই
b71ad505c1	8a46d	জুয়েল শেখের লাশ
b71b244c47	4a918	তাকে নগরীর মিরবক্সটুলাস্থ
b71b5e2238	29bab	উদ্ধার অভিযান
b71baf97e3	195f7	আমি রাজনীতিক নই
b71bb507f4	60b9d	তুমি মাকড়সার মতো
b71c9aba94	195f7	সফটওয়্যার হিসেবে
b71d10ab5c	cd3ac	সম্প্রতি দেশজুড়ে
b71d3e8a0f	7ee9b	একটি টেক্সট মেসেজ পাঠাতে
b71d436625	ad050	ভাগ মনে করেন
b71d8f0491	274ee	পরে একে একে
b71d99d71d	69d9a	অন্তর্দহন ইঞ্জিন
b71dc6aa94	f837a	কী ওইচে বাবা
b71dd1e6ff	f1ff2	৩৯টি কলেজ
b71e9f2767	ad050	মৃত্যু হলো তার স্ত্রীর
b71eb22209	8edea	বাংলাদেশে নির্ভেজাল নির্বাচন
b71ef53c62	91230	উত্তরাঞ্চলীয় জেলা রংপুরে
b71f941172	af81d	আমার স্ত্রী ও সন্তানেরা
b71fbe8b6b	06e62	শরীর চর্চা
b71fcba333	f143a	মঙ্গলবার ডিএসইতে
b71fd67e41	9282d	ট্রান্সলেশন
b720153ffe	6dff5	তদন্ত প্রক্রিয়া এখন চলছে
b7203da50f	3fc9d	বাংলাদেশের বাণিজ্যিক
b7205b25f3	e03fc	ক্যারিযারের মোড় ঘোরাতে পারে
b7209515d7	6fb36	নায়িকা মাহি
b720b72578	eaa7a	এবং তুবালুর মুদ্রা হিসেবেও
b720d5b0ed	fdcba	৭০ টাকায় বিক্রি করছেন
b720dbf53a	0606d	রাজনীতি ও সমরনীতি নিয়ে
b7210f6498	ea8fa	তৈরি করে আসছে
